,strain,mCherry-100 per OD at max local gr
0,POT1-ccdB clone 1,7.606998605415553
1,POT1-ccdB clone 2,7.122609673426354
2,POT1-ccdB clone 3,6.392543427210045
3,null,
4,tRPS3-200bp-mod0 clone 1,2061.371166694501
5,tRPS3-200bp-mod0 clone 2,3766.810337413221
6,tRPS3-200bp-mod0 clone 3,3241.179430390307
7,tRPS3-200bp-modA clone 1,2671.241867724297
8,tRPS3-200bp-modA clone 2,3458.2987324211385
9,tRPS3-200bp-modA clone 3,2193.762133761451
10,tRPS3-200bp-modB clone 1,1410.1853694565175
11,tRPS3-200bp-modB clone 2,1396.8983433939186
12,tRPS3-200bp-modB clone 3,1117.798225535539
13,tRPS3-200bp-modC clone 1,4758.865256102393
14,tRPS3-200bp-modC clone 2,3299.8248900008216
15,tRPS3-200bp-modC clone 3,3763.2774045739066
16,tRPS3-200bp-modD clone 1,2387.5386457793024
17,tRPS3-200bp-modD clone 2,2122.3503767824172
18,tRPS3-200bp-modD clone 3,3194.3193489521686
19,tRPS3-200bp-modE clone 1,1380.7049336887594
20,tRPS3-200bp-modE clone 2,1056.5264900271056
21,tRPS3-200bp-modE clone 3,1352.987339900092
22,tRPS3-WT-200bp clone 1,3208.644943310706
23,tRPS3-WT-200bp clone 2,3979.721326595607
24,tRPS3-WT-200bp clone 3,4072.705740663794
