,strain,mCherry-100 per OD at max local gr
0,PGK1-mCh-tPGK1 clone 1,3991.17140963901
1,PGK1-mCh-tPGK1 clone 2,7760.69671363787
2,POT1-ccdb clone 1,-9.592517133865721
3,POT1-ccdb clone 2,-3.932242551886138
4,Re2.8 clone 1,2868.6334072860227
5,null,
6,pCYC1 Re2.8 clone 1,4650.1970182525665
7,pRPS3-mCh-tRPS3-mod0 clone 1 biorep 1,2408.049480890466
8,pRPS3-mCh-tRPS3-mod0 clone 1 biorep 2,2174.605859845916
9,pRPS3-mCh-tRPS3-mod0 clone 2 biorep 1,2092.4669778024113
10,pRPS3-mCh-tRPS3-mod0 clone 2 biorep 2,3062.8374611954578
11,pRPS3-mCh-tRPS3-modA clone 1 biorep 1,2452.55022439102
12,pRPS3-mCh-tRPS3-modA clone 1 biorep 2,2067.7498714334956
13,pRPS3-mCh-tRPS3-modA clone 2 biorep 1,1972.96897175887
14,pRPS3-mCh-tRPS3-modA clone 2 biorep 2,2304.620445332639
15,pRPS3-mCh-tRPS3-modB clone 1 biorep 1,1162.2081776157438
16,pRPS3-mCh-tRPS3-modB clone 1 biorep 2,1025.7933527152566
17,pRPS3-mCh-tRPS3-modB clone 2 biorep 1,941.2517468330669
18,pRPS3-mCh-tRPS3-modB clone 2 biorep 2,1053.4390592384543
19,pRPS3-mCh-tRPS3-modC clone 1 biorep 1,2303.4751849852646
20,pRPS3-mCh-tRPS3-modC clone 1 biorep 2,2452.773386079137
21,pRPS3-mCh-tRPS3-modC clone 2 biorep 1,4321.892584765926
22,pRPS3-mCh-tRPS3-modC clone 2 biorep 2,2588.1053090506
23,pRPS3-mCh-tRPS3-modD clone 1 biorep 1,1460.8881342283098
24,pRPS3-mCh-tRPS3-modD clone 1 biorep 2,1952.892548550958
25,pRPS3-mCh-tRPS3-modD clone 2 biorep 1,1676.249922603998
26,pRPS3-mCh-tRPS3-modD clone 2 biorep 2,1742.4818661159238
27,pRPS3-mCh-tRPS3-modE clone 1 biorep 1,1225.0904923936166
28,pRPS3-mCh-tRPS3-modE clone 1 biorep 2,974.1023195439286
29,pRPS3-mCh-tRPS3-modE clone 2 biorep 1,1011.6144959492952
30,pRPS3-mCh-tRPS3-modE clone 2 biorep 2,1895.9343491487682
