"Include","Color","Pos","Name","Cp","Concentration","Standard","Status","Well","Cq","ExpRep","WellR","WellC","SampleID","Strain","Pro_mCh","Promoter","mCherry","BioRep","Ter_mod","Terminator","Construct","remove","Type","TechRep","TargetID","norm.by","Value.norm","Value.normexp"
TRUE,255,"A4","Sample 4",11.52,NA,0,NA,"A4",11.52,"1","A","4","pPGK1-mCherry-tRPS3_mod0_BioRep1","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep1","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","mCh-7",14.36,-2.84,7.16020056742378
TRUE,255,"B4","Sample 28",14.54,NA,0,NA,"B4",14.54,"1","B","4","pPGK1-mCherry-tRPS3_mod0_BioRep1","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep1","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","URA3-ORF",14.36,0.18,0.882702996290655
TRUE,255,"C4","Sample 52",14.65,NA,0,NA,"C4",14.65,"1","C","4","pPGK1-mCherry-tRPS3_mod0_BioRep1","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep1","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","RPS3-ORF",14.36,0.290000000000001,0.817902058557781
TRUE,255,"D4","Sample 76",14.3,NA,0,NA,"D4",14.3,"1","D","4","pPGK1-mCherry-tRPS3_mod0_BioRep1","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep1","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","PGK1-ORF",14.36,-0.0599999999999987,1.04246576084112
TRUE,255,"E4","Sample 100",11.81,NA,0,NA,"E4",11.81,"1","E","4","pPGK1-mCherry-tRPS3_mod0_BioRep1","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep1","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","mCh-7",14.36,-2.55,5.8563427837825
TRUE,255,"F4","Sample 124",14.47,NA,0,NA,"F4",14.47,"1","F","4","pPGK1-mCherry-tRPS3_mod0_BioRep1","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep1","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","URA3-ORF",14.36,0.110000000000001,0.92658806189037
TRUE,255,"G4","Sample 148",14.62,NA,0,NA,"G4",14.62,"1","G","4","pPGK1-mCherry-tRPS3_mod0_BioRep1","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep1","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","RPS3-ORF",14.36,0.26,0.835087919428369
TRUE,255,"H4","Sample 172",13.89,NA,0,NA,"H4",13.89,"1","H","4","pPGK1-mCherry-tRPS3_mod0_BioRep1","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep1","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","PGK1-ORF",14.36,-0.469999999999999,1.38510946811092
TRUE,255,"I4","Sample 196",11.78,NA,0,NA,"I4",11.78,"1","I","4","pPGK1-mCherry-tRPS3_mod0_BioRep1","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep1","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","mCh-7",14.36,-2.58,5.97939699453975
TRUE,255,"J4","Sample 220",14.18,NA,0,NA,"J4",14.18,"1","J","4","pPGK1-mCherry-tRPS3_mod0_BioRep1","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep1","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","URA3-ORF",14.36,-0.18,1.1328838852958
