"Strain","Pro_mCh","Promoter","mCherry","TargetID","Ter_mod","Terminator","Construct","BioRep","ExpRep","Median_deltaCq","RNA_Abundance","na.rm","remove"
"pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_mod0","tRPS3","mod0","BioRep1","1",-2.58,5.97939699453975,FALSE,FALSE
"pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_mod0","tRPS3","mod0","BioRep2","1",-1.885,3.69352924291758,FALSE,FALSE
"pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_mod0","tRPS3","mod0","BioRep3","1",-2.01,4.02782220022687,FALSE,FALSE
"pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_mod0","tRPS3","mod0","BioRep4","2",-2.64,6.233316637284,FALSE,FALSE
"pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_mod0","tRPS3","mod0","BioRep5","2",-2.015,4.04180578594706,FALSE,FALSE
"pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_mod0","tRPS3","mod0","BioRep6","2",-1.755,3.37526318452007,FALSE,FALSE
"pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_mod0","tRPS3","mod0","BioRep1","1",-0.469999999999999,1.38510946811092,FALSE,FALSE
"pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_mod0","tRPS3","mod0","BioRep2","1",0.115,0.923382310729395,FALSE,FALSE
"pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_mod0","tRPS3","mod0","BioRep3","1",-0.280000000000001,1.21419488439505,FALSE,FALSE
"pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_mod0","tRPS3","mod0","BioRep4","2",-0.170000000000002,1.12505848468881,FALSE,FALSE
"pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_mod0","tRPS3","mod0","BioRep5","2",-0.105,1.07549439045738,FALSE,FALSE
"pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_mod0","tRPS3","mod0","BioRep6","2",-0.0249999999999986,1.01747969210269,FALSE,FALSE
"pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_mod0","tRPS3","mod0","BioRep1","1",0.26,0.835087919428369,FALSE,FALSE
"pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_mod0","tRPS3","mod0","BioRep2","1",-0.115,1.08297504552592,FALSE,FALSE
"pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_mod0","tRPS3","mod0","BioRep3","1",0.00999999999999979,0.993092495437036,FALSE,FALSE
"pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_mod0","tRPS3","mod0","BioRep4","2",0.19,0.876605721316035,FALSE,FALSE
"pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_mod0","tRPS3","mod0","BioRep5","2",0.105,0.929804942613162,FALSE,FALSE
"pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_mod0","tRPS3","mod0","BioRep6","2",0.155000000000001,0.898132372883934,FALSE,FALSE
"pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_mod0","tRPS3","mod0","BioRep1","1",0.110000000000001,0.92658806189037,FALSE,FALSE
"pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_mod0","tRPS3","mod0","BioRep2","1",0.165000000000001,0.891928519420092,FALSE,FALSE
"pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_mod0","tRPS3","mod0","BioRep3","1",-0.110000000000001,1.07922823650443,FALSE,FALSE
"pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_mod0","tRPS3","mod0","BioRep4","2",0.119999999999999,0.920187650624876,FALSE,FALSE
"pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_mod0","tRPS3","mod0","BioRep5","2",0.215,0.861546159712017,FALSE,FALSE
"pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_mod0","tRPS3","mod0","BioRep6","2",0.755000000000001,0.592546385470791,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modA","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_modA","tRPS3","modA","BioRep1","1",-2.705,6.520578659221,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modA","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_modA","tRPS3","modA","BioRep2","1",-2.285,4.87364105470077,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modA","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_modA","tRPS3","modA","BioRep3","1",-1.95,3.86374531569939,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modA","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_modA","tRPS3","modA","BioRep4","2",-2.84,7.16020056742378,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modA","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_modA","tRPS3","modA","BioRep5","2",-2.2,4.59479341998814,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modA","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_modA","tRPS3","modA","BioRep6","2",-2.24,4.72397064571812,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modA","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_modA","tRPS3","modA","BioRep1","1",-0.365,1.28788162950983,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modA","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_modA","tRPS3","modA","BioRep2","1",-0.0250000000000004,1.01747969210269,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modA","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_modA","tRPS3","modA","BioRep3","1",-0.0500000000000007,1.03526492384138,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modA","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_modA","tRPS3","modA","BioRep4","2",-0.15,1.10956947206785,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modA","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_modA","tRPS3","modA","BioRep5","2",-0.17,1.12505848468881,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modA","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_modA","tRPS3","modA","BioRep6","2",-0.399999999999999,1.31950791077289,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modA","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_modA","tRPS3","modA","BioRep1","1",0.0250000000000004,0.982820598545251,FALSE,FALSE
