"Include","Color","Pos","Name","Cp","Concentration","Standard","Status","Well","Cq","ExpRep","WellR","WellC","SampleID","Strain","Pro_mCh","Promoter","mCherry","BioRep","Ter_mod","Terminator","Construct","remove","Type","TechRep","TargetID","norm.by","Value.norm","Value.normexp"
TRUE,255,"A4","Sample 4",11.52,NA,0,NA,"A4",11.52,"1","A","4","pPGK1-mCherry-tRPS3_mod0_BioRep1","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep1","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","mCh-7",14.42,-2.9,7.46426393229446
TRUE,255,"B4","Sample 28",14.54,NA,0,NA,"B4",14.54,"1","B","4","pPGK1-mCherry-tRPS3_mod0_BioRep1","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep1","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","URA3-ORF",14.42,0.119999999999999,0.920187650624876
TRUE,255,"C4","Sample 52",14.65,NA,0,NA,"C4",14.65,"1","C","4","pPGK1-mCherry-tRPS3_mod0_BioRep1","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep1","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","RPS3-ORF",14.42,0.23,0.852634891767956
TRUE,255,"D4","Sample 76",14.3,NA,0,NA,"D4",14.3,"1","D","4","pPGK1-mCherry-tRPS3_mod0_BioRep1","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep1","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","PGK1-ORF",14.42,-0.119999999999999,1.08673486252606
TRUE,255,"E4","Sample 100",11.81,NA,0,NA,"E4",11.81,"1","E","4","pPGK1-mCherry-tRPS3_mod0_BioRep1","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep1","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","mCh-7",14.42,-2.61,6.10503683584223
TRUE,255,"F4","Sample 124",14.47,NA,0,NA,"F4",14.47,"1","F","4","pPGK1-mCherry-tRPS3_mod0_BioRep1","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep1","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","URA3-ORF",14.42,0.0500000000000007,0.965936328924845
TRUE,255,"G4","Sample 148",14.62,NA,0,NA,"G4",14.62,"1","G","4","pPGK1-mCherry-tRPS3_mod0_BioRep1","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep1","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","RPS3-ORF",14.42,0.199999999999999,0.870550563296125
TRUE,255,"H4","Sample 172",13.89,NA,0,NA,"H4",13.89,"1","H","4","pPGK1-mCherry-tRPS3_mod0_BioRep1","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep1","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","PGK1-ORF",14.42,-0.529999999999999,1.4439291955225
TRUE,255,"I4","Sample 196",11.78,NA,0,NA,"I4",11.78,"1","I","4","pPGK1-mCherry-tRPS3_mod0_BioRep1","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep1","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","mCh-7",14.42,-2.64,6.233316637284
TRUE,255,"J4","Sample 220",14.18,NA,0,NA,"J4",14.18,"1","J","4","pPGK1-mCherry-tRPS3_mod0_BioRep1","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep1","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","URA3-ORF",14.42,-0.24,1.18099266142953
TRUE,255,"K4","Sample 244",14.42,NA,0,NA,"K4",14.42,"1","K","4","pPGK1-mCherry-tRPS3_mod0_BioRep1","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep1","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","RPS3-ORF",14.42,0,1
TRUE,255,"L4","Sample 268",13.76,NA,0,NA,"L4",13.76,"1","L","4","pPGK1-mCherry-tRPS3_mod0_BioRep1","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep1","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","PGK1-ORF",14.42,-0.66,1.58008262372675
TRUE,255,"A5","Sample 5",11.5,NA,0,NA,"A5",11.5,"1","A","5","pPGK1-mCherry-tRPS3_mod0_BioRep2","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","mCh-7",13.5,-2,4
TRUE,255,"B5","Sample 29",13.84,NA,0,NA,"B5",13.84,"1","B","5","pPGK1-mCherry-tRPS3_mod0_BioRep2","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","URA3-ORF",13.5,0.34,0.790041311863377
TRUE,255,"C5","Sample 53",13.65,NA,0,NA,"C5",13.65,"1","C","5","pPGK1-mCherry-tRPS3_mod0_BioRep2","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","RPS3-ORF",13.5,0.15,0.90125046261083
TRUE,255,"D5","Sample 77",13.58,NA,0,NA,"D5",13.58,"1","D","5","pPGK1-mCherry-tRPS3_mod0_BioRep2","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","PGK1-ORF",13.5,0.0800000000000001,0.946057646725596
TRUE,255,"E5","Sample 101",11.57,NA,0,NA,"E5",11.57,"1","E","5","pPGK1-mCherry-tRPS3_mod0_BioRep2","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","mCh-7",13.5,-1.93,3.81055199217575
TRUE,255,"F5","Sample 125",13.55,NA,0,NA,"F5",13.55,"1","F","5","pPGK1-mCherry-tRPS3_mod0_BioRep2","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","URA3-ORF",13.5,0.0500000000000007,0.965936328924845
TRUE,255,"G5","Sample 149",13.27,NA,0,NA,"G5",13.27,"1","G","5","pPGK1-mCherry-tRPS3_mod0_BioRep2","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","RPS3-ORF",13.5,-0.23,1.17283494923188
TRUE,255,"H5","Sample 173",13.2,NA,0,NA,"H5",13.2,"1","H","5","pPGK1-mCherry-tRPS3_mod0_BioRep2","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","PGK1-ORF",13.5,-0.300000000000001,1.23114441334492
TRUE,255,"I5","Sample 197",11.35,NA,0,NA,"I5",11.35,"1","I","5","pPGK1-mCherry-tRPS3_mod0_BioRep2","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","mCh-7",13.5,-2.15,4.43827788827138
TRUE,255,"J5","Sample 221",13.43,NA,0,NA,"J5",13.43,"1","J","5","pPGK1-mCherry-tRPS3_mod0_BioRep2","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","URA3-ORF",13.5,-0.0700000000000003,1.04971668362307
TRUE,255,"K5","Sample 245",13.18,NA,0,NA,"K5",13.18,"1","K","5","pPGK1-mCherry-tRPS3_mod0_BioRep2","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","RPS3-ORF",13.5,-0.32,1.24833054890161
TRUE,255,"L5","Sample 269",13.5,NA,0,NA,"L5",13.5,"1","L","5","pPGK1-mCherry-tRPS3_mod0_BioRep2","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","PGK1-ORF",13.5,0,1
TRUE,255,"A6","Sample 6",11.75,NA,0,NA,"A6",11.75,"1","A","6","pPGK1-mCherry-tRPS3_mod0_BioRep3","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","mCh-7",13.64,-1.89,3.70635224756148
TRUE,255,"B6","Sample 30",14.38,NA,0,NA,"B6",14.38,"1","B","6","pPGK1-mCherry-tRPS3_mod0_BioRep3","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","URA3-ORF",13.64,0.74,0.598739352309464
TRUE,255,"C6","Sample 54",13.85,NA,0,NA,"C6",13.85,"1","C","6","pPGK1-mCherry-tRPS3_mod0_BioRep3","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","RPS3-ORF",13.64,0.209999999999999,0.864537231307866
TRUE,255,"D6","Sample 78",13.73,NA,0,NA,"D6",13.73,"1","D","6","pPGK1-mCherry-tRPS3_mod0_BioRep3","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","PGK1-ORF",13.64,0.0899999999999999,0.939522749214012
TRUE,255,"E6","Sample 102",11.64,NA,0,NA,"E6",11.64,"1","E","6","pPGK1-mCherry-tRPS3_mod0_BioRep3","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","mCh-7",13.64,-2,4
TRUE,255,"F6","Sample 126",13.54,NA,0,NA,"F6",13.54,"1","F","6","pPGK1-mCherry-tRPS3_mod0_BioRep3","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","URA3-ORF",13.64,-0.100000000000001,1.07177346253629
TRUE,255,"G6","Sample 150",13.64,NA,0,NA,"G6",13.64,"1","G","6","pPGK1-mCherry-tRPS3_mod0_BioRep3","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","RPS3-ORF",13.64,0,1
TRUE,255,"H6","Sample 174",13.07,NA,0,NA,"H6",13.07,"1","H","6","pPGK1-mCherry-tRPS3_mod0_BioRep3","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","PGK1-ORF",13.64,-0.57,1.48452357062905
TRUE,255,"I6","Sample 198",11,NA,0,NA,"I6",11,"1","I","6","pPGK1-mCherry-tRPS3_mod0_BioRep3","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","mCh-7",13.64,-2.64,6.233316637284
TRUE,255,"J6","Sample 222",13.33,NA,0,NA,"J6",13.33,"1","J","6","pPGK1-mCherry-tRPS3_mod0_BioRep3","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","URA3-ORF",13.64,-0.31,1.23970769993899
TRUE,255,"K6","Sample 246",13.66,NA,0,NA,"K6",13.66,"1","K","6","pPGK1-mCherry-tRPS3_mod0_BioRep3","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","RPS3-ORF",13.64,0.0199999999999996,0.986232704493359
TRUE,255,"L6","Sample 270",13.37,NA,0,NA,"L6",13.37,"1","L","6","pPGK1-mCherry-tRPS3_mod0_BioRep3","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","PGK1-ORF",13.64,-0.270000000000001,1.20580782769076
TRUE,255,"A4","Sample 4",10.58,NA,0,NA,"A4",10.58,"2","A","4","pPGK1-mCherry-tRPS3_mod0_BioRep4","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep4","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","mCh-7",13.71,-3.13,8.75434961008592
TRUE,255,"B4","Sample 28",13.71,NA,0,NA,"B4",13.71,"2","B","4","pPGK1-mCherry-tRPS3_mod0_BioRep4","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep4","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","URA3-ORF",13.71,0,1
TRUE,255,"C4","Sample 52",13.94,NA,0,NA,"C4",13.94,"2","C","4","pPGK1-mCherry-tRPS3_mod0_BioRep4","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep4","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","RPS3-ORF",13.71,0.229999999999999,0.852634891767957
TRUE,255,"D4","Sample 76",13.45,NA,0,NA,"D4",13.45,"2","D","4","pPGK1-mCherry-tRPS3_mod0_BioRep4","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep4","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","PGK1-ORF",13.71,-0.260000000000002,1.19747870461893
TRUE,255,"E4","Sample 100",11.27,NA,0,NA,"E4",11.27,"2","E","4","pPGK1-mCherry-tRPS3_mod0_BioRep4","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep4","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","mCh-7",13.71,-2.44,5.42641730979069
TRUE,255,"F4","Sample 124",13.74,NA,0,NA,"F4",13.74,"2","F","4","pPGK1-mCherry-tRPS3_mod0_BioRep4","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep4","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","URA3-ORF",13.71,0.0299999999999994,0.979420297586927
TRUE,255,"G4","Sample 148",13.81,NA,0,NA,"G4",13.81,"2","G","4","pPGK1-mCherry-tRPS3_mod0_BioRep4","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep4","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","RPS3-ORF",13.71,0.0999999999999996,0.933032991536808
TRUE,255,"H4","Sample 172",13.55,NA,0,NA,"H4",13.55,"2","H","4","pPGK1-mCherry-tRPS3_mod0_BioRep4","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep4","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","PGK1-ORF",13.71,-0.16,1.11728713807222
TRUE,255,"I4","Sample 196",10.98,NA,0,NA,"I4",10.98,"2","I","4","pPGK1-mCherry-tRPS3_mod0_BioRep4","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep4","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","mCh-7",13.71,-2.73,6.63455636651554
TRUE,255,"J4","Sample 220",13.77,NA,0,NA,"J4",13.77,"2","J","4","pPGK1-mCherry-tRPS3_mod0_BioRep4","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep4","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","URA3-ORF",13.71,0.0599999999999987,0.959264119325265
TRUE,255,"K4","Sample 244",13.69,NA,0,NA,"K4",13.69,"2","K","4","pPGK1-mCherry-tRPS3_mod0_BioRep4","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep4","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","RPS3-ORF",13.71,-0.0200000000000014,1.01395947979003
TRUE,255,"L4","Sample 268",13.42,NA,0,NA,"L4",13.42,"2","L","4","pPGK1-mCherry-tRPS3_mod0_BioRep4","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep4","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","PGK1-ORF",13.71,-0.290000000000001,1.22264027769207
TRUE,255,"A5","Sample 5",11.62,NA,0,NA,"A5",11.62,"2","A","5","pPGK1-mCherry-tRPS3_mod0_BioRep5","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep5","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","mCh-7",13.75,-2.13,4.37717480504296
TRUE,255,"B5","Sample 29",14.41,NA,0,NA,"B5",14.41,"2","B","5","pPGK1-mCherry-tRPS3_mod0_BioRep5","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep5","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","URA3-ORF",13.75,0.66,0.63287829698514
TRUE,255,"C5","Sample 53",13.79,NA,0,NA,"C5",13.79,"2","C","5","pPGK1-mCherry-tRPS3_mod0_BioRep5","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep5","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","RPS3-ORF",13.75,0.0399999999999991,0.972654947412286
TRUE,255,"D5","Sample 77",13.39,NA,0,NA,"D5",13.39,"2","D","5","pPGK1-mCherry-tRPS3_mod0_BioRep5","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep5","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","PGK1-ORF",13.75,-0.359999999999999,1.2834258975629
TRUE,255,"E5","Sample 101",11.62,NA,0,NA,"E5",11.62,"2","E","5","pPGK1-mCherry-tRPS3_mod0_BioRep5","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep5","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","mCh-7",13.75,-2.13,4.37717480504296
TRUE,255,"F5","Sample 125",13.81,NA,0,NA,"F5",13.81,"2","F","5","pPGK1-mCherry-tRPS3_mod0_BioRep5","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep5","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","URA3-ORF",13.75,0.0600000000000005,0.959264119325264
TRUE,255,"G5","Sample 149",13.53,NA,0,NA,"G5",13.53,"2","G","5","pPGK1-mCherry-tRPS3_mod0_BioRep5","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep5","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","RPS3-ORF",13.75,-0.220000000000001,1.16473358646846
TRUE,255,"H5","Sample 173",13.53,NA,0,NA,"H5",13.53,"2","H","5","pPGK1-mCherry-tRPS3_mod0_BioRep5","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep5","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","PGK1-ORF",13.75,-0.220000000000001,1.16473358646846
TRUE,255,"I5","Sample 197",11.39,NA,0,NA,"I5",11.39,"2","I","5","pPGK1-mCherry-tRPS3_mod0_BioRep5","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep5","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","mCh-7",13.75,-2.36,5.13370359025161
TRUE,255,"J5","Sample 221",13.85,NA,0,NA,"J5",13.85,"2","J","5","pPGK1-mCherry-tRPS3_mod0_BioRep5","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep5","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","URA3-ORF",13.75,0.0999999999999996,0.933032991536808
