"Include","Color","Pos","Name","Cp","Concentration","Standard","Status","Well","Cq","ExpRep","WellR","WellC","SampleID","Strain","Pro_mCh","Promoter","mCherry","Ter_mod","Terminator","Construct","BioRep","remove","Type","TechRep","TargetID","norm.by","Value.norm","Value.normexp","Value.norm.mod0"
TRUE,255,"A4","Sample 4",11.52,NA,0,NA,"A4",11.52,"1","A","4","pRPS3-mCherry-tRPS3_mod0_BioRep1","pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","tRPS3_mod0","tRPS3","mod0","BioRep1",FALSE,"+RT","1","mCh-7",11.31,0.209999999999999,0.864537231307866,1.075
TRUE,255,"E4","Sample 100",11.5,NA,0,NA,"E4",11.5,"1","E","4","pRPS3-mCherry-tRPS3_mod0_BioRep1","pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","tRPS3_mod0","tRPS3","mod0","BioRep1",FALSE,"+RT","2","mCh-7",11.31,0.19,0.876605721316035,1.055
TRUE,255,"I4","Sample 196",11.19,NA,0,NA,"I4",11.19,"1","I","4","pRPS3-mCherry-tRPS3_mod0_BioRep1","pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","tRPS3_mod0","tRPS3","mod0","BioRep1",FALSE,"+RT","3","mCh-7",11.31,-0.120000000000001,1.08673486252606,0.744999999999998
TRUE,255,"A5","Sample 5",9.76,NA,0,NA,"A5",9.76,"1","A","5","pRPS3-mCherry-tRPS3_mod0_BioRep2","pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","tRPS3_mod0","tRPS3","mod0","BioRep2",FALSE,"+RT","1","mCh-7",10.78,-1.02,2.02791895958006,-0.155
TRUE,255,"E5","Sample 101",10.32,NA,0,NA,"E5",10.32,"1","E","5","pRPS3-mCherry-tRPS3_mod0_BioRep2","pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","tRPS3_mod0","tRPS3","mod0","BioRep2",FALSE,"+RT","2","mCh-7",10.78,-0.459999999999999,1.37554181813974,0.405
TRUE,255,"I5","Sample 197",9.88,NA,0,NA,"I5",9.88,"1","I","5","pRPS3-mCherry-tRPS3_mod0_BioRep2","pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","tRPS3_mod0","tRPS3","mod0","BioRep2",FALSE,"+RT","3","mCh-7",10.78,-0.899999999999999,1.86606598307361,-0.0349999999999993
TRUE,255,"A6","Sample 6",11.3,NA,0,NA,"A6",11.3,"1","A","6","pRPS3-mCherry-tRPS3_mod0_BioRep3","pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","tRPS3_mod0","tRPS3","mod0","BioRep3",FALSE,"+RT","1","mCh-7",11.65,-0.35,1.27456062731926,0.515
TRUE,255,"E6","Sample 102",11.21,NA,0,NA,"E6",11.21,"1","E","6","pRPS3-mCherry-tRPS3_mod0_BioRep3","pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","tRPS3_mod0","tRPS3","mod0","BioRep3",FALSE,"+RT","2","mCh-7",11.65,-0.44,1.35660432744767,0.425
TRUE,255,"I6","Sample 198",10.56,NA,0,NA,"I6",10.56,"1","I","6","pRPS3-mCherry-tRPS3_mod0_BioRep3","pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","tRPS3_mod0","tRPS3","mod0","BioRep3",FALSE,"+RT","3","mCh-7",11.65,-1.09,2.12874036490672,-0.225000000000001
TRUE,255,"A4","Sample 4",12.87,NA,0,NA,"A4",12.87,"2","A","4","pRPS3-mCherry-tRPS3_mod0_BioRep4","pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","tRPS3_mod0","tRPS3","mod0","BioRep4",FALSE,"+RT","1","mCh-7",14.61,-1.74,3.34035167771348,-0.875000000000001
