"Strain","Pro_mCh","Promoter","mCherry","Ter_length","Terminator","Length","TargetID","BioRep","ExpRep","Median_deltaCq","RNA_Abundance","na.rm","remove"
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","mCh-7","BioRep1","1",-1.51,2.84810039119414,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","mCh-7","BioRep2","1",-0.91,1.87904549842802,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","mCh-7","BioRep3","1",-0.939999999999998,1.91852823865053,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","mCh-7","BioRep4","2",-1.085,2.12137548273643,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","mCh-7","BioRep5","2",-0.57,1.48452357062905,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","mCh-7","BioRep6","2",-1.11,2.15845647300886,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","PGK1-ORF","BioRep1","1",-0.69,1.61328351844425,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","PGK1-ORF","BioRep2","1",-0.23,1.17283494923188,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","PGK1-ORF","BioRep3","1",-0.299999999999999,1.23114441334492,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","PGK1-ORF","BioRep4","2",-0.354999999999999,1.27898558127743,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","PGK1-ORF","BioRep5","2",-0.5,1.4142135623731,FALSE,FALSE
