,strain,c-mCherry-100 per OD at max local gr
0,Null,
1,POT1-ccdB_biorep2,17.351972106570038
2,pCLN2-mCherry-tCLN2_biorep2,101.9966351861644
3,pCLN2-mCherry-tHSP26_biorep2,29.31376648087096
4,pCLN2-mCherry-tPAB1_biorep2,67.67250814444873
5,pCLN2-mCherry-tPGK1_biorep2,95.65466504713868
6,pCLN2-mCherry-tPMA1_biorep2,30.357991877831537
7,pCLN2-mCherry-tRPS13_biorep2,56.00726213541907
8,pCLN2-mCherry-tRPS3_biorep2,26.193788668508823
9,pCLN2-mCherry-tSRO9_biorep2,30.78079733632805
10,pCLN2-mCherry-tSUN4_biorep2,5.610756873694133
11,pCLN2-mCherry-tTOS6_biorep2,55.12701223036272
12,pHSP26-mCherry-tCLN2_biorep2,22132.89004209701
13,pHSP26-mCherry-tHSP26_biorep2,25444.037217427092
14,pHSP26-mCherry-tPAB1_biorep2,11985.346911992203
15,pHSP26-mCherry-tPGK1_biorep2,14275.145337345959
16,pHSP26-mCherry-tPMA1_biorep2,5649.5749288505995
17,pHSP26-mCherry-tRPS13_biorep2,17285.62872836047
18,pHSP26-mCherry-tRPS3_biorep2,20635.316758232795
19,pHSP26-mCherry-tSRO9_biorep2,9229.911255208024
20,pHSP26-mCherry-tSUN4_biorep2,8218.394787180276
21,pPGK1-mCherry-tCLN2_biorep2,6644.358952351876
22,pPGK1-mCherry-tHSP26_biorep2,5629.291070959885
23,pPGK1-mCherry-tPAB1_biorep2,5260.500419466018
24,pPGK1-mCherry-tPGK1_biorep2,5635.339632770576
25,pPGK1-mCherry-tPMA1_biorep2,1647.1750108924666
26,pPGK1-mCherry-tRPS13_biorep2,4458.901867654827
27,pPGK1-mCherry-tRPS3_biorep2,5248.628802952
28,pPGK1-mCherry-tSRO9_biorep2,2054.696872759585
29,pPGK1-mCherry-tSUN4_biorep2,2353.3904012664725
30,pPGK1-mCherry-tTOS6_biorep2,2372.04634014999
31,pRPS13-mCherry-tCLN2_biorep2,6413.874214377388
32,pRPS13-mCherry-tHSP26_biorep2,5135.430783670946
33,pRPS13-mCherry-tPAB1_biorep2,5907.783339937691
34,pRPS13-mCherry-tPGK1_biorep2,4139.72662267506
35,pRPS13-mCherry-tPMA1_biorep2,1104.2278749308011
36,pRPS13-mCherry-tRPS13_biorep2,5186.536181754581
37,pRPS13-mCherry-tRPS3_biorep2,6250.557403334099
38,pRPS13-mCherry-tSRO9_biorep2,2074.226186577956
39,pRPS13-mCherry-tSUN4_biorep2,1781.8052726725168
40,pRPS13-mCherry-tTOS6_biorep2,1993.9095254925965
41,pRPS3-mCherry-tCLN2_biorep2,4745.102342437243
42,pRPS3-mCherry-tHSP26_biorep2,2318.252544620445
43,pRPS3-mCherry-tPAB1_biorep2,6363.304614973233
44,pRPS3-mCherry-tPGK1_biorep2,3283.2732414254915
45,pRPS3-mCherry-tPMA1_biorep2,935.87204069027
46,pRPS3-mCherry-tRPS13_biorep2,5136.670732267903
47,pRPS3-mCherry-tRPS3_biorep2,6694.095437294593
48,pRPS3-mCherry-tSRO9_biorep2,1420.0593916346995
49,pRPS3-mCherry-tSUN4_biorep2,1135.3200183517988
50,pRPS3-mCherry-tTOS6_biorep2,1724.359893956492
51,pSRO9-mCherry-tCLN2_biorep2,51.2578715822081
52,pSRO9-mCherry-tHSP26_biorep2,4.4725925728981
53,pSRO9-mCherry-tPAB1_biorep2,28.65059055629895
54,pSRO9-mCherry-tPGK1_biorep2,-41.67010522377008
55,pSRO9-mCherry-tPMA1_biorep2,28.02281787869239
56,pSRO9-mCherry-tRPS13_biorep2,47.945091441626516
57,pSRO9-mCherry-tRPS3_biorep2,5.174130795406166
58,pSRO9-mCherry-tSRO9_biorep2,27.88528154864252
59,pSRO9-mCherry-tSUN4_biorep2,26.322032054565458
60,pSRO9-mCherry-tTOS6_biorep2,4.9225978155086505
