,strain,c-mTurq-60 per OD at max local gr
0,Null,
1,POT1-ccdB,-10.490055935420598
2,pCLN2-mTurq-tCLN2,109.50092346944301
3,pCLN2-mTurq-tHSP26,178.46813429768892
4,pCLN2-mTurq-tPAB1,140.68892835497127
5,pCLN2-mTurq-tPGK1,123.23980043954907
6,pCLN2-mTurq-tPMA1_long,29.760364497199888
7,pCLN2-mTurq-tRPS13,103.5704476078205
8,pCLN2-mTurq-tRPS3,191.2889721451492
9,pCLN2-mTurq-tSRO9_long,17.08193331054113
10,pCLN2-mTurq-tSUN4,49.31544467080197
11,pCLN2-mTurq-tTOS6,58.94244351319961
12,pHSP26-mTurq-tCLN2,8298.145587845562
13,pHSP26-mTurq-tHSP26,9039.573034032463
14,pHSP26-mTurq-tPAB1,9205.759044475657
15,pHSP26-mTurq-tPGK1,8089.719389417143
16,pHSP26-mTurq-tPMA1_long,2408.840268721466
17,pHSP26-mTurq-tRPS13,6935.013822062835
18,pHSP26-mTurq-tRPS3,7970.054804484
19,pHSP26-mTurq-tSRO9_long,2961.37347921324
20,pHSP26-mTurq-tSUN4,3463.7304931520157
21,pHSP26-mTurq-tTOS6,4311.116278032633
22,pPGK1-mTurq-tCLN2,6321.34535846577
23,pPGK1-mTurq-tHSP26,6156.4140435368145
24,pPGK1-mTurq-tPAB1,9185.382764034757
25,pPGK1-mTurq-tPGK1,7206.465312277155
26,pPGK1-mTurq-tPMA1_long,1028.0406384241637
27,pPGK1-mTurq-tRPS13,5846.445947828404
28,pPGK1-mTurq-tRPS3,7092.561258910867
29,pPGK1-mTurq-tSRO9_long,3198.9443023313956
30,pPGK1-mTurq-tSUN4,2554.1370414026587
31,pPGK1-mTurq-tTOS6,4170.227976468973
32,pRPS13-mTurq-tCLN2,4705.839842931167
33,pRPS13-mTurq-tHSP26,4419.312147251479
34,pRPS13-mTurq-tPAB1,6015.304216657292
35,pRPS13-mTurq-tPGK1,4205.150806919328
36,pRPS13-mTurq-tPMA1_long,966.5527513718578
37,pRPS13-mTurq-tRPS13,4187.455739682391
38,pRPS13-mTurq-tRPS3,5039.4861615387335
39,pRPS13-mTurq-tSRO9_long,2564.2805345140355
40,pRPS13-mTurq-tSUN4,1156.0771381424734
41,pRPS13-mTurq-tTOS6,1655.6075478830744
42,pRPS3-mTurq-tCLN2,5109.826975448085
43,pRPS3-mTurq-tHSP26,4608.330413883148
44,pRPS3-mTurq-tPAB1,8845.574856955789
45,pRPS3-mTurq-tPGK1,3949.741412428322
46,pRPS3-mTurq-tPMA1_long,794.3035014208082
47,pRPS3-mTurq-tRPS13,3843.947890374053
48,pRPS3-mTurq-tRPS3,5239.113785093853
49,pRPS3-mTurq-tSRO9_long,2537.666912428638
50,pRPS3-mTurq-tSUN4,1178.986177353111
51,pRPS3-mTurq-tTOS6,1546.4867592874102
52,pSRO9-mTurq-tCLN2,777.9270458335508
53,pSRO9-mTurq-tHSP26,786.2558628406764
54,pSRO9-mTurq-tPAB1,907.6024676687215
55,pSRO9-mTurq-tPGK1,593.4141900999035
56,pSRO9-mTurq-tPMA1_long,175.51393784537245
57,pSRO9-mTurq-tRPS13,1080.1019916662904
58,pSRO9-mTurq-tRPS3,903.0823350216514
59,pSRO9-mTurq-tSRO9_long,317.95421392145715
60,pSRO9-mTurq-tSUN4,157.78273873230273
61,pSRO9-mTurq-tTOS6,322.40448851071613
