,experiment,strain,c_mCherry_100_per_OD_at_max_local_gr
0,20201202_pPIR1_tPIR1_n1/20201202-pPIR1-tPIR1mod_n1,POT1-ccdB clone 1,-0.3423462256575007
1,20201202_pPIR1_tPIR1_n1/20201202-pPIR1-tPIR1mod_n1,POT1-ccdB clone 2,-12.590095483289234
2,20201202_pPIR1_tPIR1_n1/20201202-pPIR1-tPIR1mod_n1,POT1-ccdB clone 3,-12.881538299259386
3,20201202_pPIR1_tPIR1_n1/20201202-pPIR1-tPIR1mod_n1,null,
4,20201202_pPIR1_tPIR1_n1/20201202-pPIR1-tPIR1mod_n1,tPIR1-WT clone 1,799.6754292589245
5,20201202_pPIR1_tPIR1_n1/20201202-pPIR1-tPIR1mod_n1,tPIR1-WT clone 2,728.1184026378784
6,20201202_pPIR1_tPIR1_n1/20201202-pPIR1-tPIR1mod_n1,tPIR1-WT clone 3,825.9134301992959
7,20201202_pPIR1_tPIR1_n1/20201202-pPIR1-tPIR1mod_n1,tPIR1-modA clone 1,1286.0837036423102
8,20201202_pPIR1_tPIR1_n1/20201202-pPIR1-tPIR1mod_n1,tPIR1-modA clone 2,1198.8246201425918
9,20201202_pPIR1_tPIR1_n1/20201202-pPIR1-tPIR1mod_n1,tPIR1-modA clone 3,1291.9491705874277
10,20201202_pPIR1_tPIR1_n1/20201202-pPIR1-tPIR1mod_n1,tPIR1-modB clone 1,1136.9179714056777
11,20201202_pPIR1_tPIR1_n1/20201202-pPIR1-tPIR1mod_n1,tPIR1-modB clone 2,1157.3998015514971
12,20201202_pPIR1_tPIR1_n1/20201202-pPIR1-tPIR1mod_n1,tPIR1-modB clone 3,1100.8179908707527
13,20201202_pPIR1_tPIR1_n1/20201202-pPIR1-tPIR1mod_n1,tPIR1-modC clone 1,1019.9273956312026
14,20201202_pPIR1_tPIR1_n1/20201202-pPIR1-tPIR1mod_n1,tPIR1-modC clone 2,1086.6518169604315
15,20201202_pPIR1_tPIR1_n1/20201202-pPIR1-tPIR1mod_n1,tPIR1-modC clone 3,849.880215426037
16,20201202_pPIR1_tPIR1_n1/20201202-pPIR1-tPIR1mod_n1,tPIR1-modD clone 1,850.2548033179722
17,20201202_pPIR1_tPIR1_n1/20201202-pPIR1-tPIR1mod_n1,tPIR1-modD clone 2,339.2538379105557
18,20201202_pPIR1_tPIR1_n1/20201202-pPIR1-tPIR1mod_n1,tPIR1-modD clone 3,705.2915489448343
19,20201202_pPIR1_tPIR1_n1/20201202-pPIR1-tPIR1mod_n1,tPIR1-modE clone 1,931.5543811547066
20,20201202_pPIR1_tPIR1_n1/20201202-pPIR1-tPIR1mod_n1,tPIR1-modE clone 2,801.7539707995177
21,20201202_pPIR1_tPIR1_n1/20201202-pPIR1-tPIR1mod_n1,tPIR1-modE clone 3,955.3688746460964
22,20201202_pPIR1_tPIR1_n1/20201202-pPIR1-tPIR1mod_n1,tPIR1-modF clone 1,2007.3816326158724
23,20201202_pPIR1_tPIR1_n1/20201202-pPIR1-tPIR1mod_n1,tPIR1-modF clone 2,1887.3715038490163
24,20201202_pPIR1_tPIR1_n1/20201202-pPIR1-tPIR1mod_n1,tPIR1-modF clone 3,1880.081261769712
