,experiment,strain,c_mCherry_100_per_OD_at_max_local_gr
0,20200912-pRPS3-tRPS3_n1/20200913-pRPS3-tRPS3mod_n1,POT1-ccdB_clone_1,-1.3606180131177212
1,20200912-pRPS3-tRPS3_n1/20200913-pRPS3-tRPS3mod_n1,POT1-ccdB_clone_2,5.738960305198566
2,20200912-pRPS3-tRPS3_n1/20200913-pRPS3-tRPS3mod_n1,POT1-ccdB_clone_3,6.424054019472671
3,20200912-pRPS3-tRPS3_n1/20200913-pRPS3-tRPS3mod_n1,null,
4,20200912-pRPS3-tRPS3_n1/20200913-pRPS3-tRPS3mod_n1,tRPS3-200bp-mod0_clone_1,5148.6556446587565
5,20200912-pRPS3-tRPS3_n1/20200913-pRPS3-tRPS3mod_n1,tRPS3-200bp-mod0_clone_2,5307.6212402805595
6,20200912-pRPS3-tRPS3_n1/20200913-pRPS3-tRPS3mod_n1,tRPS3-200bp-mod0_clone_3,5988.870394023163
7,20200912-pRPS3-tRPS3_n1/20200913-pRPS3-tRPS3mod_n1,tRPS3-200bp-modA_clone_1,3737.027331533029
8,20200912-pRPS3-tRPS3_n1/20200913-pRPS3-tRPS3mod_n1,tRPS3-200bp-modA_clone_2,3501.9584286842837
9,20200912-pRPS3-tRPS3_n1/20200913-pRPS3-tRPS3mod_n1,tRPS3-200bp-modA_clone_3,4354.001101857868
10,20200912-pRPS3-tRPS3_n1/20200913-pRPS3-tRPS3mod_n1,tRPS3-200bp-modB_clone_1,2566.065734572638
11,20200912-pRPS3-tRPS3_n1/20200913-pRPS3-tRPS3mod_n1,tRPS3-200bp-modB_clone_2,2744.475027333126
12,20200912-pRPS3-tRPS3_n1/20200913-pRPS3-tRPS3mod_n1,tRPS3-200bp-modB_clone_3,2641.2707358603134
13,20200912-pRPS3-tRPS3_n1/20200913-pRPS3-tRPS3mod_n1,tRPS3-200bp-modC_clone_1,5372.417051983365
14,20200912-pRPS3-tRPS3_n1/20200913-pRPS3-tRPS3mod_n1,tRPS3-200bp-modC_clone_2,6670.177282544919
15,20200912-pRPS3-tRPS3_n1/20200913-pRPS3-tRPS3mod_n1,tRPS3-200bp-modC_clone_3,5521.017452926859
16,20200912-pRPS3-tRPS3_n1/20200913-pRPS3-tRPS3mod_n1,tRPS3-200bp-modD_clone_1,2929.560299753626
17,20200912-pRPS3-tRPS3_n1/20200913-pRPS3-tRPS3mod_n1,tRPS3-200bp-modD_clone_2,2861.906655436724
18,20200912-pRPS3-tRPS3_n1/20200913-pRPS3-tRPS3mod_n1,tRPS3-200bp-modD_clone_3,2634.9273110382023
19,20200912-pRPS3-tRPS3_n1/20200913-pRPS3-tRPS3mod_n1,tRPS3-200bp-modE_clone_1,2070.591486766509
20,20200912-pRPS3-tRPS3_n1/20200913-pRPS3-tRPS3mod_n1,tRPS3-200bp-modE_clone_2,2471.463115994265
21,20200912-pRPS3-tRPS3_n1/20200913-pRPS3-tRPS3mod_n1,tRPS3-200bp-modE_clone_3,2423.1403561791967
22,20200912-pRPS3-tRPS3_n1/20200913-pRPS3-tRPS3mod_n1,tRPS3-WT-200bp_clone_1,6698.036661563315
23,20200912-pRPS3-tRPS3_n1/20200913-pRPS3-tRPS3mod_n1,tRPS3-WT-200bp_clone_2,7712.612842715103
24,20200912-pRPS3-tRPS3_n1/20200913-pRPS3-tRPS3mod_n1,tRPS3-WT-200bp_clone_3,6613.732607772471
25,20200924-pRPS3-tRPS3_n2/20200924-pRPS3-tRPS3mod_n2,POT1-ccdB_clone_1,-21.734137182812685
26,20200924-pRPS3-tRPS3_n2/20200924-pRPS3-tRPS3mod_n2,POT1-ccdB_clone_2,27.109808466385097
27,20200924-pRPS3-tRPS3_n2/20200924-pRPS3-tRPS3mod_n2,POT1-ccdB_clone_3,11.752728479935923
28,20200924-pRPS3-tRPS3_n2/20200924-pRPS3-tRPS3mod_n2,null,
29,20200924-pRPS3-tRPS3_n2/20200924-pRPS3-tRPS3mod_n2,tRPS3-200bp-mod0_clone_1,4089.392766608221
30,20200924-pRPS3-tRPS3_n2/20200924-pRPS3-tRPS3mod_n2,tRPS3-200bp-mod0_clone_2,4789.545785960538
31,20200924-pRPS3-tRPS3_n2/20200924-pRPS3-tRPS3mod_n2,tRPS3-200bp-mod0_clone_3,4699.832356486795
32,20200924-pRPS3-tRPS3_n2/20200924-pRPS3-tRPS3mod_n2,tRPS3-200bp-modA_clone_1,4193.335074458193
33,20200924-pRPS3-tRPS3_n2/20200924-pRPS3-tRPS3mod_n2,tRPS3-200bp-modA_clone_2,3901.380937233058
34,20200924-pRPS3-tRPS3_n2/20200924-pRPS3-tRPS3mod_n2,tRPS3-200bp-modA_clone_3,4389.064980828362
35,20200924-pRPS3-tRPS3_n2/20200924-pRPS3-tRPS3mod_n2,tRPS3-200bp-modB_clone_1,2435.4940071413653
36,20200924-pRPS3-tRPS3_n2/20200924-pRPS3-tRPS3mod_n2,tRPS3-200bp-modB_clone_2,1930.989229190232
37,20200924-pRPS3-tRPS3_n2/20200924-pRPS3-tRPS3mod_n2,tRPS3-200bp-modB_clone_3,2209.5134722929033
38,20200924-pRPS3-tRPS3_n2/20200924-pRPS3-tRPS3mod_n2,tRPS3-200bp-modC_clone_1,5230.471777283182
39,20200924-pRPS3-tRPS3_n2/20200924-pRPS3-tRPS3mod_n2,tRPS3-200bp-modC_clone_2,4797.707643975915
40,20200924-pRPS3-tRPS3_n2/20200924-pRPS3-tRPS3mod_n2,tRPS3-200bp-modC_clone_3,4273.634341498595
41,20200924-pRPS3-tRPS3_n2/20200924-pRPS3-tRPS3mod_n2,tRPS3-200bp-modD_clone_1,2918.2827944064115
42,20200924-pRPS3-tRPS3_n2/20200924-pRPS3-tRPS3mod_n2,tRPS3-200bp-modD_clone_2,3198.4899101376504
43,20200924-pRPS3-tRPS3_n2/20200924-pRPS3-tRPS3mod_n2,tRPS3-200bp-modD_clone_3,3101.828246441572
44,20200924-pRPS3-tRPS3_n2/20200924-pRPS3-tRPS3mod_n2,tRPS3-200bp-modE_clone_1,1994.5379288269012
45,20200924-pRPS3-tRPS3_n2/20200924-pRPS3-tRPS3mod_n2,tRPS3-200bp-modE_clone_2,2125.9298499122733
46,20200924-pRPS3-tRPS3_n2/20200924-pRPS3-tRPS3mod_n2,tRPS3-200bp-modE_clone_3,2477.641357434646
47,20200924-pRPS3-tRPS3_n2/20200924-pRPS3-tRPS3mod_n2,tRPS3-WT-200bp_clone_1,6430.5409877867705
48,20200924-pRPS3-tRPS3_n2/20200924-pRPS3-tRPS3mod_n2,tRPS3-WT-200bp_clone_2,7614.084303081829
49,20200924-pRPS3-tRPS3_n2/20200924-pRPS3-tRPS3mod_n2,tRPS3-WT-200bp_clone_3,7784.49266362458
