,experiment,strain,c_mCherry_100_per_OD_at_max_local_gr
0,20201028-pTSA1-tTSA1_n1/20201028-pTSA1-tTSA1mod_n1,POT1-ccdB clone 1,-60.618032306281954
1,20201028-pTSA1-tTSA1_n1/20201028-pTSA1-tTSA1mod_n1,POT1-ccdB clone 2,-76.00297691123487
2,20201028-pTSA1-tTSA1_n1/20201028-pTSA1-tTSA1mod_n1,POT1-ccdB clone 3,8.001791805573163
3,20201028-pTSA1-tTSA1_n1/20201028-pTSA1-tTSA1mod_n1,null,
4,20201028-pTSA1-tTSA1_n1/20201028-pTSA1-tTSA1mod_n1,tTSA1-200bp-mod0 clone 1,8096.549641924097
5,20201028-pTSA1-tTSA1_n1/20201028-pTSA1-tTSA1mod_n1,tTSA1-200bp-mod0 clone 2,7860.801978726757
6,20201028-pTSA1-tTSA1_n1/20201028-pTSA1-tTSA1mod_n1,tTSA1-200bp-mod0 clone 3,7514.069227823537
7,20201028-pTSA1-tTSA1_n1/20201028-pTSA1-tTSA1mod_n1,tTSA1-200bp-modA clone 1,3322.0255339568025
8,20201028-pTSA1-tTSA1_n1/20201028-pTSA1-tTSA1mod_n1,tTSA1-200bp-modA clone 2,3176.410633150005
9,20201028-pTSA1-tTSA1_n1/20201028-pTSA1-tTSA1mod_n1,tTSA1-200bp-modA clone 3,3594.999554145718
10,20201028-pTSA1-tTSA1_n1/20201028-pTSA1-tTSA1mod_n1,tTSA1-200bp-modB clone 1,8102.604314343694
11,20201028-pTSA1-tTSA1_n1/20201028-pTSA1-tTSA1mod_n1,tTSA1-200bp-modB clone 2,8828.212970974137
12,20201028-pTSA1-tTSA1_n1/20201028-pTSA1-tTSA1mod_n1,tTSA1-200bp-modB clone 3,9227.332031587694
13,20201028-pTSA1-tTSA1_n1/20201028-pTSA1-tTSA1mod_n1,tTSA1-200bp-modC clone 1,10151.28699011656
14,20201028-pTSA1-tTSA1_n1/20201028-pTSA1-tTSA1mod_n1,tTSA1-200bp-modC clone 2,10254.90094440669
15,20201028-pTSA1-tTSA1_n1/20201028-pTSA1-tTSA1mod_n1,tTSA1-200bp-modC clone 3,10545.59767603391
16,20201028-pTSA1-tTSA1_n1/20201028-pTSA1-tTSA1mod_n1,tTSA1-200bp-modD clone 1,6205.193839981699
17,20201028-pTSA1-tTSA1_n1/20201028-pTSA1-tTSA1mod_n1,tTSA1-200bp-modD clone 2,6994.266384829315
18,20201028-pTSA1-tTSA1_n1/20201028-pTSA1-tTSA1mod_n1,tTSA1-200bp-modD clone 3,5918.409666746337
19,20201028-pTSA1-tTSA1_n1/20201028-pTSA1-tTSA1mod_n1,tTSA1-200bp-modE clone 1,3855.457265401738
20,20201028-pTSA1-tTSA1_n1/20201028-pTSA1-tTSA1mod_n1,tTSA1-200bp-modE clone 2,3938.281133622139
21,20201028-pTSA1-tTSA1_n1/20201028-pTSA1-tTSA1mod_n1,tTSA1-200bp-modE clone 3,4308.684662636414
22,20201028-pTSA1-tTSA1_n1/20201028-pTSA1-tTSA1mod_n1,tTSA1-WT-200bp clone 1,6241.533646741747
23,20201028-pTSA1-tTSA1_n1/20201028-pTSA1-tTSA1mod_n1,tTSA1-WT-200bp clone 2,6867.99877726906
24,20201028-pTSA1-tTSA1_n1/20201028-pTSA1-tTSA1mod_n1,tTSA1-WT-200bp clone 3,6723.318968654568
25,20201104-pTSA1-tTSA1_n2/20201104-pTSA1-tTSA1mod_n2,POT1-ccdB clone 1,1.9166841098470548
26,20201104-pTSA1-tTSA1_n2/20201104-pTSA1-tTSA1mod_n2,POT1-ccdB clone 2,-5.122780502055949
27,20201104-pTSA1-tTSA1_n2/20201104-pTSA1-tTSA1mod_n2,POT1-ccdB clone 3,-16.71441403054917
28,20201104-pTSA1-tTSA1_n2/20201104-pTSA1-tTSA1mod_n2,null,
