,experiment,strain,max gr,time of max gr
0,20200929-pro-mCherry-ter_swaps_n1,POT1-ccdB_biorep1,0.35598521403313044,2.6688341666666675
1,20200929-pro-mCherry-ter_swaps_n1,null,,
2,20200929-pro-mCherry-ter_swaps_n1,pCLN2-mCherry-tCLN2_biorep1,0.36180112594972075,2.4104218518518525
3,20200929-pro-mCherry-ter_swaps_n1,pCLN2-mCherry-tHSP26_biorep1,0.35498457678853435,2.9568962962962964
4,20200929-pro-mCherry-ter_swaps_n1,pCLN2-mCherry-tPAB1_biorep1,0.35484479024441995,2.848875185185185
5,20200929-pro-mCherry-ter_swaps_n1,pCLN2-mCherry-tPGK1_biorep1,0.3554815131824967,3.045856111111112
6,20200929-pro-mCherry-ter_swaps_n1,pCLN2-mCherry-tPMA1_biorep1,0.3594546766176586,2.4739682407407413
7,20200929-pro-mCherry-ter_swaps_n1,pCLN2-mCherry-tRPS13_biorep1,0.35634329559099576,2.4654954629629633
8,20200929-pro-mCherry-ter_swaps_n1,pCLN2-mCherry-tRPS3_biorep1,0.3527195859063955,2.9399520370370373
9,20200929-pro-mCherry-ter_swaps_n1,pCLN2-mCherry-tSRO9_biorep1,0.34586839199765257,2.539629814814815
10,20200929-pro-mCherry-ter_swaps_n1,pCLN2-mCherry-tSUN4_biorep1,0.3445726821057709,2.8298093518518517
11,20200929-pro-mCherry-ter_swaps_n1,pCLN2-mCherry-tTOS6_biorep1,0.3488531993321446,2.5629297222222225
12,20200929-pro-mCherry-ter_swaps_n1,pHSP26-mCherry-tCLN2_biorep1,0.3465309614339901,2.901825185185185
13,20200929-pro-mCherry-ter_swaps_n1,pHSP26-mCherry-tHSP26_biorep1,0.352692767335037,2.7069611111111116
14,20200929-pro-mCherry-ter_swaps_n1,pHSP26-mCherry-tPAB1_biorep1,0.34125686101410396,2.988668240740741
15,20200929-pro-mCherry-ter_swaps_n1,pHSP26-mCherry-tPGK1_biorep1,0.34754769230310756,2.7239055555555565
16,20200929-pro-mCherry-ter_swaps_n1,pHSP26-mCherry-tPMA1_biorep1,0.34119558289978946,2.8488706481481483
17,20200929-pro-mCherry-ter_swaps_n1,pHSP26-mCherry-tRPS13_biorep1,0.34621683996035685,2.870054074074075
18,20200929-pro-mCherry-ter_swaps_n1,pHSP26-mCherry-tRPS3_biorep1,0.34195733967962694,2.6815412962962966
19,20200929-pro-mCherry-ter_swaps_n1,pHSP26-mCherry-tSRO9_biorep1,0.33535498582132317,2.7853304629629627
20,20200929-pro-mCherry-ter_swaps_n1,pHSP26-mCherry-tSUN4_biorep1,0.34391418232949034,2.9230070370370367
21,20200929-pro-mCherry-ter_swaps_n1,pPGK1-mCherry-tCLN2_biorep1,0.36256070245545563,2.6878964814814816
22,20200929-pro-mCherry-ter_swaps_n1,pPGK1-mCherry-tHSP26_biorep1,0.35512978795989497,2.7260239814814815
23,20200929-pro-mCherry-ter_swaps_n1,pPGK1-mCherry-tPAB1_biorep1,0.3481445298980647,2.7726217592592586
24,20200929-pro-mCherry-ter_swaps_n1,pPGK1-mCherry-tPGK1_biorep1,0.3583248427134973,2.86158175925926
25,20200929-pro-mCherry-ter_swaps_n1,pPGK1-mCherry-tPMA1_biorep1,0.35393786389561427,2.651890092592593
26,20200929-pro-mCherry-ter_swaps_n1,pPGK1-mCherry-tRPS13_biorep1,0.3626551850189477,2.6158802777777783
27,20200929-pro-mCherry-ter_swaps_n1,pPGK1-mCherry-tRPS3_biorep1,0.3458146994292824,2.687897314814815
