,strain,c-mCherry-100 per OD at max local gr
0,Null,
1,POT1-ccdB_biorep6,-4.163007455937684
2,pHSP26-mCherry-tCLN2_biorep6,10819.699822045957
3,pHSP26-mCherry-tCLN2_biorep7,9307.623939207051
4,pHSP26-mCherry-tCLN2_biorep8,10917.274048424479
5,pHSP26-mCherry-tHSP26_biorep6,11643.73855405612
6,pHSP26-mCherry-tHSP26_biorep7,9871.546043633376
7,pHSP26-mCherry-tHSP26_biorep8,9557.09720647101
8,pHSP26-mCherry-tPAB1_biorep6,11734.903341335035
9,pHSP26-mCherry-tPAB1_biorep7,11546.760818915343
10,pHSP26-mCherry-tPAB1_biorep8,10641.470942556583
11,pHSP26-mCherry-tPGK1_biorep6,10039.106176651978
12,pHSP26-mCherry-tPGK1_biorep7,10589.604087623471
13,pHSP26-mCherry-tPGK1_biorep8,11537.168181260344
14,pHSP26-mCherry-tPMA1_biorep6,2669.172979505953
15,pHSP26-mCherry-tPMA1_biorep7,2894.397582789379
16,pHSP26-mCherry-tPMA1_biorep8,2635.5115624756886
17,pHSP26-mCherry-tRPS13_biorep6,9094.524479630385
18,pHSP26-mCherry-tRPS13_biorep7,8281.936805106647
19,pHSP26-mCherry-tRPS13_biorep8,8851.363090849796
20,pHSP26-mCherry-tRPS3_biorep6,10846.856388062022
21,pHSP26-mCherry-tRPS3_biorep7,10264.94320068707
22,pHSP26-mCherry-tRPS3_biorep8,10449.88466571583
23,pHSP26-mCherry-tSRO9_biorep6,3829.2764818207093
24,pHSP26-mCherry-tSRO9_biorep7,4383.198135592022
25,pHSP26-mCherry-tSRO9_biorep8,3868.8937553535293
26,pHSP26-mCherry-tSUN4_biorep6,4071.0525849521046
27,pHSP26-mCherry-tSUN4_biorep7,4141.735990444459
28,pHSP26-mCherry-tSUN4_biorep8,4164.150036858052
29,pHSP26-mCherry-tTOS6_biorep6,6706.535037806932
30,pHSP26-mCherry-tTOS6_biorep7,6767.219804148722
31,pHSP26-mCherry-tTOS6_biorep8,8165.481924855649
32,pHSP26-mCherry-tTOS6_biorep9,7964.2158662585925
33,pPGK1-mCherry-tCLN2_biorep6,4717.708468713443
34,pPGK1-mCherry-tHSP26_biorep6,5111.83316803466
35,pPGK1-mCherry-tPAB1_biorep6,5588.762708041186
36,pPGK1-mCherry-tPGK1_biorep6,4702.348779474651
37,pPGK1-mCherry-tPMA1_biorep6,1238.246876352911
38,pPGK1-mCherry-tRPS13_biorep6,3594.674385474486
39,pPGK1-mCherry-tRPS3_biorep6,4402.202555917886
40,pPGK1-mCherry-tSRO9_biorep6,1650.6034740636069
41,pPGK1-mCherry-tSUN4_biorep6,1852.020843251754
42,pPGK1-mCherry-tTOS6_biorep6,2208.217260955648
43,pRPS13-mCherry-tCLN2_biorep6,5177.028288733142
44,pRPS13-mCherry-tHSP26_biorep6,4404.30243656028
45,pRPS13-mCherry-tPAB1_biorep6,5715.376566860975
46,pRPS13-mCherry-tPGK1_biorep6,3750.0475334514613
47,pRPS13-mCherry-tPMA1_biorep6,1012.2132825820906
48,pRPS13-mCherry-tRPS13_biorep6,5055.283023166558
49,pRPS13-mCherry-tRPS3_biorep6,4818.588297291799
50,pRPS13-mCherry-tSRO9_biorep6,1812.457747366964
51,pRPS13-mCherry-tSUN4_biorep6,1411.9547976683687
52,pRPS13-mCherry-tTOS6_biorep6,1698.7627480376884
53,pRPS3-mCherry-tCLN2_biorep6_biorep6,5016.5267044212
54,pRPS3-mCherry-tHSP26_biorep6,2506.4790163258062
55,pRPS3-mCherry-tPAB1_biorep6,4819.359661886933
56,pRPS3-mCherry-tPGK1_biorep6,3338.7962144318376
57,pRPS3-mCherry-tPMA1_biorep6,889.3735550977954
58,pRPS3-mCherry-tRPS13_biorep6,4675.948545336899
59,pRPS3-mCherry-tRPS3_biorep6,5465.177322796083
60,pRPS3-mCherry-tSRO9_biorep6,1428.8896961063278
61,pRPS3-mCherry-tSUN4_biorep6,1323.2924508139768
62,pRPS3-mCherry-tTOS6_biorep6,1754.63796049919
