,strain,c-mTurq-60 per OD at max local gr
0,Null,
1,POT1-ccdB,-8.807674289724462
2,pCLN2-mTurq-tCLN2,75.96906616885786
3,pCLN2-mTurq-tHSP26,125.26298824468142
4,pCLN2-mTurq-tPAB1,166.9947495380429
5,pCLN2-mTurq-tPGK1,74.20789047532561
6,pCLN2-mTurq-tPMA1_long,-6.531981861334382
7,pCLN2-mTurq-tRPS13,79.31445273314911
8,pCLN2-mTurq-tRPS3,147.91125667356312
9,pCLN2-mTurq-tSRO9_long,75.01275211755784
10,pCLN2-mTurq-tSUN4,31.562382033279505
11,pCLN2-mTurq-tTOS6,75.85853989864748
12,pHSP26-mTurq-tCLN2,5053.475526555016
13,pHSP26-mTurq-tHSP26,2162.33710108691
14,pHSP26-mTurq-tPAB1,8433.389217040327
15,pHSP26-mTurq-tPGK1,6053.735663620203
16,pHSP26-mTurq-tPMA1_long,2192.8883537321676
17,pHSP26-mTurq-tRPS13,5121.335975332962
18,pHSP26-mTurq-tRPS3,6210.178040800704
19,pHSP26-mTurq-tSRO9_long,3030.8204123063415
20,pHSP26-mTurq-tSUN4,2769.1290895144252
21,pHSP26-mTurq-tTOS6,3596.573232885554
22,pPGK1-mTurq-tCLN2,12475.923645837987
23,pPGK1-mTurq-tHSP26,5585.40882545993
24,pPGK1-mTurq-tPAB1,7783.668675579551
25,pPGK1-mTurq-tPGK1,6945.134323622613
26,pPGK1-mTurq-tPMA1_long,1088.9984755744124
27,pPGK1-mTurq-tRPS13,5680.693269535358
28,pPGK1-mTurq-tRPS3,6385.489142074383
29,pPGK1-mTurq-tSRO9_long,2615.259864632049
30,pPGK1-mTurq-tSUN4,2425.3510698627097
31,pPGK1-mTurq-tTOS6,3801.0542623096403
32,pRPS13-mTurq-tCLN2,4937.530150114146
33,pRPS13-mTurq-tHSP26,4269.445133150326
34,pRPS13-mTurq-tPAB1,5873.889091838086
35,pRPS13-mTurq-tPGK1,3785.556927074662
36,pRPS13-mTurq-tPMA1_long,914.0761776077385
37,pRPS13-mTurq-tRPS13,3876.90766013122
38,pRPS13-mTurq-tRPS3,4601.385934558856
39,pRPS13-mTurq-tSRO9_long,2330.7716507417886
40,pRPS13-mTurq-tSUN4,1353.3613368443296
41,pRPS13-mTurq-tTOS6,1903.9980153433617
42,pRPS3-mTurq-tCLN2,4929.186376677201
43,pRPS3-mTurq-tHSP26,4508.67480055955
44,pRPS3-mTurq-tPAB1,5805.093496765304
45,pRPS3-mTurq-tPGK1,4270.437744845502
46,pRPS3-mTurq-tPMA1_long,666.2262107147249
47,pRPS3-mTurq-tRPS13,3671.777675925876
48,pRPS3-mTurq-tRPS3,5177.082902723264
49,pRPS3-mTurq-tSRO9_long,2344.708833553424
50,pRPS3-mTurq-tSUN4,1262.3472231936566
51,pRPS3-mTurq-tTOS6,1679.6424058806615
52,pSRO9-mTurq-tCLN2,761.3895804277464
53,pSRO9-mTurq-tHSP26,758.3517654332553
54,pSRO9-mTurq-tPAB1,972.9717738019342
55,pSRO9-mTurq-tPGK1,633.1910202158249
56,pSRO9-mTurq-tPMA1_long,155.20444475390858
57,pSRO9-mTurq-tRPS13,571.9488273921801
58,pSRO9-mTurq-tRPS3,830.2596771562208
59,pSRO9-mTurq-tSRO9_long,300.2888751692598
60,pSRO9-mTurq-tSUN4,226.54609860609412
61,pSRO9-mTurq-tTOS6,324.3214210798901
