"strain","pro_mCh","promoter","mCherry","target_id","UTR3","terminator","construct","bio_rep","exp_rep","deltacq","rel_abund_deltacq","na.rm","remove"
"pPIR1-mCherry-tPIR1_WT","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_WT","tPIR1","WT","bio_rep4","2",3.20333333333333,0.108567685783967,FALSE,FALSE
"pPIR1-mCherry-tPIR1_WT","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_WT","tPIR1","WT","bio_rep5","2",2.865,0.137261601723381,FALSE,FALSE
"pPIR1-mCherry-tPIR1_WT","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_WT","tPIR1","WT","bio_rep6","2",3.12666666666667,0.114493161283781,FALSE,FALSE
"pPIR1-mCherry-tPIR1_WT","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_WT","tPIR1","WT","bio_rep1","1",3.48833333333334,0.0891060170951657,FALSE,FALSE
"pPIR1-mCherry-tPIR1_WT","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_WT","tPIR1","WT","bio_rep2","1",3.92833333333333,0.0656831290394087,FALSE,FALSE
"pPIR1-mCherry-tPIR1_WT","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_WT","tPIR1","WT","bio_rep3","1",3.66,0.0791097871231426,FALSE,FALSE
"pPIR1-mCherry-tPIR1_WT","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_WT","tPIR1","WT","bio_rep4","2",-0.406666666666666,1.32561944178653,FALSE,FALSE
"pPIR1-mCherry-tPIR1_WT","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_WT","tPIR1","WT","bio_rep5","2",-0.705,1.63014466480525,FALSE,FALSE
"pPIR1-mCherry-tPIR1_WT","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_WT","tPIR1","WT","bio_rep6","2",-0.473333333333333,1.38831345047979,FALSE,FALSE
"pPIR1-mCherry-tPIR1_WT","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_WT","tPIR1","WT","bio_rep1","1",-0.691666666666666,1.61514833360008,FALSE,FALSE
"pPIR1-mCherry-tPIR1_WT","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_WT","tPIR1","WT","bio_rep2","1",-0.651666666666666,1.57098201748083,FALSE,FALSE
"pPIR1-mCherry-tPIR1_WT","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_WT","tPIR1","WT","bio_rep3","1",-0.640000000000001,1.558329159321,FALSE,FALSE
"pPIR1-mCherry-tPIR1_WT","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_WT","tPIR1","WT","bio_rep4","2",-0.196666666666667,1.14604736197,FALSE,FALSE
"pPIR1-mCherry-tPIR1_WT","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_WT","tPIR1","WT","bio_rep5","2",-0.154999999999999,1.11342161822869,FALSE,FALSE
"pPIR1-mCherry-tPIR1_WT","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_WT","tPIR1","WT","bio_rep6","2",0.116666666666667,0.922316193585939,FALSE,FALSE
"pPIR1-mCherry-tPIR1_WT","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_WT","tPIR1","WT","bio_rep1","1",0.368333333333334,0.774676921905276,FALSE,FALSE
"pPIR1-mCherry-tPIR1_WT","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_WT","tPIR1","WT","bio_rep2","1",0.498333333333335,0.707924135003946,FALSE,FALSE
"pPIR1-mCherry-tPIR1_WT","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_WT","tPIR1","WT","bio_rep3","1",0.559999999999999,0.678302163723837,FALSE,FALSE
