exp_rep,target_id,sample_id,strain,bio_rep,pro_mCh,promoter,mCherry,delta_cq,UTR3,terminator,construct,ref_delta_cq,deltadelta_cq,rel_abund_delta_deltacq,remove
2,mCh-7,pPGK1-mCherry-tPIR1_modA_bio_rep4,pPGK1-mCherry-tPIR1_modA,bio_rep4,pPGK1-mCherry,pPGK1,mCherry,1.0166666666666675,tPIR1_modA,tPIR1,modA,0.8605555555555551,0.15611111111111242,0.8974409303777529,FALSE
2,mCh-7,pPGK1-mCherry-tPIR1_modA_bio_rep5,pPGK1-mCherry-tPIR1_modA,bio_rep5,pPGK1-mCherry,pPGK1,mCherry,0.35499999999999865,tPIR1_modA,tPIR1,modA,0.8605555555555551,-0.5055555555555564,1.4196699399629147,FALSE
2,mCh-7,pPGK1-mCherry-tPIR1_modA_bio_rep6,pPGK1-mCherry-tPIR1_modA,bio_rep6,pPGK1-mCherry,pPGK1,mCherry,0.15499999999999936,tPIR1_modA,tPIR1,modA,0.8605555555555551,-0.7055555555555557,1.6307725246741387,FALSE
2,mCh-7,pPGK1-mCherry-tPIR1_modB_bio_rep4,pPGK1-mCherry-tPIR1_modB,bio_rep4,pPGK1-mCherry,pPGK1,mCherry,0.4299999999999997,tPIR1_modB,tPIR1,modB,0.8605555555555551,-0.43055555555555536,1.3477524718540885,FALSE
2,mCh-7,pPGK1-mCherry-tPIR1_modB_bio_rep5,pPGK1-mCherry-tPIR1_modB,bio_rep5,pPGK1-mCherry,pPGK1,mCherry,0.6050000000000004,tPIR1_modB,tPIR1,modB,0.8605555555555551,-0.25555555555555465,1.1937953633582696,FALSE
2,mCh-7,pPGK1-mCherry-tPIR1_modB_bio_rep6,pPGK1-mCherry-tPIR1_modB,bio_rep6,pPGK1-mCherry,pPGK1,mCherry,0.5099999999999998,tPIR1_modB,tPIR1,modB,0.8605555555555551,-0.3505555555555553,1.275051531890884,FALSE
2,mCh-7,pPGK1-mCherry-tPIR1_modC_bio_rep4,pPGK1-mCherry-tPIR1_modC,bio_rep4,pPGK1-mCherry,pPGK1,mCherry,0.8149999999999995,tPIR1_modC,tPIR1,modC,0.8605555555555551,-0.04555555555555557,1.032080538185926,FALSE
2,mCh-7,pPGK1-mCherry-tPIR1_modC_bio_rep5,pPGK1-mCherry-tPIR1_modC,bio_rep5,pPGK1-mCherry,pPGK1,mCherry,1.2366666666666681,tPIR1_modC,tPIR1,modC,0.8605555555555551,0.37611111111111306,0.7705117640668788,FALSE
2,mCh-7,pPGK1-mCherry-tPIR1_modC_bio_rep6,pPGK1-mCherry-tPIR1_modC,bio_rep6,pPGK1-mCherry,pPGK1,mCherry,0.7316666666666674,tPIR1_modC,tPIR1,modC,0.8605555555555551,-0.12888888888888772,1.093451240614467,FALSE
2,mCh-7,pPGK1-mCherry-tPIR1_modD_bio_rep4,pPGK1-mCherry-tPIR1_modD,bio_rep4,pPGK1-mCherry,pPGK1,mCherry,0.75,tPIR1_modD,tPIR1,modD,0.8605555555555551,-0.11055555555555507,1.0796439076492652,FALSE
2,mCh-7,pPGK1-mCherry-tPIR1_modD_bio_rep5,pPGK1-mCherry-tPIR1_modD,bio_rep5,pPGK1-mCherry,pPGK1,mCherry,0.8383333333333329,tPIR1_modD,tPIR1,modD,0.8605555555555551,-0.022222222222222143,1.0155225125042748,FALSE
