"strain","pro_mCh","promoter","mCherry","target_id","UTR3","terminator","construct","bio_rep","exp_rep","deltacq","rel_abund_deltacq","na.rm","remove"
"pRPS3-mCherry-tRPS3_WT","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_WT","tRPS3","WT","bio_rep1","1",-1.17111111111111,2.25185059491646,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_WT","tRPS3","WT","bio_rep2","1",-1.00555555555555,2.00771648318895,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_WT","tRPS3","WT","bio_rep3","1",-1.20888888888889,2.31159537560743,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_WT","tRPS3","WT","bio_rep4","2",-1.74777777777778,3.35840862716224,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_WT","tRPS3","WT","bio_rep5","2",-1.48666666666667,2.80240732977453,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_WT","tRPS3","WT","bio_rep6","2",-1.82333333333333,3.53897932471858,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_WT","tRPS3","WT","bio_rep1","1",-0.0811111111111114,1.05783243087756,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_WT","tRPS3","WT","bio_rep2","1",-0.0255555555555542,1.01787158043007,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_WT","tRPS3","WT","bio_rep3","1",-0.138888888888889,1.10105679545314,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_WT","tRPS3","WT","bio_rep4","2",0.0122222222222224,0.991563985690056,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_WT","tRPS3","WT","bio_rep5","2",0.113333333333333,0.92444966021136,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_WT","tRPS3","WT","bio_rep6","2",-0.0733333333333324,1.05214484820072,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_WT","tRPS3","WT","bio_rep1","1",-0.601111111111111,1.51688436577822,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_WT","tRPS3","WT","bio_rep2","1",-0.345555555555555,1.27064018870962,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_WT","tRPS3","WT","bio_rep3","1",-0.138888888888889,1.10105679545314,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_WT","tRPS3","WT","bio_rep4","2",0.0822222222222209,0.944601530260243,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_WT","tRPS3","WT","bio_rep5","2",0.293333333333333,0.816014484988446,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_WT","tRPS3","WT","bio_rep6","2",0.0266666666666673,0.981685855246754,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_WT","tRPS3","WT","bio_rep1","1",0.548888888888889,0.683546368192377,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_WT","tRPS3","WT","bio_rep2","1",0.364444444444445,0.776767936585314,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_WT","tRPS3","WT","bio_rep3","1",0.281111111111111,0.822956961693762,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_WT","tRPS3","WT","bio_rep4","2",-0.0377777777777784,1.02653141412927,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_WT","tRPS3","WT","bio_rep5","2",0.0533333333333328,0.963707118391552,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_WT","tRPS3","WT","bio_rep6","2",0.086666666666666,0.941696017387347,FALSE,FALSE
"pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_mod0","tRPS3","mod0","bio_rep1","1",-0.217777777777778,1.16294089681696,FALSE,FALSE
"pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_mod0","tRPS3","mod0","bio_rep2","1",-1.12333333333333,2.17849731228522,FALSE,FALSE
"pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_mod0","tRPS3","mod0","bio_rep3","1",-0.353333333333332,1.27750889232791,FALSE,FALSE
"pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_mod0","tRPS3","mod0","bio_rep4","2",-1.14444444444444,2.21060987715848,FALSE,FALSE
"pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_mod0","tRPS3","mod0","bio_rep5","2",-1.52222222222222,2.87233142015749,FALSE,FALSE
"pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_mod0","tRPS3","mod0","bio_rep6","2",-1.50111111111111,2.83060631523493,FALSE,FALSE
"pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_mod0","tRPS3","mod0","bio_rep1","1",-0.407777777777778,1.32664077878827,FALSE,FALSE
"pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_mod0","tRPS3","mod0","bio_rep2","1",-0.303333333333335,1.23399224962407,FALSE,FALSE
"pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_mod0","tRPS3","mod0","bio_rep3","1",-0.313333333333333,1.24257534448593,FALSE,FALSE
"pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_mod0","tRPS3","mod0","bio_rep4","2",-0.534444444444444,1.44838430076631,FALSE,FALSE
"pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_mod0","tRPS3","mod0","bio_rep5","2",-0.0422222222222217,1.0296986784939,FALSE,FALSE
"pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_mod0","tRPS3","mod0","bio_rep6","2",-0.311111111111112,1.24066284536412,FALSE,FALSE
"pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_mod0","tRPS3","mod0","bio_rep1","1",-0.757777777777777,1.69088410323969,FALSE,FALSE
"pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_mod0","tRPS3","mod0","bio_rep2","1",-0.543333333333333,1.45733579106694,FALSE,FALSE
"pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_mod0","tRPS3","mod0","bio_rep3","1",-0.623333333333333,1.54043022231355,FALSE,FALSE
"pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_mod0","tRPS3","mod0","bio_rep4","2",-0.0844444444444452,1.06027936849208,FALSE,FALSE
"pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_mod0","tRPS3","mod0","bio_rep5","2",0.0477777777777781,0.967425333280622,FALSE,FALSE
"pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","RPS3-ORF","tRPS3_mod0","tRPS3","mod0","bio_rep6","2",-0.0811111111111114,1.05783243087756,FALSE,FALSE
"pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_mod0","tRPS3","mod0","bio_rep1","1",1.23222222222222,0.425661283064971,FALSE,FALSE
"pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_mod0","tRPS3","mod0","bio_rep2","1",0.446666666666665,0.73373618155558,FALSE,FALSE
"pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_mod0","tRPS3","mod0","bio_rep3","1",0.406666666666668,0.754364313375116,FALSE,FALSE
"pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_mod0","tRPS3","mod0","bio_rep4","2",0.605555555555556,0.657218248603039,FALSE,FALSE
"pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_mod0","tRPS3","mod0","bio_rep5","2",0.167777777777779,0.890212844586481,FALSE,FALSE
"pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","URA3-ORF","tRPS3_mod0","tRPS3","mod0","bio_rep6","2",0.0988888888888884,0.933751856309051,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_modA","tRPS3","modA","bio_rep1","1",-0.627777777777778,1.54518307223337,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_modA","tRPS3","modA","bio_rep2","1",-0.406666666666666,1.32561944178653,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_modA","tRPS3","modA","bio_rep3","1",-0.298888888888889,1.23019659584681,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_modA","tRPS3","modA","bio_rep4","2",-1.04666666666667,2.06575143029877,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_modA","tRPS3","modA","bio_rep5","2",-1.34555555555556,2.54128037741924,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","mCh-7","tRPS3_modA","tRPS3","modA","bio_rep6","2",-1.06333333333333,2.08975430572174,FALSE,FALSE
"pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","PGK1-ORF","tRPS3_modA","tRPS3","modA","bio_rep1","1",-0.207777777777778,1.15490787726574,FALSE,FALSE
