exp_rep,target_id,sample_id,strain,bio_rep,pro_mCh,promoter,mCherry,delta_cq,UTR3,terminator,construct,ref_delta_cq,deltadelta_cq,rel_abund_delta_deltacq,remove
1,mCh-7,pPGK1-mCherry-tRPS3_mod0_bio_rep1,pPGK1-mCherry-tRPS3_mod0,bio_rep1,pPGK1-mCherry,pPGK1,mCherry,-2.5344444444444445,tRPS3_mod0,tRPS3,mod0,-2.16,-0.37444444444444436,1.2963402615243276,FALSE
1,mCh-7,pPGK1-mCherry-tRPS3_mod0_bio_rep2,pPGK1-mCherry-tRPS3_mod0,bio_rep2,pPGK1-mCherry,pPGK1,mCherry,-1.9666666666666668,tRPS3_mod0,tRPS3,mod0,-2.16,0.19333333333333336,0.8745826700558362,FALSE
1,mCh-7,pPGK1-mCherry-tRPS3_mod0_bio_rep3,pPGK1-mCherry-tRPS3_mod0,bio_rep3,pPGK1-mCherry,pPGK1,mCherry,-1.9788888888888891,tRPS3_mod0,tRPS3,mod0,-2.16,0.181111111111111,0.882023432352871,FALSE
1,mCh-7,pPGK1-mCherry-tRPS3_modA_bio_rep1,pPGK1-mCherry-tRPS3_modA,bio_rep1,pPGK1-mCherry,pPGK1,mCherry,-2.377777777777778,tRPS3_modA,tRPS3,modA,-2.16,-0.21777777777777807,1.1629408968169568,FALSE
1,mCh-7,pPGK1-mCherry-tRPS3_modA_bio_rep2,pPGK1-mCherry-tRPS3_modA,bio_rep2,pPGK1-mCherry,pPGK1,mCherry,-2.3355555555555547,tRPS3_modA,tRPS3,modA,-2.16,-0.17555555555555458,1.129399232130652,FALSE
1,mCh-7,pPGK1-mCherry-tRPS3_modA_bio_rep3,pPGK1-mCherry-tRPS3_modA,bio_rep3,pPGK1-mCherry,pPGK1,mCherry,-2.0366666666666653,tRPS3_modA,tRPS3,modA,-2.16,0.12333333333333485,0.9180640199652188,FALSE
1,mCh-7,pPGK1-mCherry-tRPS3_modB_bio_rep1,pPGK1-mCherry-tRPS3_modB,bio_rep1,pPGK1-mCherry,pPGK1,mCherry,-1.5722222222222229,tRPS3_modB,tRPS3,modB,-2.16,0.5877777777777773,0.6653670009276373,FALSE
1,mCh-7,pPGK1-mCherry-tRPS3_modB_bio_rep2,pPGK1-mCherry-tRPS3_modB,bio_rep2,pPGK1-mCherry,pPGK1,mCherry,-1.5422222222222217,tRPS3_modB,tRPS3,modB,-2.16,0.6177777777777784,0.651673946053067,FALSE
1,mCh-7,pPGK1-mCherry-tRPS3_modB_bio_rep3,pPGK1-mCherry-tRPS3_modB,bio_rep3,pPGK1-mCherry,pPGK1,mCherry,-1.0722222222222229,tRPS3_modB,tRPS3,modB,-2.16,1.0877777777777773,0.4704855183336882,FALSE
1,mCh-7,pPGK1-mCherry-tRPS3_modC_bio_rep1,pPGK1-mCherry-tRPS3_modC,bio_rep1,pPGK1-mCherry,pPGK1,mCherry,-2.1877777777777787,tRPS3_modC,tRPS3,modC,-2.16,-0.027777777777778567,1.0194406437021455,FALSE
