"strain","pro_mCh","promoter","mCherry","target_id","ter_mod","terminator","construct","bio_rep","exp_rep","deltacq","rel_abund_deltacq","na.rm","remove"
"pTSA1-mCherry-tTSA1_WT","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_WT","tTSA1","WT","bio_rep4","2",0.620000000000001,0.650670927720966,FALSE,FALSE
"pTSA1-mCherry-tTSA1_WT","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_WT","tTSA1","WT","bio_rep5","2",-0.113333333333333,1.0817246660801,FALSE,FALSE
"pTSA1-mCherry-tTSA1_WT","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_WT","tTSA1","WT","bio_rep6","2",-0.341666666666667,1.26721969828706,FALSE,FALSE
"pTSA1-mCherry-tTSA1_WT","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_WT","tTSA1","WT","bio_rep1","1",0.868333333333332,0.547779304707943,FALSE,FALSE
"pTSA1-mCherry-tTSA1_WT","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_WT","tTSA1","WT","bio_rep2","1",-0.246666666666666,1.18646263490849,FALSE,FALSE
"pTSA1-mCherry-tTSA1_WT","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_WT","tTSA1","WT","bio_rep3","1",-0.155000000000001,1.11342161822869,FALSE,FALSE
"pTSA1-mCherry-tTSA1_WT","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_WT","tTSA1","WT","bio_rep4","2",-1.46,2.75108363627949,FALSE,FALSE
"pTSA1-mCherry-tTSA1_WT","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_WT","tTSA1","WT","bio_rep5","2",-1.43333333333333,2.70069989233638,FALSE,FALSE
"pTSA1-mCherry-tTSA1_WT","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_WT","tTSA1","WT","bio_rep6","2",-1.18166666666667,2.2683868006814,FALSE,FALSE
"pTSA1-mCherry-tTSA1_WT","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_WT","tTSA1","WT","bio_rep1","1",-1.50166666666667,2.83169654001579,FALSE,FALSE
"pTSA1-mCherry-tTSA1_WT","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_WT","tTSA1","WT","bio_rep2","1",-0.956666666666667,1.94082046298708,FALSE,FALSE
"pTSA1-mCherry-tTSA1_WT","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_WT","tTSA1","WT","bio_rep3","1",-0.765000000000001,1.6993699982773,FALSE,FALSE
"pTSA1-mCherry-tTSA1_WT","pTSA1-mCherry","pTSA1","mCherry","TSA1-ORF","tTSA1_WT","tTSA1","WT","bio_rep4","2",-0.19,1.14076371586842,FALSE,FALSE
"pTSA1-mCherry-tTSA1_WT","pTSA1-mCherry","pTSA1","mCherry","TSA1-ORF","tTSA1_WT","tTSA1","WT","bio_rep5","2",-0.353333333333333,1.27750889232791,FALSE,FALSE
