exp_rep,target_id,sample_id,strain,bio_rep,pro_mCh,promoter,mCherry,delta_cq,UTR3,terminator,construct,ref_delta_cq,deltadelta_cq,rel_abund_delta_deltacq,remove
2,mCh-7,pPGK1-mCherry-tTSA1_mod0_bio_rep4,pPGK1-mCherry-tTSA1_mod0,bio_rep4,pPGK1-mCherry,pPGK1,mCherry,0.12666666666666693,tTSA1_mod0,tTSA1,mod0,-0.024444444444444713,0.15111111111111164,0.9005566195901591,FALSE
2,mCh-7,pPGK1-mCherry-tTSA1_mod0_bio_rep5,pPGK1-mCherry-tTSA1_mod0,bio_rep5,pPGK1-mCherry,pPGK1,mCherry,-0.41999999999999993,tTSA1_mod0,tTSA1,mod0,-0.024444444444444713,-0.3955555555555552,1.3154492181942552,FALSE
2,mCh-7,pPGK1-mCherry-tTSA1_mod0_bio_rep6,pPGK1-mCherry-tTSA1_mod0,bio_rep6,pPGK1-mCherry,pPGK1,mCherry,0.21999999999999886,tTSA1_mod0,tTSA1,mod0,-0.024444444444444713,0.24444444444444358,0.8441407967796919,FALSE
2,mCh-7,pPGK1-mCherry-tTSA1_modA_bio_rep4,pPGK1-mCherry-tTSA1_modA,bio_rep4,pPGK1-mCherry,pPGK1,mCherry,1.3399999999999999,tTSA1_modA,tTSA1,modA,-0.024444444444444713,1.3644444444444446,0.38838396829265714,FALSE
2,mCh-7,pPGK1-mCherry-tTSA1_modA_bio_rep5,pPGK1-mCherry-tTSA1_modA,bio_rep5,pPGK1-mCherry,pPGK1,mCherry,0.8350000000000009,tTSA1_modA,tTSA1,modA,-0.024444444444444713,0.8594444444444456,0.5511647605778982,FALSE
2,mCh-7,pPGK1-mCherry-tTSA1_modA_bio_rep6,pPGK1-mCherry-tTSA1_modA,bio_rep6,pPGK1-mCherry,pPGK1,mCherry,0.6150000000000002,tTSA1_modA,tTSA1,modA,-0.024444444444444713,0.6394444444444449,0.6419601083229234,FALSE
2,mCh-7,pPGK1-mCherry-tTSA1_modB_bio_rep4,pPGK1-mCherry-tTSA1_modB,bio_rep4,pPGK1-mCherry,pPGK1,mCherry,0.3249999999999993,tTSA1_modB,tTSA1,modB,-0.024444444444444713,0.349444444444444,0.78488628510717,FALSE
2,mCh-7,pPGK1-mCherry-tTSA1_modB_bio_rep5,pPGK1-mCherry-tTSA1_modB,bio_rep5,pPGK1-mCherry,pPGK1,mCherry,0.168333333333333,tTSA1_modB,tTSA1,modB,-0.024444444444444713,0.19277777777777771,0.874919520749157,FALSE
2,mCh-7,pPGK1-mCherry-tTSA1_modB_bio_rep6,pPGK1-mCherry-tTSA1_modB,bio_rep6,pPGK1-mCherry,pPGK1,mCherry,0.6600000000000001,tTSA1_modB,tTSA1,modB,-0.024444444444444713,0.6844444444444449,0.622245395875941,FALSE
2,mCh-7,pPGK1-mCherry-tTSA1_modC_bio_rep4,pPGK1-mCherry-tTSA1_modC,bio_rep4,pPGK1-mCherry,pPGK1,mCherry,-0.3533333333333317,tTSA1_modC,tTSA1,modC,-0.024444444444444713,-0.328888888888887,1.2560456413633048,FALSE
2,mCh-7,pPGK1-mCherry-tTSA1_modC_bio_rep5,pPGK1-mCherry-tTSA1_modC,bio_rep5,pPGK1-mCherry,pPGK1,mCherry,0.12666666666666515,tTSA1_modC,tTSA1,modC,-0.024444444444444713,0.15111111111110986,0.9005566195901602,FALSE
2,mCh-7,pPGK1-mCherry-tTSA1_modC_bio_rep6,pPGK1-mCherry-tTSA1_modC,bio_rep6,pPGK1-mCherry,pPGK1,mCherry,-0.31166666666666565,tTSA1_modC,tTSA1,modC,-0.024444444444444713,-0.28722222222222094,1.2202884601312178,FALSE
2,mCh-7,pPGK1-mCherry-tTSA1_modD_bio_rep4,pPGK1-mCherry-tTSA1_modD,bio_rep4,pPGK1-mCherry,pPGK1,mCherry,0.15833333333333321,tTSA1_modD,tTSA1,modD,-0.024444444444444713,0.18277777777777793,0.8810050672713281,FALSE
2,mCh-7,pPGK1-mCherry-tTSA1_modD_bio_rep5,pPGK1-mCherry-tTSA1_modD,bio_rep5,pPGK1-mCherry,pPGK1,mCherry,0.5033333333333321,tTSA1_modD,tTSA1,modD,-0.024444444444444713,0.5277777777777768,0.6936223168606048,FALSE
2,mCh-7,pPGK1-mCherry-tTSA1_modD_bio_rep6,pPGK1-mCherry-tTSA1_modD,bio_rep6,pPGK1-mCherry,pPGK1,mCherry,0.7750000000000004,tTSA1_modD,tTSA1,modD,-0.024444444444444713,0.7994444444444451,0.5745703914846533,FALSE
2,mCh-7,pPGK1-mCherry-tTSA1_modE_bio_rep4,pPGK1-mCherry-tTSA1_modE,bio_rep4,pPGK1-mCherry,pPGK1,mCherry,0.793333333333333,tTSA1_modE,tTSA1,modE,-0.024444444444444713,0.8177777777777777,0.5673151208219058,FALSE
