Include,Color,Pos,Name,Cp,Concentration,Standard,Status,well,cq,well_row,well_col,sample_id,strain,pro_mCh,promoter,mCherry,bio_rep,ter_mod,terminator,construct,exp_rep,remove,prep_type,tech_rep,target_id,ref_cq,delta_cq,rel_abund
TRUE,255,A4,Sample 4,11.52,NA,0,NA,A4,11.52,A,4,pPGK1-mCherry-tRPS3_mod0_BioRep1_ExpRep1,pPGK1-mCherry-tRPS3_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep1,tRPS3_mod0,tRPS3,mod0,ExpRep1,FALSE,+RT,1,mCh-7,14.47,-2.950000000000001,7.72749063139877
TRUE,255,E4,Sample 100,11.81,NA,0,NA,E4,11.81,E,4,pPGK1-mCherry-tRPS3_mod0_BioRep1_ExpRep1,pPGK1-mCherry-tRPS3_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep1,tRPS3_mod0,tRPS3,mod0,ExpRep1,FALSE,+RT,2,mCh-7,14.47,-2.66,6.320330494907018
TRUE,255,I4,Sample 196,11.78,NA,0,NA,I4,11.78,I,4,pPGK1-mCherry-tRPS3_mod0_BioRep1_ExpRep1,pPGK1-mCherry-tRPS3_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep1,tRPS3_mod0,tRPS3,mod0,ExpRep1,FALSE,+RT,3,mCh-7,14.47,-2.6900000000000013,6.453134073777016
TRUE,255,A5,Sample 5,11.5,NA,0,NA,A5,11.5,A,5,pPGK1-mCherry-tRPS3_mod0_BioRep2_ExpRep1,pPGK1-mCherry-tRPS3_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep2,tRPS3_mod0,tRPS3,mod0,ExpRep1,FALSE,+RT,1,mCh-7,13.55,-2.0500000000000007,4.141059695365512
TRUE,255,E5,Sample 101,11.57,NA,0,NA,E5,11.57,E,5,pPGK1-mCherry-tRPS3_mod0_BioRep2_ExpRep1,pPGK1-mCherry-tRPS3_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep2,tRPS3_mod0,tRPS3,mod0,ExpRep1,FALSE,+RT,2,mCh-7,13.55,-1.9800000000000004,3.9449308179734377
TRUE,255,I5,Sample 197,11.35,NA,0,NA,I5,11.35,I,5,pPGK1-mCherry-tRPS3_mod0_BioRep2_ExpRep1,pPGK1-mCherry-tRPS3_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep2,tRPS3_mod0,tRPS3,mod0,ExpRep1,FALSE,+RT,3,mCh-7,13.55,-2.200000000000001,4.594793419988143
TRUE,255,A6,Sample 6,11.75,NA,0,NA,A6,11.75,A,6,pPGK1-mCherry-tRPS3_mod0_BioRep3_ExpRep1,pPGK1-mCherry-tRPS3_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep3,tRPS3_mod0,tRPS3,mod0,ExpRep1,FALSE,+RT,1,mCh-7,13.54,-1.7899999999999991,3.4581489252314586
TRUE,255,E6,Sample 102,11.64,NA,0,NA,E6,11.64,E,6,pPGK1-mCherry-tRPS3_mod0_BioRep3_ExpRep1,pPGK1-mCherry-tRPS3_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep3,tRPS3_mod0,tRPS3,mod0,ExpRep1,FALSE,+RT,2,mCh-7,13.54,-1.8999999999999986,3.732131966147226
TRUE,255,I6,Sample 198,11,NA,0,NA,I6,11,I,6,pPGK1-mCherry-tRPS3_mod0_BioRep3_ExpRep1,pPGK1-mCherry-tRPS3_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep3,tRPS3_mod0,tRPS3,mod0,ExpRep1,FALSE,+RT,3,mCh-7,13.54,-2.539999999999999,5.815890069281239
TRUE,255,A4,Sample 4,10.58,NA,0,NA,A4,10.58,A,4,pPGK1-mCherry-tRPS3_mod0_BioRep4_ExpRep2,pPGK1-mCherry-tRPS3_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep4,tRPS3_mod0,tRPS3,mod0,ExpRep2,FALSE,+RT,1,mCh-7,13.74,-3.16,8.93829710457776
TRUE,255,E4,Sample 100,11.27,NA,0,NA,E4,11.27,E,4,pPGK1-mCherry-tRPS3_mod0_BioRep4_ExpRep2,pPGK1-mCherry-tRPS3_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep4,tRPS3_mod0,tRPS3,mod0,ExpRep2,FALSE,+RT,2,mCh-7,13.74,-2.4700000000000006,5.540437872443701
TRUE,255,I4,Sample 196,10.98,NA,0,NA,I4,10.98,I,4,pPGK1-mCherry-tRPS3_mod0_BioRep4_ExpRep2,pPGK1-mCherry-tRPS3_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep4,tRPS3_mod0,tRPS3,mod0,ExpRep2,FALSE,+RT,3,mCh-7,13.74,-2.76,6.773962498900216
TRUE,255,A5,Sample 5,11.62,NA,0,NA,A5,11.62,A,5,pPGK1-mCherry-tRPS3_mod0_BioRep5_ExpRep2,pPGK1-mCherry-tRPS3_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep5,tRPS3_mod0,tRPS3,mod0,ExpRep2,FALSE,+RT,1,mCh-7,13.85,-2.2300000000000004,4.691339796927517
TRUE,255,E5,Sample 101,11.62,NA,0,NA,E5,11.62,E,5,pPGK1-mCherry-tRPS3_mod0_BioRep5_ExpRep2,pPGK1-mCherry-tRPS3_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep5,tRPS3_mod0,tRPS3,mod0,ExpRep2,FALSE,+RT,2,mCh-7,13.85,-2.2300000000000004,4.691339796927517
TRUE,255,I5,Sample 197,11.39,NA,0,NA,I5,11.39,I,5,pPGK1-mCherry-tRPS3_mod0_BioRep5_ExpRep2,pPGK1-mCherry-tRPS3_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep5,tRPS3_mod0,tRPS3,mod0,ExpRep2,FALSE,+RT,3,mCh-7,13.85,-2.459999999999999,5.502167272558971
TRUE,255,A6,Sample 6,11.84,NA,0,NA,A6,11.84,A,6,pPGK1-mCherry-tRPS3_mod0_BioRep6_ExpRep2,pPGK1-mCherry-tRPS3_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep6,tRPS3_mod0,tRPS3,mod0,ExpRep2,FALSE,+RT,1,mCh-7,14.35,-2.51,5.696200782388286
TRUE,255,E6,Sample 102,11.87,NA,0,NA,E6,11.87,E,6,pPGK1-mCherry-tRPS3_mod0_BioRep6_ExpRep2,pPGK1-mCherry-tRPS3_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep6,tRPS3_mod0,tRPS3,mod0,ExpRep2,FALSE,+RT,2,mCh-7,14.35,-2.4800000000000004,5.578974665401623
TRUE,255,I6,Sample 198,11.54,NA,0,NA,I6,11.54,I,6,pPGK1-mCherry-tRPS3_mod0_BioRep6_ExpRep2,pPGK1-mCherry-tRPS3_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep6,tRPS3_mod0,tRPS3,mod0,ExpRep2,FALSE,+RT,3,mCh-7,14.35,-2.8100000000000005,7.012845770528283
TRUE,255,A7,Sample 7,10.66,NA,0,NA,A7,10.66,A,7,pPGK1-mCherry-tRPS3_modA_BioRep1_ExpRep1,pPGK1-mCherry-tRPS3_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep1,tRPS3_modA,tRPS3,modA,ExpRep1,FALSE,+RT,1,mCh-7,12.37,-1.709999999999999,3.2716082342311226
TRUE,255,E7,Sample 103,10.58,NA,0,NA,E7,10.58,E,7,pPGK1-mCherry-tRPS3_modA_BioRep1_ExpRep1,pPGK1-mCherry-tRPS3_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep1,tRPS3_modA,tRPS3,modA,ExpRep1,FALSE,+RT,2,mCh-7,12.37,-1.7899999999999991,3.4581489252314586
TRUE,255,I7,Sample 199,9.88,NA,0,NA,I7,9.88,I,7,pPGK1-mCherry-tRPS3_modA_BioRep1_ExpRep1,pPGK1-mCherry-tRPS3_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep1,tRPS3_modA,tRPS3,modA,ExpRep1,FALSE,+RT,3,mCh-7,12.37,-2.4899999999999984,5.617779502951983
TRUE,255,A8,Sample 8,11.66,NA,0,NA,A8,11.66,A,8,pPGK1-mCherry-tRPS3_modA_BioRep2_ExpRep1,pPGK1-mCherry-tRPS3_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep2,tRPS3_modA,tRPS3,modA,ExpRep1,FALSE,+RT,1,mCh-7,13.62,-1.959999999999999,3.8906197896491395
TRUE,255,E8,Sample 104,11.48,NA,0,NA,E8,11.48,E,8,pPGK1-mCherry-tRPS3_modA_BioRep2_ExpRep1,pPGK1-mCherry-tRPS3_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep2,tRPS3_modA,tRPS3,modA,ExpRep1,FALSE,+RT,2,mCh-7,13.62,-2.139999999999999,4.407620463506439
TRUE,255,I8,Sample 200,11.21,NA,0,NA,I8,11.21,I,8,pPGK1-mCherry-tRPS3_modA_BioRep2_ExpRep1,pPGK1-mCherry-tRPS3_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep2,tRPS3_modA,tRPS3,modA,ExpRep1,FALSE,+RT,3,mCh-7,13.62,-2.4099999999999984,5.31474325638604
TRUE,255,A9,Sample 9,11.74,NA,0,NA,A9,11.74,A,9,pPGK1-mCherry-tRPS3_modA_BioRep3_ExpRep1,pPGK1-mCherry-tRPS3_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep3,tRPS3_modA,tRPS3,modA,ExpRep1,FALSE,+RT,1,mCh-7,13.78,-2.039999999999999,4.1124553066242635
TRUE,255,E9,Sample 105,11.8,NA,0,NA,E9,11.8,E,9,pPGK1-mCherry-tRPS3_modA_BioRep3_ExpRep1,pPGK1-mCherry-tRPS3_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep3,tRPS3_modA,tRPS3,modA,ExpRep1,FALSE,+RT,2,mCh-7,13.78,-1.9799999999999986,3.944930817973433
TRUE,255,I9,Sample 201,11.45,NA,0,NA,I9,11.45,I,9,pPGK1-mCherry-tRPS3_modA_BioRep3_ExpRep1,pPGK1-mCherry-tRPS3_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep3,tRPS3_modA,tRPS3,modA,ExpRep1,FALSE,+RT,3,mCh-7,13.78,-2.33,5.0280534980873135
TRUE,255,A7,Sample 7,10.74,NA,0,NA,A7,10.74,A,7,pPGK1-mCherry-tRPS3_modA_BioRep4_ExpRep2,pPGK1-mCherry-tRPS3_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep4,tRPS3_modA,tRPS3,modA,ExpRep2,FALSE,+RT,1,mCh-7,13,-2.26,4.789914818475714
TRUE,255,E7,Sample 103,10.87,NA,0,NA,E7,10.87,E,7,pPGK1-mCherry-tRPS3_modA_BioRep4_ExpRep2,pPGK1-mCherry-tRPS3_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep4,tRPS3_modA,tRPS3,modA,ExpRep2,FALSE,+RT,2,mCh-7,13,-2.130000000000001,4.37717480504296
TRUE,255,I7,Sample 199,10.47,NA,0,NA,I7,10.47,I,7,pPGK1-mCherry-tRPS3_modA_BioRep4_ExpRep2,pPGK1-mCherry-tRPS3_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep4,tRPS3_modA,tRPS3,modA,ExpRep2,FALSE,+RT,3,mCh-7,13,-2.5299999999999994,5.775716782089982
TRUE,255,A8,Sample 8,11.41,NA,0,NA,A8,11.41,A,8,pPGK1-mCherry-tRPS3_modA_BioRep5_ExpRep2,pPGK1-mCherry-tRPS3_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep5,tRPS3_modA,tRPS3,modA,ExpRep2,FALSE,+RT,1,mCh-7,13.67,-2.26,4.789914818475714
TRUE,255,E8,Sample 104,11.5,NA,0,NA,E8,11.5,E,8,pPGK1-mCherry-tRPS3_modA_BioRep5_ExpRep2,pPGK1-mCherry-tRPS3_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep5,tRPS3_modA,tRPS3,modA,ExpRep2,FALSE,+RT,2,mCh-7,13.67,-2.17,4.500233938755238
TRUE,255,I8,Sample 200,11.16,NA,0,NA,I8,11.16,I,8,pPGK1-mCherry-tRPS3_modA_BioRep5_ExpRep2,pPGK1-mCherry-tRPS3_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep5,tRPS3_modA,tRPS3,modA,ExpRep2,FALSE,+RT,3,mCh-7,13.67,-2.51,5.696200782388286
TRUE,255,A9,Sample 9,11.87,NA,0,NA,A9,11.87,A,9,pPGK1-mCherry-tRPS3_modA_BioRep6_ExpRep2,pPGK1-mCherry-tRPS3_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep6,tRPS3_modA,tRPS3,modA,ExpRep2,FALSE,+RT,1,mCh-7,14.09,-2.2200000000000006,4.658934345873825
TRUE,255,E9,Sample 105,12.37,NA,0,NA,E9,12.37,E,9,pPGK1-mCherry-tRPS3_modA_BioRep6_ExpRep2,pPGK1-mCherry-tRPS3_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep6,tRPS3_modA,tRPS3,modA,ExpRep2,FALSE,+RT,2,mCh-7,14.09,-1.7200000000000006,3.2943640690702938
TRUE,255,I9,Sample 201,11.58,NA,0,NA,I9,11.58,I,9,pPGK1-mCherry-tRPS3_modA_BioRep6_ExpRep2,pPGK1-mCherry-tRPS3_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep6,tRPS3_modA,tRPS3,modA,ExpRep2,FALSE,+RT,3,mCh-7,14.09,-2.51,5.696200782388286
TRUE,255,A10,Sample 10,12.19,NA,0,NA,A10,12.19,A,10,pPGK1-mCherry-tRPS3_modB_BioRep1_ExpRep1,pPGK1-mCherry-tRPS3_modB,pPGK1-mCherry,pPGK1,mCherry,BioRep1,tRPS3_modB,tRPS3,modB,ExpRep1,FALSE,+RT,1,mCh-7,13.25,-1.0600000000000005,2.0849315216822437
TRUE,255,E10,Sample 106,11.94,NA,0,NA,E10,11.94,E,10,pPGK1-mCherry-tRPS3_modB_BioRep1_ExpRep1,pPGK1-mCherry-tRPS3_modB,pPGK1-mCherry,pPGK1,mCherry,BioRep1,tRPS3_modB,tRPS3,modB,ExpRep1,FALSE,+RT,2,mCh-7,13.25,-1.3100000000000005,2.4794153998779738
TRUE,255,I10,Sample 202,11.71,NA,0,NA,I10,11.71,I,10,pPGK1-mCherry-tRPS3_modB_BioRep1_ExpRep1,pPGK1-mCherry-tRPS3_modB,pPGK1-mCherry,pPGK1,mCherry,BioRep1,tRPS3_modB,tRPS3,modB,ExpRep1,FALSE,+RT,3,mCh-7,13.25,-1.5399999999999991,2.9079450346406195
