Include,Color,Pos,Name,Cp,Concentration,Standard,Status,well,cq,well_row,well_col,sample_id,strain,pro_mCh,promoter,mCherry,bio_rep,ter_mod,terminator,construct,exp_rep,remove,prep_type,tech_rep,target_id,ref_cq,delta_cq,rel_abund
TRUE,255,A4,Sample 4,9.66,NA,0,NA,A4,9.66,A,4,pPGK1-mCherry-tTSA1_mod0_BioRep1_ExpRep1,pPGK1-mCherry-tTSA1_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep1,tTSA1_mod0,tTSA1,mod0,ExpRep1,FALSE,+RT,1,mCh-7,10.65,-0.9900000000000002,1.986184990874072
TRUE,255,E4,Sample 100,9.36,NA,0,NA,E4,9.36,E,4,pPGK1-mCherry-tTSA1_mod0_BioRep1_ExpRep1,pPGK1-mCherry-tTSA1_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep1,tTSA1_mod0,tTSA1,mod0,ExpRep1,FALSE,+RT,2,mCh-7,10.65,-1.290000000000001,2.4452805553841386
TRUE,255,I4,Sample 196,9.58,NA,0,NA,I4,9.58,I,4,pPGK1-mCherry-tTSA1_mod0_BioRep1_ExpRep1,pPGK1-mCherry-tTSA1_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep1,tTSA1_mod0,tTSA1,mod0,ExpRep1,FALSE,+RT,3,mCh-7,10.65,-1.0700000000000003,2.099433367246135
TRUE,255,A5,Sample 5,10.69,NA,0,NA,A5,10.69,A,5,pPGK1-mCherry-tTSA1_mod0_BioRep2_ExpRep1,pPGK1-mCherry-tTSA1_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep2,tTSA1_mod0,tTSA1,mod0,ExpRep1,FALSE,+RT,1,mCh-7,11.64,-0.9500000000000011,1.9318726578496925
TRUE,255,E5,Sample 101,10.49,NA,0,NA,E5,10.49,E,5,pPGK1-mCherry-tTSA1_mod0_BioRep2_ExpRep1,pPGK1-mCherry-tTSA1_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep2,tTSA1_mod0,tTSA1,mod0,ExpRep1,FALSE,+RT,2,mCh-7,11.64,-1.1500000000000004,2.2191389441356906
TRUE,255,I5,Sample 197,10.64,NA,0,NA,I5,10.64,I,5,pPGK1-mCherry-tTSA1_mod0_BioRep2_ExpRep1,pPGK1-mCherry-tTSA1_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep2,tTSA1_mod0,tTSA1,mod0,ExpRep1,FALSE,+RT,3,mCh-7,11.64,-1,2
TRUE,255,A6,Sample 6,9.74,NA,0,NA,A6,9.74,A,6,pPGK1-mCherry-tTSA1_mod0_BioRep3_ExpRep1,pPGK1-mCherry-tTSA1_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep3,tTSA1_mod0,tTSA1,mod0,ExpRep1,FALSE,+RT,1,mCh-7,10.63,-0.8900000000000006,1.8531761237807425
TRUE,255,E6,Sample 102,9.68,NA,0,NA,E6,9.68,E,6,pPGK1-mCherry-tTSA1_mod0_BioRep3_ExpRep1,pPGK1-mCherry-tTSA1_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep3,tTSA1_mod0,tTSA1,mod0,ExpRep1,FALSE,+RT,2,mCh-7,10.63,-0.9500000000000011,1.9318726578496925
TRUE,255,I6,Sample 198,9.77,NA,0,NA,I6,9.77,I,6,pPGK1-mCherry-tTSA1_mod0_BioRep3_ExpRep1,pPGK1-mCherry-tTSA1_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep3,tTSA1_mod0,tTSA1,mod0,ExpRep1,FALSE,+RT,3,mCh-7,10.63,-0.8600000000000012,1.8150383106343233
TRUE,255,A4,Sample 4,11.46,NA,0,NA,A4,11.46,A,4,pPGK1-mCherry-tTSA1_mod0_BioRep4_ExpRep2,pPGK1-mCherry-tTSA1_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep4,tTSA1_mod0,tTSA1,mod0,ExpRep2,FALSE,+RT,1,mCh-7,11.53,-0.06999999999999851,1.0497166836230662
TRUE,255,E4,Sample 100,11.31,NA,0,NA,E4,11.31,E,4,pPGK1-mCherry-tTSA1_mod0_BioRep4_ExpRep2,pPGK1-mCherry-tTSA1_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep4,tTSA1_mod0,tTSA1,mod0,ExpRep2,FALSE,+RT,2,mCh-7,11.53,-0.21999999999999886,1.164733586468455
TRUE,255,I4,Sample 196,11.32,NA,0,NA,I4,11.32,I,4,pPGK1-mCherry-tTSA1_mod0_BioRep4_ExpRep2,pPGK1-mCherry-tTSA1_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep4,tTSA1_mod0,tTSA1,mod0,ExpRep2,FALSE,+RT,3,mCh-7,11.53,-0.20999999999999908,1.1566881839052867
TRUE,255,A5,Sample 5,10.2,NA,0,NA,A5,10.2,A,5,pPGK1-mCherry-tTSA1_mod0_BioRep5_ExpRep2,pPGK1-mCherry-tTSA1_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep5,tTSA1_mod0,tTSA1,mod0,ExpRep2,FALSE,+RT,1,mCh-7,10.44,-0.2400000000000002,1.1809926614295305
