Include,Color,Pos,Name,Cp,Concentration,Standard,Status,well,cq,well_row,well_col,sample_id,strain,pro_mCh,promoter,mCherry,bio_rep,ter_mod,terminator,construct,exp_rep,remove,prep_type,tech_rep,target_id,ref_cq,delta_cq,rel_abund
TRUE,255,A4,Sample 4,11.52,NA,0,NA,A4,11.52,A,4,pRPS3-mCherry-tRPS3_mod0_BioRep1_ExpRep1,pRPS3-mCherry-tRPS3_mod0,pRPS3-mCherry,pRPS3,mCherry,BioRep1,tRPS3_mod0,tRPS3,mod0,ExpRep1,FALSE,+RT,1,mCh-7,12.95,-1.4299999999999997,2.69446715373138
TRUE,255,E4,Sample 100,11.5,NA,0,NA,E4,11.5,E,4,pRPS3-mCherry-tRPS3_mod0_BioRep1_ExpRep1,pRPS3-mCherry-tRPS3_mod0,pRPS3-mCherry,pRPS3,mCherry,BioRep1,tRPS3_mod0,tRPS3,mod0,ExpRep1,FALSE,+RT,2,mCh-7,12.95,-1.4499999999999993,2.7320805135087896
TRUE,255,I4,Sample 196,11.19,NA,0,NA,I4,11.19,I,4,pRPS3-mCherry-tRPS3_mod0_BioRep1_ExpRep1,pRPS3-mCherry-tRPS3_mod0,pRPS3-mCherry,pRPS3,mCherry,BioRep1,tRPS3_mod0,tRPS3,mod0,ExpRep1,FALSE,+RT,3,mCh-7,12.95,-1.7599999999999998,3.386981249450108
TRUE,255,A5,Sample 5,9.76,NA,0,NA,A5,9.76,A,5,pRPS3-mCherry-tRPS3_mod0_BioRep2_ExpRep1,pRPS3-mCherry-tRPS3_mod0,pRPS3-mCherry,pRPS3,mCherry,BioRep2,tRPS3_mod0,tRPS3,mod0,ExpRep1,FALSE,+RT,1,mCh-7,11.45,-1.6899999999999995,3.226567036888504
TRUE,255,E5,Sample 101,10.32,NA,0,NA,E5,10.32,E,5,pRPS3-mCherry-tRPS3_mod0_BioRep2_ExpRep1,pRPS3-mCherry-tRPS3_mod0,pRPS3-mCherry,pRPS3,mCherry,BioRep2,tRPS3_mod0,tRPS3,mod0,ExpRep1,FALSE,+RT,2,mCh-7,11.45,-1.129999999999999,2.1885874025214775
TRUE,255,I5,Sample 197,9.88,NA,0,NA,I5,9.88,I,5,pRPS3-mCherry-tRPS3_mod0_BioRep2_ExpRep1,pRPS3-mCherry-tRPS3_mod0,pRPS3-mCherry,pRPS3,mCherry,BioRep2,tRPS3_mod0,tRPS3,mod0,ExpRep1,FALSE,+RT,3,mCh-7,11.45,-1.5699999999999985,2.969047141258095
TRUE,255,A6,Sample 6,11.3,NA,0,NA,A6,11.3,A,6,pRPS3-mCherry-tRPS3_mod0_BioRep3_ExpRep1,pRPS3-mCherry-tRPS3_mod0,pRPS3-mCherry,pRPS3,mCherry,BioRep3,tRPS3_mod0,tRPS3,mod0,ExpRep1,FALSE,+RT,1,mCh-7,11.97,-0.6699999999999999,1.5910729675098372
TRUE,255,E6,Sample 102,11.21,NA,0,NA,E6,11.21,E,6,pRPS3-mCherry-tRPS3_mod0_BioRep3_ExpRep1,pRPS3-mCherry-tRPS3_mod0,pRPS3-mCherry,pRPS3,mCherry,BioRep3,tRPS3_mod0,tRPS3,mod0,ExpRep1,FALSE,+RT,2,mCh-7,11.97,-0.7599999999999998,1.693490624725054
TRUE,255,I6,Sample 198,10.56,NA,0,NA,I6,10.56,I,6,pRPS3-mCherry-tRPS3_mod0_BioRep3_ExpRep1,pRPS3-mCherry-tRPS3_mod0,pRPS3-mCherry,pRPS3,mCherry,BioRep3,tRPS3_mod0,tRPS3,mod0,ExpRep1,FALSE,+RT,3,mCh-7,11.97,-1.4100000000000001,2.6573716281930233
TRUE,255,A4,Sample 4,12.87,NA,0,NA,A4,12.87,A,4,pRPS3-mCherry-tRPS3_mod0_BioRep4_ExpRep2,pRPS3-mCherry-tRPS3_mod0,pRPS3-mCherry,pRPS3,mCherry,BioRep4,tRPS3_mod0,tRPS3,mod0,ExpRep2,FALSE,+RT,1,mCh-7,15.3,-2.4300000000000015,5.388934307462766
