Include,Color,Pos,Name,Cp,Concentration,Standard,Status,well,cq,well_row,well_col,sample_id,strain,pro_mCh,promoter,mCherry,bio_rep,ter_mod,terminator,construct,exp_rep,remove,prep_type,tech_rep,target_id,ref_cq,delta_cq,rel_abund
TRUE,255,A4,Sample 4,11.24,NA,0,NA,A4,11.24,A,4,pTSA1-mCherry-tTSA1_mod0_BioRep1_ExpRep1,pTSA1-mCherry-tTSA1_mod0,pTSA1-mCherry,pTSA1,mCherry,BioRep1,tTSA1_mod0,tTSA1,mod0,ExpRep1,FALSE,+RT,1,mCh-7,12.62,-1.379999999999999,2.6026837108838654
TRUE,255,E4,Sample 100,10.84,NA,0,NA,E4,10.84,E,4,pTSA1-mCherry-tTSA1_mod0_BioRep1_ExpRep1,pTSA1-mCherry-tTSA1_mod0,pTSA1-mCherry,pTSA1,mCherry,BioRep1,tTSA1_mod0,tTSA1,mod0,ExpRep1,FALSE,+RT,2,mCh-7,12.62,-1.7799999999999994,3.4342617457510136
TRUE,255,I4,Sample 196,10.85,NA,0,NA,I4,10.85,I,4,pTSA1-mCherry-tTSA1_mod0_BioRep1_ExpRep1,pTSA1-mCherry-tTSA1_mod0,pTSA1-mCherry,pTSA1,mCherry,BioRep1,tTSA1_mod0,tTSA1,mod0,ExpRep1,FALSE,+RT,3,mCh-7,12.62,-1.7699999999999996,3.410539567071826
TRUE,255,A5,Sample 5,11.34,NA,0,NA,A5,11.34,A,5,pTSA1-mCherry-tTSA1_mod0_BioRep2_ExpRep1,pTSA1-mCherry-tTSA1_mod0,pTSA1-mCherry,pTSA1,mCherry,BioRep2,tTSA1_mod0,tTSA1,mod0,ExpRep1,FALSE,+RT,1,mCh-7,12.7,-1.3599999999999994,2.566851795125807
TRUE,255,E5,Sample 101,11.5,NA,0,NA,E5,11.5,E,5,pTSA1-mCherry-tTSA1_mod0_BioRep2_ExpRep1,pTSA1-mCherry-tTSA1_mod0,pTSA1-mCherry,pTSA1,mCherry,BioRep2,tTSA1_mod0,tTSA1,mod0,ExpRep1,FALSE,+RT,2,mCh-7,12.7,-1.1999999999999993,2.297396709994069
TRUE,255,I5,Sample 197,11.35,NA,0,NA,I5,11.35,I,5,pTSA1-mCherry-tTSA1_mod0_BioRep2_ExpRep1,pTSA1-mCherry-tTSA1_mod0,pTSA1-mCherry,pTSA1,mCherry,BioRep2,tTSA1_mod0,tTSA1,mod0,ExpRep1,FALSE,+RT,3,mCh-7,12.7,-1.3499999999999996,2.5491212546385236
TRUE,255,A6,Sample 6,11.82,NA,0,NA,A6,11.82,A,6,pTSA1-mCherry-tTSA1_mod0_BioRep3_ExpRep1,pTSA1-mCherry-tTSA1_mod0,pTSA1-mCherry,pTSA1,mCherry,BioRep3,tTSA1_mod0,tTSA1,mod0,ExpRep1,FALSE,+RT,1,mCh-7,13.29,-1.4699999999999989,2.7702189362218474
TRUE,255,E6,Sample 102,11.88,NA,0,NA,E6,11.88,E,6,pTSA1-mCherry-tTSA1_mod0_BioRep3_ExpRep1,pTSA1-mCherry-tTSA1_mod0,pTSA1-mCherry,pTSA1,mCherry,BioRep3,tTSA1_mod0,tTSA1,mod0,ExpRep1,FALSE,+RT,2,mCh-7,13.29,-1.4099999999999984,2.65737162819302
TRUE,255,I6,Sample 198,11.65,NA,0,NA,I6,11.65,I,6,pTSA1-mCherry-tTSA1_mod0_BioRep3_ExpRep1,pTSA1-mCherry-tTSA1_mod0,pTSA1-mCherry,pTSA1,mCherry,BioRep3,tTSA1_mod0,tTSA1,mod0,ExpRep1,FALSE,+RT,3,mCh-7,13.29,-1.6399999999999988,3.116658318641997
TRUE,255,A4,Sample 4,10.45,NA,0,NA,A4,10.45,A,4,pTSA1-mCherry-tTSA1_mod0_BioRep4_ExpRep2,pTSA1-mCherry-tTSA1_mod0,pTSA1-mCherry,pTSA1,mCherry,BioRep4,tTSA1_mod0,tTSA1,mod0,ExpRep2,FALSE,+RT,1,mCh-7,10.92,-0.47000000000000064,1.3851094681109253
TRUE,255,E4,Sample 100,9.83,NA,0,NA,E4,9.83,E,4,pTSA1-mCherry-tTSA1_mod0_BioRep4_ExpRep2,pTSA1-mCherry-tTSA1_mod0,pTSA1-mCherry,pTSA1,mCherry,BioRep4,tTSA1_mod0,tTSA1,mod0,ExpRep2,FALSE,+RT,2,mCh-7,10.92,-1.0899999999999999,2.1287403649067196
TRUE,255,I4,Sample 196,9.65,NA,0,NA,I4,9.65,I,4,pTSA1-mCherry-tTSA1_mod0_BioRep4_ExpRep2,pTSA1-mCherry-tTSA1_mod0,pTSA1-mCherry,pTSA1,mCherry,BioRep4,tTSA1_mod0,tTSA1,mod0,ExpRep2,FALSE,+RT,3,mCh-7,10.92,-1.2699999999999996,2.41161565538152
TRUE,255,A5,Sample 5,10.86,NA,0,NA,A5,10.86,A,5,pTSA1-mCherry-tTSA1_mod0_BioRep5_ExpRep2,pTSA1-mCherry-tTSA1_mod0,pTSA1-mCherry,pTSA1,mCherry,BioRep5,tTSA1_mod0,tTSA1,mod0,ExpRep2,FALSE,+RT,1,mCh-7,11.89,-1.0300000000000011,2.042024251414388
TRUE,255,E5,Sample 101,10.59,NA,0,NA,E5,10.59,E,5,pTSA1-mCherry-tTSA1_mod0_BioRep5_ExpRep2,pTSA1-mCherry-tTSA1_mod0,pTSA1-mCherry,pTSA1,mCherry,BioRep5,tTSA1_mod0,tTSA1,mod0,ExpRep2,FALSE,+RT,2,mCh-7,11.89,-1.3000000000000007,2.462288826689834
