"strain","promoter","mCherry","UTR3","target_id","bio_rep","deltacq","rel_abund_deltacq","na.rm"
"pPGK1-mCherry-tCLN2","pPGK1","mCherry","tCLN2","mCh-7","bio_rep1",-1.11888888888889,2.17179644236109,FALSE
"pPGK1-mCherry-tCLN2","pPGK1","mCherry","tCLN2","mCh-7","bio_rep2",-1.52777777777778,2.88341356871586,FALSE
"pPGK1-mCherry-tCLN2","pPGK1","mCherry","tCLN2","mCh-7","bio_rep3",-1.27444444444444,2.4190564645193,FALSE
"pPGK1-mCherry-tCLN2","pPGK1","mCherry","tCLN2","PGK1-ORF","bio_rep1",-0.258888888888889,1.19655680524015,FALSE
"pPGK1-mCherry-tCLN2","pPGK1","mCherry","tCLN2","PGK1-ORF","bio_rep2",-0.107777777777779,1.07756715167467,FALSE
"pPGK1-mCherry-tCLN2","pPGK1","mCherry","tCLN2","PGK1-ORF","bio_rep3",-0.234444444444444,1.17645361914218,FALSE
"pPGK1-mCherry-tCLN2","pPGK1","mCherry","tCLN2","RPS3-ORF","bio_rep1",0.771111111111111,0.585966011133987,FALSE
"pPGK1-mCherry-tCLN2","pPGK1","mCherry","tCLN2","RPS3-ORF","bio_rep2",0.582222222222223,0.667934147566207,FALSE
"pPGK1-mCherry-tCLN2","pPGK1","mCherry","tCLN2","RPS3-ORF","bio_rep3",0.375555555555556,0.770808531234609,FALSE
"pPGK1-mCherry-tCLN2","pPGK1","mCherry","tCLN2","URA3-ORF","bio_rep1",-0.328888888888889,1.25604564136331,FALSE
"pPGK1-mCherry-tCLN2","pPGK1","mCherry","tCLN2","URA3-ORF","bio_rep2",-0.257777777777777,1.19563561560132,FALSE
"pPGK1-mCherry-tCLN2","pPGK1","mCherry","tCLN2","URA3-ORF","bio_rep3",-0.154444444444444,1.11299294240747,FALSE
"pPGK1-mCherry-tHSP26","pPGK1","mCherry","tHSP26","mCh-7","bio_rep1",-1.06111111111111,2.08653787841032,FALSE
"pPGK1-mCherry-tHSP26","pPGK1","mCherry","tHSP26","mCh-7","bio_rep2",-1.36888888888889,2.5827157815934,FALSE
"pPGK1-mCherry-tHSP26","pPGK1","mCherry","tHSP26","mCh-7","bio_rep3",-0.92,1.89211529345119,FALSE
"pPGK1-mCherry-tHSP26","pPGK1","mCherry","tHSP26","PGK1-ORF","bio_rep1",-0.441111111111111,1.35764953707018,FALSE
"pPGK1-mCherry-tHSP26","pPGK1","mCherry","tHSP26","PGK1-ORF","bio_rep2",-0.318888888888889,1.2473695003643,FALSE
"pPGK1-mCherry-tHSP26","pPGK1","mCherry","tHSP26","PGK1-ORF","bio_rep3",-0.25,1.18920711500272,FALSE
"pPGK1-mCherry-tHSP26","pPGK1","mCherry","tHSP26","RPS3-ORF","bio_rep1",0.61888888888889,0.65117224376499,FALSE
"pPGK1-mCherry-tHSP26","pPGK1","mCherry","tHSP26","RPS3-ORF","bio_rep2",0.661111111111111,0.632391064847666,FALSE
"pPGK1-mCherry-tHSP26","pPGK1","mCherry","tHSP26","RPS3-ORF","bio_rep3",0.16,0.895025070927972,FALSE
"pPGK1-mCherry-tHSP26","pPGK1","mCherry","tHSP26","URA3-ORF","bio_rep1",-0.141111111111112,1.10275408989719,FALSE
"pPGK1-mCherry-tHSP26","pPGK1","mCherry","tHSP26","URA3-ORF","bio_rep2",-0.378888888888888,1.30033999524728,FALSE
"pPGK1-mCherry-tHSP26","pPGK1","mCherry","tHSP26","URA3-ORF","bio_rep3",-0.0899999999999999,1.06437018245336,FALSE
"pPGK1-mCherry-tPAB1","pPGK1","mCherry","tPAB1","mCh-7","bio_rep1",-0.777777777777779,1.71448796570615,FALSE
"pPGK1-mCherry-tPAB1","pPGK1","mCherry","tPAB1","mCh-7","bio_rep2",-1.10777777777778,2.15513430334935,FALSE
"pPGK1-mCherry-tPAB1","pPGK1","mCherry","tPAB1","mCh-7","bio_rep3",-0.776666666666667,1.71316803794091,FALSE
"pPGK1-mCherry-tPAB1","pPGK1","mCherry","tPAB1","PGK1-ORF","bio_rep1",-0.607777777777779,1.52391008026607,FALSE
"pPGK1-mCherry-tPAB1","pPGK1","mCherry","tPAB1","PGK1-ORF","bio_rep2",-0.107777777777779,1.07756715167467,FALSE
"pPGK1-mCherry-tPAB1","pPGK1","mCherry","tPAB1","PGK1-ORF","bio_rep3",-0.226666666666668,1.17012825320612,FALSE
"pPGK1-mCherry-tPAB1","pPGK1","mCherry","tPAB1","RPS3-ORF","bio_rep1",0.742222222222221,0.59781780780066,FALSE
"pPGK1-mCherry-tPAB1","pPGK1","mCherry","tPAB1","RPS3-ORF","bio_rep2",0.422222222222222,0.746274232154955,FALSE
"pPGK1-mCherry-tPAB1","pPGK1","mCherry","tPAB1","RPS3-ORF","bio_rep3",0.233333333333333,0.850667160950856,FALSE
"pPGK1-mCherry-tPAB1","pPGK1","mCherry","tPAB1","URA3-ORF","bio_rep1",-0.357777777777779,1.28145052366474,FALSE
"pPGK1-mCherry-tPAB1","pPGK1","mCherry","tPAB1","URA3-ORF","bio_rep2",-0.137777777777778,1.1002091281236,FALSE
"pPGK1-mCherry-tPAB1","pPGK1","mCherry","tPAB1","URA3-ORF","bio_rep3",-0.0366666666666671,1.02574112143402,FALSE
"pPGK1-mCherry-tPGK1","pPGK1","mCherry","tPGK1","mCh-7","bio_rep1",-0.852222222222222,1.80527950559862,FALSE
"pPGK1-mCherry-tPGK1","pPGK1","mCherry","tPGK1","mCh-7","bio_rep2",-0.00111111111111128,1.00077046018604,FALSE
"pPGK1-mCherry-tPGK1","pPGK1","mCherry","tPGK1","mCh-7","bio_rep3",-0.405555555555555,1.32459889107848,FALSE
"pPGK1-mCherry-tPGK1","pPGK1","mCherry","tPGK1","PGK1-ORF","bio_rep1",-0.662222222222221,1.58251834318233,FALSE
"pPGK1-mCherry-tPGK1","pPGK1","mCherry","tPGK1","PGK1-ORF","bio_rep2",0.348888888888888,0.785188588706782,FALSE
"pPGK1-mCherry-tPGK1","pPGK1","mCherry","tPGK1","PGK1-ORF","bio_rep3",-0.185555555555554,1.13725482502376,FALSE
"pPGK1-mCherry-tPGK1","pPGK1","mCherry","tPGK1","RPS3-ORF","bio_rep1",0.947777777777778,0.51843039959775,FALSE
"pPGK1-mCherry-tPGK1","pPGK1","mCherry","tPGK1","RPS3-ORF","bio_rep2",0.308888888888889,0.807263244582006,FALSE
"pPGK1-mCherry-tPGK1","pPGK1","mCherry","tPGK1","RPS3-ORF","bio_rep3",0.234444444444446,0.85001226034661,FALSE
"pPGK1-mCherry-tPGK1","pPGK1","mCherry","tPGK1","URA3-ORF","bio_rep1",-0.112222222222222,1.08089188191967,FALSE
"pPGK1-mCherry-tPGK1","pPGK1","mCherry","tPGK1","URA3-ORF","bio_rep2",-0.571111111111112,1.48566733693546,FALSE
"pPGK1-mCherry-tPGK1","pPGK1","mCherry","tPGK1","URA3-ORF","bio_rep3",-0.0855555555555547,1.06109627153158,FALSE
"pPGK1-mCherry-tPMA1","pPGK1","mCherry","tPMA1","mCh-7","bio_rep1",0.094444444444445,0.936632858233772,FALSE
"pPGK1-mCherry-tPMA1","pPGK1","mCherry","tPMA1","mCh-7","bio_rep2",-0.125555555555556,1.09092774817482,FALSE
"pPGK1-mCherry-tPMA1","pPGK1","mCherry","tPMA1","mCh-7","bio_rep3",-0.0244444444444447,1.0170879546553,FALSE
"pPGK1-mCherry-tPMA1","pPGK1","mCherry","tPMA1","PGK1-ORF","bio_rep1",-0.755555555555555,1.68828159355938,FALSE
"pPGK1-mCherry-tPMA1","pPGK1","mCherry","tPMA1","PGK1-ORF","bio_rep2",-0.465555555555556,1.38084899079743,FALSE
"pPGK1-mCherry-tPMA1","pPGK1","mCherry","tPMA1","PGK1-ORF","bio_rep3",-0.274444444444445,1.20952823225965,FALSE
"pPGK1-mCherry-tPMA1","pPGK1","mCherry","tPMA1","RPS3-ORF","bio_rep1",0.314444444444444,0.80416059871142,FALSE
"pPGK1-mCherry-tPMA1","pPGK1","mCherry","tPMA1","RPS3-ORF","bio_rep2",0.0344444444444445,0.976407685187464,FALSE
"pPGK1-mCherry-tPMA1","pPGK1","mCherry","tPMA1","RPS3-ORF","bio_rep3",0.0755555555555567,0.948976616988089,FALSE
"pPGK1-mCherry-tPMA1","pPGK1","mCherry","tPMA1","URA3-ORF","bio_rep1",0.224444444444444,0.855924563172277,FALSE
"pPGK1-mCherry-tPMA1","pPGK1","mCherry","tPMA1","URA3-ORF","bio_rep2",0.314444444444446,0.804160598711419,FALSE
"pPGK1-mCherry-tPMA1","pPGK1","mCherry","tPMA1","URA3-ORF","bio_rep3",0.325555555555557,0.797991035384881,FALSE
