strain,Pro_mCh,Promoter,mCherry,UTR3,Terminator,Length,target_id,BioRep,ExpRep,median_delta_deltacq,rel_abund_delta_deltacq,na.rm
pSRO9-mCherry-tSRO9_WT-200bp,pSRO9-mCherry,pSRO9,mCherry,tSRO9_200bp,tSRO9_WT,200bp,mCh-7,BioRep1,1,0.8172222222222221,0.567533625599468,FALSE
pSRO9-mCherry-tSRO9_WT-200bp,pSRO9-mCherry,pSRO9,mCherry,tSRO9_200bp,tSRO9_WT,200bp,mCh-7,BioRep2,1,0.8322222222222226,0.561663430313969,FALSE
pSRO9-mCherry-tSRO9_WT-200bp,pSRO9-mCherry,pSRO9,mCherry,tSRO9_200bp,tSRO9_WT,200bp,mCh-7,BioRep3,1,0.8988888888888891,0.5362996106588168,FALSE
pSRO9-mCherry-tSRO9_WT-200bp,pSRO9-mCherry,pSRO9,mCherry,tSRO9_200bp,tSRO9_WT,200bp,mCh-7,BioRep4,2,0.9772222222222213,0.5079568235061734,FALSE
pSRO9-mCherry-tSRO9_WT-200bp,pSRO9-mCherry,pSRO9,mCherry,tSRO9_200bp,tSRO9_WT,200bp,mCh-7,BioRep5,2,-0.20111111111111146,1.1495833813453324,FALSE
pSRO9-mCherry-tSRO9_WT-200bp,pSRO9-mCherry,pSRO9,mCherry,tSRO9_200bp,tSRO9_WT,200bp,mCh-7,BioRep6,2,1.372222222222221,0.3862957680583416,FALSE
pSRO9-mCherry-tSRO9_WT-500bp,pSRO9-mCherry,pSRO9,mCherry,tSRO9_500bp,tSRO9_WT,500bp,mCh-7,BioRep1,1,0.05055555555555635,0.9655644360656899,FALSE
pSRO9-mCherry-tSRO9_WT-500bp,pSRO9-mCherry,pSRO9,mCherry,tSRO9_500bp,tSRO9_WT,500bp,mCh-7,BioRep2,1,-0.12944444444444514,1.0938723898335467,FALSE
pSRO9-mCherry-tSRO9_WT-500bp,pSRO9-mCherry,pSRO9,mCherry,tSRO9_500bp,tSRO9_WT,500bp,mCh-7,BioRep3,1,0.07888888888888879,0.9467865464760986,FALSE
pSRO9-mCherry-tSRO9_WT-500bp,pSRO9-mCherry,pSRO9,mCherry,tSRO9_500bp,tSRO9_WT,500bp,mCh-7,BioRep4,2,-0.4911111111111106,1.4055269445982435,FALSE
pSRO9-mCherry-tSRO9_WT-500bp,pSRO9-mCherry,pSRO9,mCherry,tSRO9_500bp,tSRO9_WT,500bp,mCh-7,BioRep5,2,0.5022222222222217,0.7060184438844685,FALSE
pSRO9-mCherry-tSRO9_WT-500bp,pSRO9-mCherry,pSRO9,mCherry,tSRO9_500bp,tSRO9_WT,500bp,mCh-7,BioRep6,2,-0.01111111111111196,1.0077313692171521,FALSE
pRPS3-mCherry-tRPS3_WT-59bp,pRPS3-mCherry,pRPS3,mCherry,tRPS3_59bp,tRPS3_WT,59bp,mCh-7,BioRep1,1,0.8483333333333345,0.5554260188414089,FALSE
pRPS3-mCherry-tRPS3_WT-59bp,pRPS3-mCherry,pRPS3,mCherry,tRPS3_59bp,tRPS3_WT,59bp,mCh-7,BioRep2,1,1.1533333333333324,0.4495852678190932,FALSE
pRPS3-mCherry-tRPS3_WT-59bp,pRPS3-mCherry,pRPS3,mCherry,tRPS3_59bp,tRPS3_WT,59bp,mCh-7,BioRep3,1,1.1033333333333335,0.4654398580489385,FALSE
pRPS3-mCherry-tRPS3_WT-59bp,pRPS3-mCherry,pRPS3,mCherry,tRPS3_59bp,tRPS3_WT,59bp,mCh-7,BioRep4,2,0.7166666666666668,0.6085017568352954,FALSE
pRPS3-mCherry-tRPS3_WT-59bp,pRPS3-mCherry,pRPS3,mCherry,tRPS3_59bp,tRPS3_WT,59bp,mCh-7,BioRep5,2,1.0316666666666663,0.4891447401010006,FALSE
pRPS3-mCherry-tRPS3_WT-59bp,pRPS3-mCherry,pRPS3,mCherry,tRPS3_59bp,tRPS3_WT,59bp,mCh-7,BioRep6,2,0.8633333333333333,0.5496810566925988,FALSE
pRPS3-mCherry-tRPS3_WT-86bp,pRPS3-mCherry,pRPS3,mCherry,tRPS3_86bp,tRPS3_WT,86bp,mCh-7,BioRep1,1,0.8466666666666658,0.5560680429159365,FALSE
pRPS3-mCherry-tRPS3_WT-86bp,pRPS3-mCherry,pRPS3,mCherry,tRPS3_86bp,tRPS3_WT,86bp,mCh-7,BioRep2,1,1.3849999999999998,0.3828894992735958,FALSE
pRPS3-mCherry-tRPS3_WT-86bp,pRPS3-mCherry,pRPS3,mCherry,tRPS3_86bp,tRPS3_WT,86bp,mCh-7,BioRep3,1,1.1333333333333329,0.45586124427910857,FALSE
pRPS3-mCherry-tRPS3_WT-86bp,pRPS3-mCherry,pRPS3,mCherry,tRPS3_86bp,tRPS3_WT,86bp,mCh-7,BioRep4,2,0.7016666666666662,0.6148614803839615,FALSE
pRPS3-mCherry-tRPS3_WT-86bp,pRPS3-mCherry,pRPS3,mCherry,tRPS3_86bp,tRPS3_WT,86bp,mCh-7,BioRep5,2,0.6616666666666671,0.6321475894609683,FALSE
pRPS3-mCherry-tRPS3_WT-86bp,pRPS3-mCherry,pRPS3,mCherry,tRPS3_86bp,tRPS3_WT,86bp,mCh-7,BioRep6,2,0.538333333333334,0.6885659123041513,FALSE
