,strain,mCherry-100 per OD at max local gr
0,POT1-ccdB_clone_1,-22.272774478000777
1,POT1-ccdB_clone_2,27.786015246383947
2,POT1-ccdB_clone_3,13.29020264469918
3,null,
4,tRPS3-200bp-mod0_clone_1,4222.0662372291445
5,tRPS3-200bp-mod0_clone_2,5423.453706821769
6,tRPS3-200bp-mod0_clone_3,4698.514873647589
7,tRPS3-200bp-modA_clone_1,4121.605866813311
8,tRPS3-200bp-modA_clone_2,3902.2637951896636
9,tRPS3-200bp-modA_clone_3,4389.832935915033
10,tRPS3-200bp-modB_clone_1,2435.669466516074
11,tRPS3-200bp-modB_clone_2,1931.1246017729193
12,tRPS3-200bp-modB_clone_3,2209.5117634733497
13,tRPS3-200bp-modC_clone_1,5230.110867684138
14,tRPS3-200bp-modC_clone_2,4797.562353561961
15,tRPS3-200bp-modC_clone_3,4274.401871039692
16,tRPS3-200bp-modD_clone_1,2918.2049730703307
17,tRPS3-200bp-modD_clone_2,3198.167079669668
18,tRPS3-200bp-modD_clone_3,3057.7016057733413
19,tRPS3-200bp-modE_clone_1,1995.4676104157907
20,tRPS3-200bp-modE_clone_2,2187.083127485361
21,tRPS3-200bp-modE_clone_3,2476.1445959059597
22,tRPS3-WT-200bp_clone_1,6429.281525858204
23,tRPS3-WT-200bp_clone_2,7613.209988949082
24,tRPS3-WT-200bp_clone_3,7783.166590784012
