,strain,mCherry-100 per OD at max local gr,time at max local gr
0,POT1-ccdB clone 1,28.84711972727104,2.744430277777777
1,POT1-ccdB clone 2,-3.655549127259077,2.554772222222222
2,POT1-ccdB clone 3,3.022420050792885,2.3442515277777773
3,null,,
4,tTSA1-200bp-mod0 clone 1,8113.850907370376,2.5073588888888887
5,tTSA1-200bp-mod0 clone 2,7877.636859861185,2.4789099999999995
6,tTSA1-200bp-mod0 clone 3,7527.726678251533,2.5282188888888886
7,tTSA1-200bp-modA clone 1,3326.34222624928,2.4409795833333328
8,tTSA1-200bp-modA clone 2,3399.486642604417,2.623048611111111
9,tTSA1-200bp-modA clone 3,3600.487738279617,2.4902904166666664
10,tTSA1-200bp-modB clone 1,8533.923917980446,2.6970154166666656
11,tTSA1-200bp-modB clone 2,4137.673343663023,6.816402777777778
12,tTSA1-200bp-modB clone 3,9241.512477920507,2.689425416666666
13,tTSA1-200bp-modC clone 1,10173.879988183156,2.5433902777777773
14,tTSA1-200bp-modC clone 2,10274.699608210038,2.4296015277777774
15,tTSA1-200bp-modC clone 3,10567.366213844496,2.511149861111111
16,tTSA1-200bp-modD clone 1,6455.938244119129,2.4694269444444443
17,tTSA1-200bp-modD clone 2,7009.759883778302,2.549081944444444
18,tTSA1-200bp-modD clone 3,5927.28106405221,2.482704305555555
19,tTSA1-200bp-modE clone 1,3859.6016610794545,2.611668055555555
20,tTSA1-200bp-modE clone 2,3942.321532351248,2.7083924999999986
21,tTSA1-200bp-modE clone 3,4315.824627612612,2.5206343055555553
22,tTSA1-WT-200bp clone 1,6902.432811565129,2.6704606944444436
23,tTSA1-WT-200bp clone 2,7303.253120038236,2.6970154166666664
24,tTSA1-WT-200bp clone 3,7249.631618118553,2.6704629166666667
