Raw Data 		Experiment - JA_2020-08-01-pPGK1-mCh-tTSA1_mod-n1 (Run on LCS480 1.5.0.39)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	483-533	
A1	Sample 1	2	2	1	230384	59.9	0.77
A1	Sample 1	2	2	2	269384	59.84	0.77
A1	Sample 1	2	2	3	308367	59.82	0.80
A1	Sample 1	2	2	4	347384	59.84	0.78
A1	Sample 1	2	2	5	386300	59.82	0.79
A1	Sample 1	2	2	6	425284	59.85	0.79
A1	Sample 1	2	2	7	464367	59.81	0.81
A1	Sample 1	2	2	8	503384	59.83	0.84
A1	Sample 1	2	2	9	542484	59.83	0.87
A1	Sample 1	2	2	10	581567	59.82	0.93
A1	Sample 1	2	2	11	620700	59.82	1.04
A1	Sample 1	2	2	12	659784	59.82	1.26
A1	Sample 1	2	2	13	698850	59.81	1.65
A1	Sample 1	2	2	14	737850	59.81	2.33
A1	Sample 1	2	2	15	776884	59.84	3.20
A1	Sample 1	2	2	16	815984	59.84	4.02
A1	Sample 1	2	2	17	855100	59.81	4.75
A1	Sample 1	2	2	18	894167	59.81	5.37
A1	Sample 1	2	2	19	933300	59.85	5.90
A1	Sample 1	2	2	20	972284	59.85	6.29
A1	Sample 1	2	2	21	1011250	59.84	6.59
A1	Sample 1	2	2	22	1050284	59.84	6.87
A1	Sample 1	2	2	23	1089384	59.84	7.06
A1	Sample 1	2	2	24	1128500	59.84	7.25
A1	Sample 1	2	2	25	1167567	59.84	7.38
A1	Sample 1	2	2	26	1206684	59.84	7.54
A1	Sample 1	2	2	27	1245767	59.84	7.62
A1	Sample 1	2	2	28	1284850	59.83	7.69
A1	Sample 1	2	2	29	1324000	59.84	7.79
A1	Sample 1	2	2	30	1363084	59.84	7.87
A1	Sample 1	2	2	31	1402150	59.84	7.93
A1	Sample 1	2	2	32	1441167	59.84	7.99
A1	Sample 1	2	2	33	1480267	59.84	8.03
A1	Sample 1	2	2	34	1519367	59.84	8.05
A1	Sample 1	2	2	35	1558367	59.84	8.11
A1	Sample 1	2	2	36	1597434	59.84	8.17
A1	Sample 1	2	2	37	1636567	59.84	8.20
A1	Sample 1	2	2	38	1675684	59.84	8.24
A1	Sample 1	2	2	39	1714767	59.83	8.29
A1	Sample 1	2	2	40	1753750	59.84	8.26
A1	Sample 1	3	1	1	1765667	59.93	8.47
A1	Sample 1	3	1	1	1767017	59.65	8.49
A1	Sample 1	3	1	1	1768317	59.62	8.55
A1	Sample 1	3	1	1	1769634	60.07	8.52
A1	Sample 1	3	1	1	1770934	60.43	8.46
A1	Sample 1	3	1	1	1772267	60.7	8.44
