Raw Data 		Experiment - JA_20200121_tRPS3-200bp-n=1 (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	
A1	Sample 1	2	2	1	233670	59.92	0.93
A1	Sample 1	2	2	2	273130	59.85	0.94
A1	Sample 1	2	2	3	312530	59.84	0.92
A1	Sample 1	2	2	4	351930	59.82	0.94
A1	Sample 1	2	2	5	391320	59.81	0.92
A1	Sample 1	2	2	6	430720	59.83	0.93
A1	Sample 1	2	2	7	470030	59.83	0.94
A1	Sample 1	2	2	8	509520	59.82	0.94
A1	Sample 1	2	2	9	549020	59.85	0.97
A1	Sample 1	2	2	10	588420	59.84	0.99
A1	Sample 1	2	2	11	627820	59.81	1.03
A1	Sample 1	2	2	12	667220	59.84	1.13
A1	Sample 1	2	2	13	706620	59.81	1.35
A1	Sample 1	2	2	14	746020	59.81	1.68
A1	Sample 1	2	2	15	785520	59.81	2.24
A1	Sample 1	2	2	16	824930	59.84	2.86
A1	Sample 1	2	2	17	864420	59.84	3.43
A1	Sample 1	2	2	18	903810	59.84	3.99
A1	Sample 1	2	2	19	943210	59.81	4.48
A1	Sample 1	2	2	20	982710	59.84	4.86
A1	Sample 1	2	2	21	1022110	59.84	5.20
A1	Sample 1	2	2	22	1061510	59.8	5.46
A1	Sample 1	2	2	23	1100910	59.83	5.65
A1	Sample 1	2	2	24	1140310	59.82	5.85
A1	Sample 1	2	2	25	1179700	59.82	5.97
A1	Sample 1	2	2	26	1219100	59.83	6.07
A1	Sample 1	2	2	27	1258500	59.83	6.19
A1	Sample 1	2	2	28	1297900	59.83	6.29
A1	Sample 1	2	2	29	1337300	59.83	6.34
A1	Sample 1	2	2	30	1376700	59.83	6.41
A1	Sample 1	2	2	31	1416100	59.83	6.47
A1	Sample 1	2	2	32	1455510	59.83	6.53
A1	Sample 1	2	2	33	1494890	59.83	6.54
A1	Sample 1	2	2	34	1534290	59.83	6.59
A1	Sample 1	2	2	35	1573710	59.83	6.66
A1	Sample 1	2	2	36	1613190	59.83	6.71
A1	Sample 1	2	2	37	1652690	59.83	6.72
A1	Sample 1	2	2	38	1692090	59.83	6.75
A1	Sample 1	2	2	39	1731490	59.83	6.79
A1	Sample 1	2	2	40	1770890	59.83	6.80
A1	Sample 1	2	2	41	1810290	59.83	6.84
A1	Sample 1	2	2	42	1849690	59.83	6.83
A1	Sample 1	2	2	43	1889090	59.83	6.88
A1	Sample 1	2	2	44	1928500	59.83	6.88
A1	Sample 1	2	2	45	1967990	59.83	6.90
A1	Sample 1	2	2	46	2007380	59.83	6.92
A1	Sample 1	2	2	47	2046780	59.83	6.94
A1	Sample 1	2	2	48	2086180	59.83	6.96
A1	Sample 1	2	2	49	2125580	59.83	6.95
A1	Sample 1	2	2	50	2164990	59.83	6.97
A1	Sample 1	3	1	1	2176900	59.93	7.07
A1	Sample 1	3	1	1	2178200	59.65	7.09
A1	Sample 1	3	1	1	2179480	59.69	7.09
A1	Sample 1	3	1	1	2180760	60.13	7.10
A1	Sample 1	3	1	1	2182040	60.47	7.09
A1	Sample 1	3	1	1	2183340	60.75	7.03
A1	Sample 1	3	1	1	2184620	60.95	7.00
A1	Sample 1	3	1	1	2185920	61.2	6.96
A1	Sample 1	3	1	1	2187220	61.45	6.92
A1	Sample 1	3	1	1	2188500	61.65	6.92
A1	Sample 1	3	1	1	2189790	61.88	6.84
A1	Sample 1	3	1	1	2191080	62.06	6.86
A1	Sample 1	3	1	1	2192360	62.3	6.81
A1	Sample 1	3	1	1	2193640	62.52	6.78
A1	Sample 1	3	1	1	2194940	62.7	6.78
A1	Sample 1	3	1	1	2196230	62.93	6.72
A1	Sample 1	3	1	1	2197520	63.14	6.74
A1	Sample 1	3	1	1	2198820	63.35	6.68
A1	Sample 1	3	1	1	2200120	63.57	6.66
A1	Sample 1	3	1	1	2201400	63.75	6.65
A1	Sample 1	3	1	1	2202690	63.97	6.64
A1	Sample 1	3	1	1	2203970	64.2	6.61
A1	Sample 1	3	1	1	2205250	64.37	6.61
A1	Sample 1	3	1	1	2206550	64.59	6.53
A1	Sample 1	3	1	1	2207830	64.76	6.52
A1	Sample 1	3	1	1	2209120	64.98	6.50
A1	Sample 1	3	1	1	2210440	65.21	6.51
A1	Sample 1	3	1	1	2211730	65.41	6.47
A1	Sample 1	3	1	1	2213010	65.62	6.48
A1	Sample 1	3	1	1	2214310	65.8	6.46
A1	Sample 1	3	1	1	2215590	66.03	6.42
A1	Sample 1	3	1	1	2216880	66.25	6.43
A1	Sample 1	3	1	1	2218170	66.45	6.39
A1	Sample 1	3	1	1	2219480	66.64	6.41
A1	Sample 1	3	1	1	2220780	66.86	6.42
A1	Sample 1	3	1	1	2222090	67.06	6.37
A1	Sample 1	3	1	1	2223370	67.27	6.37
A1	Sample 1	3	1	1	2224650	67.47	6.35
A1	Sample 1	3	1	1	2225940	67.65	6.34
A1	Sample 1	3	1	1	2227230	67.88	6.31
A1	Sample 1	3	1	1	2228510	68.09	6.32
A1	Sample 1	3	1	1	2229790	68.3	6.30
A1	Sample 1	3	1	1	2231080	68.47	6.29
A1	Sample 1	3	1	1	2232370	68.7	6.29
A1	Sample 1	3	1	1	2233660	68.93	6.26
A1	Sample 1	3	1	1	2234960	69.1	6.26
A1	Sample 1	3	1	1	2236250	69.3	6.25
A1	Sample 1	3	1	1	2237530	69.52	6.22
A1	Sample 1	3	1	1	2238830	69.73	6.21
A1	Sample 1	3	1	1	2240110	69.95	6.17
A1	Sample 1	3	1	1	2241390	70.15	6.16
A1	Sample 1	3	1	1	2242660	70.33	6.10
A1	Sample 1	3	1	1	2243970	70.56	6.11
A1	Sample 1	3	1	1	2245280	70.78	6.07
A1	Sample 1	3	1	1	2246580	70.99	6.01
A1	Sample 1	3	1	1	2247870	71.16	5.95
A1	Sample 1	3	1	1	2249160	71.4	5.90
A1	Sample 1	3	1	1	2250440	71.6	5.91
A1	Sample 1	3	1	1	2251720	71.8	5.85
A1	Sample 1	3	1	1	2253000	72	5.80
A1	Sample 1	3	1	1	2254300	72.2	5.73
A1	Sample 1	3	1	1	2255580	72.43	5.69
A1	Sample 1	3	1	1	2256870	72.63	5.64
A1	Sample 1	3	1	1	2258170	72.82	5.61
A1	Sample 1	3	1	1	2259460	73.03	5.56
A1	Sample 1	3	1	1	2260750	73.23	5.52
A1	Sample 1	3	1	1	2262030	73.44	5.49
A1	Sample 1	3	1	1	2263320	73.64	5.41
A1	Sample 1	3	1	1	2264610	73.82	5.40
A1	Sample 1	3	1	1	2265900	74.07	5.36
A1	Sample 1	3	1	1	2267190	74.27	5.30
A1	Sample 1	3	1	1	2268480	74.48	5.26
A1	Sample 1	3	1	1	2269760	74.66	5.23
A1	Sample 1	3	1	1	2271050	74.86	5.18
A1	Sample 1	3	1	1	2272350	75.1	5.12
A1	Sample 1	3	1	1	2273630	75.3	5.10
A1	Sample 1	3	1	1	2274930	75.5	5.04
A1	Sample 1	3	1	1	2276240	75.67	5.00
A1	Sample 1	3	1	1	2277530	75.9	4.97
A1	Sample 1	3	1	1	2278810	76.13	4.94
A1	Sample 1	3	1	1	2280100	76.33	4.89
A1	Sample 1	3	1	1	2281380	76.52	4.85
A1	Sample 1	3	1	1	2282670	76.73	4.80
A1	Sample 1	3	1	1	2283970	76.93	4.78
A1	Sample 1	3	1	1	2285260	77.14	4.73
A1	Sample 1	3	1	1	2286560	77.33	4.70
A1	Sample 1	3	1	1	2287840	77.54	4.65
A1	Sample 1	3	1	1	2289140	77.77	4.63
A1	Sample 1	3	1	1	2290420	77.97	4.56
A1	Sample 1	3	1	1	2291720	78.17	4.54
A1	Sample 1	3	1	1	2293020	78.37	4.48
A1	Sample 1	3	1	1	2294300	78.6	4.46
A1	Sample 1	3	1	1	2295580	78.8	4.40
A1	Sample 1	3	1	1	2296880	79	4.37
A1	Sample 1	3	1	1	2298170	79.21	4.32
A1	Sample 1	3	1	1	2299470	79.43	4.27
A1	Sample 1	3	1	1	2300750	79.6	4.23
A1	Sample 1	3	1	1	2302060	79.85	4.22
A1	Sample 1	3	1	1	2303350	80.01	4.18
A1	Sample 1	3	1	1	2304630	80.22	4.15
A1	Sample 1	3	1	1	2305930	80.45	4.11
A1	Sample 1	3	1	1	2307220	80.66	4.05
A1	Sample 1	3	1	1	2308520	80.86	3.98
A1	Sample 1	3	1	1	2309810	81.06	3.95
A1	Sample 1	3	1	1	2311090	81.27	3.91
A1	Sample 1	3	1	1	2312380	81.49	3.85
A1	Sample 1	3	1	1	2313680	81.69	3.82
A1	Sample 1	3	1	1	2314960	81.88	3.77
A1	Sample 1	3	1	1	2316270	82.1	3.70
A1	Sample 1	3	1	1	2317560	82.3	3.66
A1	Sample 1	3	1	1	2318840	82.51	3.58
A1	Sample 1	3	1	1	2320140	82.71	3.51
A1	Sample 1	3	1	1	2321420	82.92	3.44
A1	Sample 1	3	1	1	2322700	83.12	3.34
A1	Sample 1	3	1	1	2323990	83.32	3.22
A1	Sample 1	3	1	1	2325280	83.53	3.07
A1	Sample 1	3	1	1	2326580	83.74	2.85
A1	Sample 1	3	1	1	2327870	83.97	2.57
A1	Sample 1	3	1	1	2329150	84.15	2.22
A1	Sample 1	3	1	1	2330430	84.35	1.88
A1	Sample 1	3	1	1	2331710	84.56	1.55
A1	Sample 1	3	1	1	2333000	84.76	1.27
A1	Sample 1	3	1	1	2334280	84.98	1.05
A1	Sample 1	3	1	1	2335560	85.18	0.90
A1	Sample 1	3	1	1	2336850	85.35	0.79
A1	Sample 1	3	1	1	2338140	85.57	0.72
A1	Sample 1	3	1	1	2339440	85.79	0.67
A1	Sample 1	3	1	1	2340750	86.01	0.65
A1	Sample 1	3	1	1	2342030	86.2	0.62
A1	Sample 1	3	1	1	2343310	86.4	0.62
A1	Sample 1	3	1	1	2344610	86.62	0.61
A1	Sample 1	3	1	1	2345890	86.82	0.61
A1	Sample 1	3	1	1	2347170	87.03	0.60
A1	Sample 1	3	1	1	2348440	87.24	0.59
A1	Sample 1	3	1	1	2349760	87.42	0.59
A1	Sample 1	3	1	1	2351050	87.67	0.58
A1	Sample 1	3	1	1	2352340	87.84	0.58
A1	Sample 1	3	1	1	2353630	88.05	0.58
A1	Sample 1	3	1	1	2354910	88.26	0.56
A1	Sample 1	3	1	1	2356190	88.48	0.57
A1	Sample 1	3	1	1	2357490	88.7	0.56
A1	Sample 1	3	1	1	2358800	88.87	0.57
A1	Sample 1	3	1	1	2360080	89.08	0.56
A1	Sample 1	3	1	1	2361360	89.3	0.57
A1	Sample 1	3	1	1	2362660	89.52	0.57
A1	Sample 1	3	1	1	2363940	89.72	0.56
A1	Sample 1	3	1	1	2365250	89.91	0.56
A1	Sample 1	3	1	1	2366520	90.12	0.56
A1	Sample 1	3	1	1	2367800	90.31	0.56
A1	Sample 1	3	1	1	2369100	90.56	0.56
A1	Sample 1	3	1	1	2370380	90.73	0.55
A1	Sample 1	3	1	1	2371670	90.96	0.56
A1	Sample 1	3	1	1	2372950	91.11	0.55
A1	Sample 1	3	1	1	2374250	91.36	0.55
A1	Sample 1	3	1	1	2375530	91.55	0.55
A1	Sample 1	3	1	1	2376820	91.76	0.55
A1	Sample 1	3	1	1	2378100	91.95	0.55
A1	Sample 1	3	1	1	2379380	92.17	0.55
A1	Sample 1	3	1	1	2380660	92.39	0.55
A1	Sample 1	3	1	1	2381940	92.61	0.55
A1	Sample 1	3	1	1	2383250	92.77	0.54
A1	Sample 1	3	1	1	2384550	93.02	0.54
A1	Sample 1	3	1	1	2385840	93.18	0.54
A1	Sample 1	3	1	1	2387130	93.43	0.55
A1	Sample 1	3	1	1	2388410	93.62	0.53
A1	Sample 1	3	1	1	2389690	93.81	0.54
A1	Sample 1	3	1	1	2390970	94.03	0.54
A1	Sample 1	3	1	1	2392240	94.19	0.54
A1	Sample 1	3	1	1	2393530	94.43	0.54
A1	Sample 1	3	1	1	2394810	94.64	0.54
A1	Sample 1	3	1	1	2396090	94.84	0.54
A2	Sample 2	2	2	1	233670	59.92	1.06
A2	Sample 2	2	2	2	273130	59.85	1.06
A2	Sample 2	2	2	3	312530	59.84	1.05
A2	Sample 2	2	2	4	351930	59.82	1.06
A2	Sample 2	2	2	5	391320	59.81	1.05
A2	Sample 2	2	2	6	430720	59.83	1.06
A2	Sample 2	2	2	7	470030	59.83	1.07
A2	Sample 2	2	2	8	509520	59.82	1.08
A2	Sample 2	2	2	9	549020	59.85	1.10
A2	Sample 2	2	2	10	588420	59.84	1.14
A2	Sample 2	2	2	11	627820	59.81	1.20
A2	Sample 2	2	2	12	667220	59.84	1.36
A2	Sample 2	2	2	13	706620	59.81	1.62
A2	Sample 2	2	2	14	746020	59.81	2.05
A2	Sample 2	2	2	15	785520	59.81	2.72
A2	Sample 2	2	2	16	824930	59.84	3.41
A2	Sample 2	2	2	17	864420	59.84	4.07
A2	Sample 2	2	2	18	903810	59.84	4.71
A2	Sample 2	2	2	19	943210	59.81	5.25
A2	Sample 2	2	2	20	982710	59.84	5.72
A2	Sample 2	2	2	21	1022110	59.84	6.00
A2	Sample 2	2	2	22	1061510	59.8	6.32
A2	Sample 2	2	2	23	1100910	59.83	6.54
A2	Sample 2	2	2	24	1140310	59.82	6.72
A2	Sample 2	2	2	25	1179700	59.82	6.88
A2	Sample 2	2	2	26	1219100	59.83	7.02
A2	Sample 2	2	2	27	1258500	59.83	7.15
A2	Sample 2	2	2	28	1297900	59.83	7.24
A2	Sample 2	2	2	29	1337300	59.83	7.34
A2	Sample 2	2	2	30	1376700	59.83	7.43
A2	Sample 2	2	2	31	1416100	59.83	7.50
A2	Sample 2	2	2	32	1455510	59.83	7.56
A2	Sample 2	2	2	33	1494890	59.83	7.63
A2	Sample 2	2	2	34	1534290	59.83	7.68
A2	Sample 2	2	2	35	1573710	59.83	7.78
A2	Sample 2	2	2	36	1613190	59.83	7.80
A2	Sample 2	2	2	37	1652690	59.83	7.84
A2	Sample 2	2	2	38	1692090	59.83	7.89
A2	Sample 2	2	2	39	1731490	59.83	7.95
A2	Sample 2	2	2	40	1770890	59.83	7.95
A2	Sample 2	2	2	41	1810290	59.83	7.97
A2	Sample 2	2	2	42	1849690	59.83	8.04
A2	Sample 2	2	2	43	1889090	59.83	8.06
A2	Sample 2	2	2	44	1928500	59.83	8.06
A2	Sample 2	2	2	45	1967990	59.83	8.10
A2	Sample 2	2	2	46	2007380	59.83	8.13
A2	Sample 2	2	2	47	2046780	59.83	8.12
A2	Sample 2	2	2	48	2086180	59.83	8.16
A2	Sample 2	2	2	49	2125580	59.83	8.16
A2	Sample 2	2	2	50	2164990	59.83	8.16
A2	Sample 2	3	1	1	2176900	59.93	8.29
A2	Sample 2	3	1	1	2178200	59.65	8.30
A2	Sample 2	3	1	1	2179480	59.69	8.36
A2	Sample 2	3	1	1	2180760	60.13	8.35
A2	Sample 2	3	1	1	2182040	60.47	8.31
A2	Sample 2	3	1	1	2183340	60.75	8.25
A2	Sample 2	3	1	1	2184620	60.95	8.22
A2	Sample 2	3	1	1	2185920	61.2	8.20
A2	Sample 2	3	1	1	2187220	61.45	8.14
A2	Sample 2	3	1	1	2188500	61.65	8.13
A2	Sample 2	3	1	1	2189790	61.88	8.09
A2	Sample 2	3	1	1	2191080	62.06	8.06
A2	Sample 2	3	1	1	2192360	62.3	8.01
A2	Sample 2	3	1	1	2193640	62.52	8.01
A2	Sample 2	3	1	1	2194940	62.7	7.97
A2	Sample 2	3	1	1	2196230	62.93	7.93
A2	Sample 2	3	1	1	2197520	63.14	7.92
A2	Sample 2	3	1	1	2198820	63.35	7.87
A2	Sample 2	3	1	1	2200120	63.57	7.87
A2	Sample 2	3	1	1	2201400	63.75	7.84
A2	Sample 2	3	1	1	2202690	63.97	7.81
A2	Sample 2	3	1	1	2203970	64.2	7.79
A2	Sample 2	3	1	1	2205250	64.37	7.76
A2	Sample 2	3	1	1	2206550	64.59	7.73
A2	Sample 2	3	1	1	2207830	64.76	7.72
A2	Sample 2	3	1	1	2209120	64.98	7.70
A2	Sample 2	3	1	1	2210440	65.21	7.65
A2	Sample 2	3	1	1	2211730	65.41	7.69
A2	Sample 2	3	1	1	2213010	65.62	7.63
A2	Sample 2	3	1	1	2214310	65.8	7.63
A2	Sample 2	3	1	1	2215590	66.03	7.61
A2	Sample 2	3	1	1	2216880	66.25	7.60
A2	Sample 2	3	1	1	2218170	66.45	7.58
A2	Sample 2	3	1	1	2219480	66.64	7.58
A2	Sample 2	3	1	1	2220780	66.86	7.53
A2	Sample 2	3	1	1	2222090	67.06	7.53
A2	Sample 2	3	1	1	2223370	67.27	7.51
A2	Sample 2	3	1	1	2224650	67.47	7.48
A2	Sample 2	3	1	1	2225940	67.65	7.50
A2	Sample 2	3	1	1	2227230	67.88	7.47
A2	Sample 2	3	1	1	2228510	68.09	7.47
A2	Sample 2	3	1	1	2229790	68.3	7.46
A2	Sample 2	3	1	1	2231080	68.47	7.45
A2	Sample 2	3	1	1	2232370	68.7	7.46
A2	Sample 2	3	1	1	2233660	68.93	7.40
A2	Sample 2	3	1	1	2234960	69.1	7.41
A2	Sample 2	3	1	1	2236250	69.3	7.43
A2	Sample 2	3	1	1	2237530	69.52	7.41
A2	Sample 2	3	1	1	2238830	69.73	7.39
A2	Sample 2	3	1	1	2240110	69.95	7.39
A2	Sample 2	3	1	1	2241390	70.15	7.33
A2	Sample 2	3	1	1	2242660	70.33	7.29
A2	Sample 2	3	1	1	2243970	70.56	7.26
A2	Sample 2	3	1	1	2245280	70.78	7.23
A2	Sample 2	3	1	1	2246580	70.99	7.22
A2	Sample 2	3	1	1	2247870	71.16	7.15
A2	Sample 2	3	1	1	2249160	71.4	7.13
A2	Sample 2	3	1	1	2250440	71.6	7.12
A2	Sample 2	3	1	1	2251720	71.8	7.01
A2	Sample 2	3	1	1	2253000	72	6.97
A2	Sample 2	3	1	1	2254300	72.2	6.92
A2	Sample 2	3	1	1	2255580	72.43	6.88
A2	Sample 2	3	1	1	2256870	72.63	6.83
A2	Sample 2	3	1	1	2258170	72.82	6.74
A2	Sample 2	3	1	1	2259460	73.03	6.69
A2	Sample 2	3	1	1	2260750	73.23	6.65
A2	Sample 2	3	1	1	2262030	73.44	6.60
A2	Sample 2	3	1	1	2263320	73.64	6.54
A2	Sample 2	3	1	1	2264610	73.82	6.49
A2	Sample 2	3	1	1	2265900	74.07	6.45
A2	Sample 2	3	1	1	2267190	74.27	6.40
A2	Sample 2	3	1	1	2268480	74.48	6.33
A2	Sample 2	3	1	1	2269760	74.66	6.30
A2	Sample 2	3	1	1	2271050	74.86	6.24
A2	Sample 2	3	1	1	2272350	75.1	6.20
A2	Sample 2	3	1	1	2273630	75.3	6.17
A2	Sample 2	3	1	1	2274930	75.5	6.08
A2	Sample 2	3	1	1	2276240	75.67	6.04
A2	Sample 2	3	1	1	2277530	75.9	6.01
A2	Sample 2	3	1	1	2278810	76.13	5.95
A2	Sample 2	3	1	1	2280100	76.33	5.91
A2	Sample 2	3	1	1	2281380	76.52	5.90
A2	Sample 2	3	1	1	2282670	76.73	5.82
A2	Sample 2	3	1	1	2283970	76.93	5.75
A2	Sample 2	3	1	1	2285260	77.14	5.71
A2	Sample 2	3	1	1	2286560	77.33	5.67
A2	Sample 2	3	1	1	2287840	77.54	5.62
A2	Sample 2	3	1	1	2289140	77.77	5.58
A2	Sample 2	3	1	1	2290420	77.97	5.52
A2	Sample 2	3	1	1	2291720	78.17	5.47
A2	Sample 2	3	1	1	2293020	78.37	5.43
A2	Sample 2	3	1	1	2294300	78.6	5.39
A2	Sample 2	3	1	1	2295580	78.8	5.34
A2	Sample 2	3	1	1	2296880	79	5.26
A2	Sample 2	3	1	1	2298170	79.21	5.24
A2	Sample 2	3	1	1	2299470	79.43	5.20
A2	Sample 2	3	1	1	2300750	79.6	5.15
A2	Sample 2	3	1	1	2302060	79.85	5.10
A2	Sample 2	3	1	1	2303350	80.01	5.07
A2	Sample 2	3	1	1	2304630	80.22	5.00
A2	Sample 2	3	1	1	2305930	80.45	4.96
A2	Sample 2	3	1	1	2307220	80.66	4.91
A2	Sample 2	3	1	1	2308520	80.86	4.84
A2	Sample 2	3	1	1	2309810	81.06	4.79
A2	Sample 2	3	1	1	2311090	81.27	4.76
A2	Sample 2	3	1	1	2312380	81.49	4.71
A2	Sample 2	3	1	1	2313680	81.69	4.63
A2	Sample 2	3	1	1	2314960	81.88	4.55
A2	Sample 2	3	1	1	2316270	82.1	4.50
A2	Sample 2	3	1	1	2317560	82.3	4.45
A2	Sample 2	3	1	1	2318840	82.51	4.38
A2	Sample 2	3	1	1	2320140	82.71	4.27
A2	Sample 2	3	1	1	2321420	82.92	4.20
A2	Sample 2	3	1	1	2322700	83.12	4.08
A2	Sample 2	3	1	1	2323990	83.32	3.92
A2	Sample 2	3	1	1	2325280	83.53	3.74
A2	Sample 2	3	1	1	2326580	83.74	3.46
A2	Sample 2	3	1	1	2327870	83.97	3.11
A2	Sample 2	3	1	1	2329150	84.15	2.74
A2	Sample 2	3	1	1	2330430	84.35	2.32
A2	Sample 2	3	1	1	2331710	84.56	1.93
A2	Sample 2	3	1	1	2333000	84.76	1.57
A2	Sample 2	3	1	1	2334280	84.98	1.31
A2	Sample 2	3	1	1	2335560	85.18	1.11
A2	Sample 2	3	1	1	2336850	85.35	0.99
A2	Sample 2	3	1	1	2338140	85.57	0.90
A2	Sample 2	3	1	1	2339440	85.79	0.86
A2	Sample 2	3	1	1	2340750	86.01	0.82
A2	Sample 2	3	1	1	2342030	86.2	0.79
A2	Sample 2	3	1	1	2343310	86.4	0.78
A2	Sample 2	3	1	1	2344610	86.62	0.78
A2	Sample 2	3	1	1	2345890	86.82	0.77
A2	Sample 2	3	1	1	2347170	87.03	0.76
A2	Sample 2	3	1	1	2348440	87.24	0.75
A2	Sample 2	3	1	1	2349760	87.42	0.74
A2	Sample 2	3	1	1	2351050	87.67	0.74
A2	Sample 2	3	1	1	2352340	87.84	0.74
A2	Sample 2	3	1	1	2353630	88.05	0.74
A2	Sample 2	3	1	1	2354910	88.26	0.73
A2	Sample 2	3	1	1	2356190	88.48	0.74
A2	Sample 2	3	1	1	2357490	88.7	0.72
A2	Sample 2	3	1	1	2358800	88.87	0.72
A2	Sample 2	3	1	1	2360080	89.08	0.71
A2	Sample 2	3	1	1	2361360	89.3	0.71
A2	Sample 2	3	1	1	2362660	89.52	0.71
A2	Sample 2	3	1	1	2363940	89.72	0.71
A2	Sample 2	3	1	1	2365250	89.91	0.71
A2	Sample 2	3	1	1	2366520	90.12	0.71
A2	Sample 2	3	1	1	2367800	90.31	0.70
A2	Sample 2	3	1	1	2369100	90.56	0.71
A2	Sample 2	3	1	1	2370380	90.73	0.69
A2	Sample 2	3	1	1	2371670	90.96	0.70
A2	Sample 2	3	1	1	2372950	91.11	0.70
A2	Sample 2	3	1	1	2374250	91.36	0.70
A2	Sample 2	3	1	1	2375530	91.55	0.70
A2	Sample 2	3	1	1	2376820	91.76	0.70
A2	Sample 2	3	1	1	2378100	91.95	0.70
A2	Sample 2	3	1	1	2379380	92.17	0.68
A2	Sample 2	3	1	1	2380660	92.39	0.69
A2	Sample 2	3	1	1	2381940	92.61	0.68
A2	Sample 2	3	1	1	2383250	92.77	0.69
A2	Sample 2	3	1	1	2384550	93.02	0.68
A2	Sample 2	3	1	1	2385840	93.18	0.69
A2	Sample 2	3	1	1	2387130	93.43	0.68
A2	Sample 2	3	1	1	2388410	93.62	0.68
A2	Sample 2	3	1	1	2389690	93.81	0.68
A2	Sample 2	3	1	1	2390970	94.03	0.68
A2	Sample 2	3	1	1	2392240	94.19	0.69
A2	Sample 2	3	1	1	2393530	94.43	0.68
A2	Sample 2	3	1	1	2394810	94.64	0.68
A2	Sample 2	3	1	1	2396090	94.84	0.68
A3	Sample 3	2	2	1	233670	59.92	1.22
A3	Sample 3	2	2	2	273130	59.85	1.23
A3	Sample 3	2	2	3	312530	59.84	1.24
A3	Sample 3	2	2	4	351930	59.82	1.23
A3	Sample 3	2	2	5	391320	59.81	1.25
A3	Sample 3	2	2	6	430720	59.83	1.25
A3	Sample 3	2	2	7	470030	59.83	1.28
A3	Sample 3	2	2	8	509520	59.82	1.29
A3	Sample 3	2	2	9	549020	59.85	1.34
A3	Sample 3	2	2	10	588420	59.84	1.42
A3	Sample 3	2	2	11	627820	59.81	1.56
A3	Sample 3	2	2	12	667220	59.84	1.84
A3	Sample 3	2	2	13	706620	59.81	2.32
A3	Sample 3	2	2	14	746020	59.81	2.92
A3	Sample 3	2	2	15	785520	59.81	3.53
A3	Sample 3	2	2	16	824930	59.84	4.13
A3	Sample 3	2	2	17	864420	59.84	4.66
A3	Sample 3	2	2	18	903810	59.84	5.12
A3	Sample 3	2	2	19	943210	59.81	5.49
A3	Sample 3	2	2	20	982710	59.84	5.79
A3	Sample 3	2	2	21	1022110	59.84	6.04
A3	Sample 3	2	2	22	1061510	59.8	6.27
A3	Sample 3	2	2	23	1100910	59.83	6.40
A3	Sample 3	2	2	24	1140310	59.82	6.56
A3	Sample 3	2	2	25	1179700	59.82	6.69
A3	Sample 3	2	2	26	1219100	59.83	6.80
A3	Sample 3	2	2	27	1258500	59.83	6.87
A3	Sample 3	2	2	28	1297900	59.83	7.01
A3	Sample 3	2	2	29	1337300	59.83	7.06
A3	Sample 3	2	2	30	1376700	59.83	7.15
A3	Sample 3	2	2	31	1416100	59.83	7.17
A3	Sample 3	2	2	32	1455510	59.83	7.25
A3	Sample 3	2	2	33	1494890	59.83	7.32
A3	Sample 3	2	2	34	1534290	59.83	7.35
A3	Sample 3	2	2	35	1573710	59.83	7.36
A3	Sample 3	2	2	36	1613190	59.83	7.45
A3	Sample 3	2	2	37	1652690	59.83	7.50
A3	Sample 3	2	2	38	1692090	59.83	7.52
A3	Sample 3	2	2	39	1731490	59.83	7.59
A3	Sample 3	2	2	40	1770890	59.83	7.60
A3	Sample 3	2	2	41	1810290	59.83	7.64
A3	Sample 3	2	2	42	1849690	59.83	7.65
A3	Sample 3	2	2	43	1889090	59.83	7.69
A3	Sample 3	2	2	44	1928500	59.83	7.70
A3	Sample 3	2	2	45	1967990	59.83	7.74
A3	Sample 3	2	2	46	2007380	59.83	7.76
A3	Sample 3	2	2	47	2046780	59.83	7.78
A3	Sample 3	2	2	48	2086180	59.83	7.83
A3	Sample 3	2	2	49	2125580	59.83	7.85
A3	Sample 3	2	2	50	2164990	59.83	7.85
A3	Sample 3	3	1	1	2176900	59.93	7.99
A3	Sample 3	3	1	1	2178200	59.65	8.01
A3	Sample 3	3	1	1	2179480	59.69	8.01
