Raw Data 		Experiment - JA_20200221_pPGK1-tRPS3-200mod-n=1 (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	
A1	Sample 1	2	2	1	233720	59.91	0.94
A1	Sample 1	2	2	2	273090	59.81	0.93
A1	Sample 1	2	2	3	312490	59.82	0.92
A1	Sample 1	2	2	4	351880	59.81	0.94
A1	Sample 1	2	2	5	391280	59.83	0.94
A1	Sample 1	2	2	6	430680	59.81	0.93
A1	Sample 1	2	2	7	470080	59.84	0.93
A1	Sample 1	2	2	8	509480	59.83	0.94
A1	Sample 1	2	2	9	548880	59.82	0.94
A1	Sample 1	2	2	10	588270	59.82	0.95
A1	Sample 1	2	2	11	627670	59.82	0.99
A1	Sample 1	2	2	12	667070	59.81	1.04
A1	Sample 1	2	2	13	706470	59.81	1.17
A1	Sample 1	2	2	14	745870	59.81	1.36
A1	Sample 1	2	2	15	785280	59.81	1.73
A1	Sample 1	2	2	16	824670	59.81	2.21
A1	Sample 1	2	2	17	864080	59.84	2.71
A1	Sample 1	2	2	18	903470	59.84	3.20
A1	Sample 1	2	2	19	942870	59.84	3.66
A1	Sample 1	2	2	20	982270	59.83	3.96
A1	Sample 1	2	2	21	1021670	59.83	4.25
A1	Sample 1	2	2	22	1061070	59.83	4.47
A1	Sample 1	2	2	23	1100460	59.83	4.65
A1	Sample 1	2	2	24	1139860	59.82	4.79
A1	Sample 1	2	2	25	1179260	59.83	4.95
A1	Sample 1	2	2	26	1218660	59.83	5.06
A1	Sample 1	2	2	27	1258060	59.83	5.14
A1	Sample 1	2	2	28	1297460	59.83	5.22
A1	Sample 1	2	2	29	1336850	59.83	5.29
A1	Sample 1	2	2	30	1376250	59.83	5.36
A1	Sample 1	2	2	31	1415670	59.83	5.40
A1	Sample 1	2	2	32	1455060	59.82	5.44
A1	Sample 1	2	2	33	1494460	59.83	5.50
A1	Sample 1	2	2	34	1533860	59.82	5.54
A1	Sample 1	2	2	35	1573250	59.82	5.53
A1	Sample 1	2	2	36	1612650	59.82	5.61
A1	Sample 1	2	2	37	1652050	59.82	5.68
A1	Sample 1	2	2	38	1691450	59.82	5.66
A1	Sample 1	2	2	39	1730850	59.82	5.69
A1	Sample 1	2	2	40	1770250	59.82	5.73
A1	Sample 1	2	2	41	1809640	59.82	5.74
A1	Sample 1	2	2	42	1849060	59.82	5.77
A1	Sample 1	2	2	43	1888460	59.82	5.75
A1	Sample 1	2	2	44	1927850	59.82	5.79
A1	Sample 1	2	2	45	1967150	59.82	5.83
A1	Sample 1	2	2	46	2006550	59.82	5.82
A1	Sample 1	2	2	47	2045950	59.82	5.84
A1	Sample 1	2	2	48	2085350	59.85	5.83
A1	Sample 1	2	2	49	2124740	59.84	5.87
A1	Sample 1	2	2	50	2164140	59.81	5.87
A1	Sample 1	3	1	1	2175950	59.93	5.96
A1	Sample 1	3	1	1	2177240	59.62	5.98
A1	Sample 1	3	1	1	2178530	59.65	6.00
A1	Sample 1	3	1	1	2179820	60.12	5.99
A1	Sample 1	3	1	1	2181100	60.47	5.96
