Experiment: JA_2020-08-30-shortvslong_n1  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Group	Score	Res	Status
True	3200768	A1	Sample 1	3	0.83	0.15	
True	151	A2	Sample 2	Unknown	0.9	0.06	
True	3200768	A3	Sample 3	3	0.9	0.21	
True	3200768	A4	Sample 4	3	0.96	0.18	
True	3200768	A5	Sample 5	3	0.89	0.18	
True	3200768	A6	Sample 6	3	0.94	0.22	
True	3200768	A7	Sample 7	3	0.96	0.23	
True	3200768	A8	Sample 8	3	0.96	0.19	
True	3200768	A9	Sample 9	3	0.95	0.13	
True	3200768	A10	Sample 10	3	0.97	0.17	
True	3200768	A11	Sample 11	3	0.97	0.26	
True	3200768	A12	Sample 12	3	0.97	0.23	
True	3200768	A13	Sample 13	3	0.96	0.28	
True	3200768	A14	Sample 14	3	0.97	0.26	
True	3200768	A15	Sample 15	3	0.96	0.16	
True	3200768	A16	Sample 16	3	0.97	0.25	
True	3200768	A17	Sample 17	3	0.96	0.19	
True	3200768	A18	Sample 18	3	0.97	0.27	
True	151	A19	Sample 19	Unknown	0.64	0.42	
True	151	A20	Sample 20	Unknown	0.57	0.38	
True	3200768	A21	Sample 21	3	0.82	0.45	
True	3200768	A22	Sample 22	3	0.7	0.44	
True	3200768	A23	Sample 23	3	0.7	0.44	
True	3200768	A24	Sample 24	3	0.7	0.44	
True	255	B1	Sample 25	2	0.92	0.88	
True	255	B2	Sample 26	2	0.97	0.91	
True	255	B3	Sample 27	2	0.99	0.91	
True	255	B4	Sample 28	2	0.93	0.88	
True	255	B5	Sample 29	2	0.97	0.88	
True	255	B6	Sample 30	2	0.98	0.87	
True	255	B7	Sample 31	2	0.99	0.9	
True	255	B8	Sample 32	2	0.98	0.91	
True	255	B9	Sample 33	2	0.96	0.89	
True	255	B10	Sample 34	2	0.99	0.9	
True	255	B11	Sample 35	2	0.99	0.9	
True	255	B12	Sample 36	2	0.99	0.88	
True	255	B13	Sample 37	2	0.98	0.9	
True	255	B14	Sample 38	2	0.99	0.9	
True	255	B15	Sample 39	2	0.99	0.91	
True	255	B16	Sample 40	2	0.99	0.9	
True	255	B17	Sample 41	2	0.99	0.9	
True	255	B18	Sample 42	2	0.99	0.88	
True	255	B19	Sample 43	2	0.82	0.5	
True	16711935	B20	Sample 44	4	0.94	0.94	
True	255	B21	Sample 45	2	0.9	0.68	
True	255	B22	Sample 46	2	0.94	0.77	
True	255	B23	Sample 47	2	0.77	0.43	
True	16711935	B24	Sample 48	4	0.98	0.97	
True	16744448	C1	Sample 49	1	0.9	0.86	
True	16744448	C2	Sample 50	1	0.91	0.88	
True	16744448	C3	Sample 51	1	0.96	0.92	
True	16744448	C4	Sample 52	1	0.96	0.92	
True	16744448	C5	Sample 53	1	0.95	0.92	
True	16744448	C6	Sample 54	1	0.96	0.92	
True	16744448	C7	Sample 55	1	0.93	0.9	
True	16744448	C8	Sample 56	1	0.94	0.9	
True	16744448	C9	Sample 57	1	0.92	0.88	
True	16744448	C10	Sample 58	1	0.94	0.91	
True	16744448	C11	Sample 59	1	0.97	0.93	
True	16744448	C12	Sample 60	1	0.97	0.94	
True	16744448	C13	Sample 61	1	0.96	0.92	
True	16744448	C14	Sample 62	1	0.97	0.93	
True	16744448	C15	Sample 63	1	0.94	0.9	
True	16744448	C16	Sample 64	1	0.97	0.93	
True	16744448	C17	Sample 65	1	0.94	0.9	
True	16744448	C18	Sample 66	1	0.94	0.9	
True	16711935	C19	Sample 67	4	0.99	0.97	
True	16711935	C20	Sample 68	4	0.99	0.98	
True	151	C21	Sample 69	Unknown	0.61	0.5	
True	16711935	C22	Sample 70	4	0.99	0.98	
True	16744448	C23	Sample 71	1	0.92	0.88	
True	16711935	C24	Sample 72	4	0.99	0.98	
True	16744448	D1	Sample 73	1	0.91	0.87	
True	16744448	D2	Sample 74	1	0.97	0.93	
True	16744448	D3	Sample 75	1	0.99	0.93	
True	16744448	D4	Sample 76	1	0.99	0.93	
True	16744448	D5	Sample 77	1	0.98	0.92	
True	16744448	D6	Sample 78	1	0.98	0.91	
True	16744448	D7	Sample 79	1	0.97	0.93	
True	16744448	D8	Sample 80	1	0.99	0.93	
True	16744448	D9	Sample 81	1	0.97	0.92	
True	16744448	D10	Sample 82	1	0.99	0.93	
True	16744448	D11	Sample 83	1	0.99	0.93	
True	16744448	D12	Sample 84	1	0.99	0.93	
True	16744448	D13	Sample 85	1	0.99	0.93	
True	16744448	D14	Sample 86	1	0.99	0.93	
True	16744448	D15	Sample 87	1	0.98	0.93	
True	16744448	D16	Sample 88	1	0.98	0.93	
True	16744448	D17	Sample 89	1	0.98	0.93	
True	16744448	D18	Sample 90	1	0.98	0.94	
True	8421504	D19	Sample 91	5	1	0.89	
True	8421504	D20	Sample 92	5	0.97	0.88	
True	16711935	D21	Sample 93	4	0.98	0.95	
True	16711935	D22	Sample 94	4	0.99	0.96	
True	16711935	D23	Sample 95	4	0.99	0.97	
True	16711935	D24	Sample 96	4	0.99	0.97	
True	16744448	E1	Sample 97	1	0.9	0.49	
True	16744448	E2	Sample 98	1	0.97	0.58	
True	16744448	E3	Sample 99	1	0.98	0.57	
True	16744448	E4	Sample 100	1	0.98	0.61	
True	16744448	E5	Sample 101	1	0.97	0.59	
True	16744448	E6	Sample 102	1	0.99	0.62	
True	16744448	E7	Sample 103	1	0.98	0.58	
True	16744448	E8	Sample 104	1	0.98	0.59	
True	16744448	E9	Sample 105	1	0.98	0.59	
True	16744448	E10	Sample 106	1	0.95	0.54	
True	16744448	E11	Sample 107	1	0.98	0.65	
True	16744448	E12	Sample 108	1	0.97	0.58	
True	16744448	E13	Sample 109	1	0.98	0.66	
True	16744448	E14	Sample 110	1	0.98	0.61	
True	16744448	E15	Sample 111	1	0.98	0.6	
True	16744448	E16	Sample 112	1	0.97	0.59	
True	16744448	E17	Sample 113	1	0.97	0.55	
True	16744448	E18	Sample 114	1	0.96	0.54	
True	16711935	E19	Sample 115	4	0.99	0.97	
True	16711935	E20	Sample 116	4	0.97	0.93	
True	16711935	E21	Sample 117	4	0.99	0.96	
True	16711935	E22	Sample 118	4	0.99	0.97	
True	16711935	E23	Sample 119	4	0.99	0.97	
True	16711935	E24	Sample 120	4	0.99	0.98	
True	1234938	F1	Sample 121	6	1	0.31	
True	3200768	F2	Sample 122	3	0.98	0.27	
True	3200768	F3	Sample 123	3	0.98	0.21	
True	3200768	F4	Sample 124	3	0.81	0.41	
True	3200768	F5	Sample 125	3	0.86	0.33	
True	3200768	F6	Sample 126	3	0.9	0.36	
True	3200768	F7	Sample 127	3	0.95	0.22	
True	151	F8	Sample 128	Unknown	0.92	0.05	
True	3200768	F9	Sample 129	3	0.97	0.17	
True	3200768	F10	Sample 130	3	0.86	0.34	
True	3200768	F11	Sample 131	3	0.88	0.36	
True	3200768	F12	Sample 132	3	0.89	0.38	
True	3200768	F13	Sample 133	3	0.95	0.1	
True	3200768	F14	Sample 134	3	0.96	0.25	
True	3200768	F15	Sample 135	3	0.97	0.2	
