Experiment: 20201107_pTSA1-tTSA1mod_n1_repeatloading  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	14.39		0	
True	255	A2	Sample 2	11.73		0	
True	255	A3	Sample 3	11.60		0	
True	255	A4	Sample 4	11.72		0	
True	255	A5	Sample 5	12.45		0	
True	255	A6	Sample 6	12.59		0	
True	255	A7	Sample 7	12.89		0	
True	255	A8	Sample 8	12.89		0	
True	255	A9	Sample 9	13.82		0	
True	255	A10	Sample 10	11.54		0	
True	255	A11	Sample 11	11.67		0	
True	255	A12	Sample 12	12.37		0	
True	255	A13	Sample 13	12.41		0	
True	255	A14	Sample 14	11.75		0	
True	255	A15	Sample 15	12.72		0	
True	255	A16	Sample 16	10.81		0	
True	255	A17	Sample 17	11.53		0	
True	255	A18	Sample 18	11.41		0	
True	255	A19	Sample 19	12.83		0	
True	255	A20	Sample 20	12.54		0	
True	255	A21	Sample 21	11.71		0	
True	255	A22	Sample 22	25.98		0	
True	255	A23	Sample 23	28.32		0	
True	255	A24	Sample 24	27.15		0	
True	255	B1	Sample 25	13.36		0	
True	255	B2	Sample 26	12.80		0	
True	255	B3	Sample 27	13.46		0	
True	255	B4	Sample 28	13.26		0	
True	255	B5	Sample 29	13.20		0	
True	255	B6	Sample 30	13.38		0	
True	255	B7	Sample 31	12.55		0	
True	255	B8	Sample 32	12.83		0	
True	255	B9	Sample 33	13.59		0	
True	255	B10	Sample 34	12.39		0	
True	255	B11	Sample 35	12.81		0	
True	255	B12	Sample 36	12.89		0	
True	255	B13	Sample 37	13.29		0	
True	255	B14	Sample 38	13.23		0	
True	255	B15	Sample 39	13.73		0	
True	255	B16	Sample 40	11.93		0	
True	255	B17	Sample 41	11.80		0	
True	255	B18	Sample 42	11.66		0	
True	255	B19	Sample 43	11.45		0	
True	255	B20	Sample 44	10.64		0	
True	255	B21	Sample 45	11.70		0	
True	255	B22	Sample 46	12.32		0	
True	255	B23	Sample 47	11.81		0	
True	255	B24	Sample 48	12.66		0	
True	255	C1	Sample 49	13.34		0	
True	255	C2	Sample 50	10.91		0	
True	255	C3	Sample 51	11.16		0	
True	255	C4	Sample 52	11.49		0	
True	255	C5	Sample 53	11.54		0	
True	255	C6	Sample 54	11.58		0	
True	255	C7	Sample 55	10.89		0	
True	255	C8	Sample 56	11.13		0	
True	255	C9	Sample 57	11.72		0	
True	255	C10	Sample 58	10.78		0	
True	255	C11	Sample 59	11.97		0	
True	255	C12	Sample 60	11.30		0	
True	255	C13	Sample 61	11.84		0	
True	255	C14	Sample 62	11.94		0	
True	255	C15	Sample 63	12.57		0	
True	255	C16	Sample 64	10.45		0	
True	255	C17	Sample 65	10.66		0	
True	255	C18	Sample 66	10.98		0	
True	255	C19	Sample 67	  9.61		0	
True	255	C20	Sample 68	  9.76		0	
True	255	C21	Sample 69	10.32		0	
True	255	C22	Sample 70	10.84		0	
True	255	C23	Sample 71	10.51		0	
True	255	C24	Sample 72	10.84		0	
True	255	D1	Sample 73	10.42		0	
True	255	D2	Sample 74	  9.87		0	
True	255	D3	Sample 75	10.61		0	
True	255	D4	Sample 76	  9.91		0	
True	255	D5	Sample 77	10.71		0	
True	255	D6	Sample 78	10.86		0	
True	255	D7	Sample 79	10.28		0	
True	255	D8	Sample 80	10.47		0	
True	255	D9	Sample 81	10.86		0	
True	255	D10	Sample 82	10.30		0	
True	255	D11	Sample 83	11.47		0	
True	255	D12	Sample 84	10.60		0	
True	255	D13	Sample 85	10.84		0	
True	255	D14	Sample 86	10.82		0	
True	255	D15	Sample 87	11.45		0	
True	255	D16	Sample 88	  9.61		0	
True	255	D17	Sample 89	  9.54		0	
True	255	D18	Sample 90	  9.86		0	
True	255	D19	Sample 91	  8.81		0	
True	255	D20	Sample 92	  8.76		0	
True	255	D21	Sample 93	  9.51		0	
True	255	D22	Sample 94	  9.39		0	
True	255	D23	Sample 95	  9.41		0	
True	255	D24	Sample 96	  9.91		0	
True	255	E1	Sample 97	12.41		0	
True	255	E2	Sample 98	10.97		0	
True	255	E3	Sample 99	11.45		0	
True	255	E4	Sample 100	11.28		0	
True	255	E5	Sample 101	11.44		0	
True	255	E6	Sample 102	11.74		0	
True	255	E7	Sample 103	11.73		0	
True	255	E8	Sample 104	12.29		0	
True	255	E9	Sample 105	13.34		0	
True	255	E10	Sample 106	11.18		0	
True	255	E11	Sample 107	11.47		0	
True	255	E12	Sample 108	11.67		0	
True	255	E13	Sample 109	11.74		0	
True	255	E14	Sample 110	11.69		0	
True	255	E15	Sample 111	11.94		0	
True	255	E16	Sample 112	10.59		0	
True	255	E17	Sample 113	10.83		0	
True	255	E18	Sample 114	10.87		0	
True	255	E19	Sample 115	11.46		0	
True	255	E20	Sample 116	10.97		0	
True	255	E21	Sample 117	11.72		0	
True	255	E22	Sample 118	26.76		0	
True	255	E23	Sample 119	25.96		0	
True	255	E24	Sample 120	29.36		0	
True	255	F1	Sample 121	13.44		0	
True	255	F2	Sample 122	12.71		0	
True	255	F3	Sample 123	12.60		0	
True	255	F4	Sample 124	12.90		0	
True	255	F5	Sample 125	12.81		0	
True	255	F6	Sample 126	13.43		0	
True	255	F7	Sample 127	12.42		0	
True	255	F8	Sample 128	12.57		0	
True	255	F9	Sample 129	13.74		0	
True	255	F10	Sample 130	12.38		0	
True	255	F11	Sample 131	12.58		0	
True	255	F12	Sample 132	12.91		0	
True	255	F13	Sample 133	13.45		0	
True	255	F14	Sample 134	13.65		0	
True	255	F15	Sample 135	13.68		0	
True	255	F16	Sample 136	11.73		0	
True	255	F17	Sample 137	11.93		0	
True	255	F18	Sample 138	11.73		0	
True	255	F19	Sample 139	10.94		0	
True	255	F20	Sample 140	10.69		0	
True	255	F21	Sample 141	11.36		0	
True	255	F22	Sample 142	11.77		0	
True	255	F23	Sample 143	11.29		0	
True	255	F24	Sample 144	12.35		0	
True	255	G1	Sample 145	11.33		0	
True	255	G2	Sample 146	10.95		0	
True	255	G3	Sample 147	11.15		0	
True	255	G4	Sample 148	11.24		0	
True	255	G5	Sample 149	11.42		0	
True	255	G6	Sample 150	11.85		0	
True	255	G7	Sample 151	11.25		0	
True	255	G8	Sample 152	11.25		0	
True	255	G9	Sample 153	11.81		0	
True	255	G10	Sample 154	10.96		0	
True	255	G11	Sample 155	11.99		0	
True	255	G12	Sample 156	11.31		0	
True	255	G13	Sample 157	11.99		0	
True	255	G14	Sample 158	12.28		0	
True	255	G15	Sample 159	12.31		0	
True	255	G16	Sample 160	10.72		0	
True	255	G17	Sample 161	10.44		0	
True	255	G18	Sample 162	10.91		0	
True	255	G19	Sample 163	  9.34		0	
True	255	G20	Sample 164	  8.87		0	
True	255	G21	Sample 165	  9.78		0	
True	255	G22	Sample 166	10.54		0	
True	255	G23	Sample 167	  9.57		0	
True	255	G24	Sample 168	11.28		0	
True	255	H1	Sample 169	10.29		0	
True	255	H2	Sample 170	  9.87		0	
True	255	H3	Sample 171	10.52		0	
True	255	H4	Sample 172	10.20		0	
True	255	H5	Sample 173	10.71		0	
True	255	H6	Sample 174	11.35		0	
True	255	H7	Sample 175	10.41		0	
True	255	H8	Sample 176	10.38		0	
True	255	H9	Sample 177	11.49		0	
True	255	H10	Sample 178	10.46		0	
True	255	H11	Sample 179	11.31		0	
True	255	H12	Sample 180	10.37		0	
True	255	H13	Sample 181	11.14		0	
True	255	H14	Sample 182	10.90		0	
True	255	H15	Sample 183	11.50		0	
True	255	H16	Sample 184	  9.41		0	
True	255	H17	Sample 185	  9.40		0	
True	255	H18	Sample 186	  9.90		0	
True	255	H19	Sample 187	  8.73		0	
True	255	H20	Sample 188	  8.64		0	
True	255	H21	Sample 189	  8.97		0	
True	255	H22	Sample 190	  9.44		0	
True	255	H23	Sample 191	  8.52		0	
True	255	H24	Sample 192	  9.75		0	
True	255	I1	Sample 193	11.61		0	
True	255	I2	Sample 194	11.19		0	
True	255	I3	Sample 195	11.35		0	
True	255	I4	Sample 196	11.45		0	
True	255	I5	Sample 197	11.48		0	
True	255	I6	Sample 198	11.83		0	
True	255	I7	Sample 199	11.90		0	
True	255	I8	Sample 200	12.33		0	
True	255	I9	Sample 201	13.55		0	
True	255	I10	Sample 202	10.95		0	
True	255	I11	Sample 203	11.67		0	
True	255	I12	Sample 204	11.71		0	
True	255	I13	Sample 205	11.45		0	
True	255	I14	Sample 206	11.65		0	
True	255	I15	Sample 207	12.41		0	
True	255	I16	Sample 208	10.98		0	
True	255	I17	Sample 209	10.77		0	
True	255	I18	Sample 210	10.86		0	
True	255	I19	Sample 211	11.48		0	
True	255	I20	Sample 212	11.21		0	
True	255	I21	Sample 213	11.53		0	
True	255	I22	Sample 214	26.68		0	
True	255	I23	Sample 215	25.66		0	
True	255	I24	Sample 216	26.92		0	
