Raw Data 		Experiment - 20201108_pPGK1-tTSA1mod_n2_repeatloading (Run on LCS480 1.5.0.39)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	483-533	
A1	Sample 1	2	2	1	232667	59.93	0.75
A1	Sample 1	2	2	2	271767	59.81	0.75
A1	Sample 1	2	2	3	310950	59.83	0.76
A1	Sample 1	2	2	4	350050	59.82	0.77
A1	Sample 1	2	2	5	389167	59.84	0.78
A1	Sample 1	2	2	6	428367	59.83	0.78
A1	Sample 1	2	2	7	467533	59.83	0.78
A1	Sample 1	2	2	8	506650	59.82	0.79
A1	Sample 1	2	2	9	545850	59.82	0.80
A1	Sample 1	2	2	10	585083	59.82	0.82
A1	Sample 1	2	2	11	624250	59.85	0.89
A1	Sample 1	2	2	12	663450	59.85	0.98
A1	Sample 1	2	2	13	702633	59.84	1.19
A1	Sample 1	2	2	14	741850	59.81	1.56
A1	Sample 1	2	2	15	781083	59.84	2.20
A1	Sample 1	2	2	16	820233	59.81	3.02
A1	Sample 1	2	2	17	859417	59.81	3.76
A1	Sample 1	2	2	18	898633	59.84	4.43
A1	Sample 1	2	2	19	937850	59.81	5.00
A1	Sample 1	2	2	20	977067	59.81	5.46
A1	Sample 1	2	2	21	1016250	59.81	5.78
A1	Sample 1	2	2	22	1055450	59.81	6.02
A1	Sample 1	2	2	23	1094650	59.84	6.24
A1	Sample 1	2	2	24	1133867	59.81	6.39
A1	Sample 1	2	2	25	1173017	59.84	6.51
A1	Sample 1	2	2	26	1212117	59.81	6.63
A1	Sample 1	2	2	27	1251333	59.81	6.72
A1	Sample 1	2	2	28	1290517	59.81	6.80
A1	Sample 1	2	2	29	1329767	59.84	6.84
A1	Sample 1	2	2	30	1368933	59.81	6.88
A1	Sample 1	2	2	31	1408150	59.84	6.95
A1	Sample 1	2	2	32	1447333	59.81	7.00
A1	Sample 1	2	2	33	1486517	59.81	7.00
A1	Sample 1	2	2	34	1525750	59.84	7.05
A1	Sample 1	2	2	35	1564933	59.84	7.06
A1	Sample 1	2	2	36	1604133	59.85	7.12
A1	Sample 1	2	2	37	1643300	59.81	7.10
A1	Sample 1	2	2	38	1682417	59.84	7.14
A1	Sample 1	2	2	39	1721600	59.81	7.14
A1	Sample 1	2	2	40	1760717	59.81	7.19
A1	Sample 1	3	1	1	1772850	59.91	7.30
A1	Sample 1	3	1	1	1774184	59.64	7.35
A1	Sample 1	3	1	1	1775483	59.64	7.36
A1	Sample 1	3	1	1	1776767	60.09	7.33
A1	Sample 1	3	1	1	1778133	60.44	7.32
A1	Sample 1	3	1	1	1779467	60.69	7.28
A1	Sample 1	3	1	1	1780800	60.91	7.24
A1	Sample 1	3	1	1	1782117	61.15	7.22
A1	Sample 1	3	1	1	1783433	61.39	7.17
A1	Sample 1	3	1	1	1784767	61.58	7.16
A1	Sample 1	3	1	1	1786100	61.8	7.14
A1	Sample 1	3	1	1	1787450	61.98	7.12
A1	Sample 1	3	1	1	1788783	62.17	7.08
A1	Sample 1	3	1	1	1790117	62.4	7.06
A1	Sample 1	3	1	1	1791450	62.59	7.05
A1	Sample 1	3	1	1	1792767	62.8	7.05
A1	Sample 1	3	1	1	1794083	62.99	7.01
A1	Sample 1	3	1	1	1795417	63.19	7.00
A1	Sample 1	3	1	1	1796733	63.38	6.97
A1	Sample 1	3	1	1	1798067	63.58	6.93
A1	Sample 1	3	1	1	1799400	63.77	6.93
A1	Sample 1	3	1	1	1800717	63.98	6.92
A1	Sample 1	3	1	1	1802033	64.16	6.91
A1	Sample 1	3	1	1	1803367	64.37	6.88
A1	Sample 1	3	1	1	1804683	64.55	6.89
A1	Sample 1	3	1	1	1806033	64.75	6.86
A1	Sample 1	3	1	1	1807367	64.93	6.83
A1	Sample 1	3	1	1	1808683	65.14	6.83
A1	Sample 1	3	1	1	1809983	65.35	6.82
A1	Sample 1	3	1	1	1811300	65.54	6.82
A1	Sample 1	3	1	1	1812633	65.7	6.81
A1	Sample 1	3	1	1	1813950	65.92	6.79
A1	Sample 1	3	1	1	1815267	66.11	6.76
A1	Sample 1	3	1	1	1816583	66.33	6.78
A1	Sample 1	3	1	1	1817900	66.5	6.77
A1	Sample 1	3	1	1	1819217	66.72	6.77
A1	Sample 1	3	1	1	1820517	66.89	6.76
A1	Sample 1	3	1	1	1821867	67.1	6.78
A1	Sample 1	3	1	1	1823184	67.3	6.77
A1	Sample 1	3	1	1	1824500	67.48	6.76
A1	Sample 1	3	1	1	1825800	67.65	6.75
A1	Sample 1	3	1	1	1827117	67.86	6.75
A1	Sample 1	3	1	1	1828433	68.09	6.77
A1	Sample 1	3	1	1	1829767	68.27	6.74
A1	Sample 1	3	1	1	1831083	68.44	6.73
A1	Sample 1	3	1	1	1832383	68.63	6.69
A1	Sample 1	3	1	1	1833717	68.82	6.65
A1	Sample 1	3	1	1	1835017	69.03	6.63
A1	Sample 1	3	1	1	1836367	69.23	6.63
A1	Sample 1	3	1	1	1837700	69.4	6.58
A1	Sample 1	3	1	1	1839017	69.64	6.56
A1	Sample 1	3	1	1	1840350	69.84	6.52
A1	Sample 1	3	1	1	1841667	70.01	6.49
A1	Sample 1	3	1	1	1843017	70.18	6.45
A1	Sample 1	3	1	1	1844333	70.4	6.43
A1	Sample 1	3	1	1	1845683	70.59	6.38
A1	Sample 1	3	1	1	1847000	70.8	6.35
A1	Sample 1	3	1	1	1848317	71	6.29
A1	Sample 1	3	1	1	1849633	71.17	6.25
A1	Sample 1	3	1	1	1850950	71.37	6.21
A1	Sample 1	3	1	1	1852267	71.58	6.18
A1	Sample 1	3	1	1	1853583	71.77	6.13
A1	Sample 1	3	1	1	1854917	71.98	6.09
A1	Sample 1	3	1	1	1856250	72.15	6.05
A1	Sample 1	3	1	1	1857567	72.37	5.99
A1	Sample 1	3	1	1	1858883	72.56	5.96
A1	Sample 1	3	1	1	1860184	72.75	5.93
A1	Sample 1	3	1	1	1861517	72.96	5.89
A1	Sample 1	3	1	1	1862833	73.13	5.84
A1	Sample 1	3	1	1	1864150	73.34	5.79
A1	Sample 1	3	1	1	1865467	73.53	5.74
A1	Sample 1	3	1	1	1866800	73.71	5.72
A1	Sample 1	3	1	1	1868117	73.93	5.67
A1	Sample 1	3	1	1	1869483	74.11	5.63
A1	Sample 1	3	1	1	1870800	74.31	5.58
A1	Sample 1	3	1	1	1872083	74.51	5.54
A1	Sample 1	3	1	1	1873433	74.71	5.51
A1	Sample 1	3	1	1	1874783	74.89	5.45
A1	Sample 1	3	1	1	1876117	75.11	5.41
A1	Sample 1	3	1	1	1877433	75.3	5.39
A1	Sample 1	3	1	1	1878767	75.5	5.35
A1	Sample 1	3	1	1	1880083	75.67	5.31
A1	Sample 1	3	1	1	1881400	75.87	5.26
A1	Sample 1	3	1	1	1882717	76.09	5.22
A1	Sample 1	3	1	1	1884083	76.27	5.17
A1	Sample 1	3	1	1	1885383	76.47	5.14
A1	Sample 1	3	1	1	1886700	76.65	5.12
A1	Sample 1	3	1	1	1888033	76.86	5.05
A1	Sample 1	3	1	1	1889367	77.04	5.01
A1	Sample 1	3	1	1	1890700	77.24	4.97
A1	Sample 1	3	1	1	1892033	77.44	4.93
A1	Sample 1	3	1	1	1893367	77.64	4.89
A1	Sample 1	3	1	1	1894667	77.85	4.84
A1	Sample 1	3	1	1	1896000	78.04	4.81
A1	Sample 1	3	1	1	1897350	78.25	4.76
A1	Sample 1	3	1	1	1898667	78.4	4.73
A1	Sample 1	3	1	1	1899983	78.63	4.69
A1	Sample 1	3	1	1	1901300	78.83	4.65
A1	Sample 1	3	1	1	1902633	79.03	4.59
A1	Sample 1	3	1	1	1903967	79.21	4.57
A1	Sample 1	3	1	1	1905300	79.41	4.52
A1	Sample 1	3	1	1	1906633	79.62	4.48
A1	Sample 1	3	1	1	1907967	79.81	4.45
A1	Sample 1	3	1	1	1909250	79.99	4.39
A1	Sample 1	3	1	1	1910567	80.18	4.34
A1	Sample 1	3	1	1	1911883	80.36	4.31
A1	Sample 1	3	1	1	1913233	80.59	4.26
A1	Sample 1	3	1	1	1914567	80.8	4.22
A1	Sample 1	3	1	1	1915900	80.97	4.18
A1	Sample 1	3	1	1	1917184	81.15	4.12
A1	Sample 1	3	1	1	1918500	81.34	4.06
A1	Sample 1	3	1	1	1919800	81.56	4.02
A1	Sample 1	3	1	1	1921117	81.76	3.97
A1	Sample 1	3	1	1	1922417	81.93	3.95
A1	Sample 1	3	1	1	1923733	82.13	3.87
A1	Sample 1	3	1	1	1925067	82.35	3.82
A1	Sample 1	3	1	1	1926383	82.54	3.74
A1	Sample 1	3	1	1	1927700	82.72	3.69
A1	Sample 1	3	1	1	1929033	82.9	3.59
A1	Sample 1	3	1	1	1930333	83.12	3.52
A1	Sample 1	3	1	1	1931683	83.3	3.40
A1	Sample 1	3	1	1	1933000	83.5	3.24
A1	Sample 1	3	1	1	1934333	83.71	3.05
A1	Sample 1	3	1	1	1935650	83.89	2.78
A1	Sample 1	3	1	1	1936967	84.1	2.45
A1	Sample 1	3	1	1	1938283	84.27	2.06
A1	Sample 1	3	1	1	1939633	84.51	1.65
A1	Sample 1	3	1	1	1940950	84.68	1.28
A1	Sample 1	3	1	1	1942267	84.86	0.98
A1	Sample 1	3	1	1	1943583	85.07	0.72
A1	Sample 1	3	1	1	1944900	85.25	0.56
A1	Sample 1	3	1	1	1946250	85.45	0.46
A1	Sample 1	3	1	1	1947583	85.64	0.39
A1	Sample 1	3	1	1	1948900	85.84	0.34
A1	Sample 1	3	1	1	1950217	86.05	0.31
A1	Sample 1	3	1	1	1951550	86.26	0.29
A1	Sample 1	3	1	1	1952883	86.43	0.28
A1	Sample 1	3	1	1	1954217	86.62	0.27
A1	Sample 1	3	1	1	1955533	86.82	0.26
A1	Sample 1	3	1	1	1956850	87.03	0.26
A1	Sample 1	3	1	1	1958167	87.21	0.25
A1	Sample 1	3	1	1	1959483	87.42	0.26
A1	Sample 1	3	1	1	1960817	87.6	0.25
A1	Sample 1	3	1	1	1962133	87.82	0.25
A1	Sample 1	3	1	1	1963467	87.99	0.24
A1	Sample 1	3	1	1	1964800	88.21	0.24
A1	Sample 1	3	1	1	1966117	88.41	0.24
A1	Sample 1	3	1	1	1967433	88.6	0.24
A1	Sample 1	3	1	1	1968750	88.79	0.23
A1	Sample 1	3	1	1	1970083	88.97	0.23
A1	Sample 1	3	1	1	1971383	89.18	0.22
A1	Sample 1	3	1	1	1972717	89.37	0.23
A1	Sample 1	3	1	1	1974033	89.58	0.23
A1	Sample 1	3	1	1	1975367	89.76	0.22
A1	Sample 1	3	1	1	1976700	89.94	0.23
A1	Sample 1	3	1	1	1978017	90.16	0.22
A1	Sample 1	3	1	1	1979350	90.35	0.23
A1	Sample 1	3	1	1	1980683	90.52	0.22
A1	Sample 1	3	1	1	1982000	90.72	0.22
A1	Sample 1	3	1	1	1983317	90.95	0.22
A1	Sample 1	3	1	1	1984633	91.12	0.22
A1	Sample 1	3	1	1	1985983	91.3	0.22
A1	Sample 1	3	1	1	1987317	91.55	0.22
A1	Sample 1	3	1	1	1988650	91.71	0.22
A1	Sample 1	3	1	1	1989950	91.93	0.22
A1	Sample 1	3	1	1	1991250	92.11	0.22
A1	Sample 1	3	1	1	1992567	92.28	0.21
A1	Sample 1	3	1	1	1993900	92.49	0.21
A1	Sample 1	3	1	1	1995233	92.71	0.21
A1	Sample 1	3	1	1	1996550	92.9	0.21
A1	Sample 1	3	1	1	1997850	93.08	0.21
A1	Sample 1	3	1	1	1999167	93.25	0.21
A1	Sample 1	3	1	1	2000483	93.46	0.21
A1	Sample 1	3	1	1	2001833	93.66	0.21
A1	Sample 1	3	1	1	2003150	93.88	0.21
A1	Sample 1	3	1	1	2004467	94.05	0.21
A1	Sample 1	3	1	1	2005767	94.24	0.21
A1	Sample 1	3	1	1	2007100	94.46	0.21
A1	Sample 1	3	1	1	2008417	94.65	0.21
A1	Sample 1	3	1	1	2009750	94.85	0.21
A2	Sample 2	2	2	1	232667	59.93	0.77
A2	Sample 2	2	2	2	271767	59.81	0.76
A2	Sample 2	2	2	3	310950	59.83	0.77
A2	Sample 2	2	2	4	350050	59.82	0.77
A2	Sample 2	2	2	5	389167	59.84	0.77
A2	Sample 2	2	2	6	428367	59.83	0.78
A2	Sample 2	2	2	7	467533	59.83	0.80
A2	Sample 2	2	2	8	506650	59.82	0.81
A2	Sample 2	2	2	9	545850	59.82	0.83
A2	Sample 2	2	2	10	585083	59.82	0.88
A2	Sample 2	2	2	11	624250	59.85	0.95
A2	Sample 2	2	2	12	663450	59.85	1.09
A2	Sample 2	2	2	13	702633	59.84	1.36
A2	Sample 2	2	2	14	741850	59.81	1.85
A2	Sample 2	2	2	15	781083	59.84	2.64
A2	Sample 2	2	2	16	820233	59.81	3.55
A2	Sample 2	2	2	17	859417	59.81	4.34
A2	Sample 2	2	2	18	898633	59.84	5.05
A2	Sample 2	2	2	19	937850	59.81	5.62
A2	Sample 2	2	2	20	977067	59.81	6.09
A2	Sample 2	2	2	21	1016250	59.81	6.38
A2	Sample 2	2	2	22	1055450	59.81	6.68
A2	Sample 2	2	2	23	1094650	59.84	6.84
A2	Sample 2	2	2	24	1133867	59.81	6.99
A2	Sample 2	2	2	25	1173017	59.84	7.16
A2	Sample 2	2	2	26	1212117	59.81	7.23
A2	Sample 2	2	2	27	1251333	59.81	7.37
A2	Sample 2	2	2	28	1290517	59.81	7.46
A2	Sample 2	2	2	29	1329767	59.84	7.49
