Experiment: JA_2020-08-31-shortvslong_n2  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Group	Score	Res	Status
True	16711935	A1	Sample 1	4	0.84	0.31	
True	16711935	A2	Sample 2	4	0.82	0.4	
True	16711935	A3	Sample 3	4	0.81	0.35	
True	16711935	A4	Sample 4	4	0.91	0.29	
True	16711935	A5	Sample 5	4	0.85	0.17	
True	16711935	A6	Sample 6	4	0.97	0.34	
True	16711935	A7	Sample 7	4	0.94	0.3	
True	16711935	A8	Sample 8	4	0.99	0.34	
True	16711935	A9	Sample 9	4	0.85	0.48	
True	16711935	A10	Sample 10	4	0.95	0.21	
True	16711935	A11	Sample 11	4	0.98	0.39	
True	16711935	A12	Sample 12	4	0.96	0.4	
True	16711935	A13	Sample 13	4	0.98	0.38	
True	16711935	A14	Sample 14	4	0.97	0.28	
True	16711935	A15	Sample 15	4	0.95	0.37	
True	16711935	A16	Sample 16	4	0.95	0.31	
True	16711935	A17	Sample 17	4	0.94	0.21	
True	16711935	A18	Sample 18	4	0.96	0.31	
True	16711935	A19	Sample 19	4	0.91	0.1	
True	151	A20	Sample 20	Unknown	0.76	0.01	
True	151	A21	Sample 21	Unknown	0.81	0.01	
True	151	A22	Sample 22	Unknown	0.83	0.02	
True	8421504	A23	Sample 23	5	0.84	0.15	
True	151	A24	Sample 24	Unknown	0.81	0.06	
True	255	B1	Sample 25	2	0.96	0.83	
True	255	B2	Sample 26	2	0.95	0.82	
True	255	B3	Sample 27	2	0.98	0.82	
True	255	B4	Sample 28	2	0.96	0.83	
True	255	B5	Sample 29	2	0.98	0.81	
True	255	B6	Sample 30	2	0.96	0.8	
True	255	B7	Sample 31	2	0.99	0.8	
True	255	B8	Sample 32	2	0.99	0.81	
True	255	B9	Sample 33	2	0.98	0.81	
True	255	B10	Sample 34	2	0.99	0.79	
True	255	B11	Sample 35	2	0.99	0.79	
True	255	B12	Sample 36	2	0.98	0.77	
True	255	B13	Sample 37	2	0.98	0.79	
True	255	B14	Sample 38	2	0.99	0.78	
True	255	B15	Sample 39	2	0.99	0.79	
True	255	B16	Sample 40	2	0.99	0.79	
True	255	B17	Sample 41	2	0.99	0.78	
True	255	B18	Sample 42	2	0.99	0.79	
True	1234938	B19	Sample 43	6	1	0.77	
True	255	B20	Sample 44	2	0.84	0.4	
True	255	B21	Sample 45	2	0.83	0.41	
True	255	B22	Sample 46	2	0.82	0.35	
True	255	B23	Sample 47	2	0.81	0.29	
True	151	B24	Sample 48	Unknown	0.71	0.09	
True	16744448	C1	Sample 49	1	0.88	0.85	
True	16744448	C2	Sample 50	1	0.9	0.88	
True	16744448	C3	Sample 51	1	0.98	0.94	
True	16744448	C4	Sample 52	1	0.98	0.94	
True	16744448	C5	Sample 53	1	0.94	0.91	
True	16744448	C6	Sample 54	1	0.94	0.91	
True	16744448	C7	Sample 55	1	0.96	0.92	
True	16744448	C8	Sample 56	1	0.93	0.9	
True	16744448	C9	Sample 57	1	0.92	0.88	
True	16744448	C10	Sample 58	1	0.92	0.89	
True	16744448	C11	Sample 59	1	0.93	0.9	
True	16744448	C12	Sample 60	1	0.93	0.9	
True	16744448	C13	Sample 61	1	0.95	0.92	
True	16744448	C14	Sample 62	1	0.97	0.92	
True	16744448	C15	Sample 63	1	0.91	0.88	
True	16744448	C16	Sample 64	1	0.96	0.92	
True	16744448	C17	Sample 65	1	0.98	0.94	
True	16744448	C18	Sample 66	1	0.94	0.91	
True	3200768	C19	Sample 67	3	0.98	0.98	
True	3200768	C20	Sample 68	3	0.99	0.99	
True	3200768	C21	Sample 69	3	0.99	0.99	
True	3200768	C22	Sample 70	3	0.92	0.89	
True	3200768	C23	Sample 71	3	0.99	0.98	
True	3200768	C24	Sample 72	3	0.94	0.92	
True	16744448	D1	Sample 73	1	0.92	0.89	
True	16744448	D2	Sample 74	1	0.95	0.84	
True	16744448	D3	Sample 75	1	0.94	0.84	
True	16744448	D4	Sample 76	1	0.97	0.87	
True	16744448	D5	Sample 77	1	0.99	0.91	
True	16744448	D6	Sample 78	1	0.98	0.91	
True	16744448	D7	Sample 79	1	0.97	0.92	
True	16744448	D8	Sample 80	1	0.97	0.92	
True	16744448	D9	Sample 81	1	0.97	0.89	
True	16744448	D10	Sample 82	1	0.96	0.85	
True	16744448	D11	Sample 83	1	0.98	0.91	
True	16744448	D12	Sample 84	1	0.98	0.89	
True	16744448	D13	Sample 85	1	0.97	0.88	
True	16744448	D14	Sample 86	1	0.98	0.91	
True	16744448	D15	Sample 87	1	0.96	0.9	
True	16744448	D16	Sample 88	1	0.98	0.91	
True	16744448	D17	Sample 89	1	0.97	0.91	
True	16744448	D18	Sample 90	1	0.98	0.91	
True	3200768	D19	Sample 91	3	0.99	0.99	
True	3200768	D20	Sample 92	3	0.97	0.96	
True	3200768	D21	Sample 93	3	0.99	0.99	
True	3200768	D22	Sample 94	3	0.99	0.98	
True	3200768	D23	Sample 95	3	0.99	0.99	
True	151	D24	Sample 96	Unknown	0.67	0.55	
True	16744448	E1	Sample 97	1	0.95	0.61	
True	16744448	E2	Sample 98	1	0.98	0.62	
True	16744448	E3	Sample 99	1	0.95	0.58	
True	16744448	E4	Sample 100	1	0.98	0.65	
True	16744448	E5	Sample 101	1	0.97	0.63	
True	16744448	E6	Sample 102	1	0.99	0.68	
True	16744448	E7	Sample 103	1	0.99	0.66	
True	16744448	E8	Sample 104	1	0.98	0.63	
True	16744448	E9	Sample 105	1	0.98	0.63	
True	16744448	E10	Sample 106	1	0.98	0.65	
True	16744448	E11	Sample 107	1	0.98	0.66	
True	16744448	E12	Sample 108	1	0.97	0.64	
True	16744448	E13	Sample 109	1	0.95	0.64	
True	16744448	E14	Sample 110	1	0.96	0.72	
True	16744448	E15	Sample 111	1	0.97	0.63	
True	16744448	E16	Sample 112	1	0.98	0.59	
True	16744448	E17	Sample 113	1	0.98	0.61	
True	16744448	E18	Sample 114	1	0.97	0.56	
True	3200768	E19	Sample 115	3	0.99	0.99	
True	3200768	E20	Sample 116	3	0.96	0.95	
True	3200768	E21	Sample 117	3	0.99	0.99	
True	3200768	E22	Sample 118	3	0.99	0.99	
True	3200768	E23	Sample 119	3	0.98	0.97	
True	3200768	E24	Sample 120	3	0.97	0.96	
True	16711935	F1	Sample 121	4	0.76	0.25	
True	16711935	F2	Sample 122	4	0.96	0.26	
True	16711935	F3	Sample 123	4	0.92	0.35	
True	8421504	F4	Sample 124	5	1	0.36	
