Raw Data 		Experiment - JA_2020-08-31-shortvslong_n2 (Run on LCS480 1.5.0.39)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	483-533	
A1	Sample 1	2	2	1	229383	59.91	0.72
A1	Sample 1	2	2	2	268483	59.82	0.73
A1	Sample 1	2	2	3	307583	59.85	0.74
A1	Sample 1	2	2	4	346667	59.83	0.75
A1	Sample 1	2	2	5	385883	59.84	0.75
A1	Sample 1	2	2	6	425067	59.83	0.77
A1	Sample 1	2	2	7	464167	59.83	0.78
A1	Sample 1	2	2	8	503383	59.82	0.79
A1	Sample 1	2	2	9	542550	59.82	0.83
A1	Sample 1	2	2	10	581633	59.82	0.90
A1	Sample 1	2	2	11	620750	59.85	1.00
A1	Sample 1	2	2	12	659833	59.85	1.20
A1	Sample 1	2	2	13	698933	59.84	1.62
A1	Sample 1	2	2	14	738050	59.84	2.25
A1	Sample 1	2	2	15	777133	59.84	3.04
A1	Sample 1	2	2	16	816250	59.84	3.72
A1	Sample 1	2	2	17	855333	59.81	4.39
A1	Sample 1	2	2	18	894450	59.84	4.90
A1	Sample 1	2	2	19	933667	59.84	5.36
A1	Sample 1	2	2	20	972867	59.84	5.67
A1	Sample 1	2	2	21	1011983	59.81	5.95
A1	Sample 1	2	2	22	1051133	59.81	6.17
A1	Sample 1	2	2	23	1090233	59.81	6.34
A1	Sample 1	2	2	24	1129317	59.84	6.47
A1	Sample 1	2	2	25	1168450	59.84	6.56
A1	Sample 1	2	2	26	1207367	59.84	6.67
A1	Sample 1	2	2	27	1246500	59.84	6.75
A1	Sample 1	2	2	28	1285600	59.84	6.84
A1	Sample 1	2	2	29	1324783	59.84	6.89
A1	Sample 1	2	2	30	1363950	59.84	6.94
A1	Sample 1	2	2	31	1403067	59.84	7.00
A1	Sample 1	2	2	32	1442183	59.84	7.03
A1	Sample 1	2	2	33	1481383	59.84	7.06
A1	Sample 1	2	2	34	1520583	59.84	7.13
A1	Sample 1	2	2	35	1559783	59.84	7.15
A1	Sample 1	2	2	36	1598883	59.84	7.20
A1	Sample 1	2	2	37	1638050	59.84	7.20
A1	Sample 1	2	2	38	1677167	59.81	7.24
A1	Sample 1	2	2	39	1716317	59.84	7.25
A1	Sample 1	2	2	40	1755467	59.84	7.28
A1	Sample 1	3	1	1	1767517	59.93	7.36
A1	Sample 1	3	1	1	1768817	59.65	7.41
A1	Sample 1	3	1	1	1770150	59.67	7.44
A1	Sample 1	3	1	1	1771450	60.1	7.43
A1	Sample 1	3	1	1	1772800	60.44	7.38
A1	Sample 1	3	1	1	1774133	60.69	7.37
A1	Sample 1	3	1	1	1775450	60.92	7.31
A1	Sample 1	3	1	1	1776733	61.11	7.31
A1	Sample 1	3	1	1	1778033	61.37	7.28
A1	Sample 1	3	1	1	1779367	61.58	7.25
A1	Sample 1	3	1	1	1780700	61.8	7.24
A1	Sample 1	3	1	1	1782017	61.99	7.23
A1	Sample 1	3	1	1	1783350	62.18	7.19
A1	Sample 1	3	1	1	1784650	62.39	7.17
A1	Sample 1	3	1	1	1785967	62.6	7.16
A1	Sample 1	3	1	1	1787300	62.78	7.16
A1	Sample 1	3	1	1	1788617	62.99	7.16
A1	Sample 1	3	1	1	1789983	63.17	7.12
A1	Sample 1	3	1	1	1791300	63.39	7.10
A1	Sample 1	3	1	1	1792617	63.59	7.06
A1	Sample 1	3	1	1	1793917	63.77	7.08
A1	Sample 1	3	1	1	1795250	63.93	7.06
A1	Sample 1	3	1	1	1796567	64.16	7.07
A1	Sample 1	3	1	1	1797900	64.38	7.04
A1	Sample 1	3	1	1	1799217	64.56	7.05
A1	Sample 1	3	1	1	1800533	64.76	7.03
A1	Sample 1	3	1	1	1801833	64.94	7.02
A1	Sample 1	3	1	1	1803167	65.16	7.02
A1	Sample 1	3	1	1	1804450	65.32	7.02
A1	Sample 1	3	1	1	1805800	65.55	7.01
A1	Sample 1	3	1	1	1807150	65.71	7.01
A1	Sample 1	3	1	1	1808467	65.93	7.00
A1	Sample 1	3	1	1	1809800	66.13	7.01
A1	Sample 1	3	1	1	1811133	66.34	6.97
A1	Sample 1	3	1	1	1812433	66.54	7.00
A1	Sample 1	3	1	1	1813767	66.71	7.00
A1	Sample 1	3	1	1	1815084	66.93	7.01
A1	Sample 1	3	1	1	1816400	67.11	6.99
A1	Sample 1	3	1	1	1817733	67.34	7.01
A1	Sample 1	3	1	1	1819067	67.51	7.02
A1	Sample 1	3	1	1	1820383	67.69	7.03
A1	Sample 1	3	1	1	1821700	67.92	7.04
A1	Sample 1	3	1	1	1823050	68.13	7.06
A1	Sample 1	3	1	1	1824333	68.27	7.08
A1	Sample 1	3	1	1	1825683	68.51	7.09
A1	Sample 1	3	1	1	1827017	68.68	7.12
A1	Sample 1	3	1	1	1828333	68.9	7.12
A1	Sample 1	3	1	1	1829633	69.09	7.12
A1	Sample 1	3	1	1	1830950	69.27	7.11
A1	Sample 1	3	1	1	1832283	69.47	7.13
A1	Sample 1	3	1	1	1833583	69.67	7.12
A1	Sample 1	3	1	1	1834917	69.87	7.07
A1	Sample 1	3	1	1	1836250	70.08	7.09
A1	Sample 1	3	1	1	1837583	70.27	7.05
A1	Sample 1	3	1	1	1838917	70.46	7.02
A1	Sample 1	3	1	1	1840217	70.67	6.99
A1	Sample 1	3	1	1	1841567	70.86	6.94
A1	Sample 1	3	1	1	1842867	71.04	6.91
A1	Sample 1	3	1	1	1844200	71.24	6.87
A1	Sample 1	3	1	1	1845533	71.44	6.83
A1	Sample 1	3	1	1	1846833	71.64	6.77
A1	Sample 1	3	1	1	1848167	71.85	6.73
A1	Sample 1	3	1	1	1849500	72.04	6.68
A1	Sample 1	3	1	1	1850817	72.25	6.64
A1	Sample 1	3	1	1	1852150	72.45	6.60
A1	Sample 1	3	1	1	1853517	72.66	6.55
A1	Sample 1	3	1	1	1854833	72.83	6.49
A1	Sample 1	3	1	1	1856133	73.01	6.47
A1	Sample 1	3	1	1	1857450	73.23	6.42
A1	Sample 1	3	1	1	1858767	73.43	6.37
A1	Sample 1	3	1	1	1860067	73.63	6.33
A1	Sample 1	3	1	1	1861383	73.8	6.28
A1	Sample 1	3	1	1	1862717	74.01	6.25
A1	Sample 1	3	1	1	1864050	74.2	6.20
A1	Sample 1	3	1	1	1865400	74.4	6.15
A1	Sample 1	3	1	1	1866733	74.6	6.10
A1	Sample 1	3	1	1	1868100	74.78	6.07
A1	Sample 1	3	1	1	1869417	74.98	6.01
A1	Sample 1	3	1	1	1870733	75.19	5.98
A1	Sample 1	3	1	1	1872050	75.39	5.92
A1	Sample 1	3	1	1	1873400	75.59	5.88
A1	Sample 1	3	1	1	1874767	75.79	5.83
A1	Sample 1	3	1	1	1876100	76	5.79
A1	Sample 1	3	1	1	1877417	76.19	5.74
A1	Sample 1	3	1	1	1878733	76.37	5.69
A1	Sample 1	3	1	1	1880084	76.57	5.67
A1	Sample 1	3	1	1	1881417	76.79	5.59
A1	Sample 1	3	1	1	1882767	76.99	5.56
A1	Sample 1	3	1	1	1884067	77.17	5.51
A1	Sample 1	3	1	1	1885400	77.37	5.47
A1	Sample 1	3	1	1	1886717	77.57	5.44
A1	Sample 1	3	1	1	1888033	77.77	5.39
A1	Sample 1	3	1	1	1889350	77.97	5.32
A1	Sample 1	3	1	1	1890717	78.16	5.29
A1	Sample 1	3	1	1	1892000	78.35	5.24
A1	Sample 1	3	1	1	1893333	78.56	5.20
A1	Sample 1	3	1	1	1894667	78.76	5.14
A1	Sample 1	3	1	1	1895983	78.97	5.10
A1	Sample 1	3	1	1	1897317	79.16	5.06
A1	Sample 1	3	1	1	1898633	79.31	5.02
A1	Sample 1	3	1	1	1899967	79.54	4.98
A1	Sample 1	3	1	1	1901300	79.73	4.91
A1	Sample 1	3	1	1	1902617	79.94	4.87
A1	Sample 1	3	1	1	1903950	80.1	4.84
A1	Sample 1	3	1	1	1905267	80.31	4.79
A1	Sample 1	3	1	1	1906600	80.51	4.74
A1	Sample 1	3	1	1	1907933	80.72	4.68
A1	Sample 1	3	1	1	1909267	80.92	4.63
A1	Sample 1	3	1	1	1910583	81.1	4.59
A1	Sample 1	3	1	1	1911867	81.32	4.55
A1	Sample 1	3	1	1	1913183	81.51	4.48
A1	Sample 1	3	1	1	1914517	81.71	4.43
A1	Sample 1	3	1	1	1915867	81.91	4.37
A1	Sample 1	3	1	1	1917167	82.11	4.32
A1	Sample 1	3	1	1	1918500	82.3	4.25
A1	Sample 1	3	1	1	1919817	82.49	4.17
A1	Sample 1	3	1	1	1921150	82.69	4.12
A1	Sample 1	3	1	1	1922483	82.88	4.03
A1	Sample 1	3	1	1	1923833	83.07	3.91
A1	Sample 1	3	1	1	1925150	83.28	3.80
A1	Sample 1	3	1	1	1926433	83.49	3.63
A1	Sample 1	3	1	1	1927767	83.69	3.41
A1	Sample 1	3	1	1	1929084	83.87	3.12
A1	Sample 1	3	1	1	1930433	84.08	2.71
A1	Sample 1	3	1	1	1931750	84.28	2.27
A1	Sample 1	3	1	1	1933084	84.46	1.81
A1	Sample 1	3	1	1	1934400	84.66	1.40
A1	Sample 1	3	1	1	1935733	84.84	1.05
A1	Sample 1	3	1	1	1937067	85.08	0.77
A1	Sample 1	3	1	1	1938367	85.26	0.58
A1	Sample 1	3	1	1	1939683	85.46	0.47
A1	Sample 1	3	1	1	1941000	85.62	0.39
A1	Sample 1	3	1	1	1942317	85.85	0.33
A1	Sample 1	3	1	1	1943633	86.02	0.30
A1	Sample 1	3	1	1	1944967	86.24	0.28
A1	Sample 1	3	1	1	1946283	86.41	0.27
A1	Sample 1	3	1	1	1947583	86.63	0.26
A1	Sample 1	3	1	1	1948900	86.81	0.25
A1	Sample 1	3	1	1	1950233	87.01	0.24
