Experiment: JA_2020-12-12-pPGK1-mCh-tPIR1_mod-n1  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Group	Score	Res	Status
True	255	A1	Sample 1	2	0.98	0.36	
True	255	A2	Sample 2	2	0.97	0.39	
True	255	A3	Sample 3	2	0.99	0.34	
True	255	A4	Sample 4	2	0.99	0.33	
True	255	A5	Sample 5	2	0.98	0.27	
True	255	A6	Sample 6	2	0.99	0.28	
True	255	A7	Sample 7	2	0.99	0.3	
True	255	A8	Sample 8	2	0.99	0.29	
True	255	A9	Sample 9	2	0.99	0.32	
True	255	A10	Sample 10	2	0.98	0.38	
True	255	A11	Sample 11	2	0.99	0.33	
True	255	A12	Sample 12	2	0.99	0.32	
True	255	A13	Sample 13	2	0.96	0.3	
True	255	A14	Sample 14	2	0.98	0.25	
True	255	A15	Sample 15	2	0.97	0.3	
True	255	A16	Sample 16	2	0.96	0.27	
True	255	A17	Sample 17	2	0.99	0.29	
True	255	A18	Sample 18	2	0.98	0.31	
True	255	A19	Sample 19	2	0.99	0.29	
True	255	A20	Sample 20	2	0.99	0.28	
True	255	A21	Sample 21	2	0.95	0.31	
True	255	A22	Sample 22	2	0.95	0.27	
True	255	A23	Sample 23	2	0.96	0.31	
True	255	A24	Sample 24	2	0.97	0.3	
True	16744448	B1	Sample 25	1	0.98	0.59	
True	16744448	B2	Sample 26	1	0.97	0.59	
True	16744448	B3	Sample 27	1	0.98	0.57	
True	16744448	B4	Sample 28	1	0.95	0.56	
True	16744448	B5	Sample 29	1	0.96	0.58	
True	16744448	B6	Sample 30	1	0.94	0.56	
True	16744448	B7	Sample 31	1	0.95	0.56	
True	16744448	B8	Sample 32	1	0.93	0.57	
True	16744448	B9	Sample 33	1	0.97	0.58	
True	16744448	B10	Sample 34	1	0.94	0.56	
True	16744448	B11	Sample 35	1	0.95	0.59	
True	16744448	B12	Sample 36	1	0.94	0.57	
True	16744448	B13	Sample 37	1	0.94	0.57	
True	16744448	B14	Sample 38	1	0.95	0.57	
True	16744448	B15	Sample 39	1	0.98	0.58	
True	16744448	B16	Sample 40	1	0.98	0.6	
