Experiment: JA_2020-12-23-pPGK1-mCh-tPIR1_mod-n2  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	11.36		0	
True	255	A2	Sample 2	11.50		0	
True	255	A3	Sample 3	10.68		0	
True	255	A4	Sample 4	11.54		0	
True	255	A5	Sample 5	10.83		0	
True	255	A6	Sample 6	10.49		0	
True	255	A7	Sample 7	10.80		0	
True	255	A8	Sample 8	10.94		0	
True	255	A9	Sample 9	10.99		0	
True	255	A10	Sample 10	10.88		0	
True	255	A11	Sample 11	11.30		0	
True	255	A12	Sample 12	11.23		0	
True	255	A13	Sample 13	10.76		0	
True	255	A14	Sample 14	11.54		0	
True	255	A15	Sample 15	11.10		0	
True	255	A16	Sample 16	10.36		0	
True	255	A17	Sample 17	10.55		0	
True	255	A18	Sample 18	10.64		0	
True	255	A19	Sample 19	10.80		0	
True	255	A20	Sample 20	  9.67		0	
True	255	A21	Sample 21	10.51		0	
True	255	A22	Sample 22	10.62		0	
True	255	A23	Sample 23	10.87		0	
True	255	A24	Sample 24	10.68		0	
True	255	B1	Sample 25	10.81		0	
True	255	B2	Sample 26	10.65		0	
True	255	B3	Sample 27	10.61		0	
True	255	B4	Sample 28	10.75		0	
True	255	B5	Sample 29	10.46		0	
True	255	B6	Sample 30	  9.74		0	
True	255	B7	Sample 31	10.46		0	
True	255	B8	Sample 32	10.42		0	
True	255	B9	Sample 33	11.15		0	
True	255	B10	Sample 34	10.59		0	
True	255	B11	Sample 35	10.47		0	
True	255	B12	Sample 36	  9.90		0	
True	255	B13	Sample 37	  9.84		0	
True	255	B14	Sample 38	10.87		0	
True	255	B15	Sample 39	  9.96		0	
True	255	B16	Sample 40	10.35		0	
True	255	B17	Sample 41	  9.93		0	
True	255	B18	Sample 42	10.29		0	
True	255	B19	Sample 43	  9.89		0	
True	255	B20	Sample 44	  9.35		0	
True	255	B21	Sample 45	10.41		0	
True	255	B22	Sample 46	10.65		0	
True	255	B23	Sample 47	  10.00		0	
True	255	B24	Sample 48	11.34		0	
True	255	C1	Sample 49	10.35		0	
True	255	C2	Sample 50	10.51		0	
True	255	C3	Sample 51	10.45		0	
True	255	C4	Sample 52	10.87		0	
True	255	C5	Sample 53	  9.97		0	
True	255	C6	Sample 54	10.26		0	
True	255	C7	Sample 55	10.29		0	
True	255	C8	Sample 56	10.39		0	
True	255	C9	Sample 57	10.67		0	
True	255	C10	Sample 58	10.46		0	
True	255	C11	Sample 59	10.57		0	
True	255	C12	Sample 60	  9.67		0	
True	255	C13	Sample 61	  9.80		0	
True	255	C14	Sample 62	11.23		0	
True	255	C15	Sample 63	10.52		0	
True	255	C16	Sample 64	  9.86		0	
True	255	C17	Sample 65	10.38		0	
True	255	C18	Sample 66	  9.79		0	
True	255	C19	Sample 67	10.57		0	
True	255	C20	Sample 68	  9.70		0	
True	255	C21	Sample 69	10.28		0	
True	255	C22	Sample 70	10.69		0	
True	255	C23	Sample 71	10.41		0	
True	255	C24	Sample 72	10.98		0	
True	255	D1	Sample 73	  9.73		0	
True	255	D2	Sample 74	  9.67		0	
True	255	D3	Sample 75	  9.45		0	
True	255	D4	Sample 76	  9.73		0	
True	255	D5	Sample 77	  9.39		0	
True	255	D6	Sample 78	  8.99		0	
True	255	D7	Sample 79	  9.25		0	
True	255	D8	Sample 80	  9.46		0	
True	255	D9	Sample 81	  9.68		0	
True	255	D10	Sample 82	  9.74		0	
True	255	D11	Sample 83	  9.66		0	
True	255	D12	Sample 84	  8.74		0	
True	255	D13	Sample 85	  9.19		0	
True	255	D14	Sample 86	  9.91		0	
True	255	D15	Sample 87	  9.51		0	
True	255	D16	Sample 88	  9.47		0	
True	255	D17	Sample 89	  8.86		0	
True	255	D18	Sample 90	  8.97		0	
True	255	D19	Sample 91	  9.69		0	
True	255	D20	Sample 92	  8.89		0	
True	255	D21	Sample 93	  9.49		0	
True	255	D22	Sample 94	  9.81		0	
True	255	D23	Sample 95	  9.42		0	
True	255	D24	Sample 96	10.44		0	
True	255	E1	Sample 97	10.87		0	
True	255	E2	Sample 98	11.12		0	
True	255	E3	Sample 99	10.75		0	
True	255	E4	Sample 100	10.52		0	
True	255	E5	Sample 101	10.28		0	
True	255	E6	Sample 102	  9.62		0	
True	255	E7	Sample 103	10.27		0	
True	255	E8	Sample 104	10.47		0	
True	255	E9	Sample 105	10.44		0	
True	255	E10	Sample 106	10.45		0	
True	255	E11	Sample 107	10.55		0	
True	255	E12	Sample 108	10.31		0	
True	255	E13	Sample 109	10.35		0	
True	255	E14	Sample 110	11.62		0	
True	255	E15	Sample 111	10.38		0	
True	255	E16	Sample 112	  9.80		0	
True	255	E17	Sample 113	  9.98		0	
True	255	E18	Sample 114	  9.93		0	
