Raw Data 		Experiment - JA_2020-12-23-pPGK1-mCh-tPIR1_mod-n2 (Run on LCS480 1.5.0.39)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	483-533	
A1	Sample 1	2	2	1	234567	59.89	0.67
A1	Sample 1	2	2	2	273684	59.81	0.66
A1	Sample 1	2	2	3	312950	59.82	0.67
A1	Sample 1	2	2	4	352117	59.82	0.67
A1	Sample 1	2	2	5	391300	59.81	0.67
A1	Sample 1	2	2	6	430500	59.83	0.68
A1	Sample 1	2	2	7	469717	59.82	0.68
A1	Sample 1	2	2	8	508917	59.85	0.68
A1	Sample 1	2	2	9	548250	59.85	0.70
A1	Sample 1	2	2	10	587517	59.84	0.73
A1	Sample 1	2	2	11	626817	59.84	0.78
A1	Sample 1	2	2	12	666017	59.84	0.88
A1	Sample 1	2	2	13	705250	59.83	1.08
A1	Sample 1	2	2	14	744384	59.83	1.43
A1	Sample 1	2	2	15	783600	59.83	1.96
A1	Sample 1	2	2	16	822817	59.83	2.55
A1	Sample 1	2	2	17	862017	59.85	3.13
A1	Sample 1	2	2	18	901284	59.82	3.67
A1	Sample 1	2	2	19	940467	59.82	4.17
A1	Sample 1	2	2	20	979834	59.85	4.59
A1	Sample 1	2	2	21	1019117	59.85	4.92
A1	Sample 1	2	2	22	1058384	59.85	5.19
A1	Sample 1	2	2	23	1097684	59.84	5.42
A1	Sample 1	2	2	24	1136967	59.84	5.62
A1	Sample 1	2	2	25	1176200	59.84	5.78
A1	Sample 1	2	2	26	1215484	59.84	5.93
A1	Sample 1	2	2	27	1254800	59.84	6.06
A1	Sample 1	2	2	28	1294100	59.84	6.15
A1	Sample 1	2	2	29	1333400	59.84	6.28
A1	Sample 1	2	2	30	1372584	59.84	6.38
A1	Sample 1	2	2	31	1411900	59.84	6.46
A1	Sample 1	2	2	32	1451100	59.84	6.57
A1	Sample 1	2	2	33	1490367	59.83	6.63
A1	Sample 1	2	2	34	1529667	59.83	6.25
A1	Sample 1	2	2	35	1569000	59.83	6.24
A1	Sample 1	2	2	36	1608267	59.83	6.27
A1	Sample 1	2	2	37	1647584	59.83	6.31
A1	Sample 1	2	2	38	1686884	59.83	6.36
A1	Sample 1	2	2	39	1726084	59.83	6.39
A1	Sample 1	2	2	40	1765400	59.83	6.39
A1	Sample 1	3	1	1	1777617	59.89	6.79
A1	Sample 1	3	1	1	1778917	59.59	6.84
A1	Sample 1	3	1	1	1780217	59.55	6.90
A1	Sample 1	3	1	1	1781534	60.03	6.93
A1	Sample 1	3	1	1	1782867	60.37	6.94
A1	Sample 1	3	1	1	1784184	60.61	6.95
A1	Sample 1	3	1	1	1785517	60.88	6.96
A1	Sample 1	3	1	1	1786834	61.07	6.98
A1	Sample 1	3	1	1	1788150	61.29	7.00
A1	Sample 1	3	1	1	1789500	61.54	7.02
A1	Sample 1	3	1	1	1790817	61.74	7.04
A1	Sample 1	3	1	1	1792134	61.94	7.08
A1	Sample 1	3	1	1	1793467	62.14	7.09
A1	Sample 1	3	1	1	1794767	62.34	7.14
A1	Sample 1	3	1	1	1796100	62.52	7.18
A1	Sample 1	3	1	1	1797417	62.73	7.22
A1	Sample 1	3	1	1	1798734	62.91	7.27
A1	Sample 1	3	1	1	1800050	63.09	7.30
A1	Sample 1	3	1	1	1801350	63.29	7.35
A1	Sample 1	3	1	1	1802667	63.51	7.39
A1	Sample 1	3	1	1	1803984	63.72	7.45
A1	Sample 1	3	1	1	1805317	63.87	7.48
A1	Sample 1	3	1	1	1806634	64.06	7.52
A1	Sample 1	3	1	1	1807950	64.28	7.53
A1	Sample 1	3	1	1	1809267	64.5	7.53
A1	Sample 1	3	1	1	1810600	64.68	7.51
A1	Sample 1	3	1	1	1811934	64.89	7.51
A1	Sample 1	3	1	1	1813250	65.04	7.49
A1	Sample 1	3	1	1	1814550	65.26	7.46
A1	Sample 1	3	1	1	1815884	65.48	7.42
A1	Sample 1	3	1	1	1817217	65.67	7.40
A1	Sample 1	3	1	1	1818550	65.83	7.37
A1	Sample 1	3	1	1	1819867	66.05	7.35
A1	Sample 1	3	1	1	1821184	66.26	7.30
A1	Sample 1	3	1	1	1822484	66.44	7.28
A1	Sample 1	3	1	1	1823851	66.61	7.22
A1	Sample 1	3	1	1	1825150	66.8	7.17
A1	Sample 1	3	1	1	1826467	67.02	7.14
A1	Sample 1	3	1	1	1827800	67.22	7.07
A1	Sample 1	3	1	1	1829134	67.41	7.03
A1	Sample 1	3	1	1	1830450	67.6	7.00
A1	Sample 1	3	1	1	1831784	67.81	6.93
A1	Sample 1	3	1	1	1833100	67.99	6.88
A1	Sample 1	3	1	1	1834450	68.2	6.86
A1	Sample 1	3	1	1	1835767	68.4	6.79
A1	Sample 1	3	1	1	1837084	68.57	6.77
A1	Sample 1	3	1	1	1838367	68.77	6.71
A1	Sample 1	3	1	1	1839684	68.99	6.65
A1	Sample 1	3	1	1	1841000	69.15	6.60
A1	Sample 1	3	1	1	1842350	69.36	6.55
A1	Sample 1	3	1	1	1843667	69.56	6.51
A1	Sample 1	3	1	1	1844984	69.76	6.46
A1	Sample 1	3	1	1	1846317	69.93	6.40
A1	Sample 1	3	1	1	1847634	70.15	6.37
A1	Sample 1	3	1	1	1849000	70.35	6.32
A1	Sample 1	3	1	1	1850300	70.53	6.27
A1	Sample 1	3	1	1	1851634	70.73	6.22
A1	Sample 1	3	1	1	1852967	70.92	6.17
A1	Sample 1	3	1	1	1854317	71.13	6.13
A1	Sample 1	3	1	1	1855667	71.29	6.08
A1	Sample 1	3	1	1	1857000	71.53	6.03
A1	Sample 1	3	1	1	1858317	71.73	5.99
A1	Sample 1	3	1	1	1859650	71.94	5.95
A1	Sample 1	3	1	1	1860950	72.1	5.89
A1	Sample 1	3	1	1	1862300	72.32	5.85
A1	Sample 1	3	1	1	1863650	72.52	5.80
A1	Sample 1	3	1	1	1864967	72.72	5.74
A1	Sample 1	3	1	1	1866284	72.89	5.70
A1	Sample 1	3	1	1	1867584	73.09	5.68
A1	Sample 1	3	1	1	1868917	73.29	5.61
A1	Sample 1	3	1	1	1870284	73.5	5.56
A1	Sample 1	3	1	1	1871600	73.7	5.51
A1	Sample 1	3	1	1	1872917	73.87	5.47
A1	Sample 1	3	1	1	1874234	74.07	5.44
A1	Sample 1	3	1	1	1875550	74.26	5.39
A1	Sample 1	3	1	1	1876851	74.47	5.33
A1	Sample 1	3	1	1	1878167	74.64	5.29
A1	Sample 1	3	1	1	1879500	74.83	5.26
A1	Sample 1	3	1	1	1880817	75.03	5.21
A1	Sample 1	3	1	1	1882117	75.24	5.16
A1	Sample 1	3	1	1	1883434	75.41	5.12
A1	Sample 1	3	1	1	1884750	75.62	5.07
