Experiment: JA_20200311-pPGK1-tRPS3-200mod-n=2  Selected Filter: SYBR Green I / HRM Dye (465-510)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	11.29		0	
True	255	A2	Sample 2	11.37		0	
True	255	A3	Sample 3	10.92		0	
True	255	A4	Sample 4	10.58		0	
True	255	A5	Sample 5	11.62		0	
True	255	A6	Sample 6	11.84		0	
True	255	A7	Sample 7	10.74		0	
True	255	A8	Sample 8	11.41		0	
True	255	A9	Sample 9	11.87		0	
True	255	A10	Sample 10	13.00		0	
True	255	A11	Sample 11	12.63		0	
True	255	A12	Sample 12	12.76		0	
True	255	A13	Sample 13	11.56		0	
True	255	A14	Sample 14	11.20		0	
True	255	A15	Sample 15	11.44		0	
True	255	A16	Sample 16	12.00		0	
True	255	A17	Sample 17	12.17		0	
True	255	A18	Sample 18	11.72		0	
True	255	A19	Sample 19	11.68		0	
True	255	A20	Sample 20	11.73		0	
True	255	A21	Sample 21	10.85		0	
True	255	A22	Sample 22	25.31		0	
True	255	A23	Sample 23	25.45		0	
True	255	A24	Sample 24	24.89		0	
True	255	B1	Sample 25	13.60		0	
True	255	B2	Sample 26	13.23		0	
True	255	B3	Sample 27	13.82		0	
True	255	B4	Sample 28	13.71		0	
True	255	B5	Sample 29	14.41		0	
True	255	B6	Sample 30	14.77		0	
True	255	B7	Sample 31	13.55		0	
True	255	B8	Sample 32	13.98		0	
True	255	B9	Sample 33	14.53		0	
True	255	B10	Sample 34	14.41		0	
True	255	B11	Sample 35	14.32		0	
True	255	B12	Sample 36	13.93		0	
True	255	B13	Sample 37	14.48		0	
True	255	B14	Sample 38	13.69		0	
True	255	B15	Sample 39	14.38		0	
True	255	B16	Sample 40	14.27		0	
True	255	B17	Sample 41	14.62		0	
True	255	B18	Sample 42	14.49		0	
True	255	B19	Sample 43	12.70		0	
True	255	B20	Sample 44	12.95		0	
True	255	B21	Sample 45	12.77		0	
True	255	B22	Sample 46	14.55		0	
True	255	B23	Sample 47	14.85		0	
True	255	B24	Sample 48	14.92		0	
True	255	C1	Sample 49	12.48		0	
True	255	C2	Sample 50	12.58		0	
True	255	C3	Sample 51	13.84		0	
True	255	C4	Sample 52	13.94		0	
True	255	C5	Sample 53	13.79		0	
True	255	C6	Sample 54	13.75		0	
True	255	C7	Sample 55	13.77		0	
True	255	C8	Sample 56	13.71		0	
True	255	C9	Sample 57	14.78		0	
True	255	C10	Sample 58	14.67		0	
