Raw Data 		Experiment - 20201108_pPGK1-tTSA1mod_n1_repeatloading (Run on LCS480 1.5.0.39)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	483-533	
A1	Sample 1	2	2	1	232566	59.91	0.78
A1	Sample 1	2	2	2	271816	59.82	0.80
A1	Sample 1	2	2	3	311000	59.81	0.81
A1	Sample 1	2	2	4	350100	59.83	0.83
A1	Sample 1	2	2	5	389250	59.82	0.83
A1	Sample 1	2	2	6	428516	59.85	0.85
A1	Sample 1	2	2	7	467733	59.81	0.85
A1	Sample 1	2	2	8	506883	59.84	0.86
A1	Sample 1	2	2	9	546016	59.83	0.88
A1	Sample 1	2	2	10	585200	59.83	0.91
A1	Sample 1	2	2	11	624400	59.83	0.98
A1	Sample 1	2	2	12	663633	59.83	1.12
A1	Sample 1	2	2	13	702883	59.83	1.37
A1	Sample 1	2	2	14	742216	59.82	1.80
A1	Sample 1	2	2	15	781500	59.82	2.38
A1	Sample 1	2	2	16	820700	59.82	2.93
A1	Sample 1	2	2	17	859916	59.82	3.42
A1	Sample 1	2	2	18	899083	59.82	3.85
A1	Sample 1	2	2	19	938300	59.82	4.23
A1	Sample 1	2	2	20	977516	59.82	4.51
A1	Sample 1	2	2	21	1016733	59.82	4.73
A1	Sample 1	2	2	22	1056016	59.82	4.93
A1	Sample 1	2	2	23	1095183	59.82	5.07
A1	Sample 1	2	2	24	1134383	59.82	5.19
A1	Sample 1	2	2	25	1173633	59.82	5.28
A1	Sample 1	2	2	26	1212900	59.82	5.38
A1	Sample 1	2	2	27	1252083	59.82	5.42
A1	Sample 1	2	2	28	1291300	59.82	5.50
A1	Sample 1	2	2	29	1330500	59.82	5.55
A1	Sample 1	2	2	30	1369800	59.85	5.60
A1	Sample 1	2	2	31	1409116	59.85	5.64
A1	Sample 1	2	2	32	1448400	59.82	5.64
A1	Sample 1	2	2	33	1487617	59.85	5.67
A1	Sample 1	2	2	34	1526783	59.82	5.70
A1	Sample 1	2	2	35	1565966	59.81	5.74
A1	Sample 1	2	2	36	1605183	59.85	5.71
A1	Sample 1	2	2	37	1644366	59.81	5.76
A1	Sample 1	2	2	38	1683600	59.85	5.78
A1	Sample 1	2	2	39	1722866	59.85	5.81
A1	Sample 1	2	2	40	1762083	59.81	5.83
A1	Sample 1	3	1	1	1774200	59.92	5.91
A1	Sample 1	3	1	1	1775550	59.64	5.93
A1	Sample 1	3	1	1	1776900	59.64	5.99
A1	Sample 1	3	1	1	1778200	60.1	5.94
A1	Sample 1	3	1	1	1779533	60.45	5.90
A1	Sample 1	3	1	1	1780833	60.69	5.87
A1	Sample 1	3	1	1	1782133	60.91	5.85
A1	Sample 1	3	1	1	1783483	61.15	5.82
A1	Sample 1	3	1	1	1784800	61.37	5.82
A1	Sample 1	3	1	1	1786083	61.59	5.80
A1	Sample 1	3	1	1	1787383	61.8	5.76
A1	Sample 1	3	1	1	1788700	61.98	5.76
A1	Sample 1	3	1	1	1790016	62.17	5.77
A1	Sample 1	3	1	1	1791350	62.4	5.73
A1	Sample 1	3	1	1	1792683	62.63	5.73
