Experiment: 20201108_pPGK1-tTSA1mod_n2_repeatloading  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	11.57		0	
True	255	A2	Sample 2	10.69		0	
True	255	A3	Sample 3	11.70		0	
True	255	A4	Sample 4	11.56		0	
True	255	A5	Sample 5	10.44		0	
True	255	A6	Sample 6	10.80		0	
True	255	A7	Sample 7	13.12		0	
True	255	A8	Sample 8	11.78		0	
True	255	A9	Sample 9	11.78		0	
True	255	A10	Sample 10	10.61		0	
True	255	A11	Sample 11	11.31		0	
True	255	A12	Sample 12	10.88		0	
True	255	A13	Sample 13	10.46		0	
True	255	A14	Sample 14	10.94		0	
True	255	A15	Sample 15	10.22		0	
True	255	A16	Sample 16	10.49		0	
True	255	A17	Sample 17	10.61		0	
True	255	A18	Sample 18	11.47		0	
True	255	A19	Sample 19	11.54		0	
True	255	A20	Sample 20	11.51		0	
True	255	A21	Sample 21	11.30		0	
True	255	A22	Sample 22	24.83		0	
True	255	A23	Sample 23	25.90		0	
True	255	A24	Sample 24	27.35		0	
True	255	B1	Sample 25	10.87		0	
True	255	B2	Sample 26	10.41		0	
True	255	B3	Sample 27	11.65		0	
True	255	B4	Sample 28	11.61		0	
True	255	B5	Sample 29	10.32		0	
True	255	B6	Sample 30	10.54		0	
True	255	B7	Sample 31	11.64		0	
True	255	B8	Sample 32	10.68		0	
True	255	B9	Sample 33	11.30		0	
True	255	B10	Sample 34	10.73		0	
True	255	B11	Sample 35	10.72		0	
True	255	B12	Sample 36	  9.99		0	
True	255	B13	Sample 37	  9.78		0	
True	255	B14	Sample 38	10.81		0	
True	255	B15	Sample 39	  9.92		0	
True	255	B16	Sample 40	10.49		0	
True	255	B17	Sample 41	10.47		0	
True	255	B18	Sample 42	11.37		0	
True	255	B19	Sample 43	10.35		0	
True	255	B20	Sample 44	10.53		0	
True	255	B21	Sample 45	10.65		0	
True	255	B22	Sample 46	11.69		0	
True	255	B23	Sample 47	10.88		0	
True	255	B24	Sample 48	12.60		0	
True	255	C1	Sample 49	10.59		0	
True	255	C2	Sample 50	10.73		0	
True	255	C3	Sample 51	11.48		0	
True	255	C4	Sample 52	11.48		0	
True	255	C5	Sample 53	10.63		0	
True	255	C6	Sample 54	10.55		0	
True	255	C7	Sample 55	11.59		0	
True	255	C8	Sample 56	11.23		0	
True	255	C9	Sample 57	10.83		0	
True	255	C10	Sample 58	10.80		0	
True	255	C11	Sample 59	10.96		0	
True	255	C12	Sample 60	10.36		0	
True	255	C13	Sample 61	10.36		0	
True	255	C14	Sample 62	10.48		0	
True	255	C15	Sample 63	10.45		0	
True	255	C16	Sample 64	10.72		0	
True	255	C17	Sample 65	10.40		0	
True	255	C18	Sample 66	10.93		0	
True	255	C19	Sample 67	10.50		0	
True	255	C20	Sample 68	11.29		0	
True	255	C21	Sample 69	11.18		0	
True	255	C22	Sample 70	10.57		0	
True	255	C23	Sample 71	10.70		0	
True	255	C24	Sample 72	11.86		0	
True	255	D1	Sample 73	  9.83		0	
True	255	D2	Sample 74	10.37		0	
True	255	D3	Sample 75	10.81		0	
True	255	D4	Sample 76	10.68		0	
True	255	D5	Sample 77	  9.99		0	
True	255	D6	Sample 78	  9.89		0	
True	255	D7	Sample 79	10.94		0	
True	255	D8	Sample 80	10.51		0	
True	255	D9	Sample 81	10.41		0	
True	255	D10	Sample 82	  9.85		0	
True	255	D11	Sample 83	10.26		0	
True	255	D12	Sample 84	  9.63		0	
True	255	D13	Sample 85	  9.72		0	
True	255	D14	Sample 86	  9.97		0	
True	255	D15	Sample 87	  9.83		0	
True	255	D16	Sample 88	  9.81		0	
True	255	D17	Sample 89	  9.58		0	
True	255	D18	Sample 90	10.38		0	
True	255	D19	Sample 91	  9.96		0	
True	255	D20	Sample 92	10.55		0	
True	255	D21	Sample 93	10.37		0	
True	255	D22	Sample 94	  9.81		0	
True	255	D23	Sample 95	  9.69		0	
True	255	D24	Sample 96	10.80		0	
True	255	E1	Sample 97	15.26		0	
True	255	E2	Sample 98	10.68		0	
True	255	E3	Sample 99	11.63		0	
True	255	E4	Sample 100	11.30		0	
True	255	E5	Sample 101	  9.77		0	
True	255	E6	Sample 102	10.33		0	
True	255	E7	Sample 103	12.41		0	
True	255	E8	Sample 104	11.33		0	
True	255	E9	Sample 105	11.31		0	
True	255	E10	Sample 106	10.39		0	
True	255	E11	Sample 107	10.66		0	
True	255	E12	Sample 108	  9.78		0	
True	255	E13	Sample 109	  9.35		0	
True	255	E14	Sample 110	10.77		0	
True	255	E15	Sample 111	  9.44		0	
True	255	E16	Sample 112	10.36		0	
True	255	E17	Sample 113	10.45		0	
True	255	E18	Sample 114	11.57		0	
True	255	E19	Sample 115	10.83		0	
True	255	E20	Sample 116	10.90		0	
True	255	E21	Sample 117	10.77		0	
True	255	E22	Sample 118	24.89		0	
True	255	E23	Sample 119	24.86		0	
True	255	E24	Sample 120	25.62		0	
True	255	F1	Sample 121	10.86		0	
True	255	F2	Sample 122	10.33		0	
True	255	F3	Sample 123	11.61		0	
True	255	F4	Sample 124	11.63		0	
True	255	F5	Sample 125	10.46		0	
True	255	F6	Sample 126	10.68		0	
True	255	F7	Sample 127	11.67		0	
True	255	F8	Sample 128	10.95		0	
True	255	F9	Sample 129	11.42		0	
True	255	F10	Sample 130	10.75		0	
True	255	F11	Sample 131	10.73		0	
True	255	F12	Sample 132	  9.97		0	
True	255	F13	Sample 133	10.24		0	
True	255	F14	Sample 134	11.26		0	
True	255	F15	Sample 135	  9.85		0	
True	255	F16	Sample 136	10.62		0	
True	255	F17	Sample 137	10.35		0	
True	255	F18	Sample 138	11.24		0	
True	255	F19	Sample 139	10.41		0	
True	255	F20	Sample 140	10.48		0	
True	255	F21	Sample 141	10.74		0	
True	255	F22	Sample 142	11.78		0	
True	255	F23	Sample 143	10.86		0	
True	255	F24	Sample 144	11.98		0	
True	255	G1	Sample 145	11.60		0	
True	255	G2	Sample 146	10.84		0	
True	255	G3	Sample 147	11.54		0	
True	255	G4	Sample 148	11.43		0	
True	255	G5	Sample 149	10.74		0	
True	255	G6	Sample 150	10.62		0	
True	255	G7	Sample 151	11.92		0	
True	255	G8	Sample 152	11.47		0	
True	255	G9	Sample 153	11.26		0	
True	255	G10	Sample 154	10.81		0	
True	255	G11	Sample 155	11.33		0	
True	255	G12	Sample 156	10.52		0	
True	255	G13	Sample 157	10.55		0	
True	255	G14	Sample 158	10.80		0	
True	255	G15	Sample 159	10.27		0	
True	255	G16	Sample 160	10.60		0	
True	255	G17	Sample 161	  9.88		0	
True	255	G18	Sample 162	10.75		0	
True	255	G19	Sample 163	10.65		0	
True	255	G20	Sample 164	10.97		0	
True	255	G21	Sample 165	11.43		0	
True	255	G22	Sample 166	10.74		0	
True	255	G23	Sample 167	10.69		0	
True	255	G24	Sample 168	11.70		0	
True	255	H1	Sample 169	10.57		0	
True	255	H2	Sample 170	10.38		0	
True	255	H3	Sample 171	10.97		0	
True	255	H4	Sample 172	10.78		0	
True	255	H5	Sample 173	10.23		0	
True	255	H6	Sample 174	10.16		0	
True	255	H7	Sample 175	11.28		0	
True	255	H8	Sample 176	10.70		0	
True	255	H9	Sample 177	10.41		0	
True	255	H10	Sample 178	  9.88		0	
True	255	H11	Sample 179	10.54		0	
True	255	H12	Sample 180	  9.68		0	
True	255	H13	Sample 181	  9.95		0	
True	255	H14	Sample 182	10.38		0	
True	255	H15	Sample 183	  9.71		0	
True	255	H16	Sample 184	  9.90		0	
True	255	H17	Sample 185	  9.40		0	
True	255	H18	Sample 186	  9.96		0	
True	255	H19	Sample 187	  9.81		0	
True	255	H20	Sample 188	10.52		0	
True	255	H21	Sample 189	10.55		0	
True	255	H22	Sample 190	  9.84		0	
True	255	H23	Sample 191	  9.69		0	
True	255	H24	Sample 192	10.70		0	
True	255	I1	Sample 193	10.95		0	
True	255	I2	Sample 194	10.71		0	
True	255	I3	Sample 195	11.69		0	
True	255	I4	Sample 196	11.33		0	
True	255	I5	Sample 197	  9.89		0	
True	255	I6	Sample 198	10.53		0	
True	255	I7	Sample 199	12.73		0	
True	255	I8	Sample 200	11.56		0	
True	255	I9	Sample 201	11.51		0	
True	255	I10	Sample 202	10.65		0	
True	255	I11	Sample 203	10.78		0	
True	255	I12	Sample 204	10.58		0	
True	255	I13	Sample 205	  9.63		0	
True	255	I14	Sample 206	10.84		0	
True	255	I15	Sample 207	  9.63		0	
True	255	I16	Sample 208	10.58		0	
True	255	I17	Sample 209	10.42		0	
True	255	I18	Sample 210	11.47		0	
True	255	I19	Sample 211	10.99		0	
True	255	I20	Sample 212	11.35		0	
True	255	I21	Sample 213	10.99		0	
True	255	I22	Sample 214	25.58		0	
True	255	I23	Sample 215	25.32		0	
True	255	I24	Sample 216	34.95		0	
True	255	J1	Sample 217	10.80		0	
True	255	J2	Sample 218	  9.99		0	
True	255	J3	Sample 219	11.54		0	
True	255	J4	Sample 220	11.63		0	
True	255	J5	Sample 221	10.40		0	
True	255	J6	Sample 222	10.63		0	
True	255	J7	Sample 223	11.94		0	
True	255	J8	Sample 224	10.98		0	
True	255	J9	Sample 225	11.26		0	
True	255	J10	Sample 226	10.66		0	
True	255	J11	Sample 227	10.72		0	
True	255	J12	Sample 228	10.32		0	
True	255	J13	Sample 229	10.27		0	
True	255	J14	Sample 230	11.40		0	
True	255	J15	Sample 231	  10.00		0	
True	255	J16	Sample 232	10.73		0	
True	255	J17	Sample 233	10.37		0	
True	255	J18	Sample 234	11.43		0	
True	255	J19	Sample 235	10.49		0	
True	255	J20	Sample 236	10.61		0	
True	255	J21	Sample 237	10.68		0	
True	255	J22	Sample 238	11.72		0	
True	255	J23	Sample 239	10.78		0	
True	255	J24	Sample 240	15.41		0	
True	255	K1	Sample 241	10.72		0	
True	255	K2	Sample 242	10.90		0	
True	255	K3	Sample 243	11.52		0	
