Raw Data 		Experiment - JA_2021-01-01-pPIR1-mCh-tPIR1_mod-n1_repeatloading (Run on LCS480 1.5.0.39)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	483-533	
A1	Sample 1	2	2	1	231500	59.9	0.62
A1	Sample 1	2	2	2	270717	59.82	0.63
A1	Sample 1	2	2	3	309784	59.83	0.63
A1	Sample 1	2	2	4	348834	59.81	0.63
A1	Sample 1	2	2	5	387900	59.82	0.63
A1	Sample 1	2	2	6	427134	59.81	0.63
A1	Sample 1	2	2	7	466317	59.83	0.63
A1	Sample 1	2	2	8	505500	59.82	0.64
A1	Sample 1	2	2	9	544717	59.82	0.64
A1	Sample 1	2	2	10	583884	59.85	0.64
A1	Sample 1	2	2	11	623100	59.85	0.65
A1	Sample 1	2	2	12	662300	59.85	0.67
A1	Sample 1	2	2	13	701484	59.84	0.70
A1	Sample 1	2	2	14	740600	59.84	0.75
A1	Sample 1	2	2	15	779817	59.84	0.88
A1	Sample 1	2	2	16	819017	59.84	1.09
A1	Sample 1	2	2	17	858100	59.84	1.48
A1	Sample 1	2	2	18	897284	59.83	2.15
A1	Sample 1	2	2	19	936484	59.83	3.02
A1	Sample 1	2	2	20	975567	59.83	3.82
A1	Sample 1	2	2	21	1014567	59.83	4.51
A1	Sample 1	2	2	22	1053800	59.83	5.13
A1	Sample 1	2	2	23	1092967	59.82	5.56
A1	Sample 1	2	2	24	1132084	59.82	5.94
A1	Sample 1	2	2	25	1171250	59.82	6.23
A1	Sample 1	2	2	26	1210450	59.82	6.45
A1	Sample 1	2	2	27	1249667	59.82	6.62
A1	Sample 1	2	2	28	1288867	59.82	6.79
A1	Sample 1	2	2	29	1328050	59.85	6.90
A1	Sample 1	2	2	30	1367150	59.85	7.00
A1	Sample 1	2	2	31	1406267	59.85	7.08
A1	Sample 1	2	2	32	1445334	59.84	7.19
A1	Sample 1	2	2	33	1484467	59.84	7.25
A1	Sample 1	2	2	34	1523667	59.84	7.32
A1	Sample 1	2	2	35	1562867	59.84	7.34
A1	Sample 1	2	2	36	1602050	59.81	7.41
A1	Sample 1	2	2	37	1641184	59.84	7.47
A1	Sample 1	2	2	38	1680351	59.84	7.51
A1	Sample 1	2	2	39	1719550	59.84	7.51
A1	Sample 1	2	2	40	1758767	59.84	7.57
A1	Sample 1	3	1	1	1770967	59.93	7.71
A1	Sample 1	3	1	1	1772250	59.57	7.76
A1	Sample 1	3	1	1	1773584	59.64	7.80
A1	Sample 1	3	1	1	1774900	60.1	7.76
