Raw Data 		Experiment - JA_2021-01-01-pPIR1-mCh-tPIR1_mod-n2 (Run on LCS480 1.5.0.39)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	483-533	
A1	Sample 1	2	2	1	233250	59.92	0.60
A1	Sample 1	2	2	2	272550	59.83	0.60
A1	Sample 1	2	2	3	311866	59.81	0.61
A1	Sample 1	2	2	4	351100	59.84	0.61
A1	Sample 1	2	2	5	390216	59.83	0.62
A1	Sample 1	2	2	6	429416	59.83	0.62
A1	Sample 1	2	2	7	468750	59.82	0.62
A1	Sample 1	2	2	8	508016	59.82	0.63
A1	Sample 1	2	2	9	547216	59.81	0.63
A1	Sample 1	2	2	10	586416	59.84	0.63
A1	Sample 1	2	2	11	625616	59.84	0.66
A1	Sample 1	2	2	12	664800	59.84	0.67
A1	Sample 1	2	2	13	703983	59.84	0.70
A1	Sample 1	2	2	14	743316	59.84	0.76
A1	Sample 1	2	2	15	782616	59.83	0.89
A1	Sample 1	2	2	16	821916	59.83	1.11
A1	Sample 1	2	2	17	861116	59.83	1.54
A1	Sample 1	2	2	18	900200	59.83	2.28
A1	Sample 1	2	2	19	939416	59.83	3.22
A1	Sample 1	2	2	20	978733	59.83	4.13
A1	Sample 1	2	2	21	1017883	59.83	4.91
A1	Sample 1	2	2	22	1057000	59.83	5.57
A1	Sample 1	2	2	23	1096183	59.83	6.11
A1	Sample 1	2	2	24	1135316	59.83	6.51
A1	Sample 1	2	2	25	1174600	59.83	6.83
A1	Sample 1	2	2	26	1213883	59.83	7.10
A1	Sample 1	2	2	27	1253100	59.83	7.29
A1	Sample 1	2	2	28	1292300	59.83	7.46
A1	Sample 1	2	2	29	1331483	59.83	7.61
A1	Sample 1	2	2	30	1370716	59.83	7.72
A1	Sample 1	2	2	31	1409883	59.83	7.81
A1	Sample 1	2	2	32	1449083	59.82	7.89
A1	Sample 1	2	2	33	1488300	59.83	7.98
A1	Sample 1	2	2	34	1527500	59.83	8.02
A1	Sample 1	2	2	35	1566700	59.82	8.11
A1	Sample 1	2	2	36	1605966	59.82	8.18
A1	Sample 1	2	2	37	1645200	59.82	8.23
A1	Sample 1	2	2	38	1684383	59.82	8.26
A1	Sample 1	2	2	39	1723583	59.82	8.32
A1	Sample 1	2	2	40	1762783	59.82	8.30
A1	Sample 1	3	1	1	1774933	59.92	8.49
A1	Sample 1	3	1	1	1776266	59.61	8.54
A1	Sample 1	3	1	1	1777633	59.62	8.51
A1	Sample 1	3	1	1	1778950	60.08	8.50
A1	Sample 1	3	1	1	1780233	60.39	8.46
A1	Sample 1	3	1	1	1781516	60.66	8.42
A1	Sample 1	3	1	1	1782833	60.89	8.37
A1	Sample 1	3	1	1	1784167	61.1	8.36
A1	Sample 1	3	1	1	1785466	61.31	8.31
A1	Sample 1	3	1	1	1786816	61.56	8.27
A1	Sample 1	3	1	1	1788150	61.76	8.25
A1	Sample 1	3	1	1	1789450	61.97	8.21
A1	Sample 1	3	1	1	1790750	62.14	8.18
A1	Sample 1	3	1	1	1792050	62.33	8.17
A1	Sample 1	3	1	1	1793350	62.54	8.14
A1	Sample 1	3	1	1	1794666	62.74	8.10
A1	Sample 1	3	1	1	1796016	62.96	8.06
A1	Sample 1	3	1	1	1797366	63.12	8.05
A1	Sample 1	3	1	1	1798683	63.35	8.05
A1	Sample 1	3	1	1	1800000	63.53	8.00
A1	Sample 1	3	1	1	1801300	63.75	7.97
A1	Sample 1	3	1	1	1802650	63.92	7.97
A1	Sample 1	3	1	1	1804000	64.13	7.97
A1	Sample 1	3	1	1	1805316	64.35	7.94
A1	Sample 1	3	1	1	1806666	64.53	7.93
A1	Sample 1	3	1	1	1808000	64.71	7.90
