Experiment: JA_20200121_tRPS3-200bp-n=1  Selected Filter: SYBR Green I / HRM Dye (465-510)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	11.39		0	
True	255	A2	Sample 2	10.65		0	
True	255	A3	Sample 3	  9.38		0	
True	255	A4	Sample 4	11.52		0	
True	255	A5	Sample 5	  9.76		0	
True	255	A6	Sample 6	11.30		0	
True	255	A7	Sample 7	10.69		0	
True	255	A8	Sample 8	  9.58		0	
True	255	A9	Sample 9	10.89		0	
True	255	A10	Sample 10	12.40		0	
True	255	A11	Sample 11	11.91		0	
True	255	A12	Sample 12	12.36		0	
True	255	A13	Sample 13	10.48		0	
True	255	A14	Sample 14	  9.96		0	
True	255	A15	Sample 15	  9.83		0	
True	255	A16	Sample 16	11.75		0	
True	255	A17	Sample 17	11.57		0	
True	255	A18	Sample 18	10.91		0	
True	255	A19	Sample 19	12.79		0	
True	255	A20	Sample 20	13.72		0	
True	255	A21	Sample 21	12.41		0	
True	255	A22	Sample 22	17.75		0	
True	255	A23	Sample 23	17.63		0	
True	255	A24	Sample 24	17.60		0	
True	255	B1	Sample 25	12.57		0	
True	255	B2	Sample 26	12.40		0	
True	255	B3	Sample 27	11.48		0	
True	255	B4	Sample 28	12.95		0	
True	255	B5	Sample 29	12.30		0	
True	255	B6	Sample 30	12.75		0	
True	255	B7	Sample 31	11.73		0	
True	255	B8	Sample 32	10.36		0	
True	255	B9	Sample 33	11.82		0	
True	255	B10	Sample 34	11.61		0	
True	255	B11	Sample 35	11.94		0	
True	255	B12	Sample 36	11.92		0	
True	255	B13	Sample 37	11.61		0	
True	255	B14	Sample 38	11.40		0	
True	255	B15	Sample 39	11.33		0	
True	255	B16	Sample 40	12.03		0	
True	255	B17	Sample 41	11.89		0	
True	255	B18	Sample 42	11.56		0	
True	255	B19	Sample 43	12.52		0	
True	255	B20	Sample 44	14.55		0	
True	255	B21	Sample 45	11.86		0	
True	255	B22	Sample 46	12.54		0	
True	255	B23	Sample 47	12.63		0	
True	255	B24	Sample 48	12.47		0	
True	255	C1	Sample 49	11.14		0	
True	255	C2	Sample 50	10.87		0	
True	255	C3	Sample 51	10.57		0	
True	255	C4	Sample 52	10.96		0	
True	255	C5	Sample 53	10.78		0	
True	255	C6	Sample 54	11.65		0	
True	255	C7	Sample 55	10.56		0	
True	255	C8	Sample 56	10.61		0	
True	255	C9	Sample 57	10.73		0	
True	255	C10	Sample 58	10.93		0	
True	255	C11	Sample 59	10.84		0	
True	255	C12	Sample 60	10.90		0	
True	255	C13	Sample 61	10.76		0	
True	255	C14	Sample 62	10.54		0	
True	255	C15	Sample 63	10.62		0	
True	255	C16	Sample 64	10.88		0	
True	255	C17	Sample 65	10.60		0	
True	255	C18	Sample 66	10.52		0	
True	255	C19	Sample 67	10.67		0	
True	255	C20	Sample 68	12.25		0	
True	255	C21	Sample 69	10.96		0	
True	255	C22	Sample 70	11.44		0	
True	255	C23	Sample 71	11.39		0	
True	255	C24	Sample 72	11.46		0	
True	255	D1	Sample 73	10.70		0	
True	255	D2	Sample 74	11.17		0	
True	255	D3	Sample 75	10.82		0	
True	255	D4	Sample 76	11.43		0	
True	255	D5	Sample 77	10.70		0	
True	255	D6	Sample 78	11.86		0	
True	255	D7	Sample 79	10.68		0	
True	255	D8	Sample 80	  9.90		0	
True	255	D9	Sample 81	10.80		0	
True	255	D10	Sample 82	10.83		0	
True	255	D11	Sample 83	10.29		0	
True	255	D12	Sample 84	10.65		0	
True	255	D13	Sample 85	10.58		0	
True	255	D14	Sample 86	10.45		0	
True	255	D15	Sample 87	  10.00		0	
True	255	D16	Sample 88	10.34		0	
True	255	D17	Sample 89	  9.80		0	
True	255	D18	Sample 90	10.06		0	
True	255	D19	Sample 91	10.43		0	
True	255	D20	Sample 92	11.85		0	
True	255	D21	Sample 93	10.56		0	
True	255	D22	Sample 94	10.82		0	
True	255	D23	Sample 95	10.93		0	
True	255	D24	Sample 96	11.37		0	
True	255	E1	Sample 97	10.57		0	
True	255	E2	Sample 98	10.40		0	
True	255	E3	Sample 99	  9.39		0	
True	255	E4	Sample 100	11.50		0	
True	255	E5	Sample 101	10.32		0	
True	255	E6	Sample 102	11.21		0	
True	255	E7	Sample 103	  9.92		0	
True	255	E8	Sample 104	  9.70		0	
True	255	E9	Sample 105	10.59		0	
True	255	E10	Sample 106	12.15		0	
True	255	E11	Sample 107	12.22		0	
True	255	E12	Sample 108	12.41		0	
True	255	E13	Sample 109	  9.88		0	
True	255	E14	Sample 110	  9.58		0	
True	255	E15	Sample 111	  9.41		0	
True	255	E16	Sample 112	10.54		0	
True	255	E17	Sample 113	10.53		0	
True	255	E18	Sample 114	10.30		0	
True	255	E19	Sample 115	11.55		0	
True	255	E20	Sample 116	12.87		0	
True	255	E21	Sample 117	11.70		0	
True	255	E22	Sample 118	17.38		0	
True	255	E23	Sample 119	17.34		0	
True	255	E24	Sample 120	17.52		0	
True	255	F1	Sample 121	12.12		0	
True	255	F2	Sample 122	11.86		0	
True	255	F3	Sample 123	10.87		0	
True	255	F4	Sample 124	12.96		0	
True	255	F5	Sample 125	11.45		0	
True	255	F6	Sample 126	11.97		0	
True	255	F7	Sample 127	10.98		0	
True	255	F8	Sample 128	  9.52		0	
True	255	F9	Sample 129	11.37		0	
True	255	F10	Sample 130	11.42		0	
True	255	F11	Sample 131	11.42		0	
True	255	F12	Sample 132	11.37		0	
True	255	F13	Sample 133	10.89		0	
True	255	F14	Sample 134	10.54		0	
True	255	F15	Sample 135	10.61		0	
True	255	F16	Sample 136	10.99		0	
True	255	F17	Sample 137	11.28		0	
True	255	F18	Sample 138	11.51		0	
True	255	F19	Sample 139	11.54		0	
True	255	F20	Sample 140	13.78		0	
True	255	F21	Sample 141	11.32		0	
True	255	F22	Sample 142	12.42		0	
True	255	F23	Sample 143	12.44		0	
True	255	F24	Sample 144	11.77		0	
True	255	G1	Sample 145	11.65		0	
True	255	G2	Sample 146	11.40		0	
True	255	G3	Sample 147	10.45		0	
True	255	G4	Sample 148	11.22		0	
True	255	G5	Sample 149	10.18		0	
True	255	G6	Sample 150	10.94		0	
True	255	G7	Sample 151	  9.86		0	
True	255	G8	Sample 152	10.41		0	
True	255	G9	Sample 153	10.29		0	
True	255	G10	Sample 154	10.47		0	
True	255	G11	Sample 155	10.45		0	
True	255	G12	Sample 156	  9.96		0	
True	255	G13	Sample 157	  9.78		0	
True	255	G14	Sample 158	  9.79		0	
True	255	G15	Sample 159	  9.71		0	
True	255	G16	Sample 160	10.41		0	
True	255	G17	Sample 161	10.31		0	
True	255	G18	Sample 162	10.61		0	
True	255	G19	Sample 163	10.50		0	
True	255	G20	Sample 164	11.77		0	
True	255	G21	Sample 165	10.67		0	
True	255	G22	Sample 166	10.98		0	
True	255	G23	Sample 167	11.36		0	
True	255	G24	Sample 168	11.30		0	
True	255	H1	Sample 169	11.94		0	
True	255	H2	Sample 170	11.56		0	
True	255	H3	Sample 171	10.45		0	
True	255	H4	Sample 172	11.31		0	
True	255	H5	Sample 173	10.39		0	
True	255	H6	Sample 174	11.25		0	
True	255	H7	Sample 175	10.34		0	
True	255	H8	Sample 176	  9.60		0	
True	255	H9	Sample 177	10.55		0	
True	255	H10	Sample 178	  9.80		0	
True	255	H11	Sample 179	  9.93		0	
True	255	H12	Sample 180	  9.81		0	
True	255	H13	Sample 181	  9.92		0	
True	255	H14	Sample 182	  9.80		0	
True	255	H15	Sample 183	  9.42		0	
True	255	H16	Sample 184	  9.55		0	
True	255	H17	Sample 185	  9.58		0	
True	255	H18	Sample 186	10.56		0	
True	255	H19	Sample 187	10.19		0	
True	255	H20	Sample 188	11.74		0	
True	255	H21	Sample 189	10.43		0	
