Experiment: 20200204-RPS3-200mod-n=2  Selected Filter: SYBR Green I / HRM Dye (465-510)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	12.71		0	
True	255	A2	Sample 2	12.68		0	
True	255	A3	Sample 3	12.67		0	
True	255	A4	Sample 4	12.87		0	
True	255	A5	Sample 5	13.80		0	
True	255	A6	Sample 6	13.26		0	
True	255	A7	Sample 7	13.51		0	
True	255	A8	Sample 8	13.52		0	
True	255	A9	Sample 9	13.63		0	
True	255	A10	Sample 10	15.13		0	
True	255	A11	Sample 11	14.92		0	
True	255	A12	Sample 12	15.16		0	
True	255	A13	Sample 13	13.24		0	
True	255	A14	Sample 14	13.35		0	
True	255	A15	Sample 15	13.59		0	
True	255	A16	Sample 16	14.89		0	
True	255	A17	Sample 17	14.80		0	
True	255	A18	Sample 18	14.18		0	
True	255	A19	Sample 19	14.99		0	
True	255	A20	Sample 20	16.88		0	
True	255	A21	Sample 21	14.94		0	
True	255	A22	Sample 22	25.86		0	
True	255	A23	Sample 23	26.54		0	
True	255	A24	Sample 24	25.89		0	
True	255	B1	Sample 25	14.42		0	
True	255	B2	Sample 26	13.88		0	
True	255	B3	Sample 27	14.21		0	
True	255	B4	Sample 28	15.46		0	
True	255	B5	Sample 29	15.79		0	
True	255	B6	Sample 30	15.32		0	
True	255	B7	Sample 31	15.31		0	
True	255	B8	Sample 32	15.59		0	
True	255	B9	Sample 33	14.91		0	
True	255	B10	Sample 34	14.85		0	
True	255	B11	Sample 35	14.92		0	
True	255	B12	Sample 36	15.29		0	
True	255	B13	Sample 37	14.55		0	
True	255	B14	Sample 38	14.93		0	
True	255	B15	Sample 39	15.77		0	
True	255	B16	Sample 40	15.85		0	
True	255	B17	Sample 41	15.44		0	
True	255	B18	Sample 42	14.78		0	
True	255	B19	Sample 43	14.71		0	
True	255	B20	Sample 44	17.30		0	
True	255	B21	Sample 45	15.27		0	
True	255	B22	Sample 46	15.92		0	
True	255	B23	Sample 47	15.96		0	
True	255	B24	Sample 48	15.61		0	
True	255	C1	Sample 49	14.32		0	
True	255	C2	Sample 50	13.44		0	
True	255	C3	Sample 51	14.73		0	
True	255	C4	Sample 52	14.61		0	
True	255	C5	Sample 53	15.57		0	
True	255	C6	Sample 54	15.43		0	
True	255	C7	Sample 55	14.53		0	
True	255	C8	Sample 56	15.41		0	
True	255	C9	Sample 57	14.71		0	
True	255	C10	Sample 58	14.72		0	
True	255	C11	Sample 59	14.54		0	
True	255	C12	Sample 60	14.60		0	
True	255	C13	Sample 61	14.64		0	
True	255	C14	Sample 62	14.71		0	
True	255	C15	Sample 63	15.58		0	
True	255	C16	Sample 64	15.92		0	
True	255	C17	Sample 65	14.94		0	
True	255	C18	Sample 66	13.76		0	
True	255	C19	Sample 67	13.51		0	
True	255	C20	Sample 68	16.79		0	
True	255	C21	Sample 69	14.76		0	
True	255	C22	Sample 70	15.34		0	
True	255	C23	Sample 71	15.43		0	
True	255	C24	Sample 72	15.33		0	
True	255	D1	Sample 73	11.52		0	
True	255	D2	Sample 74	13.98		0	
True	255	D3	Sample 75	14.37		0	
True	255	D4	Sample 76	14.33		0	
True	255	D5	Sample 77	15.28		0	
True	255	D6	Sample 78	14.67		0	
True	255	D7	Sample 79	14.74		0	
True	255	D8	Sample 80	14.79		0	
True	255	D9	Sample 81	14.45		0	
True	255	D10	Sample 82	14.39		0	
True	255	D11	Sample 83	14.35		0	
True	255	D12	Sample 84	14.37		0	
True	255	D13	Sample 85	14.50		0	
True	255	D14	Sample 86	14.67		0	
True	255	D15	Sample 87	14.63		0	
True	255	D16	Sample 88	14.86		0	
True	255	D17	Sample 89	14.25		0	
True	255	D18	Sample 90	13.55		0	
True	255	D19	Sample 91	13.31		0	
True	255	D20	Sample 92	16.42		0	
True	255	D21	Sample 93	14.33		0	
True	255	D22	Sample 94	14.78		0	
True	255	D23	Sample 95	15.21		0	
True	255	D24	Sample 96	14.80		0	
True	255	E1	Sample 97	12.40		0	
True	255	E2	Sample 98	12.85		0	
True	255	E3	Sample 99	12.91		0	
True	255	E4	Sample 100	13.71		0	
True	255	E5	Sample 101	13.98		0	
True	255	E6	Sample 102	13.31		0	
True	255	E7	Sample 103	13.52		0	
True	255	E8	Sample 104	13.52		0	
True	255	E9	Sample 105	13.40		0	
True	255	E10	Sample 106	14.96		0	
True	255	E11	Sample 107	14.97		0	
True	255	E12	Sample 108	14.88		0	
True	255	E13	Sample 109	13.18		0	
True	255	E14	Sample 110	12.78		0	
True	255	E15	Sample 111	12.55		0	
True	255	E16	Sample 112	14.15		0	
True	255	E17	Sample 113	13.78		0	
True	255	E18	Sample 114	12.84		0	
True	255	E19	Sample 115	14.45		0	
True	255	E20	Sample 116	16.72		0	
True	255	E21	Sample 117	14.73		0	
True	255	E22	Sample 118	24.91		0	
True	255	E23	Sample 119	25.62		0	
True	255	E24	Sample 120	25.45		0	
True	255	F1	Sample 121	14.36		0	
True	255	F2	Sample 122	14.25		0	
True	255	F3	Sample 123	14.78		0	
True	255	F4	Sample 124	15.24		0	
True	255	F5	Sample 125	15.49		0	
True	255	F6	Sample 126	14.86		0	
True	255	F7	Sample 127	14.71		0	
True	255	F8	Sample 128	14.73		0	
True	255	F9	Sample 129	14.70		0	
True	255	F10	Sample 130	14.75		0	
True	255	F11	Sample 131	14.48		0	
True	255	F12	Sample 132	14.79		0	
True	255	F13	Sample 133	14.57		0	
True	255	F14	Sample 134	14.62		0	
True	255	F15	Sample 135	15.09		0	
True	255	F16	Sample 136	15.22		0	
True	255	F17	Sample 137	14.61		0	
True	255	F18	Sample 138	13.62		0	
True	255	F19	Sample 139	13.91		0	
