Raw Data 		Experiment - 20200204-RPS3-200mod-n=2 (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	
A1	Sample 1	2	2	1	233940	59.91	0.98
A1	Sample 1	2	2	2	273450	59.85	0.97
A1	Sample 1	2	2	3	312950	59.83	0.97
A1	Sample 1	2	2	4	352440	59.82	0.96
A1	Sample 1	2	2	5	391940	59.83	0.96
A1	Sample 1	2	2	6	431440	59.82	0.98
A1	Sample 1	2	2	7	470960	59.82	0.97
A1	Sample 1	2	2	8	510450	59.84	0.97
A1	Sample 1	2	2	9	549940	59.84	0.99
A1	Sample 1	2	2	10	589450	59.83	0.99
A1	Sample 1	2	2	11	628960	59.83	1.02
A1	Sample 1	2	2	12	668440	59.83	1.06
A1	Sample 1	2	2	13	707940	59.82	1.14
A1	Sample 1	2	2	14	747440	59.81	1.30
A1	Sample 1	2	2	15	786950	59.81	1.64
A1	Sample 1	2	2	16	826440	59.84	2.16
A1	Sample 1	2	2	17	865930	59.81	2.80
A1	Sample 1	2	2	18	905340	59.84	3.39
A1	Sample 1	2	2	19	944830	59.84	3.96
A1	Sample 1	2	2	20	984330	59.85	4.50
A1	Sample 1	2	2	21	1023830	59.84	4.94
A1	Sample 1	2	2	22	1063340	59.84	5.27
A1	Sample 1	2	2	23	1102830	59.85	5.55
A1	Sample 1	2	2	24	1142340	59.85	5.75
A1	Sample 1	2	2	25	1181840	59.84	5.94
A1	Sample 1	2	2	26	1221330	59.84	6.11
A1	Sample 1	2	2	27	1260720	59.85	6.21
A1	Sample 1	2	2	28	1300240	59.85	6.31
A1	Sample 1	2	2	29	1339730	59.84	6.39
A1	Sample 1	2	2	30	1379230	59.85	6.48
A1	Sample 1	2	2	31	1418730	59.84	6.55
A1	Sample 1	2	2	32	1458240	59.84	6.60
A1	Sample 1	2	2	33	1497720	59.83	6.65
A1	Sample 1	2	2	34	1537220	59.83	6.68
A1	Sample 1	2	2	35	1576720	59.84	6.75
A1	Sample 1	2	2	36	1616240	59.83	6.79
A1	Sample 1	2	2	37	1655710	59.84	6.81
A1	Sample 1	2	2	38	1695120	59.84	6.85
A1	Sample 1	2	2	39	1734630	59.84	6.87
A1	Sample 1	2	2	40	1774120	59.83	6.90
A1	Sample 1	2	2	41	1813520	59.8	6.91
A1	Sample 1	2	2	42	1853020	59.84	6.95
A1	Sample 1	2	2	43	1892520	59.84	6.97
A1	Sample 1	2	2	44	1932020	59.83	6.99
A1	Sample 1	2	2	45	1971510	59.84	7.03
A1	Sample 1	2	2	46	2010910	59.84	7.03
A1	Sample 1	2	2	47	2050300	59.83	7.04
A1	Sample 1	2	2	48	2089720	59.84	7.04
A1	Sample 1	2	2	49	2129200	59.84	7.06
A1	Sample 1	2	2	50	2168630	59.83	7.10
A1	Sample 1	3	1	1	2180540	59.93	7.19
A1	Sample 1	3	1	1	2181850	59.64	7.23
A1	Sample 1	3	1	1	2183130	59.6	7.24
A1	Sample 1	3	1	1	2184410	60.08	7.21
A1	Sample 1	3	1	1	2185710	60.45	7.19
A1	Sample 1	3	1	1	2186980	60.72	7.15
A1	Sample 1	3	1	1	2188260	60.92	7.10
A1	Sample 1	3	1	1	2189560	61.17	7.06
A1	Sample 1	3	1	1	2190830	61.4	7.03
A1	Sample 1	3	1	1	2192110	61.65	6.99
A1	Sample 1	3	1	1	2193380	61.87	6.98
A1	Sample 1	3	1	1	2194690	62.07	6.93
A1	Sample 1	3	1	1	2195970	62.27	6.92
A1	Sample 1	3	1	1	2197250	62.48	6.89
A1	Sample 1	3	1	1	2198530	62.71	6.87
A1	Sample 1	3	1	1	2199810	62.9	6.84
A1	Sample 1	3	1	1	2201100	63.1	6.84
A1	Sample 1	3	1	1	2202380	63.32	6.78
A1	Sample 1	3	1	1	2203670	63.53	6.79
A1	Sample 1	3	1	1	2204960	63.71	6.75
A1	Sample 1	3	1	1	2206260	63.92	6.75
