Experiment: JA_2021-01-01-pSRO9-mCh-tPIR1_mod-n2  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Group	Score	Res	Status
True	3200768	A1	Sample 1	3	0.95	0.92	
True	3200768	A2	Sample 2	3	0.97	0.94	
True	3200768	A3	Sample 3	3	0.97	0.94	
True	3200768	A4	Sample 4	3	0.88	0.82	
True	151	A5	Sample 5	Unknown	0.57	0.42	
True	3200768	A6	Sample 6	3	0.82	0.74	
True	3200768	A7	Sample 7	3	0.96	0.92	
True	3200768	A8	Sample 8	3	0.81	0.71	
True	3200768	A9	Sample 9	3	0.99	0.96	
True	3200768	A10	Sample 10	3	0.98	0.95	
True	3200768	A11	Sample 11	3	0.96	0.92	
True	151	A12	Sample 12	Unknown	0.47	0.33	
True	151	A13	Sample 13	Unknown	0.3	0.03	
True	3200768	A14	Sample 14	3	0.93	0.88	
True	3200768	A15	Sample 15	3	0.99	0.95	
True	3200768	A16	Sample 16	3	0.97	0.94	
True	3200768	A17	Sample 17	3	0.98	0.95	
True	3200768	A18	Sample 18	3	0.93	0.89	
True	3200768	A19	Sample 19	3	0.92	0.88	
True	3200768	A20	Sample 20	3	0.96	0.93	
True	3200768	A21	Sample 21	3	0.97	0.95	
True	3200768	A22	Sample 22	3	0.98	0.95	
True	3200768	A23	Sample 23	3	0.97	0.94	
True	3200768	A24	Sample 24	3	0.98	0.96	
True	255	B1	Sample 25	2	0.97	0.93	
True	255	B2	Sample 26	2	0.98	0.95	
True	255	B3	Sample 27	2	0.99	0.95	
True	255	B4	Sample 28	2	0.99	0.95	
True	255	B5	Sample 29	2	0.99	0.96	
True	255	B6	Sample 30	2	0.99	0.96	
True	255	B7	Sample 31	2	0.97	0.94	
True	255	B8	Sample 32	2	0.98	0.95	
True	255	B9	Sample 33	2	0.99	0.96	
True	255	B10	Sample 34	2	0.99	0.96	
True	255	B11	Sample 35	2	0.99	0.96	
True	255	B12	Sample 36	2	0.99	0.95	
True	255	B13	Sample 37	2	0.99	0.95	
True	255	B14	Sample 38	2	0.99	0.96	
True	255	B15	Sample 39	2	0.99	0.96	
True	255	B16	Sample 40	2	0.99	0.95	
True	255	B17	Sample 41	2	0.98	0.93	
True	255	B18	Sample 42	2	0.99	0.94	
True	255	B19	Sample 43	2	0.98	0.94	
True	255	B20	Sample 44	2	0.98	0.93	
True	255	B21	Sample 45	2	0.95	0.9	
True	255	B22	Sample 46	2	0.97	0.92	
True	255	B23	Sample 47	2	0.96	0.91	
True	255	B24	Sample 48	2	0.98	0.91	
True	16744448	C1	Sample 49	1	0.93	0.85	
True	16744448	C2	Sample 50	1	0.94	0.86	
True	16744448	C3	Sample 51	1	0.97	0.86	
True	16744448	C4	Sample 52	1	0.98	0.87	
True	16744448	C5	Sample 53	1	0.96	0.87	
True	16744448	C6	Sample 54	1	0.97	0.87	
True	16744448	C7	Sample 55	1	0.92	0.85	
