Raw Data 		Experiment - JA_2021-01-01-pSRO9-mCh-tPIR1_mod-n2 (Run on LCS480 1.5.0.39)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	483-533	
A1	Sample 1	2	2	1	233366	59.91	0.68
A1	Sample 1	2	2	2	272583	59.81	0.69
A1	Sample 1	2	2	3	311900	59.83	0.70
A1	Sample 1	2	2	4	351050	59.82	0.70
A1	Sample 1	2	2	5	390333	59.84	0.70
A1	Sample 1	2	2	6	429683	59.84	0.71
A1	Sample 1	2	2	7	468966	59.84	0.71
A1	Sample 1	2	2	8	508133	59.83	0.71
A1	Sample 1	2	2	9	547466	59.83	0.70
A1	Sample 1	2	2	10	586783	59.83	0.72
A1	Sample 1	2	2	11	626033	59.83	0.72
A1	Sample 1	2	2	12	665333	59.83	0.73
A1	Sample 1	2	2	13	704450	59.82	0.73
A1	Sample 1	2	2	14	743766	59.82	0.76
A1	Sample 1	2	2	15	783066	59.84	0.80
A1	Sample 1	2	2	16	822366	59.81	0.87
A1	Sample 1	2	2	17	861650	59.84	1.00
A1	Sample 1	2	2	18	900966	59.81	1.27
A1	Sample 1	2	2	19	940250	59.81	1.73
A1	Sample 1	2	2	20	979550	59.84	2.53
A1	Sample 1	2	2	21	1018766	59.81	3.52
A1	Sample 1	2	2	22	1058050	59.81	4.39
A1	Sample 1	2	2	23	1097366	59.81	5.15
A1	Sample 1	2	2	24	1136650	59.81	5.80
A1	Sample 1	2	2	25	1175933	59.81	6.30
A1	Sample 1	2	2	26	1215233	59.84	6.68
A1	Sample 1	2	2	27	1254516	59.81	7.00
A1	Sample 1	2	2	28	1293766	59.81	7.23
A1	Sample 1	2	2	29	1333033	59.81	7.41
A1	Sample 1	2	2	30	1372333	59.81	7.56
A1	Sample 1	2	2	31	1411666	59.85	7.72
A1	Sample 1	2	2	32	1450933	59.82	7.80
A1	Sample 1	2	2	33	1490250	59.82	7.94
A1	Sample 1	2	2	34	1529567	59.82	8.01
A1	Sample 1	2	2	35	1568833	59.82	8.08
A1	Sample 1	2	2	36	1608183	59.82	8.16
A1	Sample 1	2	2	37	1647433	59.82	8.21
A1	Sample 1	2	2	38	1686716	59.82	8.25
A1	Sample 1	2	2	39	1726016	59.82	8.29
A1	Sample 1	2	2	40	1765350	59.82	8.34
A1	Sample 1	3	1	1	1777516	59.92	8.53
A1	Sample 1	3	1	1	1778816	59.61	8.58
A1	Sample 1	3	1	1	1780116	59.62	8.62
A1	Sample 1	3	1	1	1781450	60.11	8.61
A1	Sample 1	3	1	1	1782750	60.42	8.54
A1	Sample 1	3	1	1	1784066	60.69	8.52
A1	Sample 1	3	1	1	1785400	60.92	8.48
A1	Sample 1	3	1	1	1786716	61.13	8.45
A1	Sample 1	3	1	1	1788000	61.34	8.41
A1	Sample 1	3	1	1	1789300	61.59	8.39
A1	Sample 1	3	1	1	1790616	61.79	8.37
A1	Sample 1	3	1	1	1791916	62	8.36
A1	Sample 1	3	1	1	1793250	62.18	8.32
A1	Sample 1	3	1	1	1794567	62.41	8.29
A1	Sample 1	3	1	1	1795900	62.6	8.25
A1	Sample 1	3	1	1	1797200	62.81	8.24
A1	Sample 1	3	1	1	1798533	63.02	8.24
A1	Sample 1	3	1	1	1799833	63.2	8.21
A1	Sample 1	3	1	1	1801183	63.42	8.17
A1	Sample 1	3	1	1	1802483	63.59	8.17
A1	Sample 1	3	1	1	1803800	63.81	8.17
A1	Sample 1	3	1	1	1805116	63.98	8.12
A1	Sample 1	3	1	1	1806433	64.19	8.10
A1	Sample 1	3	1	1	1807716	64.41	8.10
A1	Sample 1	3	1	1	1809033	64.59	8.08
A1	Sample 1	3	1	1	1810366	64.79	8.06
A1	Sample 1	3	1	1	1811683	64.95	8.06
A1	Sample 1	3	1	1	1813000	65.18	8.04
A1	Sample 1	3	1	1	1814300	65.38	8.04
A1	Sample 1	3	1	1	1815633	65.6	8.01
A1	Sample 1	3	1	1	1816950	65.77	8.01
A1	Sample 1	3	1	1	1818283	65.99	8.03
A1	Sample 1	3	1	1	1819583	66.19	8.00
A1	Sample 1	3	1	1	1820900	66.4	8.02
A1	Sample 1	3	1	1	1822200	66.54	8.04
A1	Sample 1	3	1	1	1823533	66.78	8.03
A1	Sample 1	3	1	1	1824833	66.98	8.03
A1	Sample 1	3	1	1	1826183	67.19	8.04
A1	Sample 1	3	1	1	1827516	67.37	8.05
A1	Sample 1	3	1	1	1828833	67.58	8.05
A1	Sample 1	3	1	1	1830133	67.75	8.07
A1	Sample 1	3	1	1	1831450	67.98	8.06
A1	Sample 1	3	1	1	1832783	68.16	8.06
A1	Sample 1	3	1	1	1834066	68.36	8.04
A1	Sample 1	3	1	1	1835383	68.56	8.01
A1	Sample 1	3	1	1	1836700	68.74	7.98
A1	Sample 1	3	1	1	1838033	68.99	7.93
A1	Sample 1	3	1	1	1839316	69.15	7.91
A1	Sample 1	3	1	1	1840616	69.33	7.89
A1	Sample 1	3	1	1	1841933	69.53	7.85
A1	Sample 1	3	1	1	1843216	69.76	7.81
A1	Sample 1	3	1	1	1844550	69.93	7.77
A1	Sample 1	3	1	1	1845866	70.14	7.73
A1	Sample 1	3	1	1	1847183	70.34	7.69
A1	Sample 1	3	1	1	1848516	70.54	7.65
A1	Sample 1	3	1	1	1849833	70.75	7.59
A1	Sample 1	3	1	1	1851133	70.94	7.53
A1	Sample 1	3	1	1	1852483	71.13	7.48
A1	Sample 1	3	1	1	1853833	71.33	7.41
A1	Sample 1	3	1	1	1855133	71.56	7.37
A1	Sample 1	3	1	1	1856450	71.73	7.32
A1	Sample 1	3	1	1	1857766	71.94	7.28
A1	Sample 1	3	1	1	1859083	72.13	7.22
A1	Sample 1	3	1	1	1860416	72.34	7.17
A1	Sample 1	3	1	1	1861750	72.54	7.10
A1	Sample 1	3	1	1	1863066	72.74	7.05
A1	Sample 1	3	1	1	1864366	72.94	7.02
A1	Sample 1	3	1	1	1865683	73.12	6.98
A1	Sample 1	3	1	1	1867000	73.34	6.91
A1	Sample 1	3	1	1	1868283	73.52	6.85
A1	Sample 1	3	1	1	1869567	73.72	6.80
A1	Sample 1	3	1	1	1870900	73.89	6.74
A1	Sample 1	3	1	1	1872216	74.1	6.70
A1	Sample 1	3	1	1	1873516	74.29	6.66
A1	Sample 1	3	1	1	1874850	74.49	6.59
A1	Sample 1	3	1	1	1876166	74.69	6.54
A1	Sample 1	3	1	1	1877466	74.87	6.50
A1	Sample 1	3	1	1	1878800	75.09	6.46
A1	Sample 1	3	1	1	1880133	75.3	6.42
A1	Sample 1	3	1	1	1881450	75.5	6.35
A1	Sample 1	3	1	1	1882750	75.67	6.32
A1	Sample 1	3	1	1	1884083	75.87	6.25
A1	Sample 1	3	1	1	1885366	76.1	6.18
A1	Sample 1	3	1	1	1886700	76.3	6.15
A1	Sample 1	3	1	1	1888016	76.47	6.10
A1	Sample 1	3	1	1	1889316	76.66	6.05
A1	Sample 1	3	1	1	1890633	76.88	6.01
A1	Sample 1	3	1	1	1891950	77.08	5.95
A1	Sample 1	3	1	1	1893266	77.28	5.89
A1	Sample 1	3	1	1	1894583	77.46	5.85
A1	Sample 1	3	1	1	1895933	77.68	5.80
A1	Sample 1	3	1	1	1897250	77.89	5.75
A1	Sample 1	3	1	1	1898550	78.08	5.69
A1	Sample 1	3	1	1	1899866	78.26	5.64
A1	Sample 1	3	1	1	1901150	78.44	5.59
A1	Sample 1	3	1	1	1902483	78.67	5.54
A1	Sample 1	3	1	1	1903816	78.86	5.49
A1	Sample 1	3	1	1	1905133	79.06	5.45
A1	Sample 1	3	1	1	1906433	79.27	5.40
A1	Sample 1	3	1	1	1907766	79.44	5.36
A1	Sample 1	3	1	1	1909100	79.68	5.28
A1	Sample 1	3	1	1	1910400	79.87	5.23
A1	Sample 1	3	1	1	1911700	80.05	5.19
A1	Sample 1	3	1	1	1913050	80.22	5.13
A1	Sample 1	3	1	1	1914350	80.45	5.10
A1	Sample 1	3	1	1	1915650	80.65	5.02
A1	Sample 1	3	1	1	1916950	80.86	4.98
A1	Sample 1	3	1	1	1918233	81.06	4.92
A1	Sample 1	3	1	1	1919533	81.24	4.86
A1	Sample 1	3	1	1	1920833	81.44	4.81
A1	Sample 1	3	1	1	1922166	81.64	4.76
A1	Sample 1	3	1	1	1923483	81.82	4.69
A1	Sample 1	3	1	1	1924783	82.02	4.63
A1	Sample 1	3	1	1	1926100	82.22	4.56
A1	Sample 1	3	1	1	1927416	82.42	4.47
A1	Sample 1	3	1	1	1928733	82.65	4.40
A1	Sample 1	3	1	1	1930066	82.81	4.31
A1	Sample 1	3	1	1	1931400	83.02	4.20
A1	Sample 1	3	1	1	1932716	83.22	4.07
A1	Sample 1	3	1	1	1934000	83.43	3.91
A1	Sample 1	3	1	1	1935316	83.6	3.69
A1	Sample 1	3	1	1	1936600	83.81	3.41
A1	Sample 1	3	1	1	1937916	84.02	3.02
A1	Sample 1	3	1	1	1939233	84.23	2.54
A1	Sample 1	3	1	1	1940550	84.4	2.02
A1	Sample 1	3	1	1	1941866	84.61	1.54
A1	Sample 1	3	1	1	1943183	84.79	1.14
A1	Sample 1	3	1	1	1944466	84.98	0.83
A1	Sample 1	3	1	1	1945766	85.2	0.62
A1	Sample 1	3	1	1	1947100	85.37	0.48
A1	Sample 1	3	1	1	1948433	85.61	0.40
A1	Sample 1	3	1	1	1949716	85.76	0.34
A1	Sample 1	3	1	1	1951033	86	0.31
A1	Sample 1	3	1	1	1952316	86.17	0.28
A1	Sample 1	3	1	1	1953633	86.39	0.27
A1	Sample 1	3	1	1	1954950	86.56	0.26
A1	Sample 1	3	1	1	1956283	86.78	0.25
A1	Sample 1	3	1	1	1957600	86.99	0.24
A1	Sample 1	3	1	1	1958900	87.16	0.24
A1	Sample 1	3	1	1	1960233	87.37	0.24
A1	Sample 1	3	1	1	1961550	87.56	0.24
A1	Sample 1	3	1	1	1962866	87.76	0.24
A1	Sample 1	3	1	1	1964166	87.97	0.24
A1	Sample 1	3	1	1	1965466	88.19	0.23
A1	Sample 1	3	1	1	1966766	88.33	0.23
A1	Sample 1	3	1	1	1968100	88.55	0.23
A1	Sample 1	3	1	1	1969366	88.76	0.24
A1	Sample 1	3	1	1	1970666	88.95	0.23
A1	Sample 1	3	1	1	1971983	89.13	0.23
A1	Sample 1	3	1	1	1973300	89.34	0.23
A1	Sample 1	3	1	1	1974633	89.52	0.23
A1	Sample 1	3	1	1	1975950	89.75	0.22
A1	Sample 1	3	1	1	1977266	89.95	0.23
A1	Sample 1	3	1	1	1978583	90.14	0.23
A1	Sample 1	3	1	1	1979916	90.35	0.23
A1	Sample 1	3	1	1	1981266	90.53	0.22
A1	Sample 1	3	1	1	1982550	90.73	0.23
A1	Sample 1	3	1	1	1983866	90.93	0.23
A1	Sample 1	3	1	1	1985200	91.16	0.23
A1	Sample 1	3	1	1	1986516	91.29	0.22
A1	Sample 1	3	1	1	1987850	91.55	0.22
A1	Sample 1	3	1	1	1989166	91.74	0.22
A1	Sample 1	3	1	1	1990483	91.92	0.22
A1	Sample 1	3	1	1	1991800	92.11	0.22
A1	Sample 1	3	1	1	1993100	92.31	0.22
A1	Sample 1	3	1	1	1994416	92.52	0.22
A1	Sample 1	3	1	1	1995716	92.72	0.22
A1	Sample 1	3	1	1	1997033	92.93	0.22
A1	Sample 1	3	1	1	1998316	93.11	0.22
A1	Sample 1	3	1	1	1999616	93.28	0.22
A1	Sample 1	3	1	1	2000933	93.49	0.22
A1	Sample 1	3	1	1	2002250	93.69	0.22
A1	Sample 1	3	1	1	2003533	93.92	0.22
A1	Sample 1	3	1	1	2004833	94.08	0.22
A1	Sample 1	3	1	1	2006166	94.27	0.22
A1	Sample 1	3	1	1	2007500	94.49	0.22
A1	Sample 1	3	1	1	2008816	94.71	0.22
A2	Sample 2	2	2	1	233366	59.91	0.72
A2	Sample 2	2	2	2	272583	59.81	0.72
A2	Sample 2	2	2	3	311900	59.83	0.73
A2	Sample 2	2	2	4	351050	59.82	0.73
A2	Sample 2	2	2	5	390333	59.84	0.73
A2	Sample 2	2	2	6	429683	59.84	0.75
A2	Sample 2	2	2	7	468966	59.84	0.74
A2	Sample 2	2	2	8	508133	59.83	0.75
A2	Sample 2	2	2	9	547466	59.83	0.75
A2	Sample 2	2	2	10	586783	59.83	0.76
A2	Sample 2	2	2	11	626033	59.83	0.76
A2	Sample 2	2	2	12	665333	59.83	0.76
A2	Sample 2	2	2	13	704450	59.82	0.77
A2	Sample 2	2	2	14	743766	59.82	0.79
A2	Sample 2	2	2	15	783066	59.84	0.83
A2	Sample 2	2	2	16	822366	59.81	0.89
A2	Sample 2	2	2	17	861650	59.84	1.00
A2	Sample 2	2	2	18	900966	59.81	1.23
A2	Sample 2	2	2	19	940250	59.81	1.64
A2	Sample 2	2	2	20	979550	59.84	2.35
A2	Sample 2	2	2	21	1018766	59.81	3.38
A2	Sample 2	2	2	22	1058050	59.81	4.37
A2	Sample 2	2	2	23	1097366	59.81	5.20
A2	Sample 2	2	2	24	1136650	59.81	5.94
A2	Sample 2	2	2	25	1175933	59.81	6.52
A2	Sample 2	2	2	26	1215233	59.84	6.98
A2	Sample 2	2	2	27	1254516	59.81	7.33
A2	Sample 2	2	2	28	1293766	59.81	7.63
A2	Sample 2	2	2	29	1333033	59.81	7.82
A2	Sample 2	2	2	30	1372333	59.81	8.05
A2	Sample 2	2	2	31	1411666	59.85	8.17
A2	Sample 2	2	2	32	1450933	59.82	8.33
A2	Sample 2	2	2	33	1490250	59.82	8.45
A2	Sample 2	2	2	34	1529567	59.82	8.53
A2	Sample 2	2	2	35	1568833	59.82	8.60
A2	Sample 2	2	2	36	1608183	59.82	8.67
A2	Sample 2	2	2	37	1647433	59.82	8.74
A2	Sample 2	2	2	38	1686716	59.82	8.82
A2	Sample 2	2	2	39	1726016	59.82	8.85
A2	Sample 2	2	2	40	1765350	59.82	8.94
A2	Sample 2	3	1	1	1777516	59.92	9.07
A2	Sample 2	3	1	1	1778816	59.61	9.15
