Raw Data 		Experiment - JA_2020-08-14-pSRO9-mCh-tRPS3_mod-n1 (Run on LCS480 1.5.0.39)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	483-533	
A1	Sample 1	2	2	1	230884	59.92	0.70
A1	Sample 1	2	2	2	269900	59.82	0.72
A1	Sample 1	2	2	3	308967	59.84	0.73
A1	Sample 1	2	2	4	348067	59.82	0.74
A1	Sample 1	2	2	5	387167	59.84	0.74
A1	Sample 1	2	2	6	426284	59.83	0.74
A1	Sample 1	2	2	7	465384	59.82	0.76
A1	Sample 1	2	2	8	504484	59.85	0.76
A1	Sample 1	2	2	9	543584	59.84	0.77
A1	Sample 1	2	2	10	582584	59.84	0.78
A1	Sample 1	2	2	11	621667	59.83	0.78
A1	Sample 1	2	2	12	660734	59.83	0.82
A1	Sample 1	2	2	13	699750	59.82	0.84
A1	Sample 1	2	2	14	738867	59.82	0.89
A1	Sample 1	2	2	15	777950	59.82	0.98
A1	Sample 1	2	2	16	817050	59.82	1.17
A1	Sample 1	2	2	17	856150	59.82	1.52
A1	Sample 1	2	2	18	895317	59.85	2.11
A1	Sample 1	2	2	19	934384	59.81	2.93
A1	Sample 1	2	2	20	973550	59.81	3.71
A1	Sample 1	2	2	21	1012667	59.84	4.41
A1	Sample 1	2	2	22	1051800	59.81	5.03
A1	Sample 1	2	2	23	1090850	59.81	5.50
A1	Sample 1	2	2	24	1129950	59.84	5.87
A1	Sample 1	2	2	25	1169050	59.85	6.18
A1	Sample 1	2	2	26	1208150	59.85	6.42
A1	Sample 1	2	2	27	1247267	59.84	6.60
A1	Sample 1	2	2	28	1286351	59.84	6.78
A1	Sample 1	2	2	29	1325467	59.85	6.91
A1	Sample 1	2	2	30	1364567	59.85	7.03
A1	Sample 1	2	2	31	1403667	59.83	7.09
A1	Sample 1	2	2	32	1442784	59.84	7.19
A1	Sample 1	2	2	33	1481950	59.84	7.26
A1	Sample 1	2	2	34	1521067	59.84	7.33
A1	Sample 1	2	2	35	1560134	59.84	7.38
A1	Sample 1	2	2	36	1599250	59.84	7.42
A1	Sample 1	2	2	37	1638234	59.84	7.47
A1	Sample 1	2	2	38	1677334	59.84	7.51
A1	Sample 1	2	2	39	1716417	59.84	7.58
A1	Sample 1	2	2	40	1755550	59.84	7.60
A1	Sample 1	3	1	1	1767584	59.93	7.75
A1	Sample 1	3	1	1	1768900	59.62	7.78
A1	Sample 1	3	1	1	1770217	59.66	7.81
A1	Sample 1	3	1	1	1771534	60.11	7.79
A1	Sample 1	3	1	1	1772867	60.43	7.77
A1	Sample 1	3	1	1	1774184	60.67	7.70
A1	Sample 1	3	1	1	1775517	60.92	7.71
A1	Sample 1	3	1	1	1776800	61.14	7.69
A1	Sample 1	3	1	1	1778117	61.35	7.65
A1	Sample 1	3	1	1	1779467	61.57	7.63
A1	Sample 1	3	1	1	1780834	61.78	7.60
A1	Sample 1	3	1	1	1782167	61.99	7.59
A1	Sample 1	3	1	1	1783500	62.16	7.57
A1	Sample 1	3	1	1	1784817	62.36	7.54
A1	Sample 1	3	1	1	1786150	62.61	7.54
A1	Sample 1	3	1	1	1787467	62.79	7.52
A1	Sample 1	3	1	1	1788800	62.97	7.49
A1	Sample 1	3	1	1	1790117	63.17	7.49
A1	Sample 1	3	1	1	1791400	63.37	7.48
A1	Sample 1	3	1	1	1792734	63.57	7.44
A1	Sample 1	3	1	1	1794084	63.76	7.44
A1	Sample 1	3	1	1	1795434	63.93	7.43
A1	Sample 1	3	1	1	1796734	64.17	7.39
A1	Sample 1	3	1	1	1798050	64.35	7.39
A1	Sample 1	3	1	1	1799334	64.55	7.39
A1	Sample 1	3	1	1	1800650	64.73	7.38
A1	Sample 1	3	1	1	1801967	64.9	7.38
A1	Sample 1	3	1	1	1803267	65.13	7.37
A1	Sample 1	3	1	1	1804600	65.3	7.35
A1	Sample 1	3	1	1	1805934	65.51	7.36
A1	Sample 1	3	1	1	1807250	65.68	7.38
A1	Sample 1	3	1	1	1808550	65.9	7.38
A1	Sample 1	3	1	1	1809884	66.07	7.39
A1	Sample 1	3	1	1	1811200	66.29	7.38
A1	Sample 1	3	1	1	1812534	66.49	7.39
A1	Sample 1	3	1	1	1813900	66.67	7.38
A1	Sample 1	3	1	1	1815217	66.87	7.38
A1	Sample 1	3	1	1	1816500	67.08	7.37
A1	Sample 1	3	1	1	1817850	67.28	7.38
A1	Sample 1	3	1	1	1819184	67.46	7.38
A1	Sample 1	3	1	1	1820550	67.65	7.40
A1	Sample 1	3	1	1	1821867	67.88	7.39
A1	Sample 1	3	1	1	1823200	68.05	7.40
A1	Sample 1	3	1	1	1824517	68.26	7.39
A1	Sample 1	3	1	1	1825834	68.45	7.40
A1	Sample 1	3	1	1	1827167	68.64	7.39
A1	Sample 1	3	1	1	1828484	68.84	7.38
A1	Sample 1	3	1	1	1829800	69.03	7.34
A1	Sample 1	3	1	1	1831117	69.22	7.32
A1	Sample 1	3	1	1	1832467	69.41	7.31
A1	Sample 1	3	1	1	1833784	69.63	7.27
A1	Sample 1	3	1	1	1835117	69.83	7.26
A1	Sample 1	3	1	1	1836434	70.03	7.23
A1	Sample 1	3	1	1	1837750	70.2	7.18
A1	Sample 1	3	1	1	1839084	70.38	7.15
A1	Sample 1	3	1	1	1840400	70.6	7.09
A1	Sample 1	3	1	1	1841734	70.81	7.04
A1	Sample 1	3	1	1	1843117	71.01	7.00
A1	Sample 1	3	1	1	1844450	71.21	6.95
