Raw Data 		Experiment - JA_2020-08-30-pSRO9-mCh-tRPS3_mod-n2 (Run on LCS480 1.5.0.39)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	483-533	
A1	Sample 1	2	2	1	233733	59.93	0.59
A1	Sample 1	2	2	2	272967	59.83	0.57
A1	Sample 1	2	2	3	312217	59.81	0.58
A1	Sample 1	2	2	4	351417	59.83	0.59
A1	Sample 1	2	2	5	390617	59.81	0.60
A1	Sample 1	2	2	6	429800	59.83	0.59
A1	Sample 1	2	2	7	469017	59.82	0.59
A1	Sample 1	2	2	8	508250	59.82	0.59
A1	Sample 1	2	2	9	547500	59.84	0.60
A1	Sample 1	2	2	10	586733	59.85	0.60
A1	Sample 1	2	2	11	626000	59.84	0.61
A1	Sample 1	2	2	12	665217	59.84	0.63
A1	Sample 1	2	2	13	704417	59.84	0.65
A1	Sample 1	2	2	14	743600	59.83	0.71
A1	Sample 1	2	2	15	782800	59.83	0.79
A1	Sample 1	2	2	16	822017	59.83	0.98
A1	Sample 1	2	2	17	861283	59.84	1.32
A1	Sample 1	2	2	18	900517	59.83	1.91
A1	Sample 1	2	2	19	939817	59.84	2.78
A1	Sample 1	2	2	20	979100	59.84	3.65
A1	Sample 1	2	2	21	1018267	59.83	4.42
A1	Sample 1	2	2	22	1057517	59.83	5.06
A1	Sample 1	2	2	23	1096667	59.83	5.60
A1	Sample 1	2	2	24	1135867	59.83	6.00
A1	Sample 1	2	2	25	1175100	59.83	6.34
A1	Sample 1	2	2	26	1214317	59.83	6.60
A1	Sample 1	2	2	27	1253617	59.83	6.79
A1	Sample 1	2	2	28	1292817	59.83	6.98
A1	Sample 1	2	2	29	1332117	59.83	7.12
A1	Sample 1	2	2	30	1371367	59.83	7.25
A1	Sample 1	2	2	31	1410600	59.83	7.34
A1	Sample 1	2	2	32	1449767	59.82	7.47
A1	Sample 1	2	2	33	1489000	59.82	7.56
A1	Sample 1	2	2	34	1528317	59.82	7.60
A1	Sample 1	2	2	35	1567617	59.82	7.69
A1	Sample 1	2	2	36	1606883	59.82	7.72
A1	Sample 1	2	2	37	1646117	59.82	7.76
A1	Sample 1	2	2	38	1685400	59.82	7.83
A1	Sample 1	2	2	39	1724700	59.82	7.86
A1	Sample 1	2	2	40	1763900	59.82	7.90
A1	Sample 1	3	1	1	1776050	59.93	8.10
A1	Sample 1	3	1	1	1777367	59.66	8.15
A1	Sample 1	3	1	1	1778700	59.68	8.17
A1	Sample 1	3	1	1	1780033	60.11	8.16
A1	Sample 1	3	1	1	1781333	60.45	8.12
A1	Sample 1	3	1	1	1782667	60.71	8.07
A1	Sample 1	3	1	1	1783983	60.96	8.08
A1	Sample 1	3	1	1	1785317	61.15	8.04
A1	Sample 1	3	1	1	1786617	61.41	8.02
A1	Sample 1	3	1	1	1787933	61.59	8.00
