Experiment: 20201109_pSRO9-tTSA1mod_n1_repeatloading  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	15.44		0	
True	255	A2	Sample 2	15.53		0	
True	255	A3	Sample 3	14.72		0	
True	255	A4	Sample 4	15.31		0	
True	255	A5	Sample 5	15.30		0	
True	255	A6	Sample 6	14.39		0	
True	255	A7	Sample 7	15.56		0	
True	255	A8	Sample 8	15.36		0	
True	255	A9	Sample 9	14.96		0	
True	255	A10	Sample 10	14.42		0	
True	255	A11	Sample 11	14.53		0	
True	255	A12	Sample 12	14.53		0	
True	255	A13	Sample 13	14.84		0	
True	255	A14	Sample 14	14.77		0	
True	255	A15	Sample 15	14.64		0	
True	255	A16	Sample 16	14.79		0	
True	255	A17	Sample 17	14.85		0	
True	255	A18	Sample 18	14.63		0	
True	255	A19	Sample 19	16.60		0	
True	255	A20	Sample 20	15.86		0	
True	255	A21	Sample 21	15.69		0	
True	255	A22	Sample 22	24.38		0	
True	255	A23	Sample 23	24.61		0	
True	255	A24	Sample 24	24.73		0	
True	255	B1	Sample 25	11.51		0	
True	255	B2	Sample 26	11.58		0	
True	255	B3	Sample 27	11.35		0	
True	255	B4	Sample 28	11.44		0	
True	255	B5	Sample 29	11.37		0	
True	255	B6	Sample 30	10.75		0	
True	255	B7	Sample 31	10.84		0	
True	255	B8	Sample 32	10.43		0	
True	255	B9	Sample 33	10.72		0	
True	255	B10	Sample 34	10.77		0	
True	255	B11	Sample 35	10.94		0	
True	255	B12	Sample 36	10.82		0	
True	255	B13	Sample 37	10.74		0	
True	255	B14	Sample 38	10.66		0	
True	255	B15	Sample 39	10.75		0	
True	255	B16	Sample 40	10.61		0	
True	255	B17	Sample 41	10.49		0	
True	255	B18	Sample 42	10.51		0	
True	255	B19	Sample 43	10.49		0	
True	255	B20	Sample 44	  9.96		0	
True	255	B21	Sample 45	10.43		0	
True	255	B22	Sample 46	10.79		0	
True	255	B23	Sample 47	10.53		0	
True	255	B24	Sample 48	11.28		0	
True	255	C1	Sample 49	10.85		0	
True	255	C2	Sample 50	11.29		0	
True	255	C3	Sample 51	10.88		0	
True	255	C4	Sample 52	10.95		0	
True	255	C5	Sample 53	10.95		0	
True	255	C6	Sample 54	10.68		0	
True	255	C7	Sample 55	10.69		0	
True	255	C8	Sample 56	10.58		0	
True	255	C9	Sample 57	10.81		0	
True	255	C10	Sample 58	10.49		0	
True	255	C11	Sample 59	10.78		0	
True	255	C12	Sample 60	10.76		0	
True	255	C13	Sample 61	10.48		0	
True	255	C14	Sample 62	10.55		0	
True	255	C15	Sample 63	10.70		0	
True	255	C16	Sample 64	10.73		0	
True	255	C17	Sample 65	10.50		0	
True	255	C18	Sample 66	10.46		0	
True	255	C19	Sample 67	10.38		0	
True	255	C20	Sample 68	10.30		0	
True	255	C21	Sample 69	10.70		0	
True	255	C22	Sample 70	10.52		0	
True	255	C23	Sample 71	10.33		0	
True	255	C24	Sample 72	10.75		0	
True	255	D1	Sample 73	  9.90		0	
True	255	D2	Sample 74	  9.80		0	
True	255	D3	Sample 75	  9.90		0	
True	255	D4	Sample 76	  9.46		0	
True	255	D5	Sample 77	  9.71		0	
True	255	D6	Sample 78	  9.67		0	
True	255	D7	Sample 79	  9.58		0	
True	255	D8	Sample 80	  9.42		0	
True	255	D9	Sample 81	  9.60		0	
True	255	D10	Sample 82	  9.59		0	
True	255	D11	Sample 83	  9.64		0	
True	255	D12	Sample 84	  9.87		0	
True	255	D13	Sample 85	  9.37		0	
True	255	D14	Sample 86	  9.38		0	
True	255	D15	Sample 87	  9.60		0	
True	255	D16	Sample 88	  9.48		0	
True	255	D17	Sample 89	  9.46		0	
True	255	D18	Sample 90	  8.96		0	
True	255	D19	Sample 91	  9.16		0	
True	255	D20	Sample 92	  8.89		0	
True	255	D21	Sample 93	  9.49		0	
True	255	D22	Sample 94	  9.30		0	
True	255	D23	Sample 95	  9.22		0	
True	255	D24	Sample 96	  9.70		0	
True	255	E1	Sample 97	14.80		0	
True	255	E2	Sample 98	14.83		0	
True	255	E3	Sample 99	14.51		0	
True	255	E4	Sample 100	14.48		0	
True	255	E5	Sample 101	14.47		0	
True	255	E6	Sample 102	13.81		0	
True	255	E7	Sample 103	14.72		0	
True	255	E8	Sample 104	14.36		0	
True	255	E9	Sample 105	14.67		0	
True	255	E10	Sample 106	13.81		0	
True	255	E11	Sample 107	14.32		0	
True	255	E12	Sample 108	13.84		0	
True	255	E13	Sample 109	13.93		0	
True	255	E14	Sample 110	14.72		0	
True	255	E15	Sample 111	14.43		0	
True	255	E16	Sample 112	14.66		0	
True	255	E17	Sample 113	14.47		0	
True	255	E18	Sample 114	14.65		0	
True	255	E19	Sample 115	15.41		0	
True	255	E20	Sample 116	15.46		0	
True	255	E21	Sample 117	15.34		0	
True	255	E22	Sample 118	24.41		0	
True	255	E23	Sample 119	23.89		0	
True	255	E24	Sample 120	23.76		0	
True	255	F1	Sample 121	11.34		0	
True	255	F2	Sample 122	11.25		0	
True	255	F3	Sample 123	10.87		0	
True	255	F4	Sample 124	11.22		0	
True	255	F5	Sample 125	10.91		0	
True	255	F6	Sample 126	10.82		0	
True	255	F7	Sample 127	10.66		0	
True	255	F8	Sample 128	10.45		0	
True	255	F9	Sample 129	10.79		0	
True	255	F10	Sample 130	10.79		0	
True	255	F11	Sample 131	10.96		0	
True	255	F12	Sample 132	10.95		0	
True	255	F13	Sample 133	10.89		0	
True	255	F14	Sample 134	11.29		0	
True	255	F15	Sample 135	10.79		0	
True	255	F16	Sample 136	10.76		0	
True	255	F17	Sample 137	10.63		0	
True	255	F18	Sample 138	10.50		0	
True	255	F19	Sample 139	10.59		0	
True	255	F20	Sample 140	10.18		0	
True	255	F21	Sample 141	10.49		0	
True	255	F22	Sample 142	10.60		0	
True	255	F23	Sample 143	10.53		0	
True	255	F24	Sample 144	11.29		0	
True	255	G1	Sample 145	10.87		0	
True	255	G2	Sample 146	11.30		0	
True	255	G3	Sample 147	11.26		0	
True	255	G4	Sample 148	10.93		0	
True	255	G5	Sample 149	11.26		0	
True	255	G6	Sample 150	10.81		0	
True	255	G7	Sample 151	10.76		0	
True	255	G8	Sample 152	10.72		0	
True	255	G9	Sample 153	10.93		0	
True	255	G10	Sample 154	10.61		0	
True	255	G11	Sample 155	10.79		0	
True	255	G12	Sample 156	10.80		0	
True	255	G13	Sample 157	10.61		0	
True	255	G14	Sample 158	10.70		0	
True	255	G15	Sample 159	10.63		0	
True	255	G16	Sample 160	10.74		0	
True	255	G17	Sample 161	10.35		0	
True	255	G18	Sample 162	10.48		0	
True	255	G19	Sample 163	10.26		0	
True	255	G20	Sample 164	10.35		0	
True	255	G21	Sample 165	10.46		0	
True	255	G22	Sample 166	10.48		0	
True	255	G23	Sample 167	10.31		0	
True	255	G24	Sample 168	10.84		0	
True	255	H1	Sample 169	10.30		0	
True	255	H2	Sample 170	  9.92		0	
True	255	H3	Sample 171	  9.97		0	
True	255	H4	Sample 172	  9.59		0	
True	255	H5	Sample 173	  9.94		0	
True	255	H6	Sample 174	  9.64		0	
True	255	H7	Sample 175	  9.81		0	
True	255	H8	Sample 176	  9.54		0	
True	255	H9	Sample 177	  9.75		0	
True	255	H10	Sample 178	  9.69		0	
True	255	H11	Sample 179	10.25		0	
True	255	H12	Sample 180	10.47		0	
True	255	H13	Sample 181	  9.60		0	
True	255	H14	Sample 182	  9.59		0	
True	255	H15	Sample 183	  9.66		0	
True	255	H16	Sample 184	  9.70		0	
True	255	H17	Sample 185	  9.24		0	
True	255	H18	Sample 186	  9.00		0	
True	255	H19	Sample 187	  9.21		0	
True	255	H20	Sample 188	  9.41		0	
True	255	H21	Sample 189	  9.38		0	
True	255	H22	Sample 190	  9.46		0	
True	255	H23	Sample 191	  9.42		0	
True	255	H24	Sample 192	  9.79		0	
True	255	I1	Sample 193	14.98		0	
True	255	I2	Sample 194	14.72		0	
True	255	I3	Sample 195	14.49		0	
True	255	I4	Sample 196	14.76		0	
True	255	I5	Sample 197	14.63		0	
True	255	I6	Sample 198	14.47		0	
True	255	I7	Sample 199	15.41		0	
True	255	I8	Sample 200	14.58		0	
True	255	I9	Sample 201	14.99		0	
True	255	I10	Sample 202	14.27		0	
True	255	I11	Sample 203	14.61		0	
True	255	I12	Sample 204	14.38		0	
True	255	I13	Sample 205	14.29		0	
True	255	I14	Sample 206	14.22		0	
True	255	I15	Sample 207	14.35		0	
True	255	I16	Sample 208	14.75		0	
True	255	I17	Sample 209	14.69		0	
True	255	I18	Sample 210	14.47		0	
True	255	I19	Sample 211	15.56		0	
True	255	I20	Sample 212	15.39		0	
True	255	I21	Sample 213	14.95		0	
True	255	I22	Sample 214	25.34		0	
True	255	I23	Sample 215	23.88		0	
True	255	I24	Sample 216	24.40		0	
True	255	J1	Sample 217	11.32		0	
True	255	J2	Sample 218	11.41		0	
True	255	J3	Sample 219	11.27		0	
True	255	J4	Sample 220	11.28		0	
True	255	J5	Sample 221	11.34		0	
True	255	J6	Sample 222	10.89		0	
True	255	J7	Sample 223	10.82		0	
True	255	J8	Sample 224	10.63		0	
True	255	J9	Sample 225	10.70		0	
True	255	J10	Sample 226	10.73		0	
True	255	J11	Sample 227	10.94		0	
True	255	J12	Sample 228	11.28		0	
True	255	J13	Sample 229	10.89		0	
True	255	J14	Sample 230	11.27		0	
True	255	J15	Sample 231	10.60		0	
True	255	J16	Sample 232	10.68		0	
True	255	J17	Sample 233	10.39		0	
True	255	J18	Sample 234	10.46		0	
True	255	J19	Sample 235	10.48		0	
True	255	J20	Sample 236	10.61		0	
True	255	J21	Sample 237	10.74		0	
True	255	J22	Sample 238	10.63		0	
True	255	J23	Sample 239	10.63		0	
True	255	J24	Sample 240	11.44		0	
True	255	K1	Sample 241	11.15		0	
True	255	K2	Sample 242	11.35		0	
True	255	K3	Sample 243	11.37		0	
True	255	K4	Sample 244	10.84		0	
True	255	K5	Sample 245	11.26		0	
True	255	K6	Sample 246	10.79		0	
True	255	K7	Sample 247	10.74		0	
True	255	K8	Sample 248	10.62		0	
True	255	K9	Sample 249	10.71		0	
True	255	K10	Sample 250	10.56		0	
True	255	K11	Sample 251	10.74		0	
True	255	K12	Sample 252	11.18		0	
True	255	K13	Sample 253	10.78		0	
True	255	K14	Sample 254	11.42		0	
True	255	K15	Sample 255	10.71		0	
True	255	K16	Sample 256	10.56		0	
True	255	K17	Sample 257	10.58		0	
True	255	K18	Sample 258	10.41		0	
True	255	K19	Sample 259	10.54		0	
True	255	K20	Sample 260	10.47		0	
True	255	K21	Sample 261	10.48		0	
True	255	K22	Sample 262	10.37		0	
True	255	K23	Sample 263	11.28		0	
True	255	K24	Sample 264	10.94		0	
True	255	L1	Sample 265	10.28		0	
True	255	L2	Sample 266	10.39		0	
True	255	L3	Sample 267	10.25		0	
True	255	L4	Sample 268	  9.80		0	
True	255	L5	Sample 269	  9.87		0	
True	255	L6	Sample 270	  9.71		0	
True	255	L7	Sample 271	  9.72		0	
True	255	L8	Sample 272	  9.55		0	
True	255	L9	Sample 273	  9.76		0	
True	255	L10	Sample 274	  9.62		0	
True	255	L11	Sample 275	  9.81		0	
True	255	L12	Sample 276	10.53		0	
True	255	L13	Sample 277	  9.67		0	
True	255	L14	Sample 278	  9.69		0	
True	255	L15	Sample 279	  9.68		0	
True	255	L16	Sample 280	  9.60		0	
True	255	L17	Sample 281	  9.31		0	
True	255	L18	Sample 282	  9.63		0	
True	255	L19	Sample 283	  9.30		0	
True	255	L20	Sample 284	  9.38		0	
True	255	L21	Sample 285	  9.30		0	
True	255	L22	Sample 286	  9.53		0	
True	255	L23	Sample 287	10.27		0	
True	255	L24	Sample 288	  9.79		0	
True	255	M1	Sample 289	31.90		0	
True	255	M2	Sample 290	35.13		0	
True	65280	M3	Sample 291			0	
True	255	M4	Sample 292	30.62		0	
True	255	M5	Sample 293	31.81		0	
True	255	M6	Sample 294	30.70		0	
True	65280	M7	Sample 295			0	
True	255	M8	Sample 296	30.40		0	
True	255	M9	Sample 297	35.82		0	
True	65280	M10	Sample 298			0	
True	65280	M11	Sample 299			0	
True	255	M12	Sample 300	30.76		0	
True	255	M13	Sample 301	31.69		0	
True	255	M14	Sample 302	30.32		0	
True	255	M15	Sample 303	30.67		0	
True	255	M16	Sample 304	31.70		0	
True	255	M17	Sample 305	32.59		0	
True	255	M18	Sample 306	30.28		0	
True	255	M19	Sample 307	30.32		0	
True	65280	M20	Sample 308			0	
True	65280	M21	Sample 309			0	
True	255	M22	Sample 310	29.64		0	
True	255	M23	Sample 311	31.99		0	
True	255	M24	Sample 312	29.49		0	
True	255	N1	Sample 313	30.49		0	
True	255	N2	Sample 314	29.98		0	
True	255	N3	Sample 315	31.96		0	
True	255	N4	Sample 316	29.66		0	
True	255	N5	Sample 317	30.85		0	
True	255	N6	Sample 318	31.63		0	
True	255	N7	Sample 319	33.53		0	
True	255	N8	Sample 320	30.81		0	
True	255	N9	Sample 321	30.47		0	
True	255	N10	Sample 322	30.21		0	
True	255	N11	Sample 323	29.98		0	
True	255	N12	Sample 324	30.86		0	
True	255	N13	Sample 325	29.90		0	
True	255	N14	Sample 326	30.47		0	
True	255	N15	Sample 327	29.51		0	
True	255	N16	Sample 328	30.34		0	
True	65280	N17	Sample 329			0	
True	255	N18	Sample 330	30.81		0	
True	255	N19	Sample 331	29.43		0	
True	255	N20	Sample 332	29.42		0	
True	255	N21	Sample 333	31.89		0	
True	255	N22	Sample 334	31.86		0	
True	255	N23	Sample 335	29.62		0	
True	255	N24	Sample 336	29.90		0	
True	65280	O1	Sample 337			0	
True	65280	O2	Sample 338			0	
True	65280	O3	Sample 339			0	
True	65280	O4	Sample 340			0	
True	255	O5	Sample 341	32.60		0	
True	65280	O6	Sample 342			0	
True	65280	O7	Sample 343			0	
True	65280	O8	Sample 344			0	
True	65280	O9	Sample 345			0	
True	65280	O10	Sample 346			0	
True	65280	O11	Sample 347			0	
True	65280	O12	Sample 348			0	
True	255	O13	Sample 349	30.91		0	
