Raw Data 		Experiment - 20201107_pTSA1-tTSA1mod_n1_repeatloading (Run on LCS480 1.5.0.39)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	483-533	
A1	Sample 1	2	2	1	231134	59.92	0.86
A1	Sample 1	2	2	2	270167	59.82	0.89
A1	Sample 1	2	2	3	309167	59.83	0.91
A1	Sample 1	2	2	4	348250	59.82	0.91
A1	Sample 1	2	2	5	387367	59.85	0.91
A1	Sample 1	2	2	6	426434	59.84	0.90
A1	Sample 1	2	2	7	465467	59.83	0.91
A1	Sample 1	2	2	8	504534	59.82	0.89
A1	Sample 1	2	2	9	543667	59.85	0.87
A1	Sample 1	2	2	10	582717	59.84	0.89
A1	Sample 1	2	2	11	621817	59.84	0.90
A1	Sample 1	2	2	12	660834	59.84	0.92
A1	Sample 1	2	2	13	699934	59.83	0.96
A1	Sample 1	2	2	14	739050	59.83	1.02
A1	Sample 1	2	2	15	778150	59.83	1.14
A1	Sample 1	2	2	16	817234	59.8	1.31
A1	Sample 1	2	2	17	856334	59.83	1.56
A1	Sample 1	2	2	18	895417	59.83	1.81
A1	Sample 1	2	2	19	934534	59.83	2.07
A1	Sample 1	2	2	20	973667	59.82	2.31
A1	Sample 1	2	2	21	1012717	59.82	2.51
A1	Sample 1	2	2	22	1051834	59.82	2.69
A1	Sample 1	2	2	23	1090934	59.82	2.86
A1	Sample 1	2	2	24	1130034	59.82	3.01
A1	Sample 1	2	2	25	1169150	59.82	3.13
A1	Sample 1	2	2	26	1208217	59.82	3.21
A1	Sample 1	2	2	27	1247350	59.85	3.31
A1	Sample 1	2	2	28	1286467	59.82	3.39
A1	Sample 1	2	2	29	1325534	59.84	3.43
A1	Sample 1	2	2	30	1364617	59.81	3.51
A1	Sample 1	2	2	31	1403750	59.81	3.54
A1	Sample 1	2	2	32	1442817	59.81	3.61
A1	Sample 1	2	2	33	1481917	59.81	3.62
A1	Sample 1	2	2	34	1521034	59.81	3.67
A1	Sample 1	2	2	35	1560134	59.84	3.72
A1	Sample 1	2	2	36	1599217	59.81	3.71
A1	Sample 1	2	2	37	1638317	59.84	3.75
A1	Sample 1	2	2	38	1677334	59.81	3.76
A1	Sample 1	2	2	39	1716417	59.84	3.78
A1	Sample 1	2	2	40	1755517	59.84	3.78
A1	Sample 1	3	1	1	1771167	59.94	3.89
A1	Sample 1	3	1	1	1772484	59.61	3.92
A1	Sample 1	3	1	1	1773834	59.67	3.93
A1	Sample 1	3	1	1	1775150	60.12	3.92
A1	Sample 1	3	1	1	1776500	60.44	3.89
A1	Sample 1	3	1	1	1777817	60.69	3.88
A1	Sample 1	3	1	1	1779134	60.94	3.86
A1	Sample 1	3	1	1	1780484	61.15	3.83
A1	Sample 1	3	1	1	1781817	61.39	3.82
A1	Sample 1	3	1	1	1783150	61.61	3.80
A1	Sample 1	3	1	1	1784484	61.83	3.79
A1	Sample 1	3	1	1	1785817	62.01	3.79
A1	Sample 1	3	1	1	1787134	62.2	3.78
A1	Sample 1	3	1	1	1788467	62.43	3.76
A1	Sample 1	3	1	1	1789784	62.62	3.74
A1	Sample 1	3	1	1	1791117	62.84	3.75
A1	Sample 1	3	1	1	1792434	63.02	3.72
A1	Sample 1	3	1	1	1793784	63.19	3.72
A1	Sample 1	3	1	1	1795084	63.44	3.70
A1	Sample 1	3	1	1	1796434	63.61	3.67
A1	Sample 1	3	1	1	1797767	63.8	3.66
A1	Sample 1	3	1	1	1799100	64	3.66
A1	Sample 1	3	1	1	1800417	64.22	3.65
A1	Sample 1	3	1	1	1801784	64.4	3.63
A1	Sample 1	3	1	1	1803100	64.6	3.63
A1	Sample 1	3	1	1	1804401	64.81	3.61
A1	Sample 1	3	1	1	1805750	64.99	3.60
A1	Sample 1	3	1	1	1807084	65.2	3.59
A1	Sample 1	3	1	1	1808384	65.37	3.58
A1	Sample 1	3	1	1	1809667	65.6	3.57
A1	Sample 1	3	1	1	1810984	65.73	3.56
A1	Sample 1	3	1	1	1812317	65.98	3.55
A1	Sample 1	3	1	1	1813617	66.18	3.53
A1	Sample 1	3	1	1	1814967	66.39	3.53
A1	Sample 1	3	1	1	1816284	66.56	3.52
A1	Sample 1	3	1	1	1817600	66.77	3.51
A1	Sample 1	3	1	1	1818917	66.94	3.49
A1	Sample 1	3	1	1	1820234	67.16	3.49
A1	Sample 1	3	1	1	1821534	67.36	3.49
A1	Sample 1	3	1	1	1822850	67.54	3.47
A1	Sample 1	3	1	1	1824200	67.71	3.47
A1	Sample 1	3	1	1	1825534	67.94	3.45
