Experiment: JA_2020-07-12-pTSA1-mCh-tTSA1_mod-n1  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	14.37		0	
True	255	A2	Sample 2	13.71		0	
True	255	A3	Sample 3	13.73		0	
True	255	A4	Sample 4	13.70		0	
True	255	A5	Sample 5	13.48		0	
True	255	A6	Sample 6	13.54		0	
True	255	A7	Sample 7	13.50		0	
True	255	A8	Sample 8	14.27		0	
True	255	A9	Sample 9	14.51		0	
True	255	A10	Sample 10	13.68		0	
True	255	A11	Sample 11	13.34		0	
True	255	A12	Sample 12	12.85		0	
True	255	A13	Sample 13	13.48		0	
True	255	A14	Sample 14	13.55		0	
True	255	A15	Sample 15	14.74		0	
True	255	A16	Sample 16	12.82		0	
True	255	A17	Sample 17	12.57		0	
True	255	A18	Sample 18	13.37		0	
True	255	A19	Sample 19	14.67		0	
True	255	A20	Sample 20	14.85		0	
True	255	A21	Sample 21	15.73		0	
True	255	A22	Sample 22	21.47		0	
True	255	A23	Sample 23	21.67		0	
True	255	A24	Sample 24	20.95		0	
True	255	B1	Sample 25	16.85		0	
True	255	B2	Sample 26	15.92		0	
True	255	B3	Sample 27	16.65		0	
True	255	B4	Sample 28	16.48		0	
True	255	B5	Sample 29	15.89		0	
True	255	B6	Sample 30	16.35		0	
True	255	B7	Sample 31	14.45		0	
True	255	B8	Sample 32	15.35		0	
True	255	B9	Sample 33	16.71		0	
True	255	B10	Sample 34	14.95		0	
True	255	B11	Sample 35	15.20		0	
True	255	B12	Sample 36	14.57		0	
True	255	B13	Sample 37	15.39		0	
True	255	B14	Sample 38	15.79		0	
True	255	B15	Sample 39	17.49		0	
True	255	B16	Sample 40	14.80		0	
True	255	B17	Sample 41	14.61		0	
True	255	B18	Sample 42	14.94		0	
True	255	B19	Sample 43	15.81		0	
True	255	B20	Sample 44	15.58		0	
True	255	B21	Sample 45	19.64		0	
True	255	B22	Sample 46	16.96		0	
True	255	B23	Sample 47	15.89		0	
True	255	B24	Sample 48	16.60		0	
True	255	C1	Sample 49	13.69		0	
True	255	C2	Sample 50	13.21		0	
True	255	C3	Sample 51	13.66		0	
True	255	C4	Sample 52	13.57		0	
True	255	C5	Sample 53	13.73		0	
True	255	C6	Sample 54	14.38		0	
True	255	C7	Sample 55	12.71		0	
True	255	C8	Sample 56	12.67		0	
True	255	C9	Sample 57	13.85		0	
True	255	C10	Sample 58	12.86		0	
True	255	C11	Sample 59	13.81		0	
True	255	C12	Sample 60	12.39		0	
True	255	C13	Sample 61	13.83		0	
True	255	C14	Sample 62	13.80		0	
True	255	C15	Sample 63	14.87		0	
True	255	C16	Sample 64	12.85		0	
True	255	C17	Sample 65	12.33		0	
True	255	C18	Sample 66	13.37		0	
True	255	C19	Sample 67	13.42		0	
True	255	C20	Sample 68	13.28		0	
True	255	C21	Sample 69	17.69		0	
True	255	C22	Sample 70	14.58		0	
True	255	C23	Sample 71	14.12		0	
True	255	C24	Sample 72	14.25		0	
True	255	D1	Sample 73	13.48		0	
True	255	D2	Sample 74	12.48		0	
True	255	D3	Sample 75	13.08		0	
True	255	D4	Sample 76	12.68		0	
True	255	D5	Sample 77	12.79		0	
True	255	D6	Sample 78	12.98		0	
True	255	D7	Sample 79	11.57		0	
True	255	D8	Sample 80	12.62		0	
True	255	D9	Sample 81	12.73		0	
True	255	D10	Sample 82	12.25		0	
True	255	D11	Sample 83	12.97		0	
True	255	D12	Sample 84	11.35		0	
True	255	D13	Sample 85	12.82		0	
True	255	D14	Sample 86	12.67		0	
True	255	D15	Sample 87	13.84		0	
True	255	D16	Sample 88	11.76		0	
True	255	D17	Sample 89	11.17		0	
True	255	D18	Sample 90	12.53		0	
True	255	D19	Sample 91	12.26		0	
True	255	D20	Sample 92	12.36		0	
True	255	D21	Sample 93	13.28		0	
True	255	D22	Sample 94	13.65		0	
True	255	D23	Sample 95	12.68		0	
True	255	D24	Sample 96	13.30		0	
True	255	E1	Sample 97	13.76		0	
True	255	E2	Sample 98	13.33		0	
True	255	E3	Sample 99	13.65		0	
True	255	E4	Sample 100	13.60		0	
True	255	E5	Sample 101	13.46		0	
True	255	E6	Sample 102	12.90		0	
True	255	E7	Sample 103	13.32		0	
True	255	E8	Sample 104	13.62		0	
True	255	E9	Sample 105	14.80		0	
True	255	E10	Sample 106	12.84		0	
True	255	E11	Sample 107	12.90		0	
True	255	E12	Sample 108	12.62		0	
True	255	E13	Sample 109	13.73		0	
True	255	E14	Sample 110	13.55		0	
True	255	E15	Sample 111	14.58		0	
True	255	E16	Sample 112	12.80		0	
True	255	E17	Sample 113	12.35		0	
True	255	E18	Sample 114	12.59		0	
True	255	E19	Sample 115	14.62		0	
True	255	E20	Sample 116	14.84		0	
True	255	E21	Sample 117	15.56		0	
True	255	E22	Sample 118	21.38		0	
True	255	E23	Sample 119	20.84		0	
True	255	E24	Sample 120	21.59		0	
True	255	F1	Sample 121	18.27		0	
True	255	F2	Sample 122	15.82		0	
True	255	F3	Sample 123	16.44		0	
True	255	F4	Sample 124	16.46		0	
True	255	F5	Sample 125	15.63		0	
True	255	F6	Sample 126	15.74		0	
True	255	F7	Sample 127	14.43		0	
True	255	F8	Sample 128	15.79		0	
True	255	F9	Sample 129	15.99		0	
True	255	F10	Sample 130	14.79		0	
True	255	F11	Sample 131	15.19		0	
True	255	F12	Sample 132	14.47		0	
True	255	F13	Sample 133	15.88		0	
True	255	F14	Sample 134	16.47		0	
True	255	F15	Sample 135	17.31		0	
True	255	F16	Sample 136	14.88		0	
True	255	F17	Sample 137	13.77		0	
True	255	F18	Sample 138	15.27		0	
True	255	F19	Sample 139	15.28		0	
True	255	F20	Sample 140	15.31		0	
True	255	F21	Sample 141	15.71		0	
True	255	F22	Sample 142	16.54		0	
True	255	F23	Sample 143	15.92		0	
True	255	F24	Sample 144	16.34		0	
True	255	G1	Sample 145	13.68		0	
True	255	G2	Sample 146	13.25		0	
True	255	G3	Sample 147	13.76		0	
True	255	G4	Sample 148	13.53		0	
True	255	G5	Sample 149	13.55		0	
True	255	G6	Sample 150	13.81		0	
True	255	G7	Sample 151	12.43		0	
True	255	G8	Sample 152	13.32		0	
True	255	G9	Sample 153	13.88		0	
True	255	G10	Sample 154	12.90		0	
True	255	G11	Sample 155	13.88		0	
True	255	G12	Sample 156	11.84		0	
True	255	G13	Sample 157	13.86		0	
True	255	G14	Sample 158	13.84		0	
True	255	G15	Sample 159	14.78		0	
True	255	G16	Sample 160	12.78		0	
True	255	G17	Sample 161	11.86		0	
True	255	G18	Sample 162	13.37		0	
True	255	G19	Sample 163	12.76		0	
True	255	G20	Sample 164	12.89		0	
True	255	G21	Sample 165	13.88		0	
True	255	G22	Sample 166	14.62		0	
True	255	G23	Sample 167	13.64		0	
True	255	G24	Sample 168	14.32		0	
True	255	H1	Sample 169	13.32		0	
True	255	H2	Sample 170	12.43		0	
True	255	H3	Sample 171	13.43		0	
True	255	H4	Sample 172	12.46		0	
True	255	H5	Sample 173	12.56		0	
True	255	H6	Sample 174	13.50		0	
True	255	H7	Sample 175	11.74		0	
True	255	H8	Sample 176	12.27		0	
True	255	H9	Sample 177	13.58		0	
True	255	H10	Sample 178	12.43		0	
True	255	H11	Sample 179	12.73		0	
True	255	H12	Sample 180	11.43		0	
True	255	H13	Sample 181	13.41		0	
True	255	H14	Sample 182	13.38		0	
True	255	H15	Sample 183	13.98		0	
True	255	H16	Sample 184	11.85		0	
True	255	H17	Sample 185	10.94		0	
True	255	H18	Sample 186	12.53		0	
True	255	H19	Sample 187	12.54		0	
True	255	H20	Sample 188	12.66		0	
True	255	H21	Sample 189	13.00		0	
