Raw Data 		Experiment - JA_2020-07-31-pTSA1-mCh-tTSA1_mod-n1 (Run on LCS480 1.5.0.39)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	483-533	
A1	Sample 1	2	2	1	233150	59.91	0.88
A1	Sample 1	2	2	2	272300	59.85	0.89
A1	Sample 1	2	2	3	311434	59.83	0.90
A1	Sample 1	2	2	4	350550	59.84	0.90
A1	Sample 1	2	2	5	389634	59.83	0.91
A1	Sample 1	2	2	6	428834	59.82	0.91
A1	Sample 1	2	2	7	468050	59.81	0.92
A1	Sample 1	2	2	8	507234	59.83	0.91
A1	Sample 1	2	2	9	546334	59.83	0.94
A1	Sample 1	2	2	10	585450	59.82	0.95
A1	Sample 1	2	2	11	624617	59.82	0.97
A1	Sample 1	2	2	12	663850	59.84	1.01
A1	Sample 1	2	2	13	703067	59.84	1.11
A1	Sample 1	2	2	14	742234	59.84	1.26
A1	Sample 1	2	2	15	781434	59.83	1.51
A1	Sample 1	2	2	16	820634	59.83	1.89
A1	Sample 1	2	2	17	859767	59.83	2.29
A1	Sample 1	2	2	18	898917	59.83	2.68
A1	Sample 1	2	2	19	938150	59.83	3.03
A1	Sample 1	2	2	20	977250	59.82	3.32
A1	Sample 1	2	2	21	1016417	59.82	3.60
A1	Sample 1	2	2	22	1055634	59.82	3.86
A1	Sample 1	2	2	23	1094834	59.82	4.04
A1	Sample 1	2	2	24	1134067	59.82	4.24
A1	Sample 1	2	2	25	1173217	59.82	4.37
A1	Sample 1	2	2	26	1212434	59.85	4.50
A1	Sample 1	2	2	27	1251617	59.85	4.62
A1	Sample 1	2	2	28	1290800	59.82	4.71
A1	Sample 1	2	2	29	1330000	59.84	4.80
A1	Sample 1	2	2	30	1369200	59.84	4.84
A1	Sample 1	2	2	31	1408417	59.81	4.93
A1	Sample 1	2	2	32	1447634	59.81	4.98
A1	Sample 1	2	2	33	1486767	59.84	5.05
A1	Sample 1	2	2	34	1525917	59.81	5.09
A1	Sample 1	2	2	35	1565100	59.81	5.10
A1	Sample 1	2	2	36	1604200	59.81	5.15
A1	Sample 1	2	2	37	1643317	59.84	5.22
A1	Sample 1	2	2	38	1682517	59.84	5.25
A1	Sample 1	2	2	39	1721717	59.84	5.26
A1	Sample 1	2	2	40	1760917	59.84	5.29
A1	Sample 1	3	1	1	1772934	59.93	5.36
A1	Sample 1	3	1	1	1774250	59.71	5.37
A1	Sample 1	3	1	1	1775567	59.74	5.38
A1	Sample 1	3	1	1	1776867	60.13	5.37
A1	Sample 1	3	1	1	1778167	60.46	5.33
A1	Sample 1	3	1	1	1779500	60.71	5.31
A1	Sample 1	3	1	1	1780850	60.92	5.28
A1	Sample 1	3	1	1	1782184	61.16	5.26
A1	Sample 1	3	1	1	1783484	61.39	5.23
A1	Sample 1	3	1	1	1784800	61.59	5.21
A1	Sample 1	3	1	1	1786117	61.82	5.20
A1	Sample 1	3	1	1	1787434	61.97	5.17
A1	Sample 1	3	1	1	1788750	62.18	5.14
A1	Sample 1	3	1	1	1790100	62.4	5.12
A1	Sample 1	3	1	1	1791417	62.6	5.11
A1	Sample 1	3	1	1	1792750	62.79	5.08
A1	Sample 1	3	1	1	1794084	62.96	5.08
A1	Sample 1	3	1	1	1795400	63.2	5.04
A1	Sample 1	3	1	1	1796734	63.42	5.03
A1	Sample 1	3	1	1	1798050	63.61	5.00
A1	Sample 1	3	1	1	1799367	63.78	4.98
A1	Sample 1	3	1	1	1800684	63.96	4.95
A1	Sample 1	3	1	1	1802000	64.17	4.94
A1	Sample 1	3	1	1	1803317	64.38	4.92
A1	Sample 1	3	1	1	1804667	64.57	4.89
A1	Sample 1	3	1	1	1805984	64.77	4.90
A1	Sample 1	3	1	1	1807267	64.95	4.87
A1	Sample 1	3	1	1	1808567	65.16	4.84
A1	Sample 1	3	1	1	1809900	65.33	4.83
A1	Sample 1	3	1	1	1811184	65.52	4.82
A1	Sample 1	3	1	1	1812567	65.72	4.81
A1	Sample 1	3	1	1	1813884	65.93	4.78
A1	Sample 1	3	1	1	1815184	66.14	4.77
A1	Sample 1	3	1	1	1816500	66.31	4.75
A1	Sample 1	3	1	1	1817817	66.52	4.73
A1	Sample 1	3	1	1	1819134	66.69	4.72
A1	Sample 1	3	1	1	1820500	66.93	4.71
A1	Sample 1	3	1	1	1821800	67.13	4.69
A1	Sample 1	3	1	1	1823100	67.34	4.69
A1	Sample 1	3	1	1	1824417	67.52	4.66
A1	Sample 1	3	1	1	1825750	67.7	4.65
A1	Sample 1	3	1	1	1827067	67.9	4.63
A1	Sample 1	3	1	1	1828384	68.1	4.63
A1	Sample 1	3	1	1	1829717	68.31	4.63
A1	Sample 1	3	1	1	1831034	68.46	4.61
A1	Sample 1	3	1	1	1832367	68.68	4.60
A1	Sample 1	3	1	1	1833667	68.89	4.59
A1	Sample 1	3	1	1	1835000	69.06	4.59
A1	Sample 1	3	1	1	1836334	69.27	4.57
A1	Sample 1	3	1	1	1837667	69.48	4.57
A1	Sample 1	3	1	1	1838984	69.65	4.55
A1	Sample 1	3	1	1	1840267	69.88	4.55
A1	Sample 1	3	1	1	1841600	70.05	4.54
A1	Sample 1	3	1	1	1842967	70.26	4.53
A1	Sample 1	3	1	1	1844317	70.45	4.51
A1	Sample 1	3	1	1	1845650	70.66	4.50
A1	Sample 1	3	1	1	1846967	70.87	4.50
A1	Sample 1	3	1	1	1848267	71.04	4.47
A1	Sample 1	3	1	1	1849550	71.24	4.45
A1	Sample 1	3	1	1	1850884	71.45	4.43
A1	Sample 1	3	1	1	1852217	71.64	4.40
A1	Sample 1	3	1	1	1853550	71.82	4.40
A1	Sample 1	3	1	1	1854867	72.01	4.37
A1	Sample 1	3	1	1	1856200	72.22	4.34
A1	Sample 1	3	1	1	1857550	72.42	4.33
A1	Sample 1	3	1	1	1858934	72.62	4.30
A1	Sample 1	3	1	1	1860267	72.82	4.28
A1	Sample 1	3	1	1	1861600	72.99	4.24
A1	Sample 1	3	1	1	1862917	73.26	4.21
A1	Sample 1	3	1	1	1864250	73.42	4.20
A1	Sample 1	3	1	1	1865584	73.63	4.17
A1	Sample 1	3	1	1	1866917	73.8	4.14
A1	Sample 1	3	1	1	1868250	74.03	4.10
A1	Sample 1	3	1	1	1869567	74.2	4.09
A1	Sample 1	3	1	1	1870867	74.41	4.05
A1	Sample 1	3	1	1	1872150	74.6	4.02
A1	Sample 1	3	1	1	1873467	74.78	4.00
A1	Sample 1	3	1	1	1874784	75.01	3.97
A1	Sample 1	3	1	1	1876117	75.2	3.94
A1	Sample 1	3	1	1	1877450	75.4	3.92
A1	Sample 1	3	1	1	1878750	75.57	3.87
A1	Sample 1	3	1	1	1880084	75.77	3.86
A1	Sample 1	3	1	1	1881467	75.98	3.84
A1	Sample 1	3	1	1	1882800	76.19	3.80
A1	Sample 1	3	1	1	1884100	76.38	3.77
A1	Sample 1	3	1	1	1885434	76.56	3.74
A1	Sample 1	3	1	1	1886717	76.76	3.71
A1	Sample 1	3	1	1	1888067	76.96	3.68
A1	Sample 1	3	1	1	1889434	77.16	3.64
A1	Sample 1	3	1	1	1890767	77.36	3.61
A1	Sample 1	3	1	1	1892084	77.56	3.59
A1	Sample 1	3	1	1	1893400	77.77	3.56
A1	Sample 1	3	1	1	1894734	77.97	3.53
A1	Sample 1	3	1	1	1896067	78.14	3.50
A1	Sample 1	3	1	1	1897450	78.37	3.46
A1	Sample 1	3	1	1	1898750	78.54	3.43
A1	Sample 1	3	1	1	1900084	78.74	3.40
A1	Sample 1	3	1	1	1901384	78.94	3.37
A1	Sample 1	3	1	1	1902717	79.14	3.35
A1	Sample 1	3	1	1	1904050	79.34	3.31
A1	Sample 1	3	1	1	1905367	79.55	3.29
A1	Sample 1	3	1	1	1906684	79.76	3.25
A1	Sample 1	3	1	1	1908000	79.94	3.23
A1	Sample 1	3	1	1	1909334	80.11	3.20
A1	Sample 1	3	1	1	1910684	80.34	3.15
A1	Sample 1	3	1	1	1912000	80.51	3.13
A1	Sample 1	3	1	1	1913317	80.72	3.10
A1	Sample 1	3	1	1	1914617	80.91	3.07
A1	Sample 1	3	1	1	1915934	81.1	3.04
A1	Sample 1	3	1	1	1917267	81.33	2.99
A1	Sample 1	3	1	1	1918600	81.52	2.96
A1	Sample 1	3	1	1	1919934	81.7	2.94
A1	Sample 1	3	1	1	1921250	81.88	2.90
A1	Sample 1	3	1	1	1922584	82.11	2.86
A1	Sample 1	3	1	1	1923917	82.31	2.82
A1	Sample 1	3	1	1	1925217	82.5	2.78
A1	Sample 1	3	1	1	1926517	82.66	2.74
A1	Sample 1	3	1	1	1927867	82.87	2.68
A1	Sample 1	3	1	1	1929200	83.11	2.63
A1	Sample 1	3	1	1	1930500	83.28	2.57
A1	Sample 1	3	1	1	1931800	83.46	2.48
A1	Sample 1	3	1	1	1933117	83.67	2.39
A1	Sample 1	3	1	1	1934417	83.86	2.25
A1	Sample 1	3	1	1	1935700	84.05	2.05
A1	Sample 1	3	1	1	1937050	84.27	1.78
A1	Sample 1	3	1	1	1938400	84.45	1.47
A1	Sample 1	3	1	1	1939700	84.64	1.14
A1	Sample 1	3	1	1	1941000	84.83	0.83
A1	Sample 1	3	1	1	1942334	85.05	0.58
A1	Sample 1	3	1	1	1943667	85.22	0.44
A1	Sample 1	3	1	1	1945034	85.43	0.35
A1	Sample 1	3	1	1	1946384	85.64	0.30
A1	Sample 1	3	1	1	1947700	85.85	0.27
A1	Sample 1	3	1	1	1949000	86.05	0.25
A1	Sample 1	3	1	1	1950300	86.24	0.24
A1	Sample 1	3	1	1	1951600	86.41	0.23
A1	Sample 1	3	1	1	1952951	86.63	0.23
A1	Sample 1	3	1	1	1954317	86.81	0.22
A1	Sample 1	3	1	1	1955650	87.01	0.22
A1	Sample 1	3	1	1	1956951	87.22	0.22
A1	Sample 1	3	1	1	1958267	87.38	0.22
A1	Sample 1	3	1	1	1959600	87.61	0.22
A1	Sample 1	3	1	1	1960934	87.79	0.21
A1	Sample 1	3	1	1	1962300	88.01	0.21
