Raw Data 		Experiment - JA_20200311-pPGK1-tRPS3-200mod-n=2 (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	
A1	Sample 1	2	2	1	233900	59.91	0.99
A1	Sample 1	2	2	2	273380	59.82	1.00
A1	Sample 1	2	2	3	312790	59.83	0.98
A1	Sample 1	2	2	4	352290	59.81	0.98
A1	Sample 1	2	2	5	391780	59.83	0.98
A1	Sample 1	2	2	6	431180	59.82	1.00
A1	Sample 1	2	2	7	470580	59.84	1.01
A1	Sample 1	2	2	8	510090	59.84	1.00
A1	Sample 1	2	2	9	549580	59.84	1.01
A1	Sample 1	2	2	10	589080	59.84	1.05
A1	Sample 1	2	2	11	628580	59.83	1.09
A1	Sample 1	2	2	12	668100	59.83	1.21
A1	Sample 1	2	2	13	707570	59.82	1.38
A1	Sample 1	2	2	14	747070	59.82	1.75
A1	Sample 1	2	2	15	786580	59.82	2.21
A1	Sample 1	2	2	16	826090	59.82	2.70
A1	Sample 1	2	2	17	865570	59.85	3.18
A1	Sample 1	2	2	18	905060	59.82	3.64
A1	Sample 1	2	2	19	944490	59.84	3.96
A1	Sample 1	2	2	20	983970	59.84	4.26
A1	Sample 1	2	2	21	1023370	59.84	4.50
A1	Sample 1	2	2	22	1062880	59.84	4.71
A1	Sample 1	2	2	23	1102370	59.84	4.83
A1	Sample 1	2	2	24	1141870	59.84	4.99
A1	Sample 1	2	2	25	1181360	59.84	5.12
A1	Sample 1	2	2	26	1220770	59.84	5.20
A1	Sample 1	2	2	27	1260260	59.84	5.28
A1	Sample 1	2	2	28	1299760	59.84	5.35
A1	Sample 1	2	2	29	1339160	59.84	5.42
A1	Sample 1	2	2	30	1378660	59.84	5.44
A1	Sample 1	2	2	31	1418160	59.84	5.51
A1	Sample 1	2	2	32	1457680	59.83	5.55
A1	Sample 1	2	2	33	1497150	59.83	5.61
A1	Sample 1	2	2	34	1536550	59.83	5.64
A1	Sample 1	2	2	35	1575950	59.83	5.66
A1	Sample 1	2	2	36	1615450	59.83	5.74
A1	Sample 1	2	2	37	1654960	59.83	5.73
A1	Sample 1	2	2	38	1694470	59.83	5.77
A1	Sample 1	2	2	39	1733960	59.83	5.77
A1	Sample 1	2	2	40	1773450	59.83	5.82
A1	Sample 1	2	2	41	1812870	59.83	5.81
A1	Sample 1	2	2	42	1852360	59.83	5.84
A1	Sample 1	2	2	43	1891850	59.83	5.87
A1	Sample 1	2	2	44	1931260	59.82	5.90
A1	Sample 1	2	2	45	1970750	59.82	5.90
A1	Sample 1	2	2	46	2010250	59.83	5.92
A1	Sample 1	2	2	47	2049750	59.83	5.94
A1	Sample 1	2	2	48	2089260	59.83	5.94
A1	Sample 1	2	2	49	2128750	59.83	5.97
A1	Sample 1	2	2	50	2168240	59.83	5.95
A1	Sample 1	3	1	1	2180180	59.92	6.02
A1	Sample 1	3	1	1	2181460	59.63	6.08
A1	Sample 1	3	1	1	2182750	59.6	6.07
A1	Sample 1	3	1	1	2184030	60.07	6.09
A1	Sample 1	3	1	1	2185300	60.41	6.02
A1	Sample 1	3	1	1	2186620	60.71	6.00
A1	Sample 1	3	1	1	2187920	60.96	5.98
A1	Sample 1	3	1	1	2189200	61.16	5.98
A1	Sample 1	3	1	1	2190500	61.43	5.96
A1	Sample 1	3	1	1	2191780	61.63	5.89
A1	Sample 1	3	1	1	2193080	61.86	5.88
A1	Sample 1	3	1	1	2194380	62.04	5.82
A1	Sample 1	3	1	1	2195680	62.28	5.83
A1	Sample 1	3	1	1	2196970	62.5	5.83
A1	Sample 1	3	1	1	2198250	62.71	5.79
A1	Sample 1	3	1	1	2199540	62.89	5.76
A1	Sample 1	3	1	1	2200830	63.12	5.76
A1	Sample 1	3	1	1	2202110	63.33	5.72
A1	Sample 1	3	1	1	2203410	63.52	5.70
A1	Sample 1	3	1	1	2204700	63.7	5.71
A1	Sample 1	3	1	1	2206000	63.92	5.66
A1	Sample 1	3	1	1	2207280	64.14	5.64
A1	Sample 1	3	1	1	2208560	64.35	5.60
A1	Sample 1	3	1	1	2209860	64.58	5.57
A1	Sample 1	3	1	1	2211170	64.74	5.60
A1	Sample 1	3	1	1	2212470	64.96	5.55
A1	Sample 1	3	1	1	2213760	65.19	5.54
A1	Sample 1	3	1	1	2215060	65.39	5.53
A1	Sample 1	3	1	1	2216370	65.6	5.49
A1	Sample 1	3	1	1	2217660	65.78	5.48
A1	Sample 1	3	1	1	2218950	66.02	5.46
A1	Sample 1	3	1	1	2220240	66.23	5.45
A1	Sample 1	3	1	1	2221520	66.43	5.41
A1	Sample 1	3	1	1	2222830	66.64	5.40
A1	Sample 1	3	1	1	2224120	66.81	5.39
A1	Sample 1	3	1	1	2225400	67.05	5.37
A1	Sample 1	3	1	1	2226670	67.25	5.35
A1	Sample 1	3	1	1	2227950	67.45	5.35
A1	Sample 1	3	1	1	2229250	67.67	5.32
A1	Sample 1	3	1	1	2230530	67.87	5.31
A1	Sample 1	3	1	1	2231810	68.08	5.30
A1	Sample 1	3	1	1	2233120	68.28	5.28
A1	Sample 1	3	1	1	2234400	68.47	5.28
A1	Sample 1	3	1	1	2235700	68.68	5.26
A1	Sample 1	3	1	1	2237000	68.88	5.23
A1	Sample 1	3	1	1	2238280	69.11	5.23
A1	Sample 1	3	1	1	2239590	69.29	5.23
A1	Sample 1	3	1	1	2240870	69.5	5.22
A1	Sample 1	3	1	1	2242170	69.71	5.21
A1	Sample 1	3	1	1	2243450	69.93	5.21
A1	Sample 1	3	1	1	2244740	70.13	5.18
A1	Sample 1	3	1	1	2246030	70.31	5.22
A1	Sample 1	3	1	1	2247310	70.53	5.21
A1	Sample 1	3	1	1	2248620	70.77	5.19
A1	Sample 1	3	1	1	2249900	70.94	5.20
A1	Sample 1	3	1	1	2251190	71.14	5.22
A1	Sample 1	3	1	1	2252470	71.38	5.19
A1	Sample 1	3	1	1	2253750	71.58	5.18
A1	Sample 1	3	1	1	2255050	71.79	5.16
A1	Sample 1	3	1	1	2256330	71.98	5.16
A1	Sample 1	3	1	1	2257630	72.18	5.13
A1	Sample 1	3	1	1	2258940	72.42	5.09
A1	Sample 1	3	1	1	2260230	72.61	5.07
A1	Sample 1	3	1	1	2261530	72.82	5.06
A1	Sample 1	3	1	1	2262830	73.02	5.05
A1	Sample 1	3	1	1	2264110	73.23	5.01
A1	Sample 1	3	1	1	2265400	73.41	4.97
A1	Sample 1	3	1	1	2266690	73.62	4.97
A1	Sample 1	3	1	1	2267970	73.82	4.93
A1	Sample 1	3	1	1	2269250	74.02	4.88
A1	Sample 1	3	1	1	2270550	74.25	4.83
A1	Sample 1	3	1	1	2271830	74.46	4.82
A1	Sample 1	3	1	1	2273130	74.65	4.78
A1	Sample 1	3	1	1	2274410	74.83	4.75
A1	Sample 1	3	1	1	2275710	75.08	4.70
A1	Sample 1	3	1	1	2276990	75.27	4.67
A1	Sample 1	3	1	1	2278270	75.48	4.64
A1	Sample 1	3	1	1	2279560	75.65	4.61
A1	Sample 1	3	1	1	2280840	75.9	4.58
A1	Sample 1	3	1	1	2282120	76.12	4.55
A1	Sample 1	3	1	1	2283410	76.32	4.52
A1	Sample 1	3	1	1	2284700	76.49	4.45
A1	Sample 1	3	1	1	2285990	76.69	4.44
A1	Sample 1	3	1	1	2287280	76.92	4.41
A1	Sample 1	3	1	1	2288560	77.13	4.36
A1	Sample 1	3	1	1	2289850	77.32	4.33
A1	Sample 1	3	1	1	2291150	77.55	4.30
A1	Sample 1	3	1	1	2292430	77.75	4.27
A1	Sample 1	3	1	1	2293710	77.94	4.21
A1	Sample 1	3	1	1	2295010	78.15	4.19
