Raw Data 		Experiment - JA_20200924-pSRO9-mCh-tTSA1mod_n2rep (Run on LCS480 1.5.0.39)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	483-533	
A1	Sample 1	2	2	1	233717	59.93	0.63
A1	Sample 1	2	2	2	272917	59.84	0.64
A1	Sample 1	2	2	3	312034	59.82	0.65
A1	Sample 1	2	2	4	351334	59.84	0.65
A1	Sample 1	2	2	5	390534	59.83	0.65
A1	Sample 1	2	2	6	429734	59.82	0.65
A1	Sample 1	2	2	7	468934	59.84	0.64
A1	Sample 1	2	2	8	508050	59.83	0.65
A1	Sample 1	2	2	9	547250	59.83	0.66
A1	Sample 1	2	2	10	586534	59.82	0.67
A1	Sample 1	2	2	11	625750	59.82	0.67
A1	Sample 1	2	2	12	665050	59.82	0.68
A1	Sample 1	2	2	13	704334	59.81	0.71
A1	Sample 1	2	2	14	743550	59.84	0.76
A1	Sample 1	2	2	15	782734	59.81	0.84
A1	Sample 1	2	2	16	821950	59.85	1.01
A1	Sample 1	2	2	17	861234	59.84	1.33
A1	Sample 1	2	2	18	900450	59.85	1.83
A1	Sample 1	2	2	19	939750	59.84	2.49
A1	Sample 1	2	2	20	979000	59.83	3.06
A1	Sample 1	2	2	21	1018217	59.83	3.57
A1	Sample 1	2	2	22	1057450	59.84	3.99
A1	Sample 1	2	2	23	1096717	59.84	4.32
A1	Sample 1	2	2	24	1135917	59.83	4.61
A1	Sample 1	2	2	25	1175134	59.84	4.78
A1	Sample 1	2	2	26	1214350	59.84	4.97
A1	Sample 1	2	2	27	1253617	59.84	5.10
A1	Sample 1	2	2	28	1292817	59.84	5.21
A1	Sample 1	2	2	29	1332017	59.84	5.30
A1	Sample 1	2	2	30	1371217	59.83	5.37
A1	Sample 1	2	2	31	1410417	59.84	5.45
A1	Sample 1	2	2	32	1449617	59.84	5.51
A1	Sample 1	2	2	33	1488800	59.84	5.57
A1	Sample 1	2	2	34	1527984	59.84	5.61
A1	Sample 1	2	2	35	1567217	59.84	5.66
A1	Sample 1	2	2	36	1606517	59.83	5.68
A1	Sample 1	2	2	37	1645834	59.84	5.72
A1	Sample 1	2	2	38	1685117	59.84	5.76
A1	Sample 1	2	2	39	1724317	59.83	5.81
A1	Sample 1	2	2	40	1763500	59.84	5.85
A1	Sample 1	3	1	1	1775667	59.92	5.96
A1	Sample 1	3	1	1	1777000	59.65	6.00
A1	Sample 1	3	1	1	1778300	59.62	6.02
A1	Sample 1	3	1	1	1779634	60.1	6.01
A1	Sample 1	3	1	1	1780984	60.44	5.99
A1	Sample 1	3	1	1	1782284	60.7	5.97
A1	Sample 1	3	1	1	1783634	60.95	5.95
A1	Sample 1	3	1	1	1784950	61.14	5.93
A1	Sample 1	3	1	1	1786250	61.4	5.92
A1	Sample 1	3	1	1	1787584	61.62	5.91
A1	Sample 1	3	1	1	1788934	61.81	5.91
A1	Sample 1	3	1	1	1790267	62.02	5.90
A1	Sample 1	3	1	1	1791601	62.21	5.90
A1	Sample 1	3	1	1	1792917	62.45	5.88
A1	Sample 1	3	1	1	1794217	62.64	5.87
A1	Sample 1	3	1	1	1795534	62.82	5.85
A1	Sample 1	3	1	1	1796834	63.02	5.86
A1	Sample 1	3	1	1	1798150	63.23	5.86
A1	Sample 1	3	1	1	1799484	63.42	5.84
A1	Sample 1	3	1	1	1800817	63.62	5.86
A1	Sample 1	3	1	1	1802134	63.83	5.86
A1	Sample 1	3	1	1	1803434	64.03	5.84
A1	Sample 1	3	1	1	1804750	64.19	5.86
A1	Sample 1	3	1	1	1806067	64.41	5.85
A1	Sample 1	3	1	1	1807400	64.62	5.86
A1	Sample 1	3	1	1	1808767	64.82	5.87
A1	Sample 1	3	1	1	1810067	65	5.87
A1	Sample 1	3	1	1	1811400	65.24	5.89
A1	Sample 1	3	1	1	1812717	65.45	5.91
A1	Sample 1	3	1	1	1814067	65.61	5.91
A1	Sample 1	3	1	1	1815400	65.8	5.91
A1	Sample 1	3	1	1	1816700	66.04	5.93
A1	Sample 1	3	1	1	1818000	66.22	5.95
A1	Sample 1	3	1	1	1819317	66.42	5.99
A1	Sample 1	3	1	1	1820634	66.6	6.01
A1	Sample 1	3	1	1	1821950	66.81	6.02
A1	Sample 1	3	1	1	1823284	67.02	6.06
A1	Sample 1	3	1	1	1824601	67.22	6.08
A1	Sample 1	3	1	1	1825934	67.4	6.11
A1	Sample 1	3	1	1	1827267	67.6	6.15
A1	Sample 1	3	1	1	1828567	67.81	6.17
A1	Sample 1	3	1	1	1829867	68.01	6.19
A1	Sample 1	3	1	1	1831217	68.21	6.18
A1	Sample 1	3	1	1	1832534	68.43	6.17
A1	Sample 1	3	1	1	1833834	68.58	6.17
A1	Sample 1	3	1	1	1835150	68.8	6.16
A1	Sample 1	3	1	1	1836467	69.01	6.13
A1	Sample 1	3	1	1	1837767	69.21	6.12
A1	Sample 1	3	1	1	1839134	69.38	6.11
A1	Sample 1	3	1	1	1840450	69.59	6.07
A1	Sample 1	3	1	1	1841734	69.79	6.04
A1	Sample 1	3	1	1	1843050	69.99	6.01
A1	Sample 1	3	1	1	1844384	70.17	5.96
A1	Sample 1	3	1	1	1845700	70.38	5.93
A1	Sample 1	3	1	1	1847050	70.6	5.89
A1	Sample 1	3	1	1	1848367	70.78	5.84
A1	Sample 1	3	1	1	1849700	71.01	5.81
A1	Sample 1	3	1	1	1851017	71.18	5.78
A1	Sample 1	3	1	1	1852317	71.38	5.73
A1	Sample 1	3	1	1	1853617	71.59	5.69
A1	Sample 1	3	1	1	1854950	71.78	5.64
A1	Sample 1	3	1	1	1856284	71.98	5.61
A1	Sample 1	3	1	1	1857617	72.16	5.58
A1	Sample 1	3	1	1	1858917	72.38	5.53
A1	Sample 1	3	1	1	1860250	72.6	5.49
A1	Sample 1	3	1	1	1861584	72.77	5.46
A1	Sample 1	3	1	1	1862900	72.97	5.43
A1	Sample 1	3	1	1	1864217	73.17	5.38
A1	Sample 1	3	1	1	1865517	73.38	5.34
A1	Sample 1	3	1	1	1866800	73.57	5.30
A1	Sample 1	3	1	1	1868117	73.78	5.26
A1	Sample 1	3	1	1	1869434	73.95	5.24
A1	Sample 1	3	1	1	1870784	74.18	5.18
A1	Sample 1	3	1	1	1872117	74.38	5.16
A1	Sample 1	3	1	1	1873417	74.58	5.11
A1	Sample 1	3	1	1	1874734	74.75	5.09
A1	Sample 1	3	1	1	1876050	74.95	5.06
A1	Sample 1	3	1	1	1877367	75.15	5.01
A1	Sample 1	3	1	1	1878667	75.35	4.98
A1	Sample 1	3	1	1	1879984	75.53	4.94
A1	Sample 1	3	1	1	1881300	75.76	4.91
A1	Sample 1	3	1	1	1882634	75.96	4.86
A1	Sample 1	3	1	1	1883934	76.16	4.82
A1	Sample 1	3	1	1	1885250	76.34	4.78
A1	Sample 1	3	1	1	1886617	76.56	4.76
A1	Sample 1	3	1	1	1887934	76.74	4.70
A1	Sample 1	3	1	1	1889250	76.97	4.67
A1	Sample 1	3	1	1	1890550	77.16	4.63
A1	Sample 1	3	1	1	1891867	77.34	4.60
A1	Sample 1	3	1	1	1893184	77.52	4.55
A1	Sample 1	3	1	1	1894517	77.77	4.52
A1	Sample 1	3	1	1	1895850	77.94	4.46
A1	Sample 1	3	1	1	1897167	78.15	4.45
A1	Sample 1	3	1	1	1898500	78.34	4.40
A1	Sample 1	3	1	1	1899817	78.55	4.37
A1	Sample 1	3	1	1	1901134	78.75	4.33
A1	Sample 1	3	1	1	1902517	78.98	4.28
A1	Sample 1	3	1	1	1903850	79.15	4.24
A1	Sample 1	3	1	1	1905150	79.34	4.22
A1	Sample 1	3	1	1	1906434	79.53	4.18
A1	Sample 1	3	1	1	1907750	79.74	4.15
A1	Sample 1	3	1	1	1909084	79.94	4.12
A1	Sample 1	3	1	1	1910400	80.13	4.07
A1	Sample 1	3	1	1	1911734	80.34	4.01
A1	Sample 1	3	1	1	1913050	80.54	3.98
A1	Sample 1	3	1	1	1914350	80.75	3.95
A1	Sample 1	3	1	1	1915650	80.92	3.90
A1	Sample 1	3	1	1	1916934	81.1	3.86
A1	Sample 1	3	1	1	1918300	81.32	3.81
A1	Sample 1	3	1	1	1919634	81.54	3.78
A1	Sample 1	3	1	1	1920950	81.74	3.73
A1	Sample 1	3	1	1	1922284	81.94	3.68
A1	Sample 1	3	1	1	1923601	82.14	3.62
A1	Sample 1	3	1	1	1924934	82.33	3.57
A1	Sample 1	3	1	1	1926267	82.55	3.51
A1	Sample 1	3	1	1	1927584	82.72	3.45
A1	Sample 1	3	1	1	1928917	82.94	3.39
A1	Sample 1	3	1	1	1930250	83.13	3.30
A1	Sample 1	3	1	1	1931550	83.34	3.19
A1	Sample 1	3	1	1	1932900	83.52	3.05
A1	Sample 1	3	1	1	1934234	83.72	2.85
A1	Sample 1	3	1	1	1935550	83.93	2.59
A1	Sample 1	3	1	1	1936850	84.14	2.24
A1	Sample 1	3	1	1	1938184	84.31	1.82
A1	Sample 1	3	1	1	1939500	84.52	1.43
A1	Sample 1	3	1	1	1940834	84.7	1.07
A1	Sample 1	3	1	1	1942184	84.92	0.78
A1	Sample 1	3	1	1	1943484	85.11	0.59
A1	Sample 1	3	1	1	1944817	85.31	0.47
A1	Sample 1	3	1	1	1946150	85.52	0.39
A1	Sample 1	3	1	1	1947484	85.7	0.34
A1	Sample 1	3	1	1	1948817	85.94	0.31
A1	Sample 1	3	1	1	1950134	86.14	0.29
A1	Sample 1	3	1	1	1951450	86.33	0.28
A1	Sample 1	3	1	1	1952767	86.5	0.27
A1	Sample 1	3	1	1	1954067	86.72	0.26
A1	Sample 1	3	1	1	1955400	86.93	0.26
A1	Sample 1	3	1	1	1956750	87.13	0.25
A1	Sample 1	3	1	1	1958050	87.31	0.25
A1	Sample 1	3	1	1	1959384	87.5	0.25
A1	Sample 1	3	1	1	1960734	87.73	0.25
A1	Sample 1	3	1	1	1962067	87.94	0.24
A1	Sample 1	3	1	1	1963384	88.13	0.25
A1	Sample 1	3	1	1	1964700	88.3	0.24
A1	Sample 1	3	1	1	1966000	88.52	0.24
A1	Sample 1	3	1	1	1967317	88.74	0.24
A1	Sample 1	3	1	1	1968634	88.92	0.25
A1	Sample 1	3	1	1	1969950	89.1	0.25
A1	Sample 1	3	1	1	1971267	89.31	0.25
A1	Sample 1	3	1	1	1972584	89.49	0.25
A1	Sample 1	3	1	1	1973917	89.72	0.24
A1	Sample 1	3	1	1	1975234	89.92	0.24
A1	Sample 1	3	1	1	1976550	90.1	0.24
A1	Sample 1	3	1	1	1977884	90.3	0.24
A1	Sample 1	3	1	1	1979234	90.5	0.24
A1	Sample 1	3	1	1	1980534	90.7	0.24
A1	Sample 1	3	1	1	1981850	90.9	0.24
A1	Sample 1	3	1	1	1983167	91.1	0.24
A1	Sample 1	3	1	1	1984500	91.28	0.24
A1	Sample 1	3	1	1	1985850	91.5	0.24
A1	Sample 1	3	1	1	1987184	91.69	0.23
A1	Sample 1	3	1	1	1988534	91.94	0.24
A1	Sample 1	3	1	1	1989867	92.09	0.23
A1	Sample 1	3	1	1	1991200	92.29	0.23
A1	Sample 1	3	1	1	1992500	92.53	0.24
A1	Sample 1	3	1	1	1993817	92.69	0.23
A1	Sample 1	3	1	1	1995117	92.92	0.23
A1	Sample 1	3	1	1	1996450	93.1	0.24
A1	Sample 1	3	1	1	1997750	93.3	0.23
A1	Sample 1	3	1	1	1999067	93.51	0.23
A1	Sample 1	3	1	1	2000434	93.71	0.24
A1	Sample 1	3	1	1	2001750	93.9	0.23
A1	Sample 1	3	1	1	2003050	94.09	0.23
A1	Sample 1	3	1	1	2004384	94.28	0.23
A1	Sample 1	3	1	1	2005717	94.51	0.23
A1	Sample 1	3	1	1	2007050	94.7	0.23
A2	Sample 2	2	2	1	233717	59.93	0.67
A2	Sample 2	2	2	2	272917	59.84	0.67
A2	Sample 2	2	2	3	312034	59.82	0.68
A2	Sample 2	2	2	4	351334	59.84	0.68
A2	Sample 2	2	2	5	390534	59.83	0.68
A2	Sample 2	2	2	6	429734	59.82	0.67
A2	Sample 2	2	2	7	468934	59.84	0.67
A2	Sample 2	2	2	8	508050	59.83	0.68
A2	Sample 2	2	2	9	547250	59.83	0.68
A2	Sample 2	2	2	10	586534	59.82	0.69
A2	Sample 2	2	2	11	625750	59.82	0.69
A2	Sample 2	2	2	12	665050	59.82	0.71
A2	Sample 2	2	2	13	704334	59.81	0.74
A2	Sample 2	2	2	14	743550	59.84	0.79
A2	Sample 2	2	2	15	782734	59.81	0.90
A2	Sample 2	2	2	16	821950	59.85	1.11
A2	Sample 2	2	2	17	861234	59.84	1.48
A2	Sample 2	2	2	18	900450	59.85	2.11
A2	Sample 2	2	2	19	939750	59.84	3.00
A2	Sample 2	2	2	20	979000	59.83	3.84
A2	Sample 2	2	2	21	1018217	59.83	4.56
A2	Sample 2	2	2	22	1057450	59.84	5.18
A2	Sample 2	2	2	23	1096717	59.84	5.67
A2	Sample 2	2	2	24	1135917	59.83	6.04
A2	Sample 2	2	2	25	1175134	59.84	6.32
A2	Sample 2	2	2	26	1214350	59.84	6.56
