Experiment: JA_2020-07-31-pTSA1-mCh-tTSA1_mod-n1  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Group	Score	Res	Status
True	3200768	A1	Sample 1	3	0.99	0.95	
True	3200768	A2	Sample 2	3	0.97	0.92	
True	3200768	A3	Sample 3	3	0.96	0.92	
True	3200768	A4	Sample 4	3	0.94	0.87	
True	3200768	A5	Sample 5	3	0.98	0.93	
True	3200768	A6	Sample 6	3	0.98	0.93	
True	3200768	A7	Sample 7	3	0.97	0.92	
True	3200768	A8	Sample 8	3	0.93	0.89	
True	3200768	A9	Sample 9	3	0.99	0.94	
True	3200768	A10	Sample 10	3	0.99	0.93	
True	3200768	A11	Sample 11	3	0.93	0.85	
True	3200768	A12	Sample 12	3	0.96	0.9	
True	3200768	A13	Sample 13	3	0.96	0.93	
True	3200768	A14	Sample 14	3	0.97	0.91	
True	3200768	A15	Sample 15	3	0.96	0.93	
True	3200768	A16	Sample 16	3	0.98	0.93	
True	3200768	A17	Sample 17	3	0.97	0.91	
True	3200768	A18	Sample 18	3	0.98	0.93	
True	3200768	A19	Sample 19	3	0.98	0.93	
True	3200768	A20	Sample 20	3	0.97	0.89	
True	3200768	A21	Sample 21	3	0.98	0.93	
True	151	A22	Sample 22	Unknown	0.45	0.28	
True	151	A23	Sample 23	Unknown	0.46	0.33	
True	151	A24	Sample 24	Unknown	0.39	0.22	
True	255	B1	Sample 25	2	0.91	0.9	
True	255	B2	Sample 26	2	0.99	0.97	
True	255	B3	Sample 27	2	0.99	0.97	
True	255	B4	Sample 28	2	0.99	0.98	
True	255	B5	Sample 29	2	0.99	0.98	
True	255	B6	Sample 30	2	0.99	0.97	
True	255	B7	Sample 31	2	0.98	0.97	
True	255	B8	Sample 32	2	0.97	0.95	
True	255	B9	Sample 33	2	0.99	0.97	
True	255	B10	Sample 34	2	0.98	0.96	
True	255	B11	Sample 35	2	0.99	0.97	
True	255	B12	Sample 36	2	0.98	0.96	
True	255	B13	Sample 37	2	0.99	0.97	
True	255	B14	Sample 38	2	0.99	0.97	
True	255	B15	Sample 39	2	0.94	0.91	
True	255	B16	Sample 40	2	0.99	0.97	
True	255	B17	Sample 41	2	0.99	0.97	
True	255	B18	Sample 42	2	0.99	0.97	
True	255	B19	Sample 43	2	0.99	0.97	
True	255	B20	Sample 44	2	0.99	0.97	
True	255	B21	Sample 45	2	0.98	0.96	
True	255	B22	Sample 46	2	0.99	0.97	
True	255	B23	Sample 47	2	0.97	0.95	
True	255	B24	Sample 48	2	0.97	0.95	
True	16744448	C1	Sample 49	1	0.98	0.74	
True	16744448	C2	Sample 50	1	0.99	0.76	
True	16744448	C3	Sample 51	1	0.99	0.7	
True	16744448	C4	Sample 52	1	0.99	0.72	
True	16744448	C5	Sample 53	1	0.98	0.75	
True	16744448	C6	Sample 54	1	0.97	0.74	
True	16744448	C7	Sample 55	1	0.95	0.76	
True	16744448	C8	Sample 56	1	0.97	0.78	
True	16744448	C9	Sample 57	1	0.94	0.79	
True	16744448	C10	Sample 58	1	0.94	0.78	
True	16744448	C11	Sample 59	1	0.94	0.77	
True	16744448	C12	Sample 60	1	0.98	0.7	
True	16744448	C13	Sample 61	1	0.97	0.75	
True	16744448	C14	Sample 62	1	0.97	0.69	
True	16744448	C15	Sample 63	1	0.95	0.78	
True	16744448	C16	Sample 64	1	0.98	0.78	
True	16744448	C17	Sample 65	1	0.97	0.78	
True	16744448	C18	Sample 66	1	0.97	0.77	
True	16744448	C19	Sample 67	1	0.98	0.78	
True	16744448	C20	Sample 68	1	0.98	0.76	
True	16744448	C21	Sample 69	1	0.96	0.76	
True	16744448	C22	Sample 70	1	0.98	0.78	
True	16744448	C23	Sample 71	1	0.91	0.77	
True	16744448	C24	Sample 72	1	0.96	0.75	
True	16744448	D1	Sample 73	1	0.96	0.62	
True	16744448	D2	Sample 74	1	0.95	0.54	
True	16744448	D3	Sample 75	1	0.96	0.61	
True	16744448	D4	Sample 76	1	0.96	0.6	
True	16744448	D5	Sample 77	1	0.96	0.57	
True	16744448	D6	Sample 78	1	0.96	0.59	
True	16744448	D7	Sample 79	1	0.98	0.68	
True	16744448	D8	Sample 80	1	0.96	0.61	
True	16744448	D9	Sample 81	1	0.96	0.61	
True	16744448	D10	Sample 82	1	0.96	0.6	
True	16744448	D11	Sample 83	1	0.97	0.59	
True	16744448	D12	Sample 84	1	0.97	0.62	
True	16744448	D13	Sample 85	1	0.96	0.6	
True	16744448	D14	Sample 86	1	0.93	0.52	
True	16744448	D15	Sample 87	1	0.97	0.64	
