Raw Data 		Experiment - JA_2020-12-12-pro-ter_pRPS3-pPGK1-n1 (Run on LCS480 1.5.0.39)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	483-533	
A1	Sample 1	2	2	1	232666	59.93	0.56
A1	Sample 1	2	2	2	271950	59.83	0.54
A1	Sample 1	2	2	3	311100	59.82	0.55
A1	Sample 1	2	2	4	349983	59.81	0.55
A1	Sample 1	2	2	5	389066	59.83	0.56
A1	Sample 1	2	2	6	428166	59.83	0.56
A1	Sample 1	2	2	7	467350	59.82	0.57
A1	Sample 1	2	2	8	506466	59.82	0.58
A1	Sample 1	2	2	9	545666	59.85	0.61
A1	Sample 1	2	2	10	584866	59.84	0.66
A1	Sample 1	2	2	11	624033	59.81	0.74
A1	Sample 1	2	2	12	663266	59.84	0.91
A1	Sample 1	2	2	13	702450	59.85	1.22
A1	Sample 1	2	2	14	741683	59.84	1.80
A1	Sample 1	2	2	15	780866	59.85	2.64
A1	Sample 1	2	2	16	820066	59.85	3.54
A1	Sample 1	2	2	17	859233	59.85	4.30
A1	Sample 1	2	2	18	898433	59.85	4.99
A1	Sample 1	2	2	19	937666	59.84	5.53
A1	Sample 1	2	2	20	976866	59.84	5.97
A1	Sample 1	2	2	21	1016066	59.85	6.28
A1	Sample 1	2	2	22	1055250	59.85	6.53
A1	Sample 1	2	2	23	1094450	59.85	6.71
A1	Sample 1	2	2	24	1133650	59.85	6.87
A1	Sample 1	2	2	25	1172816	59.84	6.97
A1	Sample 1	2	2	26	1212016	59.84	7.13
A1	Sample 1	2	2	27	1251150	59.84	7.18
A1	Sample 1	2	2	28	1290333	59.84	7.28
A1	Sample 1	2	2	29	1329566	59.84	7.37
A1	Sample 1	2	2	30	1368750	59.84	7.42
A1	Sample 1	2	2	31	1407933	59.84	7.47
A1	Sample 1	2	2	32	1447116	59.83	7.50
A1	Sample 1	2	2	33	1486216	59.84	7.55
A1	Sample 1	2	2	34	1525416	59.84	7.58
A1	Sample 1	2	2	35	1564600	59.84	7.62
A1	Sample 1	2	2	36	1603733	59.84	7.62
A1	Sample 1	2	2	37	1642933	59.84	7.64
A1	Sample 1	2	2	38	1682116	59.84	7.66
A1	Sample 1	2	2	39	1721316	59.83	7.69
A1	Sample 1	2	2	40	1760516	59.84	7.72
A1	Sample 1	3	1	1	1776150	59.94	7.92
A1	Sample 1	3	1	1	1777500	59.67	7.94
A1	Sample 1	3	1	1	1778800	59.67	7.98
A1	Sample 1	3	1	1	1780133	60.12	7.97
A1	Sample 1	3	1	1	1781450	60.46	7.93
A1	Sample 1	3	1	1	1782783	60.71	7.90
A1	Sample 1	3	1	1	1784100	60.94	7.87
A1	Sample 1	3	1	1	1785433	61.16	7.85
A1	Sample 1	3	1	1	1786733	61.42	7.83
A1	Sample 1	3	1	1	1788066	61.6	7.80
A1	Sample 1	3	1	1	1789400	61.82	7.81
A1	Sample 1	3	1	1	1790716	62	7.79
A1	Sample 1	3	1	1	1792016	62.23	7.76
A1	Sample 1	3	1	1	1793383	62.44	7.71
A1	Sample 1	3	1	1	1794700	62.65	7.72
A1	Sample 1	3	1	1	1796000	62.83	7.70
A1	Sample 1	3	1	1	1797316	63.03	7.69
A1	Sample 1	3	1	1	1798633	63.24	7.68
A1	Sample 1	3	1	1	1799966	63.46	7.66
A1	Sample 1	3	1	1	1801283	63.64	7.63
A1	Sample 1	3	1	1	1802600	63.82	7.62
A1	Sample 1	3	1	1	1803933	64.04	7.61
A1	Sample 1	3	1	1	1805233	64.23	7.62
A1	Sample 1	3	1	1	1806566	64.45	7.61
A1	Sample 1	3	1	1	1807866	64.64	7.58
A1	Sample 1	3	1	1	1809216	64.81	7.59
A1	Sample 1	3	1	1	1810533	65.02	7.57
A1	Sample 1	3	1	1	1811850	65.23	7.58
A1	Sample 1	3	1	1	1813133	65.43	7.59
A1	Sample 1	3	1	1	1814450	65.62	7.58
A1	Sample 1	3	1	1	1815783	65.81	7.59
A1	Sample 1	3	1	1	1817150	66.04	7.57
A1	Sample 1	3	1	1	1818450	66.24	7.57
A1	Sample 1	3	1	1	1819800	66.42	7.58
A1	Sample 1	3	1	1	1821100	66.62	7.62
A1	Sample 1	3	1	1	1822433	66.82	7.61
A1	Sample 1	3	1	1	1823716	67.04	7.62
A1	Sample 1	3	1	1	1825016	67.23	7.62
A1	Sample 1	3	1	1	1826383	67.41	7.61
A1	Sample 1	3	1	1	1827716	67.61	7.63
A1	Sample 1	3	1	1	1829016	67.83	7.62
A1	Sample 1	3	1	1	1830383	68.03	7.59
A1	Sample 1	3	1	1	1831733	68.23	7.56
A1	Sample 1	3	1	1	1833066	68.44	7.52
A1	Sample 1	3	1	1	1834400	68.62	7.50
A1	Sample 1	3	1	1	1835716	68.81	7.48
A1	Sample 1	3	1	1	1837050	69.04	7.45
A1	Sample 1	3	1	1	1838383	69.22	7.42
A1	Sample 1	3	1	1	1839716	69.41	7.37
A1	Sample 1	3	1	1	1841066	69.64	7.32
A1	Sample 1	3	1	1	1842350	69.84	7.28
A1	Sample 1	3	1	1	1843683	70.04	7.26
A1	Sample 1	3	1	1	1845000	70.21	7.21
A1	Sample 1	3	1	1	1846300	70.39	7.15
A1	Sample 1	3	1	1	1847617	70.64	7.11
A1	Sample 1	3	1	1	1848933	70.82	7.05
A1	Sample 1	3	1	1	1850300	71.02	7.00
A1	Sample 1	3	1	1	1851617	71.19	6.98
A1	Sample 1	3	1	1	1852916	71.39	6.92
A1	Sample 1	3	1	1	1854250	71.62	6.87
A1	Sample 1	3	1	1	1855583	71.83	6.82
A1	Sample 1	3	1	1	1856883	72	6.76
A1	Sample 1	3	1	1	1858183	72.18	6.72
A1	Sample 1	3	1	1	1859516	72.4	6.68
A1	Sample 1	3	1	1	1860833	72.64	6.65
A1	Sample 1	3	1	1	1862166	72.81	6.59
A1	Sample 1	3	1	1	1863516	73.01	6.55
A1	Sample 1	3	1	1	1864866	73.21	6.50
A1	Sample 1	3	1	1	1866183	73.42	6.46
A1	Sample 1	3	1	1	1867500	73.61	6.39
A1	Sample 1	3	1	1	1868816	73.82	6.35
A1	Sample 1	3	1	1	1870150	74.02	6.31
A1	Sample 1	3	1	1	1871516	74.21	6.26
A1	Sample 1	3	1	1	1872816	74.43	6.21
A1	Sample 1	3	1	1	1874150	74.6	6.16
A1	Sample 1	3	1	1	1875450	74.82	6.13
A1	Sample 1	3	1	1	1876750	74.99	6.07
A1	Sample 1	3	1	1	1878116	75.23	6.03
A1	Sample 1	3	1	1	1879433	75.43	5.99
A1	Sample 1	3	1	1	1880750	75.6	5.94
A1	Sample 1	3	1	1	1882050	75.8	5.90
A1	Sample 1	3	1	1	1883366	76.01	5.84
A1	Sample 1	3	1	1	1884683	76.2	5.80
A1	Sample 1	3	1	1	1886000	76.38	5.77
A1	Sample 1	3	1	1	1887333	76.61	5.71
A1	Sample 1	3	1	1	1888666	76.8	5.68
A1	Sample 1	3	1	1	1889950	77.01	5.62
A1	Sample 1	3	1	1	1891250	77.2	5.58
A1	Sample 1	3	1	1	1892533	77.39	5.53
A1	Sample 1	3	1	1	1893850	77.56	5.49
A1	Sample 1	3	1	1	1895183	77.79	5.44
A1	Sample 1	3	1	1	1896516	77.99	5.41
A1	Sample 1	3	1	1	1897833	78.2	5.35
A1	Sample 1	3	1	1	1899150	78.39	5.30
A1	Sample 1	3	1	1	1900483	78.6	5.26
A1	Sample 1	3	1	1	1901800	78.77	5.20
A1	Sample 1	3	1	1	1903166	79.01	5.16
A1	Sample 1	3	1	1	1904500	79.17	5.12
A1	Sample 1	3	1	1	1905816	79.38	5.07
A1	Sample 1	3	1	1	1907150	79.61	5.04
