Experiment: JA_2020-12-13-pro-ter_pSRO9-n1-n2  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	13.70		0	
True	255	A2	Sample 2	14.41		0	
True	255	A3	Sample 3	13.40		0	
True	255	A4	Sample 4	13.47		0	
True	255	A5	Sample 5	14.49		0	
True	255	A6	Sample 6	14.61		0	
True	255	A7	Sample 7	14.26		0	
True	255	A8	Sample 8	15.64		0	
True	255	A9	Sample 9	15.30		0	
True	255	A10	Sample 10	13.35		0	
True	255	A11	Sample 11	14.80		0	
True	255	A12	Sample 12	13.98		0	
True	255	A13	Sample 13	16.37		0	
True	255	A14	Sample 14	15.51		0	
True	255	A15	Sample 15	14.45		0	
True	255	A16	Sample 16	14.96		0	
True	255	A17	Sample 17	14.94		0	
True	255	A18	Sample 18	15.68		0	
True	255	A19	Sample 19	16.98		0	
True	255	A20	Sample 20	16.38		0	
True	65280	A21	Sample 21			0	
True	65280	A22	Sample 22			0	
True	65280	A23	Sample 23			0	
True	65280	A24	Sample 24			0	
True	255	B1	Sample 25	10.36		0	
True	255	B2	Sample 26	10.42		0	
True	255	B3	Sample 27	10.33		0	
True	255	B4	Sample 28	  9.80		0	
True	255	B5	Sample 29	10.41		0	
True	255	B6	Sample 30	10.20		0	
True	255	B7	Sample 31	10.37		0	
True	255	B8	Sample 32	10.52		0	
True	255	B9	Sample 33	10.55		0	
True	255	B10	Sample 34	  9.72		0	
True	255	B11	Sample 35	11.72		0	
True	255	B12	Sample 36	10.78		0	
True	255	B13	Sample 37	11.85		0	
True	255	B14	Sample 38	10.80		0	
True	255	B15	Sample 39	11.80		0	
True	255	B16	Sample 40	11.27		0	
True	255	B17	Sample 41	11.58		0	
True	255	B18	Sample 42	11.59		0	
True	255	B19	Sample 43	12.41		0	
True	255	B20	Sample 44	11.36		0	
True	65280	B21	Sample 45			0	
True	65280	B22	Sample 46			0	
True	65280	B23	Sample 47			0	
True	65280	B24	Sample 48			0	
True	255	C1	Sample 49	10.66		0	
True	255	C2	Sample 50	10.37		0	
True	255	C3	Sample 51	  9.93		0	
True	255	C4	Sample 52	  9.69		0	
True	255	C5	Sample 53	10.54		0	
True	255	C6	Sample 54	10.43		0	
True	255	C7	Sample 55	  9.97		0	
True	255	C8	Sample 56	10.38		0	
True	255	C9	Sample 57	  9.83		0	
True	255	C10	Sample 58	  9.36		0	
True	255	C11	Sample 59	13.18		0	
True	255	C12	Sample 60	11.89		0	
True	255	C13	Sample 61	12.72		0	
True	255	C14	Sample 62	12.81		0	
True	255	C15	Sample 63	12.91		0	
True	255	C16	Sample 64	12.40		0	
True	255	C17	Sample 65	11.87		0	
True	255	C18	Sample 66	12.64		0	
True	255	C19	Sample 67	12.74		0	
True	255	C20	Sample 68	12.44		0	
True	65280	C21	Sample 69			0	
True	65280	C22	Sample 70			0	
True	65280	C23	Sample 71			0	
True	65280	C24	Sample 72			0	
True	255	D1	Sample 73	  9.69		0	
True	255	D2	Sample 74	  8.88		0	
True	255	D3	Sample 75	  8.88		0	
True	255	D4	Sample 76	  8.84		0	
True	255	D5	Sample 77	  9.58		0	
True	255	D6	Sample 78	  9.32		0	
True	255	D7	Sample 79	  8.93		0	
True	255	D8	Sample 80	  8.90		0	
True	255	D9	Sample 81	  9.18		0	
True	255	D10	Sample 82	  8.50		0	
True	255	D11	Sample 83	10.71		0	
True	255	D12	Sample 84	10.50		0	
True	255	D13	Sample 85	10.48		0	
True	255	D14	Sample 86	  9.71		0	
True	255	D15	Sample 87	10.72		0	
True	255	D16	Sample 88	10.42		0	
True	255	D17	Sample 89	  9.85		0	
True	255	D18	Sample 90	  9.98		0	
True	255	D19	Sample 91	  9.63		0	
True	255	D20	Sample 92	10.27		0	
True	65280	D21	Sample 93			0	
True	65280	D22	Sample 94			0	
True	65280	D23	Sample 95			0	
True	65280	D24	Sample 96			0	
True	255	E1	Sample 97	13.46		0	
True	255	E2	Sample 98	13.54		0	
True	255	E3	Sample 99	13.43		0	
True	255	E4	Sample 100	12.90		0	
True	255	E5	Sample 101	14.45		0	
True	255	E6	Sample 102	13.53		0	
True	255	E7	Sample 103	14.57		0	
True	255	E8	Sample 104	14.50		0	
True	255	E9	Sample 105	14.76		0	
True	255	E10	Sample 106	13.00		0	
True	255	E11	Sample 107	14.83		0	
True	255	E12	Sample 108	13.93		0	
True	255	E13	Sample 109	15.65		0	
True	255	E14	Sample 110	14.53		0	
True	255	E15	Sample 111	14.74		0	
True	255	E16	Sample 112	15.42		0	
True	255	E17	Sample 113	14.74		0	
True	255	E18	Sample 114	15.77		0	
True	255	E19	Sample 115	17.40		0	
True	255	E20	Sample 116	15.53		0	
True	65280	E21	Sample 117			0	
True	65280	E22	Sample 118			0	
True	65280	E23	Sample 119			0	
True	65280	E24	Sample 120			0	
True	255	F1	Sample 121	10.39		0	
True	255	F2	Sample 122	10.07		0	
True	255	F3	Sample 123	  9.73		0	
True	255	F4	Sample 124	  9.70		0	
True	255	F5	Sample 125	10.58		0	
True	255	F6	Sample 126	  9.87		0	
True	255	F7	Sample 127	10.33		0	
True	255	F8	Sample 128	10.55		0	
True	255	F9	Sample 129	10.41		0	
True	255	F10	Sample 130	  9.54		0	
True	255	F11	Sample 131	11.65		0	
True	255	F12	Sample 132	10.80		0	
True	255	F13	Sample 133	11.91		0	
True	255	F14	Sample 134	11.33		0	
True	255	F15	Sample 135	11.63		0	
True	255	F16	Sample 136	10.76		0	
True	255	F17	Sample 137	10.92		0	
True	255	F18	Sample 138	11.00		0	
True	255	F19	Sample 139	12.49		0	
True	255	F20	Sample 140	11.31		0	
True	65280	F21	Sample 141			0	
True	65280	F22	Sample 142			0	
True	65280	F23	Sample 143			0	
True	65280	F24	Sample 144			0	
True	255	G1	Sample 145	10.65		0	
True	255	G2	Sample 146	10.46		0	
True	255	G3	Sample 147	  9.80		0	
True	255	G4	Sample 148	  9.78		0	
True	255	G5	Sample 149	10.55		0	
True	255	G6	Sample 150	10.34		0	
True	255	G7	Sample 151	  9.94		0	
True	255	G8	Sample 152	  9.97		0	
True	255	G9	Sample 153	10.20		0	
True	255	G10	Sample 154	  9.57		0	
True	255	G11	Sample 155	12.95		0	
True	255	G12	Sample 156	11.83		0	
True	255	G13	Sample 157	12.51		0	
True	255	G14	Sample 158	12.77		0	
True	255	G15	Sample 159	12.66		0	
True	255	G16	Sample 160	11.83		0	
True	255	G17	Sample 161	12.36		0	
True	255	G18	Sample 162	12.28		0	
True	255	G19	Sample 163	12.67		0	
True	255	G20	Sample 164	12.28		0	
True	65280	G21	Sample 165			0	
True	65280	G22	Sample 166			0	
True	65280	G23	Sample 167			0	
True	65280	G24	Sample 168			0	
True	255	H1	Sample 169	  9.76		0	
True	255	H2	Sample 170	  8.90		0	
True	255	H3	Sample 171	  8.84		0	
True	255	H4	Sample 172	  8.77		0	
True	255	H5	Sample 173	  9.54		0	
True	255	H6	Sample 174	  9.31		0	
True	255	H7	Sample 175	  8.88		0	
True	255	H8	Sample 176	  9.33		0	
True	255	H9	Sample 177	  9.25		0	
True	255	H10	Sample 178	  7.97		0	
True	255	H11	Sample 179	10.97		0	
True	255	H12	Sample 180	10.70		0	
True	255	H13	Sample 181	10.60		0	
True	255	H14	Sample 182	  9.68		0	
True	255	H15	Sample 183	10.63		0	
True	255	H16	Sample 184	10.32		0	
True	255	H17	Sample 185	  9.70		0	
True	255	H18	Sample 186	10.29		0	
True	255	H19	Sample 187	  9.56		0	
True	255	H20	Sample 188	10.32		0	
True	65280	H21	Sample 189			0	
True	65280	H22	Sample 190			0	
True	65280	H23	Sample 191			0	
True	65280	H24	Sample 192			0	
True	255	I1	Sample 193	13.85		0	
True	255	I2	Sample 194	13.62		0	
True	255	I3	Sample 195	13.75		0	
True	255	I4	Sample 196	13.47		0	
True	255	I5	Sample 197	13.99		0	
True	255	I6	Sample 198	14.22		0	
True	255	I7	Sample 199	14.48		0	
True	255	I8	Sample 200	14.46		0	
True	255	I9	Sample 201	15.71		0	
True	255	I10	Sample 202	13.67		0	
True	255	I11	Sample 203	14.82		0	
True	255	I12	Sample 204	14.50		0	
True	255	I13	Sample 205	15.76		0	
True	255	I14	Sample 206	15.13		0	
True	255	I15	Sample 207	15.26		0	
True	255	I16	Sample 208	14.64		0	
True	255	I17	Sample 209	14.99		0	
True	255	I18	Sample 210	15.83		0	
True	255	I19	Sample 211	17.47		0	
True	255	I20	Sample 212	15.74		0	
True	65280	I21	Sample 213			0	
True	65280	I22	Sample 214			0	
True	65280	I23	Sample 215			0	
True	65280	I24	Sample 216			0	
True	255	J1	Sample 217	10.31		0	
True	255	J2	Sample 218	  9.96		0	
True	255	J3	Sample 219	  9.61		0	
True	255	J4	Sample 220	  9.62		0	
True	255	J5	Sample 221	10.35		0	
True	255	J6	Sample 222	  9.80		0	
True	255	J7	Sample 223	10.30		0	
True	255	J8	Sample 224	10.39		0	
True	255	J9	Sample 225	10.46		0	
True	255	J10	Sample 226	  9.46		0	
True	255	J11	Sample 227	12.44		0	
True	255	J12	Sample 228	11.15		0	
True	255	J13	Sample 229	12.33		0	
True	255	J14	Sample 230	11.52		0	
True	255	J15	Sample 231	11.76		0	
True	255	J16	Sample 232	10.59		0	
True	255	J17	Sample 233	11.46		0	
True	255	J18	Sample 234	11.59		0	
True	255	J19	Sample 235	12.66		0	
True	255	J20	Sample 236	11.39		0	
True	65280	J21	Sample 237			0	
True	65280	J22	Sample 238			0	
True	65280	J23	Sample 239			0	
True	65280	J24	Sample 240			0	
True	255	K1	Sample 241	11.27		0	
True	255	K2	Sample 242	10.55		0	
True	255	K3	Sample 243	  9.85		0	
True	255	K4	Sample 244	  9.93		0	
True	255	K5	Sample 245	10.80		0	
True	255	K6	Sample 246	  9.96		0	
True	255	K7	Sample 247	  9.85		0	
True	255	K8	Sample 248	10.50		0	
True	255	K9	Sample 249	10.31		0	
True	255	K10	Sample 250	  9.51		0	
True	255	K11	Sample 251	13.44		0	
True	255	K12	Sample 252	12.48		0	
True	255	K13	Sample 253	12.65		0	
True	255	K14	Sample 254	13.28		0	
True	255	K15	Sample 255	12.67		0	
True	255	K16	Sample 256	11.91		0	
True	255	K17	Sample 257	12.39		0	
True	255	K18	Sample 258	12.41		0	
True	255	K19	Sample 259	12.78		0	
True	255	K20	Sample 260	12.63		0	
True	65280	K21	Sample 261			0	
True	65280	K22	Sample 262			0	
True	65280	K23	Sample 263			0	
True	65280	K24	Sample 264			0	
True	255	L1	Sample 265	  9.54		0	
True	255	L2	Sample 266	  9.45		0	
True	255	L3	Sample 267	  9.36		0	
True	255	L4	Sample 268	  8.94		0	
True	255	L5	Sample 269	  9.60		0	
True	255	L6	Sample 270	  9.46		0	
True	255	L7	Sample 271	  8.94		0	
True	255	L8	Sample 272	  9.41		0	
True	255	L9	Sample 273	  9.32		0	
True	255	L10	Sample 274	  8.39		0	
True	255	L11	Sample 275	10.82		0	
True	255	L12	Sample 276	10.73		0	
True	255	L13	Sample 277	10.76		0	
True	255	L14	Sample 278	  9.79		0	
True	255	L15	Sample 279	10.67		0	
True	255	L16	Sample 280	10.48		0	
True	255	L17	Sample 281	  9.91		0	
True	255	L18	Sample 282	10.55		0	
True	255	L19	Sample 283	  9.64		0	
True	255	L20	Sample 284	10.43		0	
True	65280	L21	Sample 285			0	
True	65280	L22	Sample 286			0	
True	65280	L23	Sample 287			0	
True	65280	L24	Sample 288			0	
True	255	M1	Sample 289	29.83		0	
True	255	M2	Sample 290	31.55		0	
True	255	M3	Sample 291	29.69		0	
True	65280	M4	Sample 292			0	
True	65280	M5	Sample 293			0	
True	65280	M6	Sample 294			0	
True	255	M7	Sample 295	30.92		0	
True	255	M8	Sample 296	30.46		0	
True	65280	M9	Sample 297			0	
True	65280	M10	Sample 298			0	
True	65280	M11	Sample 299			0	
True	255	M12	Sample 300	29.99		0	
True	255	M13	Sample 301	31.29		0	
True	255	M14	Sample 302	29.39		0	
True	255	M15	Sample 303	29.99		0	
True	65280	M16	Sample 304			0	
True	255	M17	Sample 305	30.94		0	
True	255	M18	Sample 306	29.15		0	
True	255	M19	Sample 307	31.66		0	
True	65280	M20	Sample 308			0	
True	65280	M21	Sample 309			0	
True	65280	M22	Sample 310			0	
True	65280	M23	Sample 311			0	
True	65280	M24	Sample 312			0	
True	255	N1	Sample 313	27.69		0	
True	255	N2	Sample 314	29.92		0	
True	255	N3	Sample 315	29.63		0	
True	255	N4	Sample 316	29.46		0	
True	255	N5	Sample 317	29.76		0	
True	255	N6	Sample 318	31.39		0	
True	65280	N7	Sample 319			0	
True	255	N8	Sample 320	29.63		0	
True	255	N9	Sample 321	32.56		0	
True	255	N10	Sample 322	30.76		0	
True	255	N11	Sample 323	30.76		0	
True	255	N12	Sample 324	29.25		0	
True	255	N13	Sample 325	30.67		0	
True	255	N14	Sample 326	30.49		0	
True	255	N15	Sample 327	30.61		0	
True	255	N16	Sample 328	30.64		0	
True	255	N17	Sample 329	28.69		0	
True	255	N18	Sample 330	30.60		0	
True	255	N19	Sample 331	30.82		0	
True	255	N20	Sample 332	28.87		0	
True	65280	N21	Sample 333			0	
