Raw Data 		Experiment - JA_2020-12-13-pro-ter_pSRO9-n1-n2 (Run on LCS480 1.5.0.39)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	483-533	
A1	Sample 1	2	2	1	233117	59.92	0.53
A1	Sample 1	2	2	2	272034	59.83	0.52
A1	Sample 1	2	2	3	311234	59.85	0.52
A1	Sample 1	2	2	4	350434	59.84	0.53
A1	Sample 1	2	2	5	389517	59.83	0.52
A1	Sample 1	2	2	6	428617	59.82	0.52
A1	Sample 1	2	2	7	467750	59.81	0.53
A1	Sample 1	2	2	8	506934	59.84	0.52
A1	Sample 1	2	2	9	546100	59.83	0.52
A1	Sample 1	2	2	10	585200	59.83	0.54
A1	Sample 1	2	2	11	624467	59.83	0.54
A1	Sample 1	2	2	12	663650	59.83	0.55
A1	Sample 1	2	2	13	702800	59.83	0.57
A1	Sample 1	2	2	14	741917	59.82	0.61
A1	Sample 1	2	2	15	781150	59.82	0.71
A1	Sample 1	2	2	16	820350	59.82	0.86
A1	Sample 1	2	2	17	859550	59.82	1.14
A1	Sample 1	2	2	18	898734	59.82	1.65
A1	Sample 1	2	2	19	937950	59.82	2.33
A1	Sample 1	2	2	20	977100	59.82	2.97
A1	Sample 1	2	2	21	1016317	59.82	3.50
A1	Sample 1	2	2	22	1055517	59.82	3.95
A1	Sample 1	2	2	23	1094717	59.82	4.31
A1	Sample 1	2	2	24	1133934	59.82	4.62
A1	Sample 1	2	2	25	1173117	59.82	4.82
A1	Sample 1	2	2	26	1212317	59.82	5.01
A1	Sample 1	2	2	27	1251501	59.82	5.14
A1	Sample 1	2	2	28	1290717	59.82	5.23
A1	Sample 1	2	2	29	1329900	59.82	5.37
A1	Sample 1	2	2	30	1369034	59.82	5.44
A1	Sample 1	2	2	31	1408200	59.82	5.51
A1	Sample 1	2	2	32	1447300	59.82	5.57
A1	Sample 1	2	2	33	1486501	59.82	5.62
A1	Sample 1	2	2	34	1525717	59.82	5.67
A1	Sample 1	2	2	35	1564884	59.85	5.73
A1	Sample 1	2	2	36	1604000	59.82	5.74
A1	Sample 1	2	2	37	1643200	59.82	5.80
A1	Sample 1	2	2	38	1682434	59.82	5.82
A1	Sample 1	2	2	39	1721584	59.82	5.84
A1	Sample 1	2	2	40	1760817	59.82	5.88
A1	Sample 1	3	1	1	1773017	59.92	5.97
A1	Sample 1	3	1	1	1774350	59.61	5.98
A1	Sample 1	3	1	1	1775650	59.62	6.01
A1	Sample 1	3	1	1	1776950	60.08	5.98
A1	Sample 1	3	1	1	1778284	60.42	5.97
A1	Sample 1	3	1	1	1779634	60.69	5.92
A1	Sample 1	3	1	1	1780967	60.91	5.92
A1	Sample 1	3	1	1	1782284	61.16	5.87
A1	Sample 1	3	1	1	1783584	61.34	5.86
A1	Sample 1	3	1	1	1784884	61.59	5.82
A1	Sample 1	3	1	1	1786234	61.8	5.80
A1	Sample 1	3	1	1	1787550	61.98	5.79
A1	Sample 1	3	1	1	1788884	62.17	5.76
A1	Sample 1	3	1	1	1790200	62.42	5.75
A1	Sample 1	3	1	1	1791534	62.6	5.75
A1	Sample 1	3	1	1	1792834	62.81	5.72
A1	Sample 1	3	1	1	1794184	62.99	5.70
A1	Sample 1	3	1	1	1795517	63.19	5.69
A1	Sample 1	3	1	1	1796834	63.42	5.65
A1	Sample 1	3	1	1	1798150	63.59	5.64
A1	Sample 1	3	1	1	1799467	63.81	5.64
A1	Sample 1	3	1	1	1800767	63.98	5.64
A1	Sample 1	3	1	1	1802084	64.16	5.61
A1	Sample 1	3	1	1	1803400	64.4	5.60
A1	Sample 1	3	1	1	1804717	64.57	5.58
A1	Sample 1	3	1	1	1806034	64.76	5.58
A1	Sample 1	3	1	1	1807350	64.94	5.58
A1	Sample 1	3	1	1	1808650	65.18	5.57
A1	Sample 1	3	1	1	1809984	65.35	5.55
A1	Sample 1	3	1	1	1811300	65.57	5.54
A1	Sample 1	3	1	1	1812634	65.76	5.54
A1	Sample 1	3	1	1	1813934	65.98	5.54
A1	Sample 1	3	1	1	1815234	66.16	5.53
A1	Sample 1	3	1	1	1816550	66.37	5.53
A1	Sample 1	3	1	1	1817884	66.54	5.53
A1	Sample 1	3	1	1	1819200	66.75	5.51
A1	Sample 1	3	1	1	1820517	66.95	5.51
A1	Sample 1	3	1	1	1821834	67.16	5.52
A1	Sample 1	3	1	1	1823150	67.33	5.52
A1	Sample 1	3	1	1	1824501	67.54	5.52
A1	Sample 1	3	1	1	1825850	67.71	5.53
A1	Sample 1	3	1	1	1827184	67.95	5.52
A1	Sample 1	3	1	1	1828501	68.13	5.52
A1	Sample 1	3	1	1	1829834	68.33	5.51
A1	Sample 1	3	1	1	1831134	68.53	5.51
A1	Sample 1	3	1	1	1832467	68.71	5.51
A1	Sample 1	3	1	1	1833817	68.95	5.51
A1	Sample 1	3	1	1	1835150	69.14	5.51
A1	Sample 1	3	1	1	1836467	69.32	5.49
A1	Sample 1	3	1	1	1837767	69.49	5.49
A1	Sample 1	3	1	1	1839084	69.72	5.48
A1	Sample 1	3	1	1	1840417	69.93	5.47
A1	Sample 1	3	1	1	1841734	70.11	5.46
A1	Sample 1	3	1	1	1843100	70.33	5.44
A1	Sample 1	3	1	1	1844400	70.51	5.42
A1	Sample 1	3	1	1	1845717	70.72	5.41
A1	Sample 1	3	1	1	1847034	70.91	5.41
A1	Sample 1	3	1	1	1848384	71.12	5.36
A1	Sample 1	3	1	1	1849684	71.29	5.34
A1	Sample 1	3	1	1	1851000	71.52	5.30
A1	Sample 1	3	1	1	1852317	71.72	5.27
A1	Sample 1	3	1	1	1853650	71.9	5.24
A1	Sample 1	3	1	1	1854984	72.1	5.22
A1	Sample 1	3	1	1	1856300	72.31	5.20
A1	Sample 1	3	1	1	1857634	72.51	5.15
A1	Sample 1	3	1	1	1858984	72.71	5.14
A1	Sample 1	3	1	1	1860300	72.91	5.09
A1	Sample 1	3	1	1	1861600	73.09	5.05
A1	Sample 1	3	1	1	1862950	73.31	5.03
A1	Sample 1	3	1	1	1864284	73.48	5.00
A1	Sample 1	3	1	1	1865617	73.68	4.98
A1	Sample 1	3	1	1	1866934	73.87	4.95
A1	Sample 1	3	1	1	1868234	74.08	4.91
A1	Sample 1	3	1	1	1869550	74.29	4.86
A1	Sample 1	3	1	1	1870867	74.46	4.83
A1	Sample 1	3	1	1	1872184	74.66	4.82
A1	Sample 1	3	1	1	1873517	74.87	4.78
A1	Sample 1	3	1	1	1874834	75.06	4.73
A1	Sample 1	3	1	1	1876167	75.27	4.69
A1	Sample 1	3	1	1	1877484	75.47	4.66
A1	Sample 1	3	1	1	1878817	75.67	4.64
A1	Sample 1	3	1	1	1880117	75.84	4.60
A1	Sample 1	3	1	1	1881450	76.07	4.56
A1	Sample 1	3	1	1	1882784	76.27	4.53
A1	Sample 1	3	1	1	1884067	76.44	4.50
A1	Sample 1	3	1	1	1885367	76.62	4.47
A1	Sample 1	3	1	1	1886684	76.84	4.42
A1	Sample 1	3	1	1	1888000	77.04	4.39
A1	Sample 1	3	1	1	1889334	77.25	4.36
A1	Sample 1	3	1	1	1890650	77.43	4.32
A1	Sample 1	3	1	1	1892017	77.63	4.28
A1	Sample 1	3	1	1	1893350	77.86	4.25
A1	Sample 1	3	1	1	1894667	78.03	4.22
A1	Sample 1	3	1	1	1895984	78.23	4.18
A1	Sample 1	3	1	1	1897284	78.41	4.15
A1	Sample 1	3	1	1	1898600	78.64	4.10
A1	Sample 1	3	1	1	1899934	78.83	4.06
A1	Sample 1	3	1	1	1901250	79.03	4.03
A1	Sample 1	3	1	1	1902567	79.21	3.98
A1	Sample 1	3	1	1	1903884	79.41	3.96
A1	Sample 1	3	1	1	1905217	79.65	3.94
A1	Sample 1	3	1	1	1906567	79.81	3.89
A1	Sample 1	3	1	1	1907884	80.02	3.85
A1	Sample 1	3	1	1	1909200	80.19	3.81
A1	Sample 1	3	1	1	1910517	80.42	3.78
A1	Sample 1	3	1	1	1911850	80.59	3.73
A1	Sample 1	3	1	1	1913184	80.81	3.69
A1	Sample 1	3	1	1	1914534	81	3.65
A1	Sample 1	3	1	1	1915867	81.21	3.63
A1	Sample 1	3	1	1	1917150	81.41	3.59
A1	Sample 1	3	1	1	1918467	81.61	3.53
A1	Sample 1	3	1	1	1919800	81.81	3.48
A1	Sample 1	3	1	1	1921117	81.99	3.44
A1	Sample 1	3	1	1	1922434	82.19	3.40
A1	Sample 1	3	1	1	1923750	82.39	3.35
A1	Sample 1	3	1	1	1925067	82.61	3.29
A1	Sample 1	3	1	1	1926400	82.8	3.24
A1	Sample 1	3	1	1	1927717	82.99	3.17
A1	Sample 1	3	1	1	1929067	83.18	3.09
A1	Sample 1	3	1	1	1930384	83.37	3.00
A1	Sample 1	3	1	1	1931684	83.58	2.85
A1	Sample 1	3	1	1	1933000	83.78	2.69
A1	Sample 1	3	1	1	1934334	83.99	2.45
A1	Sample 1	3	1	1	1935650	84.2	2.14
A1	Sample 1	3	1	1	1936967	84.37	1.76
A1	Sample 1	3	1	1	1938284	84.55	1.39
A1	Sample 1	3	1	1	1939600	84.76	1.05
A1	Sample 1	3	1	1	1940900	84.95	0.76
A1	Sample 1	3	1	1	1942217	85.17	0.57
A1	Sample 1	3	1	1	1943534	85.34	0.44
A1	Sample 1	3	1	1	1944867	85.55	0.37
A1	Sample 1	3	1	1	1946200	85.73	0.32
A1	Sample 1	3	1	1	1947517	85.97	0.28
A1	Sample 1	3	1	1	1948850	86.14	0.27
A1	Sample 1	3	1	1	1950150	86.33	0.25
A1	Sample 1	3	1	1	1951467	86.53	0.25
A1	Sample 1	3	1	1	1952817	86.75	0.24
A1	Sample 1	3	1	1	1954150	86.93	0.24
A1	Sample 1	3	1	1	1955450	87.13	0.23
A1	Sample 1	3	1	1	1956784	87.34	0.23
A1	Sample 1	3	1	1	1958100	87.53	0.23
A1	Sample 1	3	1	1	1959417	87.73	0.23
A1	Sample 1	3	1	1	1960750	87.94	0.23
A1	Sample 1	3	1	1	1962100	88.16	0.22
A1	Sample 1	3	1	1	1963400	88.33	0.22
A1	Sample 1	3	1	1	1964700	88.52	0.22
A1	Sample 1	3	1	1	1966000	88.73	0.22
A1	Sample 1	3	1	1	1967350	88.92	0.22
A1	Sample 1	3	1	1	1968700	89.13	0.22
A1	Sample 1	3	1	1	1970050	89.31	0.22
A1	Sample 1	3	1	1	1971367	89.52	0.22
A1	Sample 1	3	1	1	1972667	89.72	0.23
A1	Sample 1	3	1	1	1973984	89.89	0.22
A1	Sample 1	3	1	1	1975300	90.11	0.22
A1	Sample 1	3	1	1	1976634	90.32	0.22
A1	Sample 1	3	1	1	1977934	90.48	0.22
A1	Sample 1	3	1	1	1979250	90.7	0.22
A1	Sample 1	3	1	1	1980567	90.87	0.22
A1	Sample 1	3	1	1	1981884	91.1	0.21
A1	Sample 1	3	1	1	1983217	91.27	0.22
A1	Sample 1	3	1	1	1984517	91.5	0.22
A1	Sample 1	3	1	1	1985834	91.69	0.22
A1	Sample 1	3	1	1	1987150	91.87	0.21
A1	Sample 1	3	1	1	1988484	92.06	0.21
A1	Sample 1	3	1	1	1989800	92.26	0.22
A1	Sample 1	3	1	1	1991134	92.5	0.21
A1	Sample 1	3	1	1	1992450	92.7	0.21
A1	Sample 1	3	1	1	1993784	92.87	0.21
A1	Sample 1	3	1	1	1995084	93.06	0.21
A1	Sample 1	3	1	1	1996367	93.22	0.22
A1	Sample 1	3	1	1	1997684	93.43	0.21
A1	Sample 1	3	1	1	1998984	93.66	0.21
A1	Sample 1	3	1	1	2000300	93.85	0.21
A1	Sample 1	3	1	1	2001600	94.05	0.21
A1	Sample 1	3	1	1	2002934	94.24	0.21
A1	Sample 1	3	1	1	2004250	94.46	0.21
A1	Sample 1	3	1	1	2005584	94.62	0.21
A1	Sample 1	3	1	1	2006900	94.85	0.21
A2	Sample 2	2	2	1	233117	59.92	0.60
A2	Sample 2	2	2	2	272034	59.83	0.60
A2	Sample 2	2	2	3	311234	59.85	0.59
A2	Sample 2	2	2	4	350434	59.84	0.59
A2	Sample 2	2	2	5	389517	59.83	0.59
A2	Sample 2	2	2	6	428617	59.82	0.59
A2	Sample 2	2	2	7	467750	59.81	0.59
A2	Sample 2	2	2	8	506934	59.84	0.59
A2	Sample 2	2	2	9	546100	59.83	0.58
A2	Sample 2	2	2	10	585200	59.83	0.60
A2	Sample 2	2	2	11	624467	59.83	0.60
A2	Sample 2	2	2	12	663650	59.83	0.61
A2	Sample 2	2	2	13	702800	59.83	0.61
A2	Sample 2	2	2	14	741917	59.82	0.66
A2	Sample 2	2	2	15	781150	59.82	0.71
A2	Sample 2	2	2	16	820350	59.82	0.81
A2	Sample 2	2	2	17	859550	59.82	1.01
A2	Sample 2	2	2	18	898734	59.82	1.38
A2	Sample 2	2	2	19	937950	59.82	2.03
A2	Sample 2	2	2	20	977100	59.82	2.86
A2	Sample 2	2	2	21	1016317	59.82	3.61
A2	Sample 2	2	2	22	1055517	59.82	4.25
A2	Sample 2	2	2	23	1094717	59.82	4.77
A2	Sample 2	2	2	24	1133934	59.82	5.19
A2	Sample 2	2	2	25	1173117	59.82	5.50
A2	Sample 2	2	2	26	1212317	59.82	5.73
A2	Sample 2	2	2	27	1251501	59.82	5.91
A2	Sample 2	2	2	28	1290717	59.82	6.03
A2	Sample 2	2	2	29	1329900	59.82	6.17
A2	Sample 2	2	2	30	1369034	59.82	6.29
A2	Sample 2	2	2	31	1408200	59.82	6.34
A2	Sample 2	2	2	32	1447300	59.82	6.42
A2	Sample 2	2	2	33	1486501	59.82	6.45
A2	Sample 2	2	2	34	1525717	59.82	6.50
A2	Sample 2	2	2	35	1564884	59.85	6.55
A2	Sample 2	2	2	36	1604000	59.82	6.57
A2	Sample 2	2	2	37	1643200	59.82	6.59
A2	Sample 2	2	2	38	1682434	59.82	6.64
A2	Sample 2	2	2	39	1721584	59.82	6.63
A2	Sample 2	2	2	40	1760817	59.82	6.67
A2	Sample 2	3	1	1	1773017	59.92	6.78
A2	Sample 2	3	1	1	1774350	59.61	6.81
A2	Sample 2	3	1	1	1775650	59.62	6.83
A2	Sample 2	3	1	1	1776950	60.08	6.80
A2	Sample 2	3	1	1	1778284	60.42	6.75
A2	Sample 2	3	1	1	1779634	60.69	6.72
A2	Sample 2	3	1	1	1780967	60.91	6.69
A2	Sample 2	3	1	1	1782284	61.16	6.65
A2	Sample 2	3	1	1	1783584	61.34	6.63
A2	Sample 2	3	1	1	1784884	61.59	6.62
A2	Sample 2	3	1	1	1786234	61.8	6.57
A2	Sample 2	3	1	1	1787550	61.98	6.55
A2	Sample 2	3	1	1	1788884	62.17	6.54
A2	Sample 2	3	1	1	1790200	62.42	6.50
A2	Sample 2	3	1	1	1791534	62.6	6.48
A2	Sample 2	3	1	1	1792834	62.81	6.46
A2	Sample 2	3	1	1	1794184	62.99	6.43
A2	Sample 2	3	1	1	1795517	63.19	6.41
A2	Sample 2	3	1	1	1796834	63.42	6.39
A2	Sample 2	3	1	1	1798150	63.59	6.36
A2	Sample 2	3	1	1	1799467	63.81	6.36
A2	Sample 2	3	1	1	1800767	63.98	6.35
A2	Sample 2	3	1	1	1802084	64.16	6.32
A2	Sample 2	3	1	1	1803400	64.4	6.30
A2	Sample 2	3	1	1	1804717	64.57	6.28
A2	Sample 2	3	1	1	1806034	64.76	6.26
A2	Sample 2	3	1	1	1807350	64.94	6.25
A2	Sample 2	3	1	1	1808650	65.18	6.22
A2	Sample 2	3	1	1	1809984	65.35	6.21
A2	Sample 2	3	1	1	1811300	65.57	6.19
A2	Sample 2	3	1	1	1812634	65.76	6.18
A2	Sample 2	3	1	1	1813934	65.98	6.17
A2	Sample 2	3	1	1	1815234	66.16	6.17
A2	Sample 2	3	1	1	1816550	66.37	6.16
A2	Sample 2	3	1	1	1817884	66.54	6.16
A2	Sample 2	3	1	1	1819200	66.75	6.13
A2	Sample 2	3	1	1	1820517	66.95	6.14
A2	Sample 2	3	1	1	1821834	67.16	6.12
A2	Sample 2	3	1	1	1823150	67.33	6.14
A2	Sample 2	3	1	1	1824501	67.54	6.13
A2	Sample 2	3	1	1	1825850	67.71	6.13
A2	Sample 2	3	1	1	1827184	67.95	6.11
A2	Sample 2	3	1	1	1828501	68.13	6.10
A2	Sample 2	3	1	1	1829834	68.33	6.09
A2	Sample 2	3	1	1	1831134	68.53	6.09
A2	Sample 2	3	1	1	1832467	68.71	6.07
A2	Sample 2	3	1	1	1833817	68.95	6.05
A2	Sample 2	3	1	1	1835150	69.14	6.03
A2	Sample 2	3	1	1	1836467	69.32	6.01
A2	Sample 2	3	1	1	1837767	69.49	5.98
A2	Sample 2	3	1	1	1839084	69.72	5.95
A2	Sample 2	3	1	1	1840417	69.93	5.90
