Experiment: JA_2020-12-14-pro-ter_pSRO9-n3  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	15.42		0	
True	255	A2	Sample 2	13.39		0	
True	255	A3	Sample 3	14.51		0	
True	255	A4	Sample 4	14.56		0	
True	255	A5	Sample 5	14.96		0	
True	255	A6	Sample 6	14.53		0	
True	255	A7	Sample 7	15.47		0	
True	255	A8	Sample 8	15.30		0	
True	255	A9	Sample 9	16.44		0	
True	255	A10	Sample 10	14.99		0	
True	65280	A11	Sample 11			0	
True	65280	A12	Sample 12			0	
True	65280	A13	Sample 13			0	
True	65280	A14	Sample 14			0	
True	65280	A15	Sample 15			0	
True	65280	A16	Sample 16			0	
True	65280	A17	Sample 17			0	
True	65280	A18	Sample 18			0	
True	65280	A19	Sample 19			0	
True	65280	A20	Sample 20			0	
True	65280	A21	Sample 21			0	
True	65280	A22	Sample 22			0	
True	65280	A23	Sample 23			0	
True	65280	A24	Sample 24			0	
True	255	B1	Sample 25	11.50		0	
True	255	B2	Sample 26	10.32		0	
True	255	B3	Sample 27	11.08		0	
True	255	B4	Sample 28	10.48		0	
True	255	B5	Sample 29	11.29		0	
True	255	B6	Sample 30	  9.64		0	
True	255	B7	Sample 31	11.32		0	
True	255	B8	Sample 32	11.40		0	
True	255	B9	Sample 33	11.61		0	
True	255	B10	Sample 34	11.35		0	
True	65280	B11	Sample 35			0	
True	65280	B12	Sample 36			0	
True	65280	B13	Sample 37			0	
True	65280	B14	Sample 38			0	
True	65280	B15	Sample 39			0	
True	65280	B16	Sample 40			0	
True	65280	B17	Sample 41			0	
True	65280	B18	Sample 42			0	
True	65280	B19	Sample 43			0	
True	65280	B20	Sample 44			0	
True	65280	B21	Sample 45			0	
True	65280	B22	Sample 46			0	
True	65280	B23	Sample 47			0	
True	65280	B24	Sample 48			0	
True	255	C1	Sample 49	11.77		0	
True	255	C2	Sample 50	10.87		0	
True	255	C3	Sample 51	11.59		0	
True	255	C4	Sample 52	10.80		0	
True	255	C5	Sample 53	11.35		0	
True	255	C6	Sample 54	10.21		0	
True	255	C7	Sample 55	11.29		0	
True	255	C8	Sample 56	11.33		0	
True	255	C9	Sample 57	11.69		0	
True	255	C10	Sample 58	11.41		0	
True	65280	C11	Sample 59			0	
True	65280	C12	Sample 60			0	
True	65280	C13	Sample 61			0	
True	65280	C14	Sample 62			0	
True	65280	C15	Sample 63			0	
True	65280	C16	Sample 64			0	
True	65280	C17	Sample 65			0	
True	65280	C18	Sample 66			0	
True	65280	C19	Sample 67			0	
True	65280	C20	Sample 68			0	
True	65280	C21	Sample 69			0	
True	65280	C22	Sample 70			0	
True	65280	C23	Sample 71			0	
True	65280	C24	Sample 72			0	
True	255	D1	Sample 73	10.24		0	
True	255	D2	Sample 74	  9.41		0	
True	255	D3	Sample 75	  9.39		0	
True	255	D4	Sample 76	  9.30		0	
True	255	D5	Sample 77	  9.67		0	
True	255	D6	Sample 78	  9.45		0	
True	255	D7	Sample 79	  9.91		0	
True	255	D8	Sample 80	  9.61		0	
True	255	D9	Sample 81	  9.59		0	
True	255	D10	Sample 82	  9.70		0	
True	65280	D11	Sample 83			0	
True	65280	D12	Sample 84			0	
True	65280	D13	Sample 85			0	
True	65280	D14	Sample 86			0	
True	65280	D15	Sample 87			0	
True	65280	D16	Sample 88			0	
True	65280	D17	Sample 89			0	
True	65280	D18	Sample 90			0	
True	65280	D19	Sample 91			0	
True	65280	D20	Sample 92			0	
True	65280	D21	Sample 93			0	
True	65280	D22	Sample 94			0	
True	65280	D23	Sample 95			0	
True	65280	D24	Sample 96			0	
True	255	E1	Sample 97	14.84		0	
True	255	E2	Sample 98	13.29		0	
True	255	E3	Sample 99	14.41		0	
True	255	E4	Sample 100	14.31		0	
True	255	E5	Sample 101	14.55		0	
True	255	E6	Sample 102	14.21		0	
True	255	E7	Sample 103	14.98		0	
True	255	E8	Sample 104	15.63		0	
True	255	E9	Sample 105	16.65		0	
True	255	E10	Sample 106	14.84		0	
True	65280	E11	Sample 107			0	
True	65280	E12	Sample 108			0	
True	65280	E13	Sample 109			0	
True	65280	E14	Sample 110			0	
True	65280	E15	Sample 111			0	
True	65280	E16	Sample 112			0	
True	65280	E17	Sample 113			0	
True	65280	E18	Sample 114			0	
