Experiment: JA_2020-12-14-pro-ter_pSRO9-n3  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Group	Score	Res	Status
True	3200768	A1	Sample 1	3	0.89	0.8	
True	3200768	A2	Sample 2	3	0.94	0.9	
True	3200768	A3	Sample 3	3	0.91	0.86	
True	3200768	A4	Sample 4	3	0.95	0.89	
True	3200768	A5	Sample 5	3	0.94	0.89	
True	3200768	A6	Sample 6	3	0.93	0.86	
True	3200768	A7	Sample 7	3	0.95	0.87	
True	3200768	A8	Sample 8	3	0.82	0.76	
True	3200768	A9	Sample 9	3	0.96	0.89	
True	3200768	A10	Sample 10	3	0.96	0.88	
True	16776975	A11	Sample 11	Negative	1	1	
True	16776975	A12	Sample 12	Negative	1	1	
True	16776975	A13	Sample 13	Negative	1	1	
True	16776975	A14	Sample 14	Negative	1	1	
True	16776975	A15	Sample 15	Negative	1	1	
True	16776975	A16	Sample 16	Negative	1	1	
True	16776975	A17	Sample 17	Negative	1	1	
True	16776975	A18	Sample 18	Negative	1	1	
True	16776975	A19	Sample 19	Negative	1	1	
True	16776975	A20	Sample 20	Negative	1	1	
True	16776975	A21	Sample 21	Negative	1	1	
True	16776975	A22	Sample 22	Negative	1	1	
True	16776975	A23	Sample 23	Negative	1	1	
True	16776975	A24	Sample 24	Negative	1	1	
True	255	B1	Sample 25	2	0.96	0.94	
True	255	B2	Sample 26	2	0.98	0.95	
True	255	B3	Sample 27	2	0.99	0.97	
True	255	B4	Sample 28	2	0.97	0.94	
True	255	B5	Sample 29	2	0.99	0.97	
True	255	B6	Sample 30	2	0.99	0.98	
True	255	B7	Sample 31	2	0.99	0.97	
True	255	B8	Sample 32	2	0.99	0.97	
True	255	B9	Sample 33	2	0.99	0.97	
True	255	B10	Sample 34	2	0.99	0.97	
True	16776975	B11	Sample 35	Negative	1	1	
True	16776975	B12	Sample 36	Negative	1	1	
True	16776975	B13	Sample 37	Negative	1	1	
True	16776975	B14	Sample 38	Negative	1	1	
True	16776975	B15	Sample 39	Negative	1	1	
True	16776975	B16	Sample 40	Negative	1	1	
True	16776975	B17	Sample 41	Negative	1	1	
True	16776975	B18	Sample 42	Negative	1	1	
True	16776975	B19	Sample 43	Negative	1	1	
True	16776975	B20	Sample 44	Negative	1	1	
True	16776975	B21	Sample 45	Negative	1	1	
True	16776975	B22	Sample 46	Negative	1	1	
True	16776975	B23	Sample 47	Negative	1	1	
True	16776975	B24	Sample 48	Negative	1	1	
True	16744448	C1	Sample 49	1	0.93	0.9	
True	16744448	C2	Sample 50	1	0.99	0.96	
True	16744448	C3	Sample 51	1	1	0.96	
True	16744448	C4	Sample 52	1	0.97	0.94	
True	16744448	C5	Sample 53	1	0.98	0.96	
True	16744448	C6	Sample 54	1	0.99	0.96	
True	16744448	C7	Sample 55	1	0.98	0.95	
True	16744448	C8	Sample 56	1	0.98	0.95	
True	16744448	C9	Sample 57	1	0.97	0.94	
True	16744448	C10	Sample 58	1	0.97	0.95	
True	16776975	C11	Sample 59	Negative	1	1	
True	16776975	C12	Sample 60	Negative	1	1	
True	16776975	C13	Sample 61	Negative	1	1	
True	16776975	C14	Sample 62	Negative	1	1	
True	16776975	C15	Sample 63	Negative	1	1	
True	16776975	C16	Sample 64	Negative	1	1	
True	16776975	C17	Sample 65	Negative	1	1	
True	16776975	C18	Sample 66	Negative	1	1	
True	16776975	C19	Sample 67	Negative	1	1	
True	16776975	C20	Sample 68	Negative	1	1	
True	16776975	C21	Sample 69	Negative	1	1	
True	16776975	C22	Sample 70	Negative	1	1	
True	16776975	C23	Sample 71	Negative	1	1	
True	16776975	C24	Sample 72	Negative	1	1	
True	16744448	D1	Sample 73	1	0.86	0.82	
True	16744448	D2	Sample 74	1	0.94	0.9	
True	16744448	D3	Sample 75	1	0.98	0.93	
True	16744448	D4	Sample 76	1	0.98	0.93	
True	16744448	D5	Sample 77	1	0.98	0.92	
True	16744448	D6	Sample 78	1	0.97	0.92	
True	16744448	D7	Sample 79	1	0.98	0.92	
True	16744448	D8	Sample 80	1	0.98	0.93	
True	16744448	D9	Sample 81	1	0.97	0.92	
True	16744448	D10	Sample 82	1	0.97	0.92	
True	16776975	D11	Sample 83	Negative	1	1	
True	16776975	D12	Sample 84	Negative	1	1	
True	16776975	D13	Sample 85	Negative	1	1	
True	16776975	D14	Sample 86	Negative	1	1	
True	16776975	D15	Sample 87	Negative	1	1	
True	16776975	D16	Sample 88	Negative	1	1	
True	16776975	D17	Sample 89	Negative	1	1	
True	16776975	D18	Sample 90	Negative	1	1	
True	16776975	D19	Sample 91	Negative	1	1	
True	16776975	D20	Sample 92	Negative	1	1	
